chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	556245	735317	-0.060371	-0.072891	-0.040772	-0.032052
Superscaffold1	735468	906429	0.530967	0.400661	0.237012	0.295051
Superscaffold1	906479	1242369	0.325148	0.232958	0.136695	0.177133
Superscaffold1	1242382	1442200	0.230534	0.135755	0.083512	0.095962
Superscaffold1	1442232	1782599	0.289148	0.142766	0.089178	0.142571
Superscaffold1	1782803	1924249	0.243349	0.178264	0.085281	0.146298
Superscaffold1	1924264	2154959	0.078236	0.044952	0.019357	0.051975
Superscaffold1	2154973	2325329	0.135601	0.102446	0.058507	0.075892
Superscaffold1	2325330	2460844	-0.042794	-0.045978	-0.024434	-0.033742
Superscaffold1	2460851	2642829	0.168384	0.138445	0.082706	0.107897
Superscaffold1	2642841	2788282	0.026098	0.034958	0.016260	0.016277
Superscaffold1	2788303	2963241	0.077467	0.081527	0.032793	0.048011
Superscaffold1	2963271	3158633	0.103842	0.103026	0.055898	0.064576
Superscaffold1	3158669	3354827	0.123802	0.122813	0.060465	0.071335
Superscaffold1	3354853	3596608	0.122388	0.078396	0.042070	0.079713
Superscaffold1	3596731	3814301	0.286250	0.220727	0.105538	0.154883
Superscaffold1	3814424	4010970	0.106988	0.096805	0.042195	0.059834
Superscaffold1	4011034	4338421	0.091896	0.060949	0.032824	0.054511
Superscaffold1	4338572	4567982	0.169191	0.134187	0.072697	0.115373
Superscaffold1	4568014	4819620	0.072991	0.062316	0.031616	0.042080
Superscaffold1	4819674	5039837	0.069595	0.064534	0.033430	0.041845
Superscaffold1	5040095	5246658	0.468060	0.443751	0.211328	0.285011
Superscaffold1	5246676	5500160	0.386463	0.228598	0.138733	0.203271
Superscaffold1	5500259	5771957	0.047721	0.028267	0.016756	0.035337
Superscaffold1	5771971	6154138	0.307454	0.137609	0.093462	0.198402
Superscaffold1	6156575	6532815	-0.125123	-0.047467	-0.032120	-0.087639
Superscaffold1	6532882	6875222	0.048845	0.019927	0.013421	0.029739
Superscaffold1	6875358	7258757	-0.154007	-0.063338	-0.040930	-0.099357
