chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	510709	585575	0.150034	0.164951	0.111520	0.060108
Superscaffold1	585579	736048	0.102957	0.093796	0.063346	0.035849
Superscaffold1	736129	886617	-0.151634	-0.107754	-0.065483	-0.073619
Superscaffold1	886673	1167601	0.088977	0.054475	0.035840	0.033780
Superscaffold1	1167602	1342209	0.100978	0.079088	0.049656	0.041410
Superscaffold1	1342866	1502107	0.011480	0.011934	0.006366	0.005328
Superscaffold1	1502167	1785267	0.042003	0.038593	0.021934	0.019779
Superscaffold1	1785283	2040622	-0.107407	-0.058993	-0.030883	-0.053275
Superscaffold1	2040648	2280652	-0.157215	-0.076650	-0.048842	-0.057656
Superscaffold1	2280804	2435983	-0.019431	-0.014965	-0.009243	-0.007573
Superscaffold1	2436142	2603633	-0.094052	-0.081476	-0.047027	-0.053972
Superscaffold1	2603635	2764300	0.035086	0.040979	0.021608	0.015455
Superscaffold1	2764329	2890827	0.223574	0.222766	0.107731	0.099242
Superscaffold1	2890868	3070463	-0.151900	-0.193553	-0.074828	-0.065046
Superscaffold1	3070535	3244904	0.010803	0.011981	0.005950	0.002401
Superscaffold1	3244929	3481605	0.080621	0.061939	0.037677	0.035262
Superscaffold1	3481657	3743528	-0.036785	-0.026326	-0.016029	-0.016656
Superscaffold1	3743598	3968966	-0.073372	-0.079397	-0.035557	-0.026832
Superscaffold1	3969088	4197358	-0.010841	-0.008272	-0.004480	-0.005241
Superscaffold1	4197368	4455114	-0.051850	-0.032962	-0.019633	-0.020737
Superscaffold1	4455124	4655396	0.147842	0.130113	0.073522	0.068286
Superscaffold1	4655423	4864362	-0.080837	-0.073595	-0.042266	-0.039085
Superscaffold1	4864508	5127069	0.018551	0.012696	0.007636	0.006078
Superscaffold1	5127483	5311877	-0.246322	-0.271584	-0.127104	-0.110367
Superscaffold1	5311878	5531650	-0.209439	-0.223386	-0.108621	-0.101782
Superscaffold1	5531708	5694727	-0.141458	-0.170747	-0.087840	-0.072359
Superscaffold1	5694777	5898083	-0.222711	-0.147980	-0.088070	-0.097433
Superscaffold1	5898098	6145520	-0.062469	-0.047786	-0.026754	-0.035975
Superscaffold1	6145522	6352784	0.002126	0.001488	0.000835	-0.000157
Superscaffold1	6352923	6556069	-0.322258	-0.203864	-0.124857	-0.142695
Superscaffold1	6556075	6789970	-0.173749	-0.100589	-0.063425	-0.093872
Superscaffold1	6790047	7124065	-0.115420	-0.053932	-0.031872	-0.039469
Superscaffold1	7124384	7349989	-0.176377	-0.118176	-0.069175	-0.082393
Superscaffold1	7350586	7597723	-0.061116	-0.047575	-0.028943	-0.030819
Superscaffold1	7597775	7941810	0.114561	0.106628	0.055131	0.039360
Superscaffold1	7941906	8537109	0.020168	0.012346	0.007747	0.006456
Superscaffold1	8537272	9163219	0.051201	0.040754	0.025024	0.027329
Superscaffold1	9163339	9828294	0.025498	0.016579	0.010192	0.007756
Superscaffold1	9828470	10506949	0.042344	0.034270	0.019002	0.017368
Superscaffold1	10507070	10707722	0.012742	0.011947	0.006879	0.005571
Superscaffold1	10707733	10871421	-0.008779	-0.007886	-0.004152	-0.004753
Superscaffold1	10871501	11115413	-0.032339	-0.022620	-0.013537	-0.012080
Superscaffold1	11115490	11363106	-0.007332	-0.004719	-0.003144	-0.004096
Superscaffold1	11363108	11575770	-0.168853	-0.061917	-0.047142	-0.044627
Superscaffold1	11575819	11827855	-0.070399	-0.044596	-0.025308	-0.024108
Superscaffold1	11827861	12026799	-0.242124	-0.186692	-0.114851	-0.123517
Superscaffold1	12026827	12336167	0.069357	0.044863	0.028232	0.033276
Superscaffold1	12336171	12523183	0.178357	0.196969	0.111385	0.098573
Superscaffold1	12523192	12864481	-0.150978	-0.061857	-0.041166	-0.072648
Superscaffold1	12864548	13204056	0.017315	0.006387	0.004694	0.004241
Superscaffold1	13205044	13693797	-0.294567	-0.114824	-0.076712	-0.172913
Superscaffold1	13693886	14087249	-0.078465	-0.032933	-0.021397	-0.034683
Superscaffold1	14088306	14559463	-0.111318	-0.054803	-0.032565	-0.052867
Superscaffold1	14559472	14815989	0.036690	0.019717	0.011787	0.017332
Superscaffold1	14815990	15055227	-0.020815	-0.014533	-0.008525	-0.009841
Superscaffold1	15055303	15257243	0.502473	0.366439	0.224168	0.403257
Superscaffold1	15257530	15490116	0.161804	0.110876	0.060238	0.099277
Superscaffold1	15490152	15727522	-0.139597	-0.084256	-0.047712	-0.073551
Superscaffold1	15727540	15964154	-0.141015	-0.070362	-0.040296	-0.070343
Superscaffold1	15964167	16194394	-0.302920	-0.240651	-0.111225	-0.163889
Superscaffold1	16194476	16462067	-0.410387	-0.243263	-0.132604	-0.228315
Superscaffold1	16462077	16729421	0.029867	0.023426	0.014251	0.013983
Superscaffold1	16729426	17012972	-0.038086	-0.029745	-0.018515	-0.015268
Superscaffold1	17013043	17322304	0.154845	0.098042	0.065006	0.077130
Superscaffold1	17323012	17828840	-0.179436	-0.071621	-0.048160	-0.088606
Superscaffold1	17828845	18312256	-0.093268	-0.085689	-0.043958	-0.040616
Superscaffold1	18312375	18545144	-0.009760	-0.005841	-0.003654	-0.007422
Superscaffold1	18545883	18923967	-0.228141	-0.134831	-0.078301	-0.100248
Superscaffold1	18924033	19118753	0.115414	0.086089	0.060075	0.046626
Superscaffold1	19118758	19262392	-0.033908	-0.026098	-0.015912	-0.018480
Superscaffold1	19262415	19624549	-0.082098	-0.042491	-0.030656	-0.032750
Superscaffold1	19624644	19857509	-0.263613	-0.109676	-0.082760	-0.116841
Superscaffold1	19857538	20025641	-0.136295	-0.113316	-0.068279	-0.058648
Superscaffold1	20025699	20301513	-0.145035	-0.094803	-0.054680	-0.077281
Superscaffold1	20301685	20598883	0.047144	0.031433	0.016827	0.025172
Superscaffold1	20598899	21130790	0.058945	0.032307	0.016769	0.029115
Superscaffold1	21130801	21381348	-0.142433	-0.074666	-0.044710	-0.085798
Superscaffold1	21381355	21612342	-0.031576	-0.029107	-0.012855	-0.011086
Superscaffold1	21612450	21965956	0.043194	0.024440	0.016614	0.017365
Superscaffold1	21966008	22241156	0.095736	0.047430	0.029994	0.050396
Superscaffold1	22241177	22754520	-0.070611	-0.018422	-0.013630	-0.034367
Superscaffold1	22754593	23200785	0.257429	0.079664	0.052002	0.138875
Superscaffold1	23200822	23683743	0.112071	0.034197	0.023261	0.051181
Superscaffold1	23683744	23956497	-0.058837	-0.033064	-0.021067	-0.026694
Superscaffold1	23956569	24192806	-0.496740	-0.686195	-0.263741	-0.320333
Superscaffold1	24192840	24456741	-0.002376	-0.001694	-0.001011	-0.002953
Superscaffold1	24456782	24774021	-0.022944	-0.008303	-0.005731	-0.010185
Superscaffold1	24774048	25078853	0.146510	0.102959	0.057678	0.068899
Superscaffold1	25079097	25414171	-0.332449	-0.191362	-0.104670	-0.179823
Superscaffold1	25414178	25663493	-0.156460	-0.082109	-0.055973	-0.061905
Superscaffold1	25663494	25862339	0.066794	0.055318	0.036704	0.030624
Superscaffold1	25862341	26092293	-0.109622	-0.097040	-0.057529	-0.055148
Superscaffold1	26092297	26298264	-0.065538	-0.029951	-0.017113	-0.026268
Superscaffold1	26298267	26625806	-0.270093	-0.143558	-0.085319	-0.137621
Superscaffold1	26625818	26897914	-0.672470	-0.656375	-0.270522	-0.501910
Superscaffold1	26898012	27140697	-0.285126	-0.123421	-0.061256	-0.200035
Superscaffold1	27140730	27321491	-0.179374	-0.190317	-0.068789	-0.084542
Superscaffold1	27321536	27564658	-0.328491	-0.317471	-0.146743	-0.172588
Superscaffold1	27564663	27807755	0.041012	0.024568	0.014162	0.012458
Superscaffold1	27807760	27954208	-0.134202	-0.188850	-0.078404	-0.052096
Superscaffold1	27954215	28112539	-0.081874	-0.077290	-0.041801	-0.040020
Superscaffold1	28112567	28290039	0.033096	0.040644	0.018696	0.019434
Superscaffold1	28290088	28554617	-0.272012	-0.266960	-0.147907	-0.158368
Superscaffold1	28554704	28773919	-0.334046	-0.373760	-0.216809	-0.199232
Superscaffold1	28773922	29079960	-0.275400	-0.145444	-0.073382	-0.154610
Superscaffold1	29079995	29350667	-0.109369	-0.062957	-0.040163	-0.045558
Superscaffold1	29350779	29569184	-0.306151	-0.242484	-0.112617	-0.175269
Superscaffold1	29569204	29821803	0.229993	0.104385	0.062829	0.106975
Superscaffold1	29822065	30068182	-0.156894	-0.092403	-0.053792	-0.069016
Superscaffold1	30068200	30311083	-0.060998	-0.048537	-0.028579	-0.024722
Superscaffold1	30311100	30739970	-0.419928	-0.403238	-0.186582	-0.238612
Superscaffold1	30740047	30928716	-0.575866	-0.667737	-0.287317	-0.339159
Superscaffold1	30928723	31164349	-0.418269	-0.362782	-0.174155	-0.241236
Superscaffold1	31164515	31498372	-0.144866	-0.085081	-0.044561	-0.059788
Superscaffold1	31498376	31770915	-0.264253	-0.126584	-0.078899	-0.113430
Superscaffold1	31770922	32163652	-0.007929	-0.007584	-0.004040	-0.006805
Superscaffold1	32163659	32332234	-0.097108	-0.065209	-0.042278	-0.047088
Superscaffold1	32332317	32638528	0.230384	0.126547	0.090495	0.098104
Superscaffold1	32638603	32914460	0.110141	0.070608	0.037968	0.048376
Superscaffold1	32914477	33210001	-0.145166	-0.084866	-0.051852	-0.068488
Superscaffold1	33210287	33444548	0.082722	0.048079	0.034086	0.040675
Superscaffold1	33444690	33540623	0.025387	0.019251	0.011668	0.012729
Superscaffold1	33540711	33771664	-0.020978	-0.018205	-0.010390	-0.006491
Superscaffold1	33771665	33895060	0.079907	0.083420	0.051988	0.036800
Superscaffold1	33895256	34059715	-0.262352	-0.179989	-0.098314	-0.150184
Superscaffold1	34059729	34256651	-0.104494	-0.048087	-0.031934	-0.051999
Superscaffold1	34256722	34550968	0.059080	0.026999	0.019131	0.020441
Superscaffold1	34552871	34872292	0.009157	0.004891	0.002845	0.001857
Superscaffold1	34872294	35216039	-0.453487	-0.261536	-0.160168	-0.236625
Superscaffold1	35216179	35660722	-0.112899	-0.076690	-0.043007	-0.064363
Superscaffold1	35660758	36305646	-0.151928	-0.096273	-0.052009	-0.072798
Superscaffold1	36305650	36811898	-0.122540	-0.065724	-0.040715	-0.058302
Superscaffold1	36811917	37063110	-0.273035	-0.179279	-0.107823	-0.139033
Superscaffold1	37063448	37318866	-0.188151	-0.122736	-0.077598	-0.081640
Superscaffold1	37318909	37509109	-0.107062	-0.054149	-0.035710	-0.045653
Superscaffold1	37509116	37650843	0.049349	0.038944	0.018609	0.027570
Superscaffold1	37651075	38124645	-0.155390	-0.142400	-0.073389	-0.079289
Superscaffold1	38124699	38347244	-0.216117	-0.103903	-0.065812	-0.112322
Superscaffold1	38347326	38546196	-0.178185	-0.078768	-0.055147	-0.059388
Superscaffold1	38546268	38791690	-0.329551	-0.146986	-0.100079	-0.144936
Superscaffold1	38791700	39021635	-0.040711	-0.014148	-0.011217	-0.021193
Superscaffold1	39021827	39250018	0.174404	0.072038	0.050092	0.073043
Superscaffold1	39250263	39576088	0.021711	0.010489	0.005546	0.006210
Superscaffold1	39576130	39788406	-0.242231	-0.119106	-0.070693	-0.150146
Superscaffold1	39788435	39990915	-0.254100	-0.067281	-0.052648	-0.056071
Superscaffold1	39990957	40160838	-0.199314	-0.132258	-0.084712	-0.083938
Superscaffold1	40160867	40450444	0.007728	0.003101	0.002373	0.003847
Superscaffold1	40450498	40739706	0.193065	0.144419	0.090250	0.088917
Superscaffold1	40739762	41119822	-0.466407	-0.276287	-0.152628	-0.292905
Superscaffold1	41120113	41466516	-0.455097	-0.234665	-0.124262	-0.280834
Superscaffold1	41466518	41778616	0.294316	0.151272	0.090296	0.191042
Superscaffold1	41778924	42075141	-0.110026	-0.048130	-0.026847	-0.091071
Superscaffold1	42075342	42594543	-0.204075	-0.065134	-0.044007	-0.130787
Superscaffold1	42594978	43062564	0.116653	0.047534	0.031609	0.064863
Superscaffold1	43062618	43763573	-0.221369	-0.038655	-0.027204	-0.127893
Superscaffold1	43763629	44343686	-0.039812	-0.006790	-0.004614	-0.014756
Superscaffold1	44343742	44938423	0.111692	0.038177	0.024616	0.053059
Superscaffold1	44938451	45399174	0.164218	0.088468	0.064041	0.094755
Superscaffold1	45399206	45916304	-0.278063	-0.097548	-0.065798	-0.111708
