chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60061	66016	0.019195	0.008386	0.006962	0.014314
Chr01	66034	71956	0.945522	0.353131	0.324193	0.665207
Chr01	71968	78484	-0.564169	-0.343909	-0.209170	-0.465234
Chr01	78586	83465	-0.523243	-0.419642	-0.270977	-0.451163
Chr01	83485	147377	-0.363508	-0.185950	-0.076772	-0.172022
Chr01	147455	152799	-0.413501	-0.535292	-0.109527	-0.099686
Chr01	152930	164549	-0.318314	-0.394450	-0.123084	-0.114930
Chr01	164649	181270	-0.002404	-0.002166	-0.001224	0.003340
Chr01	181579	185258	0.224776	0.245481	0.159654	0.123751
Chr01	185276	189729	0.208202	0.248182	0.145474	0.105976
Chr01	189740	196928	-0.078704	-0.089376	-0.053296	-0.032251
Chr01	196985	205138	0.214701	0.174477	0.116691	0.108103
Chr01	205163	208586	0.184928	0.145647	0.096648	0.084940
Chr01	208602	210486	-0.061056	-0.067843	-0.033804	-0.033456
Chr01	210508	215319	0.385206	0.249110	0.190440	0.239422
Chr01	215362	217441	0.009239	0.008025	0.004645	0.001165
Chr01	217456	219758	0.121913	0.107554	0.064597	0.056491
Chr01	219786	223876	0.192181	0.158413	0.105137	0.101967
Chr01	223887	228380	0.152230	0.130026	0.085357	0.063103
Chr01	228396	233276	0.215158	0.150447	0.114785	0.069025
Chr01	233307	238064	-0.179205	-0.205164	-0.112959	-0.081125
Chr01	238100	244823	-0.095637	-0.053638	-0.035910	-0.048213
Chr01	245055	249369	-0.109452	-0.072791	-0.053423	-0.030802
Chr01	249392	252457	0.197903	0.151647	0.107074	0.065235
Chr01	252494	255333	-0.035691	-0.054017	-0.027863	-0.013783
Chr01	255351	258140	-0.109210	-0.221131	-0.077988	-0.063220
Chr01	258152	261420	0.006696	0.010973	0.005144	0.001273
Chr01	261433	263579	0.026376	0.076142	0.024409	0.010014
Chr01	263587	265477	-0.198119	-0.384318	-0.170509	-0.114219
Chr01	265491	270767	0.203911	0.257647	0.157394	0.113384
Chr01	270854	275875	0.117076	0.071632	0.036257	0.053809
Chr01	275878	281077	0.356782	0.227206	0.154056	0.170701
Chr01	281083	296137	-0.217170	-0.207653	-0.092913	-0.140059
Chr01	297309	310637	0.228689	0.164373	0.115309	0.160227
Chr01	310662	316307	0.219296	0.302001	0.154997	0.140978
Chr01	316315	321225	-0.104321	-0.215691	-0.075219	-0.050586
Chr01	321367	335076	-0.145165	-0.105209	-0.058500	-0.104066
Chr01	335081	344664	-0.151071	-0.076570	-0.053499	-0.041623
Chr01	344676	351773	-0.100191	-0.085790	-0.063390	-0.041226
Chr01	351825	369789	-0.647449	-0.478320	-0.282001	-0.424339
Chr01	369797	388067	-0.251947	-0.173439	-0.109940	-0.147854
Chr01	388094	392839	-0.062468	-0.042286	-0.031522	-0.030058
Chr01	392910	400971	-0.172703	-0.158126	-0.096314	-0.052081
Chr01	401137	404575	-0.031051	-0.056854	-0.030941	-0.008254
Chr01	404595	416433	-0.256329	-0.157334	-0.078566	-0.063884
Chr01	416453	426318	0.190893	0.075551	0.061832	0.093636
Chr01	426341	432896	-0.015282	-0.018904	-0.007529	-0.006715
Chr01	432921	439047	0.387645	0.338652	0.170672	0.155257
Chr01	439120	447575	-0.370215	-0.085048	-0.065613	-0.078152
Chr01	447858	452788	-0.075740	-0.044223	-0.029954	-0.035332
Chr01	452863	464727	-0.463044	-0.394065	-0.234639	-0.259106
Chr01	464732	473356	-0.473894	-0.474690	-0.286652	-0.321807
Chr01	473440	478634	-0.583296	-0.630522	-0.329567	-0.458941
Chr01	478642	480938	-0.538035	-0.641425	-0.341148	-0.395017
Chr01	480945	486065	-0.390376	-0.396803	-0.223139	-0.292696
Chr01	486069	494334	-0.161176	-0.112650	-0.056329	-0.090755
Chr01	494345	498080	-0.342965	-0.164368	-0.103332	-0.192107
Chr01	498638	508954	-0.199616	-0.194898	-0.099447	-0.120590
Chr01	508969	515253	-0.505600	-0.613703	-0.208299	-0.202267
Chr01	515268	519364	-0.360121	-0.584735	-0.169031	-0.149353
Chr01	519463	524891	0.194401	0.323654	0.114196	0.087419
Chr01	524996	528801	0.144316	0.241687	0.074667	0.047950
