chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	534170	675810	-0.033166	-0.021002	-0.015310	-0.013885
Superscaffold1	675826	822408	-0.094695	-0.038598	-0.027766	-0.028844
Superscaffold1	822465	1137498	0.026350	0.013155	0.008594	0.011325
Superscaffold1	1138993	1330650	-0.285631	-0.107930	-0.079163	-0.085372
Superscaffold1	1330955	1525061	-0.053823	-0.027768	-0.016961	-0.015643
Superscaffold1	1525142	1823589	-0.315315	-0.159884	-0.106222	-0.129735
Superscaffold1	1823965	2181448	0.028942	0.011396	0.006693	0.013897
Superscaffold1	2181504	2381186	-0.118725	-0.075538	-0.050607	-0.058570
Superscaffold1	2381291	2558933	0.033309	0.031228	0.018368	0.011166
Superscaffold1	2558946	2736956	0.007528	0.007426	0.004245	0.005671
Superscaffold1	2737029	2867803	0.086781	0.095712	0.050441	0.043400
Superscaffold1	2867836	3097902	-0.066688	-0.058335	-0.029434	-0.031732
Superscaffold1	3097914	3339041	0.131530	0.096242	0.060076	0.069557
Superscaffold1	3339299	3656266	-0.008017	-0.004558	-0.003105	-0.003769
Superscaffold1	3656322	3968966	-0.042218	-0.025126	-0.014973	-0.019614
Superscaffold1	3969088	4256713	0.059708	0.038616	0.023512	0.033120
Superscaffold1	4256725	4513329	-0.099289	-0.060379	-0.038581	-0.047162
Superscaffold1	4513344	4786993	0.066438	0.060526	0.031444	0.042968
Superscaffold1	4787018	5046166	-0.155653	-0.102062	-0.066679	-0.086983
Superscaffold1	5046192	5314458	-0.157327	-0.114840	-0.068628	-0.096450
Superscaffold1	5314475	5581704	-0.205669	-0.159923	-0.093809	-0.118895
Superscaffold1	5581713	5744822	-0.068296	-0.098112	-0.044434	-0.039494
Superscaffold1	5744939	6038322	-0.059234	-0.033002	-0.021629	-0.033083
Superscaffold1	6038768	6314000	-0.107407	-0.071271	-0.041275	-0.052006
Superscaffold1	6314024	6522392	-0.200479	-0.155506	-0.094041	-0.117145
Superscaffold1	6522482	6787772	-0.186386	-0.099411	-0.065346	-0.087771
Superscaffold1	6787803	7162252	-0.167623	-0.079587	-0.050934	-0.082160
Superscaffold1	7163258	7461381	-0.160146	-0.088719	-0.057029	-0.088260
Superscaffold1	7461433	7775902	-0.135590	-0.108114	-0.063949	-0.066467
Superscaffold1	7776016	8452745	-0.033747	-0.016789	-0.011897	-0.014474
Superscaffold1	8452830	9112109	-0.043819	-0.032238	-0.019551	-0.022086
Superscaffold1	9112127	9844374	0.029979	0.017650	0.011777	0.013087
Superscaffold1	9844396	10585608	0.006238	0.004334	0.002651	-0.001741
Superscaffold1	10585923	10818327	-0.071403	-0.040943	-0.028444	-0.033770
Superscaffold1	10818359	11080572	-0.031518	-0.022848	-0.012540	-0.013951
Superscaffold1	11081589	11327259	-0.036574	-0.021637	-0.015447	-0.013614
Superscaffold1	11327264	11518519	-0.017761	-0.009350	-0.007060	-0.007192
Superscaffold1	11518581	11756162	-0.160656	-0.083627	-0.050289	-0.041379
Superscaffold1	11756215	11988631	-0.157908	-0.103745	-0.064820	-0.069812
Superscaffold1	11988637	12295335	0.034639	0.024804	0.015202	0.019593
Superscaffold1	12295352	12551265	0.044608	0.039496	0.023371	0.024402
Superscaffold1	12551281	12896576	-0.069516	-0.030002	-0.020626	-0.031439
Superscaffold1	12896608	13384207	-0.166372	-0.053691	-0.039562	-0.105995
