chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	62021	83434	-0.861658	-0.374167	-0.232994	-0.662257
Chr01	83441	147881	0.191159	0.035071	0.028908	0.043418
Chr01	147954	156017	0.087451	0.014521	0.012037	0.009990
Chr01	156056	168034	-0.228353	-0.078135	-0.058123	-0.083225
Chr01	168042	184223	0.055333	0.036340	0.026240	0.038220
Chr01	184296	188172	0.364755	0.193661	0.143652	0.188544
Chr01	188279	195290	0.151820	0.087294	0.067231	0.046690
Chr01	195295	204797	0.075726	0.050397	0.036904	0.038860
Chr01	204840	208602	-0.136081	-0.100599	-0.065733	-0.047372
Chr01	208633	210602	0.042764	0.047668	0.027541	0.013501
Chr01	210604	216112	-0.012246	-0.010546	-0.006927	-0.014282
Chr01	216121	218112	0.036448	0.039096	0.023224	0.016155
Chr01	218128	220433	-0.150484	-0.208750	-0.108055	-0.077665
Chr01	220441	225440	0.076550	0.058092	0.040171	0.030940
Chr01	225441	230528	0.258298	0.108014	0.088098	0.076381
Chr01	230530	235697	-0.097651	-0.076746	-0.049391	-0.041718
Chr01	235797	241029	-0.057075	-0.042395	-0.026818	-0.023670
Chr01	241174	248310	-0.081801	-0.037844	-0.027558	-0.024371
Chr01	248386	251473	0.184856	0.074871	0.056172	0.054892
Chr01	251507	254534	0.122838	0.060087	0.046162	0.024122
Chr01	254538	260700	-0.404942	-0.527938	-0.209273	-0.192579
Chr01	260715	263071	0.081730	0.031200	0.023652	0.020812
Chr01	263092	264983	0.083343	0.043598	0.031538	0.012816
Chr01	265045	270998	-0.017637	-0.010904	-0.007670	-0.011089
Chr01	271095	275932	0.216332	0.090242	0.057774	0.081642
Chr01	275933	282814	0.136822	0.081138	0.049776	0.062056
Chr01	282968	306636	-0.398014	-0.185855	-0.107829	-0.230636
Chr01	306647	311801	0.260711	0.180833	0.133247	0.212888
Chr01	311815	318192	-0.157305	-0.154369	-0.070468	-0.091892
Chr01	318221	326276	-0.373838	-0.282292	-0.132589	-0.245448
Chr01	326302	341919	-0.368737	-0.111982	-0.080962	-0.088293
Chr01	342015	351570	-0.526841	-0.242687	-0.164562	-0.186205
Chr01	351622	381273	-0.603696	-0.422058	-0.244213	-0.356447
Chr01	381421	388517	-0.520248	-0.258411	-0.171985	-0.281521
Chr01	388527	394081	-0.244441	-0.122489	-0.085382	-0.086376
Chr01	394107	402581	-0.320656	-0.168084	-0.109288	-0.099690
Chr01	402592	407059	-0.007199	-0.006310	-0.003409	0.000000
Chr01	407435	424755	0.142786	0.072521	0.045853	0.083909
Chr01	424768	431665	-0.101967	-0.070518	-0.040748	-0.058237
Chr01	431669	437415	0.329584	0.245197	0.119444	0.137936
Chr01	437607	447092	-0.455262	-0.066973	-0.055089	-0.063761
Chr01	447165	452609	-0.106909	-0.045353	-0.032023	-0.053526
Chr01	452712	464779	-0.638200	-0.449614	-0.254655	-0.362713
Chr01	464844	473560	-0.664591	-0.571352	-0.327595	-0.466100
Chr01	473576	478982	-0.715176	-0.667875	-0.356544	-0.634571
Chr01	478991	482975	-0.757255	-0.711881	-0.363875	-0.577488
Chr01	483052	489021	-0.666538	-0.420673	-0.218759	-0.531599
Chr01	489022	496719	-0.343256	-0.198316	-0.113933	-0.212368
Chr01	496746	502139	-0.330312	-0.145013	-0.094081	-0.199296
Chr01	502140	512966	-0.436613	-0.402759	-0.183965	-0.205490
Chr01	512970	517835	-0.461683	-0.433153	-0.175351	-0.184838
Chr01	517845	523765	-0.000239	-0.000297	-0.000116	0.000970
Chr01	523829	528400	0.097615	0.081402	0.050279	0.022327
Chr01	528406	534925	-0.328890	-0.275931	-0.085447	-0.097530
Chr01	534938	554442	-0.626739	-0.617159	-0.164312	-0.370129
