chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	249553	562663	-0.130568	-0.074908	-0.044777	-0.084774
Chr01	422550	823054	-0.151500	-0.085300	-0.050288	-0.109066
Chr01	562899	1032653	-0.048359	-0.018659	-0.012416	-0.040370
Chr01	823496	1184977	-0.026597	-0.007958	-0.005468	-0.019504
Chr01	1032742	1408988	-0.030514	-0.011049	-0.006758	-0.018323
Chr01	1184980	1533461	0.121452	0.058783	0.033894	0.089151
Chr01	1409403	1665052	0.091176	0.044182	0.026542	0.071001
Chr01	1533517	1844211	-0.064354	-0.028379	-0.014613	-0.044084
Chr01	1665272	2044822	-0.130551	-0.053820	-0.025582	-0.086227
Chr01	1845334	2211405	-0.059000	-0.024422	-0.013108	-0.041338
Chr01	2045280	2305557	0.077202	0.040134	0.024739	0.043578
Chr01	2211527	2495549	0.042680	0.026574	0.016317	0.032633
Chr01	2305656	2620410	-0.132375	-0.091070	-0.052961	-0.091063
Chr01	2495623	2723983	-0.165005	-0.099646	-0.059517	-0.127648
Chr01	2620435	2810217	-0.100768	-0.059854	-0.035661	-0.069807
Chr01	2724104	2986633	-0.165436	-0.105036	-0.060457	-0.108663
Chr01	2810275	3164337	-0.097960	-0.046743	-0.028761	-0.067753
Chr01	2986713	3344306	-0.100486	-0.037987	-0.023371	-0.063898
Chr01	3164474	3528267	-0.042233	-0.014726	-0.008901	-0.027980
Chr01	3344317	3715665	0.043567	0.016507	0.009996	0.027218
Chr01	3528327	3928687	0.014240	0.006300	0.003536	0.011539
Chr01	3715991	4140956	0.044264	0.019502	0.011037	0.035996
Chr01	3929020	4278767	0.013636	0.006550	0.003647	0.011324
Chr01	4140963	4430657	0.011640	0.007971	0.003762	0.008133
Chr01	4278885	4529620	0.100817	0.068380	0.038641	0.056973
Chr01	4430687	4695202	0.083300	0.043902	0.027181	0.049926
Chr01	4529650	4944421	0.093194	0.037260	0.022745	0.071400
Chr01	4695576	5151214	-0.211749	-0.082778	-0.050372	-0.167784
Chr01	4944748	5497429	-0.331472	-0.134293	-0.082685	-0.243154
Chr01	5151426	5634611	-0.111303	-0.052527	-0.032584	-0.074523
Chr01	5497444	5824873	-0.195239	-0.112163	-0.063863	-0.126827
Chr01	5634671	5932751	-0.225956	-0.142535	-0.077737	-0.140135
Chr01	5825557	6102690	0.024750	0.013415	0.007620	0.014488
Chr01	5932891	6263646	-0.010804	-0.005072	-0.003120	-0.006531
Chr01	6102696	6467553	-0.415988	-0.237789	-0.133694	-0.363783
