chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	65803	72159	0.927288	0.424803	0.383359	0.736087
Chr01	72161	137856	0.037352	0.017954	0.008692	0.037958
Chr01	138269	151552	-0.471846	-0.431633	-0.178432	-0.319695
Chr01	151667	160538	-0.355764	-0.423810	-0.196338	-0.235751
Chr01	160577	168735	-0.370714	-0.268354	-0.170204	-0.285690
Chr01	168826	184969	-0.148498	-0.720423	-0.187408	-0.072108
Chr01	184972	188504	-0.039371	-0.095989	-0.041870	-0.025673
Chr01	188644	196772	-0.102467	-0.246124	-0.112655	-0.052324
Chr01	196774	206003	0.014065	0.019736	0.011428	0.004870
Chr01	206034	210331	0.025799	0.046682	0.027824	0.014534
Chr01	210380	216261	-0.093747	-0.129340	-0.079485	-0.052923
Chr01	216276	218915	-0.007403	-0.014364	-0.009140	-0.009336
Chr01	218976	223236	-0.056920	-0.117703	-0.060711	-0.032872
Chr01	223477	230016	0.208964	0.349649	0.243255	0.130169
Chr01	230184	236676	0.075330	0.140342	0.086239	0.046812
Chr01	236679	243504	0.119140	0.150551	0.100702	0.065763
Chr01	243510	250709	0.157358	0.185582	0.141076	0.111612
Chr01	250760	255474	0.135155	0.185420	0.129869	0.074635
Chr01	255502	258479	0.482359	0.529911	0.367957	0.311109
Chr01	258528	262400	-0.155131	-0.248010	-0.142885	-0.087952
Chr01	262424	264691	-0.082414	-0.102960	-0.061710	-0.048749
Chr01	264797	270453	-0.150547	-0.163663	-0.100405	-0.107733
Chr01	270454	275886	0.045417	0.057501	0.033950	0.030515
Chr01	275891	282213	0.001350	0.002028	0.001058	-0.001708
Chr01	282268	303141	-0.096126	-0.091689	-0.045990	-0.056464
Chr01	303168	311926	0.030840	0.026841	0.017966	0.013951
Chr01	311931	316295	-0.099939	-0.147027	-0.063564	-0.058971
Chr01	316298	319627	0.045817	0.070941	0.028111	0.028661
Chr01	319672	328132	-0.358961	-0.425921	-0.172545	-0.269832
Chr01	328186	342648	-0.270523	-0.279793	-0.138235	-0.152326
Chr01	342682	351876	-0.241342	-0.623611	-0.214337	-0.130302
Chr01	351888	368190	0.724140	0.448485	0.315460	0.530163
Chr01	368299	388165	0.415565	0.270839	0.189813	0.248386
Chr01	388271	396819	0.174853	0.192960	0.138507	0.100413
Chr01	397037	404448	0.067999	0.137807	0.059023	0.044720
Chr01	404575	421837	0.464589	0.200483	0.128537	0.272340
Chr01	421849	430851	0.392045	0.245522	0.165354	0.246308
Chr01	430859	445350	0.490300	0.282282	0.176289	0.277619
Chr01	446343	464133	0.290321	0.110668	0.085397	0.202062
Chr01	464271	478832	-0.159069	-0.098014	-0.060027	-0.106027
Chr01	478850	488442	-0.233016	-0.142310	-0.080105	-0.160189
Chr01	488449	507032	0.121297	0.035911	0.025167	0.085872
Chr01	507049	517799	-0.068514	-0.043451	-0.023674	-0.062807
Chr01	517835	530023	0.529990	0.294295	0.183572	0.481974
Chr01	530124	561657	0.308400	0.130669	0.056078	0.232561
Chr01	561672	575295	0.259749	0.099592	0.065078	0.183198
Chr01	575304	579669	0.519381	0.219862	0.177053	0.477092
Chr01	579679	604507	0.677515	0.287999	0.239920	0.623603
Chr01	604562	617138	0.706752	0.291267	0.236133	0.526429
Chr01	617139	631258	0.161882	0.089245	0.061459	0.100466
Chr01	632106	649572	0.173290	0.072277	0.049609	0.101865
Chr01	649606	658302	0.358711	0.180823	0.121650	0.165932
Chr01	658314	670272	0.337791	0.143439	0.112270	0.265425
Chr01	670451	694804	0.197942	0.135184	0.077684	0.173330
Chr01	695936	747534	-0.095658	-0.052795	-0.028698	-0.051129
Chr01	747641	797530	0.053814	0.037794	0.017255	0.029729
Chr01	797532	832578	-0.099157	-0.055988	-0.035032	-0.075495
Chr01	833136	853298	-0.621494	-0.256416	-0.113616	-0.538774
Chr01	853392	867928	-0.375277	-0.349433	-0.127050	-0.255766
Chr01	867937	882836	0.239189	0.185280	0.103534	0.149897
Chr01	882867	906105	0.021745	0.004569	0.003448	-0.003211
Chr01	906180	929028	-0.008261	-0.002270	-0.001916	-0.000803
Chr01	929114	936238	-0.445996	-0.570185	-0.278696	-0.342812
Chr01	936239	954648	0.225711	0.093668	0.056055	0.163340
Chr01	954670	975573	0.365937	0.180595	0.086418	0.285038
Chr01	975725	1008812	-0.422022	-0.087401	-0.051723	-0.308298
Chr01	1008834	1021158	0.180140	0.035666	0.027668	0.075463
Chr01	1021191	1031867	-0.367793	-0.035462	-0.029122	-0.120162
Chr01	1031955	1050402	0.076284	0.016964	0.009800	0.010772
Chr01	1050530	1072219	-0.624784	-0.103692	-0.064543	-0.509254
Chr01	1072764	1099363	-0.455674	-0.075526	-0.050989	-0.379842
Chr01	1099547	1116763	-0.711316	-0.353284	-0.164685	-0.612978
Chr01	1116814	1139054	-0.460543	-0.155021	-0.093560	-0.334791
Chr01	1139056	1147999	-0.100459	-0.031026	-0.021820	-0.063098
Chr01	1148004	1157087	-0.431105	-0.127775	-0.087674	-0.375879
Chr01	1157202	1168352	0.186041	0.051104	0.039406	0.177269
Chr01	1168414	1179650	0.640809	0.228306	0.168612	0.626220
Chr01	1179734	1199954	0.246300	0.101855	0.062224	0.177857
Chr01	1200143	1213679	-0.180401	-0.069242	-0.028430	-0.170616
Chr01	1213698	1264661	0.217017	0.063700	0.031859	0.203377
Chr01	1264705	1292897	-0.485413	-0.086148	-0.049491	-0.357571
Chr01	1292930	1307811	-0.203064	-0.130666	-0.069908	-0.156377
Chr01	1308363	1326644	-0.282963	-0.116057	-0.064371	-0.231532
Chr01	1326718	1368218	-0.120367	-0.026901	-0.019791	-0.094645
Chr01	1368772	1381707	-0.737381	-0.355536	-0.199741	-0.364170
Chr01	1381716	1396973	-0.606908	-0.428824	-0.244569	-0.567287
Chr01	1397014	1411747	-0.511156	-0.253039	-0.162230	-0.438361
Chr01	1411762	1437624	-0.314414	-0.271568	-0.125447	-0.251534
Chr01	1437694	1453208	0.523696	0.257421	0.150262	0.473173
Chr01	1453210	1461981	0.571859	0.267588	0.165093	0.509623
Chr01	1462028	1473046	0.631499	0.345436	0.191765	0.566059
Chr01	1473098	1492164	0.226751	0.058226	0.035773	0.162706
Chr01	1492630	1509810	-0.071511	-0.020702	-0.013401	-0.064360
Chr01	1509881	1521308	-0.113297	-0.057858	-0.028919	-0.071829
Chr01	1521328	1536300	-0.061415	-0.026920	-0.016056	-0.031426
Chr01	1536322	1540870	-0.196562	-0.202569	-0.110645	-0.073072
Chr01	1540875	1546080	0.074086	0.047757	0.028773	0.040457
Chr01	1546216	1556732	0.087790	0.039987	0.025994	0.043885
Chr01	1556862	1567921	-0.823875	-1.029433	-0.290987	-0.747107
Chr01	1567922	1582008	-0.425577	-0.264842	-0.109912	-0.372192
Chr01	1582299	1626621	-0.262302	-0.071480	-0.037756	-0.285217
Chr01	1626998	1638666	-0.352338	-0.171891	-0.075654	-0.266551
Chr01	1638905	1649163	-0.692247	-0.590611	-0.224777	-0.629750
Chr01	1649242	1664623	0.120410	0.052590	0.031789	0.118493
Chr01	1664805	1674180	0.570970	0.182082	0.137542	0.473338
Chr01	1674602	1682814	0.545007	0.333455	0.191839	0.440224
Chr01	1682918	1687500	-0.355927	-0.216674	-0.124892	-0.210473
Chr01	1687552	1689917	-0.322100	-0.483934	-0.180058	-0.147191
Chr01	1689919	1691531	-0.431805	-0.734972	-0.276320	-0.237278
Chr01	1691546	1703144	-0.427330	-0.546650	-0.095807	-0.189662
Chr01	1703192	1723350	-0.220550	-0.049201	-0.030260	-0.140737
Chr01	1723363	1755396	-0.122551	-0.033130	-0.016860	-0.107024
Chr01	1755506	1791698	-0.064963	-0.012199	-0.007243	-0.068696
Chr01	1791699	1803900	0.406910	0.169078	0.079129	0.310050
Chr01	1803973	1813885	0.369137	0.143650	0.075796	0.348880
Chr01	1813886	1827174	-0.207440	-0.164218	-0.044182	-0.149298
Chr01	1827230	1842986	0.106068	0.043994	0.022040	0.081262
Chr01	1842995	1855107	0.729109	0.324785	0.154305	0.528686
Chr01	1855157	1879018	-0.535968	-0.129860	-0.066090	-0.382055
Chr01	1879147	1897232	-0.300436	-0.112449	-0.052926	-0.274493
Chr01	1897264	1914261	-0.386061	-0.151174	-0.063447	-0.341566
Chr01	1914374	1934304	-0.089717	-0.042025	-0.025924	-0.046317
Chr01	1934342	1975608	-0.300776	-0.111820	-0.065165	-0.148707
Chr01	1975629	1982875	-0.464620	-0.566850	-0.111965	-0.205389
Chr01	1983000	1993179	-0.297111	-0.269522	-0.063226	-0.155979
Chr01	1993210	2002044	0.465098	0.297004	0.140457	0.275883
Chr01	2002219	2012008	0.043887	0.015505	0.007636	0.008404
Chr01	2012059	2027409	-0.047443	-0.013998	-0.008175	-0.028033
Chr01	2027480	2034659	-0.301307	-0.296785	-0.141141	-0.199750
Chr01	2034670	2044425	-0.239956	-0.152125	-0.085254	-0.166912
Chr01	2044449	2051784	-0.173008	-0.086863	-0.051694	-0.104008
Chr01	2051801	2064201	-0.169739	-0.060482	-0.040213	-0.125630
Chr01	2064232	2078947	-0.063820	-0.048655	-0.024489	-0.052074
Chr01	2079032	2089093	-0.406171	-0.262941	-0.150500	-0.307733
Chr01	2089144	2096676	-0.849828	-0.228656	-0.177549	-0.635200
Chr01	2096707	2106928	-0.730316	-0.222589	-0.138093	-0.574006
Chr01	2106952	2115737	-0.351317	-0.355156	-0.116292	-0.244926
Chr01	2115742	2130573	-0.070333	-0.028288	-0.016328	-0.044555
Chr01	2130680	2156969	-0.064587	-0.025746	-0.016837	-0.057536
Chr01	2157091	2172231	-0.300245	-0.165544	-0.105579	-0.122847
Chr01	2172656	2182112	0.080437	0.039842	0.031908	0.048303
Chr01	2182162	2196245	0.195238	0.096683	0.043141	0.060494
Chr01	2196480	2208006	0.054797	0.029866	0.019212	0.033206
Chr01	2208079	2212687	-0.319108	-0.353984	-0.175678	-0.205416
Chr01	2212700	2218363	0.074084	0.059633	0.032186	0.028254
Chr01	2218419	2225232	0.464279	0.368146	0.195185	0.361523
Chr01	2225233	2231081	0.117335	0.072295	0.045847	0.042804
Chr01	2231119	2235571	-0.149569	-0.163307	-0.071431	-0.074131
Chr01	2235572	2246543	-0.053664	-0.053362	-0.027525	-0.036002
Chr01	2246546	2253236	-0.228879	-0.443575	-0.134792	-0.134235
Chr01	2253268	2258579	-0.065477	-0.086789	-0.042487	-0.026238
Chr01	2258590	2263451	0.017392	0.028490	0.015410	0.007194
Chr01	2263457	2270363	-0.044334	-0.039515	-0.028172	-0.023804
Chr01	2270506	2276031	0.368682	0.541998	0.436852	0.234953
Chr01	2276086	2286917	0.565111	0.257807	0.219026	0.339107
Chr01	2286932	2300355	-0.111920	-0.092016	-0.039825	-0.060500
Chr01	2300434	2312146	0.073914	0.097749	0.044514	0.039189
Chr01	2312506	2337748	-0.057132	-0.049190	-0.025872	-0.056819
Chr01	2337777	2360938	-0.280986	-0.426136	-0.163993	-0.200607
Chr01	2361033	2376645	-0.293737	-0.454915	-0.212962	-0.181963
Chr01	2376673	2386586	-0.093527	-0.099998	-0.035994	-0.038955
Chr01	2388831	2402391	-0.101770	-0.077330	-0.036584	-0.064845
Chr01	2402528	2415870	0.443893	0.206763	0.147316	0.377165
Chr01	2415922	2421472	0.228592	0.319798	0.147042	0.120981
Chr01	2421490	2427375	0.329254	0.367347	0.190254	0.191143
Chr01	2427392	2430375	0.357032	0.356045	0.203943	0.203410
Chr01	2430412	2435703	0.398086	0.373799	0.198729	0.299443
Chr01	2435708	2441552	0.053457	0.064013	0.025508	0.046118
Chr01	2441581	2447044	0.387375	0.394041	0.187399	0.283282
Chr01	2447086	2468137	-0.074598	-0.046795	-0.024760	-0.041797
Chr01	2468140	2473390	0.073025	0.038194	0.025025	0.049814
Chr01	2473413	2480864	-0.000969	-0.000503	-0.000341	-0.011740
Chr01	2481321	2491254	0.069821	0.062938	0.030928	0.039152
Chr01	2491597	2496668	0.059377	0.051673	0.024262	0.026566
Chr01	2496670	2501862	0.240790	0.291479	0.149779	0.079205
Chr01	2501866	2507511	0.023222	0.025687	0.010140	0.012646
Chr01	2507515	2512586	0.013778	0.016100	0.009242	-0.005506
Chr01	2512594	2526183	-0.195096	-0.064908	-0.038065	-0.103222
Chr01	2526401	2536308	0.041916	0.021086	0.013507	0.016819
Chr01	2536361	2542566	-0.070694	-0.042619	-0.022551	-0.028310
Chr01	2542656	2577197	-0.076678	-0.031396	-0.021241	-0.043673
Chr01	2577336	2600094	-0.408728	-0.459222	-0.192431	-0.272146
Chr01	2600111	2605164	-0.442522	-0.683759	-0.249700	-0.307024
Chr01	2605198	2613831	-0.560720	-1.603791	-0.291944	-0.367932
Chr01	2613834	2617448	0.226420	0.229828	0.131101	0.159070
Chr01	2617473	2620761	0.062950	0.130060	0.036020	0.058080
Chr01	2620770	2626246	-0.078144	-0.068125	-0.037806	-0.038098
Chr01	2626393	2637059	0.175251	0.166100	0.083084	0.096731
Chr01	2637125	2645307	0.179039	0.172992	0.081577	0.084746
Chr01	2645356	2655861	-0.206628	-0.323959	-0.098672	-0.134574
Chr01	2655991	2660903	0.345210	0.245222	0.148664	0.267911
