chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	121025	149078	-0.222348	-0.097946	-0.057564	-0.134965
Chr01	149116	160626	-0.329417	-0.286068	-0.138866	-0.168935
Chr01	160796	183269	-0.278016	-0.180044	-0.103951	-0.117265
Chr01	183280	188996	0.210727	0.201649	0.138576	0.090195
Chr01	189005	205789	0.055813	0.034760	0.023056	0.022402
Chr01	205819	213338	0.265100	0.184767	0.122072	0.183404
Chr01	213342	218732	0.263140	0.168001	0.112924	0.196673
Chr01	218734	228463	-0.012502	-0.007300	-0.004697	-0.003518
Chr01	228473	242073	-0.131626	-0.058106	-0.036028	-0.109794
Chr01	242280	251090	-0.129854	-0.075371	-0.055310	-0.084885
Chr01	251150	256956	-0.127459	-0.091264	-0.058653	-0.093337
Chr01	256957	264267	-0.461323	-0.285332	-0.157773	-0.380014
Chr01	264288	274070	-0.224696	-0.171092	-0.092494	-0.116482
Chr01	274337	290397	0.026781	0.016246	0.009049	0.030092
Chr01	293121	315740	-0.001357	-0.000737	-0.000502	0.002898
Chr01	315896	350114	-0.041551	-0.015446	-0.012358	-0.026628
Chr01	350158	386438	0.498690	0.249867	0.184826	0.304517
Chr01	386680	404743	-0.029801	-0.017582	-0.012432	-0.015084
Chr01	404752	425480	0.649829	0.176310	0.137278	0.460308
Chr01	425499	436896	0.059868	0.031576	0.017519	0.033585
Chr01	437379	450773	0.206317	0.059681	0.045361	0.051563
Chr01	450784	471749	-0.076747	-0.041059	-0.026948	-0.043440
Chr01	473440	480798	-0.224657	-0.162936	-0.090349	-0.183101
Chr01	480854	500809	-0.026534	-0.008101	-0.004831	-0.011799
Chr01	500918	518311	-0.421844	-0.227496	-0.107098	-0.178240
Chr01	518338	528517	-0.889723	-0.859176	-0.440490	-0.882303
Chr01	528876	551628	-0.817451	-0.696170	-0.285659	-0.769615
Chr01	551671	569092	-0.249121	-0.093123	-0.059570	-0.222062
Chr01	569297	593835	-0.335951	-0.129722	-0.091944	-0.331798
Chr01	593857	611168	0.705618	0.336074	0.271510	0.591440
Chr01	611299	628205	-0.070069	-0.048332	-0.032065	-0.037506
Chr01	628530	638485	0.397989	0.405099	0.265426	0.295069
Chr01	638511	653495	0.361106	0.322263	0.210465	0.333581
Chr01	653633	660239	0.324081	0.183737	0.138569	0.238925
Chr01	660367	674120	0.460276	0.194448	0.161021	0.371048
Chr01	674222	723137	-0.167177	-0.106244	-0.050872	-0.093995
Chr01	723208	804603	-0.208333	-0.098501	-0.053804	-0.122187
Chr01	804709	840793	-0.315804	-0.179742	-0.092887	-0.222659
Chr01	840838	856209	-0.469238	-0.244493	-0.090166	-0.270649
Chr01	856225	874149	0.094836	0.065524	0.026467	0.077740
Chr01	874150	896062	-0.444523	-0.294354	-0.163862	-0.299203
Chr01	896185	933357	-0.283636	-0.082920	-0.052258	-0.190214
Chr01	933361	954829	0.096626	0.020458	0.014669	0.053001
Chr01	954865	979870	0.488666	0.188879	0.094137	0.350710
Chr01	979937	999233	-0.448632	-0.151475	-0.100485	-0.364289
Chr01	999267	1021798	0.076190	0.019455	0.013004	0.061072
Chr01	1021805	1035827	0.134246	0.024790	0.019433	0.103007
Chr01	1036231	1060838	-0.277156	-0.060024	-0.036641	-0.224623
Chr01	1062770	1098080	-0.499557	-0.186885	-0.111214	-0.414475
Chr01	1098365	1108819	-0.360515	-0.331910	-0.146441	-0.364820
Chr01	1109643	1124006	-0.676302	-0.915709	-0.331602	-0.547672
Chr01	1133247	1150300	0.227214	0.052934	0.039998	0.214058
Chr01	1150414	1164608	-0.380398	-0.091165	-0.067317	-0.348500
Chr01	1164707	1175964	-0.029959	-0.006667	-0.005460	-0.020299
Chr01	1176101	1189341	0.143967	0.058680	0.038951	0.130279
Chr01	1189372	1209894	-0.134862	-0.057151	-0.028199	-0.118292
Chr01	1209961	1254643	0.008578	0.003483	0.001519	0.048193
Chr01	1254668	1293974	-0.149991	-0.048676	-0.022425	-0.058528
Chr01	1294452	1313813	-0.132219	-0.083108	-0.040892	-0.121933
Chr01	1313952	1326771	-0.694586	-1.020650	-0.312536	-0.585275
Chr01	1327168	1370163	-0.062064	-0.032786	-0.018366	-0.032275
Chr01	1370256	1397793	-0.131627	-0.035642	-0.021255	-0.093395
Chr01	1398238	1414684	0.517781	0.119527	0.090129	0.241836
Chr01	1414717	1445412	0.022006	0.016648	0.007524	0.022397
Chr01	1445471	1453905	0.130572	0.080603	0.042690	0.119499
Chr01	1453937	1460264	-0.233139	-0.177094	-0.089138	-0.220616
Chr01	1460385	1467848	0.024916	0.015738	0.008365	0.032573
Chr01	1467943	1474756	-0.094433	-0.064896	-0.037386	-0.104617
Chr01	1474887	1485693	0.174383	0.089467	0.060320	0.157553
Chr01	1485723	1501645	0.366598	0.182788	0.118920	0.324542
Chr01	1501700	1511663	-0.031544	-0.013805	-0.009121	-0.025095
Chr01	1511726	1534491	0.123459	0.032672	0.023390	0.105310
Chr01	1534533	1539934	-0.146037	-0.131603	-0.079610	-0.092179
Chr01	1539935	1552403	0.219222	0.075375	0.054379	0.161496
Chr01	1552538	1571290	-0.570459	-0.201092	-0.116835	-0.500528
Chr01	1571486	1591568	0.364697	0.161501	0.083331	0.327628
Chr01	1591609	1630891	0.078370	0.032076	0.015661	0.078929
Chr01	1631556	1646217	-0.354762	-0.147521	-0.084656	-0.311643
Chr01	1646268	1660534	-0.241205	-0.120883	-0.067442	-0.220998
Chr01	1660656	1672927	0.563150	0.228942	0.158554	0.451894
Chr01	1672968	1686342	0.118576	0.036449	0.024422	0.071530
Chr01	1686567	1689605	-0.087691	-0.115185	-0.060609	-0.054194
Chr01	1689619	1695014	-0.254039	-0.342428	-0.092683	-0.120260
Chr01	1695426	1720528	-0.181567	-0.055363	-0.027655	-0.092857
Chr01	1720638	1755396	-0.661317	-0.227364	-0.111592	-0.609274
Chr01	1755544	1794074	-0.836962	-0.559369	-0.183593	-0.709711
Chr01	1794085	1811138	-0.108718	-0.047748	-0.018944	-0.084799
Chr01	1811172	1828664	-0.325339	-0.164115	-0.065786	-0.228930
Chr01	1828876	1855723	0.501282	0.204999	0.102463	0.509205
Chr01	1855866	1872368	-0.543266	-0.272628	-0.108120	-0.450293
Chr01	1872376	1892121	-0.561564	-0.288764	-0.117356	-0.467918
Chr01	1892200	1902331	-0.765095	-0.647221	-0.178012	-0.725608
Chr01	1902464	1973700	-0.572606	-0.179966	-0.083002	-0.502147
Chr01	1973738	1995385	0.380869	0.108636	0.048424	0.253704
Chr01	1995387	2010988	-0.001213	-0.000224	-0.000129	-0.014686
Chr01	2010996	2029539	-0.393815	-0.218855	-0.098485	-0.350181
Chr01	2029543	2045334	-0.141622	-0.061429	-0.035263	-0.117223
Chr01	2045749	2055123	-0.122324	-0.077874	-0.044394	-0.086450
Chr01	2055179	2070173	0.304411	0.152964	0.087506	0.165443
Chr01	2070209	2089144	0.301682	0.077654	0.055110	0.250113
Chr01	2089227	2109965	-0.456377	-0.279774	-0.093765	-0.342923
Chr01	2109985	2128326	0.108969	0.030784	0.019876	0.065599
Chr01	2128478	2152489	-0.024276	-0.012107	-0.007981	-0.023903
Chr01	2153048	2178549	0.094448	0.028263	0.016484	0.053069
Chr01	2178754	2189278	0.665994	0.197496	0.148059	0.612334
Chr01	2189281	2210490	0.088317	0.032804	0.021872	0.061124
Chr01	2210516	2220351	-0.216639	-0.171273	-0.091540	-0.205007
Chr01	2220401	2228673	0.514649	0.345210	0.219007	0.358446
Chr01	2228693	2237455	0.109120	0.057523	0.035280	0.075800
Chr01	2237648	2252195	-0.056767	-0.024063	-0.015490	-0.035857
Chr01	2252361	2257042	0.057785	0.085107	0.042655	0.028705
Chr01	2257046	2263314	0.023393	0.032207	0.016326	0.012070
Chr01	2263345	2271276	0.057680	0.039306	0.030494	0.040253
Chr01	2271289	2277528	0.460301	0.153961	0.136811	0.203552
Chr01	2277531	2301390	0.228856	0.070518	0.048068	0.169201
Chr01	2301528	2336272	0.086453	0.039460	0.025274	0.040430
Chr01	2336336	2377072	0.103405	0.053155	0.023425	0.063767
Chr01	2377076	2400015	-0.102818	-0.065577	-0.033218	-0.067971
Chr01	2405095	2422417	0.128645	0.043014	0.032265	0.117478
Chr01	2422475	2440903	0.223631	0.069873	0.052506	0.190742
