chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	214228	350917	-0.213655	-0.266209	-0.140887	-0.142439
Chr01	261079	475051	0.032363	0.032712	0.017986	0.023599
Chr01	351032	576034	0.325388	0.287799	0.138231	0.219061
Chr01	475221	671281	0.409478	0.317262	0.168845	0.247927
Chr01	576036	871463	0.269664	0.200923	0.108782	0.166404
Chr01	671331	990531	0.079345	0.063533	0.030400	0.053224
Chr01	871500	1112317	0.005455	0.003667	0.001920	0.002373
Chr01	990579	1189486	-0.049043	-0.028459	-0.015627	-0.025769
Chr01	1112417	1326514	-0.082225	-0.049898	-0.025791	-0.047041
Chr01	1189540	1459839	0.075380	0.051165	0.024507	0.043234
Chr01	1326561	1533406	0.129363	0.090207	0.048475	0.088092
Chr01	1459921	1624639	0.014983	0.008392	0.004741	0.003606
Chr01	1533461	1675141	0.148336	0.099677	0.049732	0.075348
Chr01	1624961	1750139	0.002354	0.002776	0.000960	0.001946
Chr01	1675298	1865428	-0.012997	-0.012395	-0.004104	-0.004442
Chr01	1750286	1990925	-0.093689	-0.082591	-0.025976	-0.051184
Chr01	1865551	2057362	-0.183590	-0.152241	-0.056238	-0.095755
Chr01	1990940	2151277	0.019475	0.014957	0.007141	0.007834
Chr01	2057483	2226113	-0.009516	-0.008454	-0.004021	-0.005904
Chr01	2151335	2272804	0.017711	0.019292	0.009759	0.010040
Chr01	2226119	2407039	-0.165309	-0.188626	-0.091809	-0.101167
Chr01	2272851	2473327	-0.109628	-0.110614	-0.056363	-0.073650
Chr01	2407054	2533913	-0.035076	-0.038067	-0.019493	-0.016112
Chr01	2473339	2625272	-0.172181	-0.215877	-0.095154	-0.096824
Chr01	2533979	2678982	-0.055341	-0.062809	-0.031497	-0.031724
Chr01	2625307	2718258	0.012572	0.013538	0.007175	0.010033
Chr01	2679035	2770222	0.020113	0.024780	0.011422	0.015108
Chr01	2718295	2836707	0.017973	0.022467	0.010579	0.012097
Chr01	2770226	2933545	0.097450	0.101336	0.051660	0.056368
Chr01	2836716	3015958	0.205272	0.188898	0.102594	0.118321
Chr01	2933578	3088382	0.065192	0.070677	0.036702	0.037175
Chr01	3016183	3169232	0.008674	0.010181	0.004757	0.005091
Chr01	3088442	3275675	0.056424	0.042742	0.021484	0.032681
Chr01	3169877	3388674	0.070799	0.041373	0.021127	0.042333
Chr01	3275716	3459410	0.196060	0.141272	0.066575	0.118934
Chr01	3389000	3557324	0.152333	0.111411	0.055931	0.092305
Chr01	3459517	3659127	0.096632	0.058030	0.032357	0.058152
Chr01	3557326	3757405	0.058169	0.041769	0.020498	0.031906
Chr01	3659182	3845125	0.044660	0.045793	0.017930	0.025174
Chr01	3757452	3944169	0.031167	0.037556	0.011252	0.019035
Chr01	3845340	4036736	0.062952	0.065750	0.021099	0.034210
Chr01	3944331	4139377	0.080833	0.072742	0.032646	0.049158
Chr01	4036739	4240859	-0.054486	-0.056344	-0.022571	-0.038766
Chr01	4139465	4319326	0.103209	0.125667	0.050387	0.068871
Chr01	4240874	4422277	0.255139	0.342065	0.133047	0.162887
Chr01	4319597	4481563	0.209009	0.255170	0.109784	0.114880
Chr01	4422424	4548604	0.073009	0.084297	0.047416	0.041965
Chr01	4481727	4627473	0.126656	0.138527	0.063892	0.067430
Chr01	4548646	4710488	0.108923	0.114090	0.047635	0.058761
Chr01	4627491	4826973	0.156466	0.177967	0.063901	0.102647
Chr01	4710716	4937641	0.278866	0.222008	0.108881	0.193393
Chr01	4827017	5074316	0.180634	0.095697	0.061132	0.098906
Chr01	4937914	5198150	0.040876	0.023107	0.012905	0.021148
Chr01	5074333	5563241	-0.001905	-0.000803	-0.000492	-0.002291
Chr01	5198220	5721751	-0.059104	-0.020554	-0.013764	-0.038256
Chr01	5563350	5858370	-0.066197	-0.028955	-0.018546	-0.041824
Chr01	5721808	6018480	-0.058313	-0.027030	-0.015990	-0.036854
Chr01	5858674	6236245	-0.094394	-0.034947	-0.022020	-0.064037
Chr01	6018555	6450231	-0.200910	-0.065130	-0.042837	-0.150177
Chr01	6236273	6804616	0.154215	0.039594	0.028720	0.126541
Chr01	6450294	7060075	0.308510	0.066936	0.051018	0.275226
Chr01	6804624	7313204	-0.038154	-0.010728	-0.007395	-0.023823
Chr01	7060287	7444924	-0.110768	-0.048019	-0.030071	-0.074055
Chr01	7313235	7587057	-0.204038	-0.097018	-0.057052	-0.132083
Chr01	7444943	7716559	-0.476346	-0.283146	-0.141482	-0.306176
Chr01	7587156	7874167	-0.360815	-0.180058	-0.103874	-0.249691
Chr01	7716603	7983842	-0.150245	-0.074913	-0.044599	-0.108699
Chr01	7874204	8072978	-0.172245	-0.102990	-0.053904	-0.116117
Chr01	7983844	8215424	-0.037196	-0.013552	-0.008044	-0.020535
Chr01	8073072	8342282	0.118362	0.036889	0.023352	0.059460
Chr01	8215471	8488105	0.225012	0.087507	0.051854	0.128647
Chr01	8342586	8614385	0.161774	0.078812	0.041358	0.102893
Chr01	8488338	8686642	0.156570	0.080236	0.044084	0.100046
Chr01	8614401	8916257	0.087131	0.042599	0.025123	0.052710
Chr01	8686711	9232922	-0.112636	-0.061141	-0.034388	-0.057354
Chr01	8916258	9324159	-0.052584	-0.035559	-0.018654	-0.027662
Chr01	9232944	9511245	-0.138034	-0.062682	-0.035473	-0.112107
Chr01	9324254	9680403	-0.093768	-0.043876	-0.025572	-0.079339
Chr01	9511251	9832953	0.137705	0.079064	0.048281	0.089333
Chr01	9680449	9900076	0.076978	0.047944	0.030139	0.041567
Chr01	9832960	9977321	-0.067234	-0.047291	-0.027730	-0.039686
Chr01	9900081	10049597	0.133542	0.089961	0.055936	0.091986
Chr01	9977331	10172738	0.063348	0.048569	0.025392	0.037848
Chr01	10049674	10306508	-0.038740	-0.023871	-0.012506	-0.027969
Chr01	10172867	10412173	0.156161	0.087662	0.054632	0.098009
Chr01	10306582	10913463	-0.057132	-0.027031	-0.016847	-0.039803
Chr01	10412178	11007991	-0.593953	-0.358445	-0.197309	-0.463877
Chr01	10913507	11183649	-0.580483	-0.444313	-0.226624	-0.475135
Chr01	11008026	11299262	-0.224270	-0.123077	-0.066356	-0.164986
Chr01	11183654	11388859	-0.000082	-0.000045	-0.000025	0.003363
Chr01	11299582	11489113	0.124561	0.069862	0.044719	0.075553
Chr01	11388889	11571727	0.148632	0.098656	0.060594	0.084724
Chr01	11489123	11699693	0.147030	0.098344	0.055729	0.093256
Chr01	11571756	11788800	0.052476	0.036440	0.019009	0.034081
Chr01	11699721	12001391	-0.005917	-0.005232	-0.002768	-0.005006
Chr01	11788838	12110478	-0.000161	-0.000131	-0.000077	-0.001501
Chr01	12001400	12221396	-0.140795	-0.102520	-0.051498	-0.094431
Chr01	12110492	12351183	-0.340506	-0.220968	-0.093408	-0.227727
Chr01	12221459	12448491	-0.266465	-0.187836	-0.079778	-0.171363
Chr01	12351204	12587808	0.018875	0.011657	0.005608	0.025369
Chr01	12448525	12726106	0.101845	0.051299	0.027126	0.093488
Chr01	12587885	12902776	0.120092	0.071304	0.025236	0.095631
Chr01	12726200	13154130	-0.078440	-0.061577	-0.014805	-0.046943
Chr01	12902928	13307261	-0.270845	-0.139255	-0.062227	-0.194130
Chr01	13154132	13545920	-0.499393	-0.275912	-0.136397	-0.407261
Chr01	13307341	13734801	-0.400366	-0.198574	-0.101523	-0.329100
Chr01	13545987	13846368	-0.163732	-0.062006	-0.034191	-0.115330
Chr01	13734802	13973102	-0.154870	-0.080115	-0.042351	-0.099483
Chr01	13846385	14086864	-0.004394	-0.002922	-0.001563	-0.000451
Chr01	13973171	14191491	-0.186659	-0.133348	-0.063199	-0.106493
Chr01	14086869	14318713	-0.183779	-0.119444	-0.056037	-0.112116
Chr01	14191493	14408749	0.135545	0.064282	0.035472	0.089076
Chr01	14318714	14528766	-0.374460	-0.240574	-0.111035	-0.277270
Chr01	14408878	14702132	-0.502475	-0.242638	-0.134674	-0.437538
Chr01	14529047	14817299	-0.333428	-0.124553	-0.077882	-0.277729
Chr01	14702235	14952547	-0.410905	-0.174237	-0.100842	-0.305361
Chr01	14817325	15109092	-0.312878	-0.109409	-0.066567	-0.218325
Chr01	14952573	15300842	-0.208321	-0.071911	-0.039324	-0.149582
Chr01	15109226	15444008	-0.318997	-0.132309	-0.070048	-0.270404
Chr01	15301709	15585744	-0.312725	-0.132447	-0.074024	-0.241265
Chr01	15444011	15699709	-0.187865	-0.092267	-0.048520	-0.111025
Chr01	15585792	16051184	0.101918	0.049887	0.031166	0.064176
Chr01	15700013	16206727	0.311156	0.122176	0.083237	0.186527
Chr01	16051357	16326759	0.027060	0.014946	0.008049	0.017655
Chr01	16206817	16462369	-0.091657	-0.063167	-0.030213	-0.049560
Chr01	16326955	16584320	-0.128991	-0.075301	-0.037111	-0.076102
Chr01	16462387	16782768	-0.248636	-0.112716	-0.060398	-0.190161
Chr01	16584358	16945168	-0.073211	-0.031239	-0.018299	-0.060144
Chr01	16782777	17097082	0.039090	0.016843	0.009798	0.023621
Chr01	16945190	17269211	-0.078076	-0.029111	-0.015801	-0.063936
Chr01	17097200	17363617	-0.184495	-0.100070	-0.049231	-0.140181
Chr01	17269215	17489785	-0.259456	-0.199485	-0.093081	-0.162475
Chr01	17363691	17593395	-0.075471	-0.040557	-0.023127	-0.038114
Chr01	17489837	17806806	-0.084912	-0.035619	-0.021480	-0.060677
Chr01	17593885	18003657	-0.370997	-0.175143	-0.098419	-0.260155
Chr01	17806831	18191051	-0.289221	-0.153969	-0.087178	-0.190017
Chr01	18003735	18270815	-0.251841	-0.155956	-0.085115	-0.172038
Chr01	18201908	18392701	-0.251300	-0.192328	-0.092955	-0.170659
Chr01	18270864	18569255	0.101482	0.044205	0.026471	0.074078
Chr01	18392762	18715346	0.001242	0.000456	0.000295	0.002812
Chr01	18569315	18830119	-0.141431	-0.066549	-0.041696	-0.103205
Chr01	18715648	18948982	-0.161374	-0.094532	-0.055446	-0.119592
Chr01	18830218	19107729	-0.186584	-0.107882	-0.056612	-0.130188
Chr01	18949178	19265700	-0.238957	-0.116808	-0.061614	-0.156905
Chr01	19107784	19388820	-0.108799	-0.046559	-0.026708	-0.063641
Chr01	19265702	19575283	-0.139203	-0.037120	-0.020805	-0.079009
Chr01	19388836	19707967	-0.582432	-0.215973	-0.101989	-0.430944
Chr01	19575290	19825440	-0.634254	-0.543457	-0.193613	-0.545048
Chr01	19708179	19926533	-0.384584	-0.338891	-0.132749	-0.300535
Chr01	19825450	19993559	-0.006973	-0.004303	-0.002209	-0.001419
Chr01	19926589	20096147	0.064752	0.042465	0.018901	0.046923
Chr01	19993564	20189287	-0.037026	-0.028808	-0.011070	-0.022824
Chr01	20096228	20293512	0.266783	0.161033	0.081035	0.154034
Chr01	20189298	20411353	0.121181	0.056277	0.032438	0.067896
Chr01	20293520	20554951	-0.280052	-0.130043	-0.074644	-0.187956
Chr01	20411478	20658342	-0.372973	-0.193622	-0.106949	-0.257335
Chr01	20554978	20830485	-0.226451	-0.080807	-0.048990	-0.168383
Chr01	20658385	20960243	-0.016563	-0.005437	-0.003343	-0.007749
Chr01	20830652	21196257	-0.121632	-0.039678	-0.022906	-0.082803
Chr01	20961351	21315085	-0.175258	-0.057577	-0.032129	-0.132819
Chr01	21196329	21496708	-0.018436	-0.008086	-0.004187	-0.011438
Chr01	21315875	21639389	0.000731	0.000351	0.000173	0.010725
Chr01	21496768	21693139	0.210802	0.110853	0.057624	0.184740
Chr01	21639432	21879435	0.330043	0.131287	0.079569	0.285201
Chr01	21693266	22049438	-0.123600	-0.043900	-0.024814	-0.104427
Chr01	21879439	22187778	-0.370067	-0.146892	-0.079051	-0.283996
Chr01	22049476	22365781	-0.240331	-0.099611	-0.055041	-0.166495
Chr01	22187848	22518020	-0.432465	-0.215598	-0.115711	-0.332481
Chr01	22365849	22808663	-0.422278	-0.094334	-0.063185	-0.315977
Chr01	22518032	22987820	-0.186416	-0.036274	-0.023783	-0.132274
Chr01	22810777	23073625	-0.330406	-0.149961	-0.078795	-0.273373
Chr01	22987914	23203541	-0.410392	-0.232629	-0.116181	-0.336592
Chr01	23073705	23407957	-0.446452	-0.219775	-0.112427	-0.349215
Chr01	23203692	23558563	-0.454116	-0.209162	-0.105281	-0.367747
Chr01	23408093	23712364	-0.404607	-0.233624	-0.106414	-0.286227
Chr01	23558663	23836368	-0.269447	-0.156926	-0.074918	-0.178433
Chr01	23712365	23977293	-0.144723	-0.055365	-0.034472	-0.101014
Chr01	23836719	24097998	-0.149070	-0.054278	-0.036568	-0.087730
Chr01	23977555	24182729	-0.347643	-0.320139	-0.134474	-0.180713
Chr01	24098020	24318285	-0.403196	-0.599595	-0.192879	-0.214753
Chr01	24182737	24458595	-0.325688	-0.193470	-0.096565	-0.207587
Chr01	24318473	24583309	-0.175736	-0.085774	-0.045226	-0.141167
Chr01	24458839	24750928	-0.265323	-0.148664	-0.078310	-0.214927
Chr01	24583326	24950446	-0.391784	-0.220258	-0.111540	-0.296431
Chr01	24751018	25066584	-0.223736	-0.104626	-0.055613	-0.146522
Chr01	24950458	25187242	-0.074292	-0.029471	-0.017203	-0.041259
Chr01	25067053	25282994	-0.233325	-0.116369	-0.063339	-0.147657
Chr01	25187311	25539740	0.021403	0.006166	0.004520	0.015021
Chr01	25282997	25705154	-0.045736	-0.012208	-0.008847	-0.041539
Chr01	25539772	25881957	-0.441494	-0.131540	-0.073667	-0.347189
Chr01	25705303	26100183	-0.533439	-0.145787	-0.080049	-0.367670
Chr01	25881962	26301356	-0.310363	-0.115793	-0.067375	-0.188481
Chr01	26100535	26444147	-0.016952	-0.008430	-0.004317	-0.011408
