chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	59949	73361	-0.342293	-0.114669	-0.091932	-0.239221
Chr01	73391	79544	-0.736177	-0.616928	-0.331882	-0.573675
Chr01	79553	120924	-0.594310	-0.517704	-0.276641	-0.522402
Chr01	120970	147776	-0.185613	-0.135464	-0.044316	-0.106010
Chr01	147881	152024	0.204924	0.187497	0.066225	0.078629
Chr01	152035	159123	-0.098334	-0.130617	-0.040162	-0.049153
Chr01	159211	167990	-0.600175	-0.690112	-0.268772	-0.390183
Chr01	167999	183971	-0.056400	-0.094710	-0.051232	-0.025315
Chr01	184022	187210	0.113753	0.219436	0.133703	0.058342
Chr01	187501	194076	-0.055903	-0.083547	-0.039991	-0.025715
Chr01	194091	204396	-0.133248	-0.157351	-0.091700	-0.063150
Chr01	204421	208222	-0.110400	-0.135070	-0.070901	-0.045362
Chr01	208228	210178	0.036348	0.042742	0.029730	0.009409
Chr01	210195	215299	0.012310	0.010489	0.006986	0.006981
Chr01	215319	217541	0.097871	0.085012	0.059335	0.029185
Chr01	217545	220002	0.017824	0.017723	0.011352	0.010234
Chr01	220008	223996	-0.000188	-0.000254	-0.000157	0.006433
Chr01	223997	228567	-0.072006	-0.130112	-0.065466	-0.035865
Chr01	228644	233396	-0.040959	-0.088621	-0.042682	-0.014811
Chr01	233419	238069	-0.048435	-0.066074	-0.035364	-0.034261
Chr01	238091	243979	0.106943	0.110516	0.060454	0.051345
Chr01	243990	249200	-0.063478	-0.082010	-0.037006	-0.023371
Chr01	249249	251776	-0.249268	-0.327979	-0.149806	-0.110612
Chr01	251779	254538	-0.391166	-0.770602	-0.265658	-0.216201
Chr01	254620	256728	-0.446864	-1.006912	-0.292374	-0.259536
Chr01	256752	260618	-0.208611	-0.343878	-0.158087	-0.110639
Chr01	260620	262411	-0.279667	-0.718665	-0.181972	-0.150238
Chr01	262426	264149	-0.269286	-0.442750	-0.157199	-0.139590
Chr01	264156	268619	-0.352525	-0.416443	-0.218865	-0.252668
Chr01	268637	272078	-0.365105	-0.358031	-0.195599	-0.241920
Chr01	272218	275932	-0.336002	-0.418602	-0.139324	-0.226602
Chr01	275933	281223	-0.341960	-0.413006	-0.195742	-0.209656
Chr01	281274	293394	-0.244198	-0.283066	-0.126629	-0.135557
Chr01	294202	309799	-0.087562	-0.070117	-0.034929	-0.054757
Chr01	309802	315126	0.065509	0.058873	0.045336	0.041085
Chr01	315313	321105	0.018237	0.028761	0.014966	0.007567
Chr01	321106	333787	-0.052592	-0.047346	-0.024856	-0.054334
Chr01	333997	343607	0.142810	0.088291	0.054674	0.050680
Chr01	343608	351406	-0.058804	-0.053776	-0.035272	-0.035989
Chr01	351418	367164	-0.588063	-0.398832	-0.243356	-0.413532
Chr01	367492	387008	-0.018622	-0.015172	-0.009844	-0.014559
Chr01	387029	391516	0.093793	0.081165	0.051509	0.039435
Chr01	391544	397154	-0.057255	-0.085723	-0.044078	-0.025545
Chr01	397158	403029	-0.192561	-0.319717	-0.121770	-0.102970
Chr01	403047	407059	-0.222184	-0.579839	-0.165897	-0.116723
Chr01	407140	418911	0.116606	0.094406	0.044504	0.062029
Chr01	418934	427605	0.298838	0.273673	0.177545	0.212747
Chr01	427617	433706	0.123965	0.196030	0.073602	0.050492
Chr01	433753	440638	0.178770	0.100937	0.073949	0.053253
Chr01	440793	449591	-0.197000	-0.074981	-0.061931	-0.055035
Chr01	449634	453282	-0.241472	-0.301321	-0.193731	-0.097893
Chr01	453291	465303	-0.345494	-0.295196	-0.204617	-0.166760
Chr01	465327	474188	-0.690612	-0.784054	-0.397863	-0.529119
Chr01	474242	479456	-0.287240	-0.284838	-0.198910	-0.183037
Chr01	479466	483147	-0.336193	-0.513230	-0.301286	-0.173582
Chr01	483149	488287	-0.168394	-0.151864	-0.095231	-0.088438
Chr01	488308	496290	-0.091116	-0.078871	-0.046121	-0.039619
Chr01	496336	501150	-0.156305	-0.068460	-0.046825	-0.091875
Chr01	501156	511903	-0.348352	-0.432965	-0.184110	-0.154770
Chr01	511930	516773	-0.292470	-0.312734	-0.135104	-0.089622
Chr01	516786	522546	0.087555	0.159356	0.045311	0.030056
Chr01	522672	526695	0.133937	0.211205	0.068115	0.076597
Chr01	526720	530498	0.382333	0.449147	0.211842	0.229570
Chr01	530507	544653	-0.116357	-0.436427	-0.040796	-0.038517
Chr01	544757	554895	-0.207197	-0.262427	-0.068010	-0.081415
Chr01	554922	561829	0.297481	0.266234	0.128503	0.171253
Chr01	561866	569025	0.259490	0.187593	0.096465	0.180316
Chr01	569092	575675	0.435787	0.444784	0.232469	0.249191
Chr01	575689	577538	0.515152	0.430475	0.290374	0.310671
Chr01	577540	580021	0.419558	0.343997	0.204456	0.236010
Chr01	580026	594632	0.525244	0.490131	0.301273	0.366010
Chr01	594646	610030	0.785434	0.462235	0.387995	0.706545
Chr01	610046	617439	-0.192314	-0.238624	-0.107438	-0.085647
Chr01	617446	624400	0.160142	0.160524	0.091718	0.077458
Chr01	624452	628576	-0.204570	-0.348056	-0.125882	-0.070447
Chr01	628752	633174	0.020262	0.016214	0.010504	0.005863
Chr01	633175	639694	0.228803	0.128028	0.078369	0.066427
Chr01	639743	649292	0.134621	0.123029	0.060098	0.058147
Chr01	649325	652125	0.048799	0.052200	0.027007	0.013666
Chr01	652144	655806	0.042874	0.062844	0.024879	0.012335
Chr01	655819	659702	0.457812	0.294848	0.197904	0.228664
Chr01	659703	667685	0.508003	0.196691	0.169100	0.366060
Chr01	667719	677248	-0.005269	-0.003232	-0.002129	0.007164
Chr01	677435	694280	-0.214059	-0.137567	-0.076895	-0.112912
Chr01	694297	712281	-0.662092	-0.558177	-0.222301	-0.400561
Chr01	712304	746491	-0.191775	-0.152991	-0.088765	-0.095069
Chr01	746607	797304	-0.405795	-0.343161	-0.165297	-0.259904
Chr01	797455	822866	-0.162514	-0.119738	-0.073113	-0.078302
Chr01	823073	836145	-0.377717	-0.142920	-0.088504	-0.181411
Chr01	836146	847294	-0.824529	-0.258272	-0.143245	-0.621858
Chr01	847371	856180	-0.746872	-0.366381	-0.148570	-0.694353
Chr01	856207	863932	-0.068383	-0.037748	-0.017966	-0.032833
Chr01	864005	870562	-0.331991	-0.241164	-0.098836	-0.138289
Chr01	870672	880806	-0.162009	-0.077356	-0.050157	-0.061476
Chr01	880840	894736	-0.184883	-0.251031	-0.122178	-0.092820
Chr01	894743	902510	-0.287669	-0.236446	-0.127326	-0.128398
Chr01	902676	909149	-0.471745	-0.534085	-0.230056	-0.339495
Chr01	909425	927730	-0.069749	-0.051487	-0.035951	-0.036133
Chr01	927852	934267	-0.968986	-0.492551	-0.304225	-0.911238
Chr01	934326	944677	-0.574635	-0.203761	-0.131558	-0.280667
Chr01	944699	961107	0.251575	0.067342	0.049992	0.097690
Chr01	961114	971057	-0.462817	-0.839945	-0.166812	-0.281107
Chr01	971193	980016	0.230307	0.183098	0.076772	0.098624
Chr01	980033	986386	-0.148120	-0.074424	-0.050828	-0.064289
Chr01	986400	997609	-0.432231	-0.157085	-0.095484	-0.206345
Chr01	997680	1008834	-0.528635	-0.475440	-0.137729	-0.261873
Chr01	1008835	1015678	-0.014556	-0.007095	-0.005209	-0.002004
Chr01	1015679	1028049	0.123823	0.023567	0.018234	0.034193
Chr01	1028293	1032599	-0.157518	-0.058712	-0.040808	-0.035532
Chr01	1032653	1039996	-0.624566	-0.113966	-0.075726	-0.191727
Chr01	1040043	1046692	0.100121	0.131170	0.087642	0.024806
Chr01	1046732	1054054	-0.310828	-0.178948	-0.092423	-0.094430
Chr01	1054072	1064756	-0.750795	-0.313277	-0.160508	-0.437705
Chr01	1064761	1077921	-0.370844	-0.137748	-0.073205	-0.119863
Chr01	1077923	1088602	-0.047073	-0.014134	-0.010223	-0.021405
Chr01	1088633	1097609	-0.306958	-0.145262	-0.085887	-0.151911
Chr01	1097620	1104144	-0.579969	-0.294307	-0.129055	-0.360958
Chr01	1104313	1118547	-0.230112	-0.082119	-0.037820	-0.120004
Chr01	1118687	1135839	-0.167082	-0.105602	-0.050087	-0.104936
Chr01	1135873	1142815	-0.238114	-0.071660	-0.054103	-0.193714
Chr01	1142841	1148910	-0.206360	-0.048396	-0.038346	-0.148631
Chr01	1148923	1156525	-0.541280	-0.118104	-0.075776	-0.281840
Chr01	1156539	1165229	-0.218781	-0.057215	-0.041360	-0.126661
Chr01	1165278	1169190	0.110959	0.053359	0.042322	0.042216
Chr01	1169198	1173834	0.232743	0.106310	0.075641	0.106045
Chr01	1173996	1178229	0.368513	0.151901	0.116037	0.185985
Chr01	1178230	1184032	0.218918	0.075296	0.051616	0.134823
Chr01	1184218	1189481	-0.140280	-0.058783	-0.038587	-0.031183
Chr01	1189641	1201519	-0.048383	-0.027436	-0.013433	-0.023413
Chr01	1201524	1207018	-0.173063	-0.289478	-0.051282	-0.123747
Chr01	1207034	1212641	0.177580	0.176583	0.062221	0.116517
Chr01	1212644	1216961	0.040567	0.054473	0.012717	0.024961
Chr01	1217073	1255584	0.269410	0.180776	0.076775	0.182701
Chr01	1255588	1276811	-0.268749	-0.150589	-0.087068	-0.135687
Chr01	1276823	1281992	-0.150015	-0.044794	-0.023696	-0.035152
Chr01	1282005	1290676	0.241697	0.034539	0.024360	0.056438
Chr01	1290764	1295471	0.187866	0.075270	0.055234	0.039188
Chr01	1295475	1301541	-0.017118	-0.008351	-0.004943	-0.003732
Chr01	1301569	1310179	-0.339086	-0.125143	-0.068950	-0.122848
Chr01	1310180	1315751	-0.227571	-0.208778	-0.099035	-0.108112
Chr01	1315764	1320260	-0.794221	-0.763183	-0.220653	-0.317493
Chr01	1320262	1327624	-0.229480	-0.157309	-0.086007	-0.086573
Chr01	1327638	1332209	-0.012659	-0.006126	-0.003782	0.002746
Chr01	1332216	1350160	-0.022963	-0.011618	-0.007299	-0.008968
Chr01	1350196	1370584	-0.370712	-0.276464	-0.173543	-0.273654
Chr01	1370596	1379330	-0.421642	-0.438214	-0.205193	-0.218279
Chr01	1379350	1384316	-0.399867	-0.355646	-0.188813	-0.195318
Chr01	1384342	1392730	-0.519897	-0.441303	-0.183489	-0.248825
Chr01	1392733	1401088	-0.108243	-0.050699	-0.030651	-0.067661
Chr01	1401181	1410697	-0.341215	-0.156979	-0.090263	-0.242785
Chr01	1410726	1428263	-0.591326	-0.766571	-0.297652	-0.457403
Chr01	1428817	1449154	0.369636	0.252550	0.120144	0.283207
Chr01	1449207	1453208	0.347736	0.219614	0.119089	0.270632
Chr01	1453210	1456476	0.030393	0.021289	0.009997	0.022908
Chr01	1456491	1459504	-0.070134	-0.052811	-0.025908	-0.030669
Chr01	1459533	1463348	-0.066020	-0.046735	-0.022891	-0.041856
Chr01	1463439	1466761	-0.173049	-0.155761	-0.055992	-0.109768
Chr01	1466776	1470164	-0.115172	-0.110443	-0.046778	-0.074616
Chr01	1470221	1473333	0.040288	0.030941	0.017391	0.016771
Chr01	1473364	1478852	0.126797	0.056201	0.036395	0.066801
Chr01	1478874	1485450	-0.629026	-0.588551	-0.222234	-0.377362
Chr01	1485498	1492147	-0.514205	-0.258205	-0.125524	-0.289208
Chr01	1492164	1496049	0.594476	0.427131	0.273602	0.386642
Chr01	1496064	1503661	0.062919	0.034679	0.021743	0.019763
Chr01	1503723	1510371	-0.386761	-0.303913	-0.145610	-0.187896
Chr01	1510373	1517629	-0.282594	-0.114389	-0.064334	-0.129924
Chr01	1517655	1524331	-0.014754	-0.009894	-0.006143	-0.012118
Chr01	1524340	1534634	0.000158	0.000151	0.000080	0.000281
Chr01	1534637	1537345	-0.133345	-0.218730	-0.116925	-0.072825
Chr01	1537426	1541114	-0.105096	-0.189067	-0.090614	-0.036099
Chr01	1541124	1544744	-0.145258	-0.256106	-0.119651	-0.059081
Chr01	1544779	1549438	-0.084998	-0.062695	-0.032728	-0.026438
Chr01	1549447	1555768	0.098084	0.086534	0.049308	0.052022
Chr01	1555800	1560825	-0.339751	-0.257095	-0.111588	-0.260591
Chr01	1561082	1566375	-0.421825	-0.306877	-0.145153	-0.345631
Chr01	1566471	1573743	-0.596558	-0.483808	-0.196428	-0.547398
Chr01	1573746	1583155	-0.283453	-0.097970	-0.052225	-0.238441
Chr01	1583167	1599026	-0.472496	-0.235207	-0.116319	-0.462070
Chr01	1599027	1629627	-0.859837	-0.553268	-0.273704	-0.789025
Chr01	1629645	1640199	-0.523659	-0.249829	-0.144726	-0.401023
Chr01	1640230	1649635	-0.329944	-0.178253	-0.071992	-0.266748
Chr01	1649702	1663274	0.003687	0.001114	0.000726	0.001992
Chr01	1663495	1676012	-0.372556	-0.208179	-0.119661	-0.313652
Chr01	1676155	1686201	-0.451513	-0.211965	-0.130768	-0.370154
Chr01	1686284	1688835	-0.076435	-0.132361	-0.061949	-0.040051
Chr01	1688859	1690699	-0.133713	-0.197374	-0.105457	-0.074952
Chr01	1690707	1695458	-0.528672	-0.451197	-0.199875	-0.400319
Chr01	1695465	1712458	0.005600	0.002090	0.001067	0.002297
Chr01	1712590	1732885	-0.773638	-0.419337	-0.209235	-0.760010
Chr01	1732899	1758155	-0.833009	-0.331792	-0.172656	-0.799166
Chr01	1758160	1793274	-0.405551	-0.084748	-0.051620	-0.316875
Chr01	1793348	1807187	-0.119986	-0.042407	-0.018657	-0.074935
Chr01	1807285	1825272	0.424973	0.152669	0.071570	0.366055
Chr01	1825298	1840619	-0.148542	-0.085271	-0.032985	-0.092949
Chr01	1840632	1847233	-0.037976	-0.023731	-0.015814	-0.014705
Chr01	1847235	1859142	-0.119702	-0.046672	-0.022670	-0.079393
Chr01	1859231	1867158	-0.130344	-0.049482	-0.021495	-0.044955
Chr01	1867159	1878334	-0.457603	-0.191953	-0.069061	-0.226945
Chr01	1878450	1891028	-0.497785	-0.137130	-0.073158	-0.285553
Chr01	1891497	1897465	-0.915694	-2.574539	-0.457324	-0.865860
Chr01	1897488	1905540	-0.858563	-1.424698	-0.329415	-0.775027
Chr01	1905862	1919943	-0.516729	-0.278243	-0.141237	-0.461813
Chr01	1920022	1952246	0.516263	0.205095	0.149808	0.228927
Chr01	1952278	1972971	0.628432	0.420586	0.264416	0.187782
Chr01	1973301	1984441	-0.677419	-0.384060	-0.156522	-0.375179
Chr01	1984499	1993179	-0.225305	-0.145850	-0.054574	-0.120779
Chr01	1993210	2001680	0.233452	0.138386	0.070832	0.142648
Chr01	2001804	2008721	0.504096	0.356873	0.136833	0.312368
Chr01	2008723	2022681	-0.260620	-0.063791	-0.038748	-0.173370
Chr01	2022717	2034657	0.001214	0.000557	0.000337	0.013379
Chr01	2034676	2046215	-0.356156	-0.140529	-0.099570	-0.303962
Chr01	2046295	2056058	-0.193821	-0.054861	-0.041525	-0.180868
Chr01	2056104	2071838	0.125456	0.052775	0.030744	0.082126
Chr01	2071866	2084157	0.003459	0.002842	0.001368	0.009205
Chr01	2084158	2093888	-0.184394	-0.092532	-0.057206	-0.138133
Chr01	2093932	2101991	-0.295243	-0.107839	-0.067926	-0.193644
Chr01	2102455	2117252	-0.335845	-0.090606	-0.044844	-0.200799
Chr01	2117625	2142915	0.050363	0.016145	0.010909	0.008221
Chr01	2142967	2161930	-0.166589	-0.046552	-0.035374	-0.080405
Chr01	2162014	2175721	-0.442186	-0.181435	-0.135670	-0.358397
Chr01	2175747	2185231	0.223269	0.083021	0.070266	0.206039
Chr01	2185355	2189884	-0.029796	-0.011576	-0.009059	-0.022534
Chr01	2189943	2205558	-0.281952	-0.106820	-0.080556	-0.208751
Chr01	2205635	2212144	-0.288692	-0.222040	-0.144042	-0.225273
Chr01	2212166	2218660	-0.194432	-0.103390	-0.064671	-0.114056
Chr01	2218708	2224389	0.406214	0.302427	0.141079	0.176063
Chr01	2224548	2229317	-0.330080	-0.666379	-0.183071	-0.158331
Chr01	2229542	2232325	0.109697	0.170517	0.065887	0.047296
Chr01	2232341	2237089	0.092924	0.063185	0.039664	0.021443
Chr01	2237130	2246634	0.014364	0.009177	0.006612	0.001191
Chr01	2246684	2253878	-0.141397	-0.145332	-0.069481	-0.080242
Chr01	2253881	2259795	-0.087453	-0.063897	-0.044066	-0.043797
Chr01	2259922	2264685	-0.130293	-0.131139	-0.070977	-0.050548
Chr01	2264735	2271304	0.078215	0.057103	0.046486	0.035558
Chr01	2271320	2276763	-0.222684	-0.351258	-0.206228	-0.136465
