chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	554670	729533	-0.310711	-0.253402	-0.149133	-0.188742
Superscaffold1	729675	897213	0.258235	0.201715	0.121618	0.130626
Superscaffold1	897395	1226528	0.164459	0.120032	0.068157	0.095876
Superscaffold1	1226547	1422880	0.016038	0.011515	0.006426	0.006465
Superscaffold1	1422962	1650056	0.141142	0.087509	0.052107	0.072274
Superscaffold1	1655794	1909620	0.192978	0.105312	0.058456	0.100654
Superscaffold1	1909695	2134566	0.023977	0.012981	0.005757	0.015604
Superscaffold1	2134665	2314941	0.136693	0.105097	0.057120	0.075141
Superscaffold1	2315029	2451376	0.015683	0.016569	0.009018	0.007103
Superscaffold1	2451397	2613566	0.055560	0.058327	0.030828	0.034530
Superscaffold1	2613612	2770816	-0.022099	-0.027593	-0.013453	-0.013901
Superscaffold1	2770826	2938851	0.173055	0.203497	0.084894	0.102207
Superscaffold1	2938868	3124498	0.079545	0.070846	0.038051	0.049716
Superscaffold1	3124505	3338901	0.133840	0.114374	0.061830	0.077154
Superscaffold1	3338987	3596731	0.158027	0.093135	0.052207	0.091413
Superscaffold1	3596923	3806728	0.234645	0.192120	0.088830	0.140858
Superscaffold1	3806806	4041730	0.094874	0.072525	0.033958	0.046834
Superscaffold1	4042498	4354697	0.125359	0.083927	0.047699	0.074283
Superscaffold1	4354743	4607625	0.174393	0.120328	0.064906	0.114244
Superscaffold1	4607751	4829384	-0.011455	-0.010212	-0.005756	-0.005568
Superscaffold1	4829388	5066863	0.146265	0.124544	0.066859	0.085851
Superscaffold1	5066869	5339885	0.253661	0.187918	0.099725	0.145076
Superscaffold1	5339900	5661527	0.026973	0.015097	0.009053	0.020030
Superscaffold1	5661529	5992232	0.208488	0.094034	0.063591	0.138273
Superscaffold1	5992438	6384228	-0.090771	-0.037336	-0.024348	-0.059848
Superscaffold1	6384436	6733689	0.006312	0.002768	0.001794	0.006586
Superscaffold1	6734314	7146330	-0.300542	-0.137252	-0.080875	-0.208518
Superscaffold1	7146777	7405397	-0.087487	-0.049411	-0.028075	-0.051153
Superscaffold1	7405426	7791736	0.001402	0.000593	0.000352	0.002919
Superscaffold1	7791821	8481291	0.159124	0.075075	0.043472	0.101775
Superscaffold1	8481402	9114508	0.072660	0.035971	0.022730	0.040611
Superscaffold1	9114531	9916650	0.119312	0.055310	0.036813	0.081707
Superscaffold1	9916722	10628546	-0.044193	-0.023610	-0.014390	-0.024547
Superscaffold1	10628765	10842571	0.094560	0.055248	0.034144	0.058330
Superscaffold1	10842680	11103868	0.032407	0.018605	0.010083	0.018803
Superscaffold1	11103882	11403820	-0.236901	-0.118261	-0.074914	-0.169668
Superscaffold1	11403943	11702007	-0.281993	-0.150360	-0.084242	-0.221857
Superscaffold1	11702025	11940394	0.070820	0.048024	0.026269	0.037992
Superscaffold1	11940418	12133607	0.224753	0.216345	0.122980	0.132410
Superscaffold1	12133777	12365325	0.020819	0.016182	0.007781	0.014718
Superscaffold1	12365327	12591165	0.150237	0.131463	0.071623	0.085918
