chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	219746	498859	-0.143329	-0.078274	-0.054160	-0.107888
Chr01	328048	625399	0.155627	0.078988	0.051472	0.085701
Chr01	498968	878309	0.081819	0.045782	0.026480	0.043742
Chr01	625444	1070660	-0.159972	-0.056048	-0.035954	-0.101714
Chr01	878348	1278250	-0.136366	-0.036390	-0.024081	-0.093766
Chr01	1070673	1486842	-0.066945	-0.022803	-0.014534	-0.056912
Chr01	1278253	1628513	-0.101921	-0.040521	-0.025292	-0.084024
Chr01	1487035	1711672	-0.131988	-0.063373	-0.035906	-0.088178
Chr01	1628584	1895397	-0.037088	-0.016274	-0.008071	-0.024502
Chr01	1711710	2047918	-0.112189	-0.044479	-0.021728	-0.077867
Chr01	1895615	2172992	-0.135306	-0.057685	-0.032892	-0.087094
Chr01	2048003	2253236	-0.015339	-0.007930	-0.005047	-0.010041
Chr01	2173090	2398859	0.040764	0.032140	0.018328	0.025696
Chr01	2253268	2477662	0.080922	0.074755	0.040882	0.052612
Chr01	2398924	2563956	-0.080117	-0.087072	-0.041015	-0.039170
Chr01	2477714	2652100	-0.166675	-0.201971	-0.086097	-0.094929
Chr01	2564187	2710190	-0.093579	-0.097411	-0.046804	-0.053846
Chr01	2652249	2770274	-0.140307	-0.152362	-0.068026	-0.082347
Chr01	2710201	2860061	-0.295067	-0.289849	-0.141806	-0.192159
Chr01	2770291	2955719	-0.210614	-0.185011	-0.097280	-0.126736
Chr01	2860184	3086522	0.028529	0.020476	0.010940	0.011209
Chr01	2955726	3221423	-0.038187	-0.017915	-0.010249	-0.016521
Chr01	3086537	3405277	-0.254236	-0.109407	-0.063624	-0.155522
Chr01	3221591	3533437	-0.228792	-0.108856	-0.063382	-0.165764
Chr01	3405279	3681012	0.242285	0.127413	0.078392	0.181998
Chr01	3533458	3820413	0.253634	0.152613	0.090907	0.195084
Chr01	3681065	3942242	-0.213492	-0.156936	-0.075494	-0.152586
Chr01	3820435	4064284	-0.278550	-0.213670	-0.098571	-0.189385
Chr01	3942307	4192450	-0.101566	-0.051350	-0.028986	-0.067786
Chr01	4064322	4307315	-0.071931	-0.039282	-0.021649	-0.046931
Chr01	4192494	4414481	-0.004906	-0.004046	-0.001819	0.001436
Chr01	4307472	4473567	0.018872	0.018066	0.008157	0.009593
Chr01	4414499	4595455	-0.084063	-0.053173	-0.033101	-0.049762
Chr01	4473598	4737720	-0.138149	-0.070004	-0.041376	-0.089690
Chr01	4595536	4914171	-0.262479	-0.117670	-0.067042	-0.194160
Chr01	4737780	5134728	-0.288450	-0.095500	-0.058664	-0.219472
Chr01	4914184	5363358	-0.259953	-0.071982	-0.047066	-0.180030
Chr01	5134735	5604126	-0.203264	-0.075934	-0.049239	-0.138946
Chr01	5363362	5842660	-0.081481	-0.030774	-0.019692	-0.050640
Chr01	5604151	5950296	-0.093628	-0.034408	-0.021804	-0.053267
Chr01	5842927	6101186	-0.039781	-0.019699	-0.011021	-0.024018
Chr01	5950410	6263411	0.075281	0.026496	0.017060	0.046469
Chr01	6101266	6637537	0.094450	0.021719	0.015365	0.055815
Chr01	6263700	7050757	0.144484	0.025948	0.019594	0.103587
Chr01	6637771	7245728	-0.022441	-0.005302	-0.004077	-0.014997
Chr01	7050793	7390580	-0.339173	-0.202847	-0.120895	-0.256988
Chr01	7245776	7599262	-0.315057	-0.164997	-0.093360	-0.229802
Chr01	7390581	7767562	-0.324539	-0.139536	-0.077639	-0.229329
Chr01	7599376	7920340	-0.155244	-0.069660	-0.037669	-0.116745
Chr01	7767814	8069295	-0.021707	-0.009302	-0.005396	-0.021191
Chr01	7920638	8256217	-0.103475	-0.032636	-0.019894	-0.067263
Chr01	8069388	8487824	-0.160807	-0.031314	-0.021368	-0.108340
Chr01	8256228	8647536	-0.130506	-0.031646	-0.021001	-0.097647
Chr01	8487826	8800660	-0.029443	-0.012706	-0.007218	-0.015806
Chr01	8647562	8976274	-0.082595	-0.046143	-0.025225	-0.038604
Chr01	8800705	9331619	-0.172661	-0.072978	-0.042925	-0.101613
Chr01	8976331	9495140	-0.139582	-0.057203	-0.032871	-0.102526
Chr01	9331697	9718541	-0.008116	-0.003730	-0.002123	-0.005659
Chr01	9495218	9847043	0.102750	0.054245	0.034012	0.072641
Chr01	9718663	9933324	0.053344	0.031578	0.019953	0.030680
Chr01	9847068	10035029	0.064818	0.034799	0.021988	0.042474
Chr01	9933380	10150234	0.087247	0.057341	0.031637	0.053888
Chr01	10035032	10306646	-0.070985	-0.048553	-0.023484	-0.040536
Chr01	10150281	10489656	-0.094332	-0.037470	-0.022699	-0.064529
Chr01	10306648	10943690	-0.057035	-0.021101	-0.013605	-0.038562
Chr01	10491009	11047592	-0.539962	-0.426298	-0.221990	-0.403119
Chr01	10943711	11229388	-0.601382	-0.455878	-0.210940	-0.474345
Chr01	11047597	11387519	-0.189213	-0.071518	-0.043841	-0.139743
Chr01	11229419	11530895	-0.141473	-0.049667	-0.034348	-0.103300
Chr01	11387685	11638634	-0.320471	-0.169390	-0.105733	-0.216555
Chr01	11530964	11763677	-0.170694	-0.132718	-0.066121	-0.110762
Chr01	11638657	11953942	0.016003	0.012320	0.006380	0.010189
Chr01	11763712	12092029	0.092754	0.051467	0.034824	0.054180
Chr01	11954042	12231907	-0.072730	-0.034774	-0.020273	-0.040293
Chr01	12092158	12397785	-0.293465	-0.150146	-0.071081	-0.223814
Chr01	12231949	12486003	-0.263098	-0.143837	-0.061164	-0.183045
Chr01	12397801	12762941	-0.410172	-0.193936	-0.089429	-0.305726
Chr01	12486094	12924111	-0.767412	-0.376476	-0.176263	-0.717858
Chr01	12762943	13201362	-0.743888	-0.273574	-0.147674	-0.667619
Chr01	12924534	13432262	-0.433304	-0.130118	-0.076591	-0.334150
Chr01	13202857	13624918	-0.470078	-0.199771	-0.107592	-0.376655
Chr01	13432279	13805312	-0.434352	-0.192378	-0.100778	-0.335688
Chr01	13624952	13984141	-0.293990	-0.144116	-0.067225	-0.214532
Chr01	13805323	14136306	-0.157507	-0.072262	-0.038032	-0.114801
Chr01	13984159	14283901	-0.274503	-0.126732	-0.075179	-0.194219
Chr01	14136307	14436097	-0.420344	-0.155541	-0.095961	-0.332033
Chr01	14283908	14598082	-0.554033	-0.238023	-0.129747	-0.473509
Chr01	14436250	14711305	-0.376998	-0.191211	-0.105834	-0.315716
Chr01	14598137	14849849	-0.067177	-0.026152	-0.016703	-0.049713
Chr01	14711306	14966636	-0.347638	-0.147806	-0.081693	-0.257527
Chr01	14849864	15114904	-0.387055	-0.181170	-0.096601	-0.277225
Chr01	14966836	15260092	-0.332620	-0.152795	-0.074326	-0.227283
Chr01	15115094	15401331	-0.432664	-0.265886	-0.108461	-0.304890
Chr01	15260189	15588111	-0.408880	-0.213824	-0.099528	-0.292152
Chr01	15402925	15734276	-0.332014	-0.145399	-0.077393	-0.223115
Chr01	15588125	16199325	-0.087434	-0.030616	-0.020101	-0.050642
Chr01	15735179	16335857	0.071920	0.023211	0.015039	0.049811
Chr01	16199401	16480662	-0.032114	-0.016264	-0.008495	-0.014310
Chr01	16335886	16624149	-0.206895	-0.117754	-0.058653	-0.126832
Chr01	16481177	16827385	-0.250220	-0.117425	-0.061085	-0.173353
Chr01	16624170	17009097	-0.143959	-0.051629	-0.030497	-0.108331
Chr01	16827487	17174702	-0.098719	-0.029492	-0.018691	-0.076544
Chr01	17009114	17344083	-0.371033	-0.129130	-0.071885	-0.289092
Chr01	17174897	17467891	-0.442129	-0.255859	-0.111959	-0.295072
Chr01	17344251	17551160	-0.315222	-0.336479	-0.124725	-0.175118
Chr01	17467910	17717555	-0.204662	-0.134117	-0.066835	-0.130532
Chr01	17551180	17889700	-0.226526	-0.113417	-0.061546	-0.147711
Chr01	17717592	18116659	-0.431822	-0.235267	-0.122364	-0.311806
Chr01	17890181	18257780	-0.458677	-0.242912	-0.130138	-0.344444
Chr01	18116816	18440348	-0.356480	-0.167593	-0.094062	-0.263680
