chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	536069	674981	-0.059383	-0.068110	-0.038597	-0.034073
Superscaffold1	675057	838344	0.302321	0.283987	0.160046	0.184516
Superscaffold1	838345	1139795	0.129581	0.117161	0.057471	0.063663
Superscaffold1	1139875	1320919	0.202243	0.166931	0.090969	0.096555
Superscaffold1	1320956	1495753	0.261213	0.170190	0.092821	0.105176
Superscaffold1	1495759	1809685	0.223139	0.115968	0.070914	0.092900
Superscaffold1	1809692	1958745	0.081710	0.070429	0.028328	0.044217
Superscaffold1	1958753	2128060	0.122403	0.071221	0.029832	0.082132
Superscaffold1	2128073	2284983	0.094347	0.080335	0.040482	0.052136
Superscaffold1	2284985	2427462	0.012406	0.014605	0.007393	0.005837
Superscaffold1	2427481	2563236	0.048261	0.067179	0.033341	0.025619
Superscaffold1	2563824	2705693	-0.032881	-0.047523	-0.021077	-0.018994
Superscaffold1	2705705	2806833	0.019616	0.034647	0.013680	0.013040
Superscaffold1	2806857	2983864	0.050850	0.067329	0.023676	0.028497
Superscaffold1	2983886	3167508	-0.016566	-0.019448	-0.009191	-0.012616
Superscaffold1	3167519	3344420	-0.014252	-0.014961	-0.006925	-0.005023
Superscaffold1	3344519	3559882	0.046833	0.029623	0.015336	0.028267
Superscaffold1	3559891	3747857	0.194699	0.202484	0.092543	0.110874
Superscaffold1	3747860	3954553	0.214435	0.186180	0.075417	0.111462
Superscaffold1	3954576	4184361	0.161937	0.164528	0.067606	0.092119
Superscaffold1	4184410	4447882	0.085994	0.072783	0.035539	0.052028
Superscaffold1	4447929	4650988	0.251687	0.245783	0.120128	0.180799
Superscaffold1	4651578	4860928	-0.108475	-0.122193	-0.063522	-0.057514
Superscaffold1	4860977	5075763	0.093694	0.093620	0.044426	0.052996
Superscaffold1	5075787	5293926	0.335956	0.290631	0.146540	0.207945
Superscaffold1	5293932	5582441	0.129557	0.068497	0.041538	0.069034
Superscaffold1	5582637	5822586	0.041092	0.023376	0.014372	0.030784
Superscaffold1	5822823	6117236	0.289321	0.157876	0.102651	0.180785
Superscaffold1	6117313	6437230	-0.029621	-0.015312	-0.009300	-0.018493
Superscaffold1	6437335	6786887	0.048523	0.022931	0.014358	0.034819
Superscaffold1	6786892	7167406	-0.318516	-0.156825	-0.087856	-0.219752
Superscaffold1	7167432	7373114	-0.131923	-0.097576	-0.048499	-0.078064
Superscaffold1	7373143	7693689	0.033655	0.021270	0.011817	0.016756
Superscaffold1	7693696	8053066	0.041462	0.018661	0.010369	0.017098
Superscaffold1	8053788	8542520	0.030675	0.016003	0.008708	0.018600
Superscaffold1	8542560	9224823	0.059912	0.036614	0.022103	0.027377
Superscaffold1	9224993	9932772	0.094726	0.046784	0.030307	0.063164
Superscaffold1	9933059	10607002	0.017672	0.010183	0.006039	0.011066
Superscaffold1	10607007	10802465	-0.018246	-0.014107	-0.007668	-0.012078
Superscaffold1	10802764	11016161	0.113682	0.079900	0.040486	0.070091
Superscaffold1	11016349	11269224	-0.123057	-0.058527	-0.036213	-0.085505
Superscaffold1	11269319	11515835	-0.471890	-0.345329	-0.198256	-0.358792
Superscaffold1	11516055	11786540	-0.016954	-0.008121	-0.004334	-0.010345
Superscaffold1	11786616	11976246	-0.008162	-0.005906	-0.003438	-0.004084
Superscaffold1	11976256	12163510	0.084826	0.092637	0.046222	0.048305
Superscaffold1	12163540	12428803	0.029914	0.024774	0.011563	0.018930
Superscaffold1	12428869	12630260	0.187205	0.126974	0.072665	0.098782
Superscaffold1	12630297	12902534	-0.217841	-0.123536	-0.059989	-0.153935
Superscaffold1	12902603	13240978	0.280360	0.121268	0.070682	0.224050
Superscaffold1	13240998	13630912	0.621139	0.517840	0.238187	0.443474
Superscaffold1	13630932	13951644	-0.123294	-0.075086	-0.035388	-0.071707
Superscaffold1	13951750	14411301	-0.175769	-0.082522	-0.046458	-0.119381
Superscaffold1	14411302	14763937	0.075155	0.029168	0.017112	0.047073
Superscaffold1	14763960	14949829	-0.029973	-0.018578	-0.009874	-0.014771
Superscaffold1	14950038	15158795	0.272106	0.155479	0.095029	0.157975
