chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	243077	563826	-0.237432	-0.132663	-0.079670	-0.152721
Chr01	405838	836909	-0.108411	-0.054902	-0.034538	-0.080909
Chr01	563839	1055220	0.043913	0.015485	0.010745	0.026214
Chr01	837157	1203449	-0.101577	-0.031177	-0.020997	-0.070202
Chr01	1055555	1452536	-0.035317	-0.013945	-0.008406	-0.021612
Chr01	1203454	1544099	0.155924	0.074376	0.044858	0.116403
Chr01	1452569	1686162	0.121391	0.054482	0.034347	0.096910
Chr01	1544100	1868147	-0.083733	-0.035535	-0.018213	-0.056938
Chr01	1686202	2052038	-0.273107	-0.126150	-0.055467	-0.192074
Chr01	1868193	2222797	-0.094826	-0.041876	-0.022007	-0.070186
Chr01	2052039	2376504	0.105075	0.050507	0.031130	0.060037
Chr01	2222815	2505773	0.050600	0.029737	0.019007	0.037277
Chr01	2376516	2642450	0.013691	0.008851	0.005598	0.019887
Chr01	2505857	2736652	0.058082	0.033092	0.020489	0.044455
Chr01	2642458	2827914	-0.001402	-0.000830	-0.000490	0.000683
Chr01	2736660	3034136	-0.029660	-0.013628	-0.008801	-0.019107
Chr01	2828250	3194472	0.056838	0.020248	0.014076	0.034432
Chr01	3034154	3402531	0.010619	0.003406	0.002244	0.007864
Chr01	3194705	3589270	0.029874	0.009604	0.006076	0.017468
Chr01	3402544	3788621	0.047301	0.018587	0.011166	0.029113
Chr01	3589391	4002164	0.032173	0.014716	0.007982	0.024533
Chr01	3788679	4198321	0.086145	0.039061	0.021685	0.070177
Chr01	4002210	4328558	0.030640	0.014832	0.008783	0.026674
Chr01	4198964	4470992	-0.069495	-0.040871	-0.022199	-0.039371
Chr01	4328605	4609968	0.039629	0.021833	0.012620	0.023194
Chr01	4471061	4813843	0.201712	0.092701	0.054711	0.140746
Chr01	4609972	4978666	0.161022	0.065053	0.040999	0.122999
Chr01	4813875	5177807	-0.192521	-0.078936	-0.050354	-0.146317
Chr01	4979244	5490158	-0.192726	-0.083789	-0.050022	-0.135898
Chr01	5177934	5631387	-0.062262	-0.032852	-0.019765	-0.039708
Chr01	5490171	5798417	-0.229786	-0.138700	-0.077185	-0.153047
Chr01	5631488	5935827	-0.219443	-0.139089	-0.074117	-0.140127
Chr01	5798477	6105833	-0.016225	-0.008254	-0.004631	-0.009428
Chr01	5935830	6267921	0.165228	0.070832	0.045294	0.132565
Chr01	6105967	6550473	-0.034521	-0.015572	-0.010373	-0.031371
Chr01	6268019	6827177	0.312651	0.093897	0.071068	0.260977
Chr01	6550865	7113521	0.577768	0.125515	0.104679	0.470384
Chr01	6827187	7351883	-0.057444	-0.017071	-0.012386	-0.035024
Chr01	7113553	7553833	-0.069644	-0.031897	-0.018744	-0.048037
Chr01	7352061	7765629	0.135793	0.048840	0.029423	0.102665
Chr01	7553983	7906279	0.044500	0.016173	0.009637	0.031636
Chr01	7765678	8002315	-0.150078	-0.077726	-0.044025	-0.111220
Chr01	7906295	8128247	-0.095027	-0.062355	-0.033591	-0.065497
Chr01	8002362	8316129	0.246200	0.098728	0.062342	0.166921
