chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	57533	70240	0.307367	0.148452	0.115787	0.248672
Chr01	70256	78094	0.297160	0.287246	0.179766	0.209168
Chr01	78108	82141	0.175256	0.208486	0.162721	0.128422
Chr01	82178	133681	-0.023359	-0.020068	-0.009499	-0.016147
Chr01	133842	150130	0.029015	0.018623	0.007413	0.008547
Chr01	150379	156250	-0.300805	-0.330976	-0.096136	-0.060430
Chr01	156371	167032	0.010153	0.016065	0.005666	0.006674
Chr01	167059	183232	-0.024930	-0.050396	-0.024472	-0.006957
Chr01	183261	185820	0.109395	0.267117	0.159467	0.057666
Chr01	185834	190997	0.123703	0.312998	0.148957	0.061134
Chr01	191071	202711	0.074260	0.111180	0.068926	0.035679
Chr01	202777	205982	0.092761	0.169120	0.071482	0.026889
Chr01	206003	209309	-0.056765	-0.105731	-0.042790	-0.026634
Chr01	209313	212486	0.131855	0.255226	0.122253	0.064473
Chr01	212524	216299	0.075268	0.092892	0.054461	0.044534
Chr01	216303	218156	0.006531	0.016675	0.005734	-0.005940
Chr01	218203	220426	0.047760	0.097174	0.042678	0.022817
Chr01	220433	224982	0.165004	0.256626	0.155645	0.089416
Chr01	225005	229713	-0.131253	-0.440837	-0.143351	-0.061759
Chr01	229960	235108	0.012815	0.032792	0.014301	0.004552
Chr01	235233	238905	-0.309807	-0.942192	-0.285756	-0.182775
Chr01	238954	246363	-0.088804	-0.106337	-0.051042	-0.046986
Chr01	246365	249775	-0.039728	-0.085545	-0.039699	-0.013353
Chr01	249783	252790	-0.051298	-0.130006	-0.054314	-0.017489
Chr01	252802	255418	-0.095627	-0.287676	-0.102296	-0.039021
Chr01	255424	258080	-0.266140	-1.231580	-0.221684	-0.127323
Chr01	258108	261266	-0.374268	-1.967357	-0.313702	-0.222200
Chr01	261273	263021	-0.322302	56.298755	-0.272384	-0.146031
Chr01	263044	264589	-0.287087	-3.513789	-0.271410	-0.143663
Chr01	264610	269604	-0.127388	-0.253110	-0.106371	-0.091303
Chr01	269615	274530	0.083327	0.139316	0.064319	0.050617
Chr01	274534	276429	0.103259	0.181195	0.059622	0.050602
Chr01	276434	284156	-0.065778	-0.139790	-0.048766	-0.024493
Chr01	284209	306857	-0.156203	-0.117649	-0.057608	-0.083358
Chr01	306891	311931	0.353131	0.372371	0.287956	0.259553
Chr01	312041	318471	0.204014	0.333795	0.162438	0.087461
Chr01	318529	327616	0.149448	0.146955	0.106043	0.079559
Chr01	328251	342682	0.229138	0.157236	0.115116	0.073291
Chr01	342736	351622	0.155780	0.165605	0.120331	0.088455
Chr01	351627	369789	-0.228695	-0.179826	-0.124054	-0.140138
Chr01	369797	387949	0.089223	0.062359	0.047952	0.049471
Chr01	388040	392178	0.055064	0.049498	0.037452	0.029218
Chr01	392290	400579	-0.023132	-0.032149	-0.017518	-0.011208
Chr01	400601	404446	0.020167	0.091057	0.028242	0.009708
Chr01	404448	415805	0.081450	0.069705	0.032196	0.042422
Chr01	416015	425559	0.473630	0.323035	0.236990	0.323781
Chr01	425563	432157	0.384794	0.495731	0.228810	0.193568
Chr01	432173	438698	0.340939	0.442567	0.170349	0.159695
Chr01	438772	446894	-0.031479	-0.009135	-0.006908	-0.008907
Chr01	446984	452361	-0.132012	-0.097925	-0.063535	-0.073108
Chr01	452371	464568	-0.355615	-0.360716	-0.211066	-0.188830
Chr01	464594	467276	-0.544944	-0.579412	-0.331368	-0.365117
Chr01	467303	477832	-0.503032	-0.717507	-0.338173	-0.336980
Chr01	477947	480412	-0.481610	-0.559241	-0.311381	-0.355153
Chr01	480438	485639	-0.476619	-0.538203	-0.288853	-0.348017
Chr01	485668	493776	-0.009632	-0.008429	-0.004387	-0.003629
Chr01	493919	498059	-0.261756	-0.092046	-0.063962	-0.133688
Chr01	498063	508785	-0.347323	-0.401379	-0.177498	-0.240600
Chr01	508954	515319	-0.534815	-0.609960	-0.215393	-0.242471
Chr01	515320	519811	-0.354098	-0.482486	-0.154396	-0.195937
Chr01	519842	524711	0.221616	0.317138	0.117289	0.140873
Chr01	524743	528851	0.289783	0.410314	0.149557	0.193357
Chr01	528876	534373	-0.118935	-0.313469	-0.047762	-0.040735
Chr01	534442	551211	-0.611968	-1.865870	-0.208742	-0.310511
Chr01	551220	559888	-0.083993	-0.077430	-0.025990	-0.049692
Chr01	559903	567503	0.048499	0.035446	0.016930	0.034564
Chr01	567513	575615	0.417565	0.354640	0.197735	0.255749
Chr01	575632	578066	0.367754	0.321020	0.198345	0.176293
Chr01	578077	588158	0.447847	0.357754	0.242417	0.334959
Chr01	588163	604406	0.549995	0.386298	0.255507	0.409880
Chr01	604438	610726	0.637625	0.411025	0.323852	0.460874
Chr01	610727	620025	-0.031355	-0.026763	-0.015094	-0.006411
Chr01	620143	626224	0.080902	0.090240	0.046037	0.028634
Chr01	626294	630822	-0.128482	-0.125096	-0.066605	-0.043344
Chr01	630917	638905	0.280818	0.128534	0.091821	0.080482
Chr01	638935	649057	0.122993	0.081230	0.044237	0.045087
Chr01	649100	652795	0.107989	0.078421	0.050183	0.030566
Chr01	652839	656741	-0.129984	-0.168158	-0.071095	-0.043788
Chr01	656846	660524	0.174397	0.089590	0.064238	0.102154
Chr01	660626	670427	0.291424	0.117096	0.095079	0.156982
Chr01	670451	682170	-0.072941	-0.047684	-0.027767	-0.006804
Chr01	682251	698598	-0.511885	-0.420628	-0.186601	-0.270036
Chr01	698626	713176	-0.609336	-0.488660	-0.208564	-0.433578
Chr01	713200	759045	-0.408902	-0.422498	-0.187483	-0.269778
Chr01	759116	798948	0.063322	0.041635	0.024179	0.038932
Chr01	799026	822545	-0.103481	-0.095719	-0.058845	-0.046156
Chr01	822751	836145	-0.256231	-0.119190	-0.072356	-0.105215
Chr01	836146	847605	-0.721364	-0.212792	-0.120747	-0.310927
Chr01	847771	855131	-0.775495	-0.419166	-0.153204	-0.358224
Chr01	855197	863778	0.004177	0.002816	0.001225	0.008372
Chr01	863860	870128	-0.192732	-0.162123	-0.061959	-0.097416
Chr01	870350	880660	-0.274786	-0.141970	-0.081880	-0.134884
Chr01	880730	894736	-0.342734	-0.476614	-0.196809	-0.192270
Chr01	894743	903107	-0.190471	-0.184940	-0.091205	-0.091630
Chr01	903114	909430	-0.396104	-0.444152	-0.197212	-0.290130
Chr01	909448	929028	-0.245292	-0.159331	-0.115268	-0.143148
Chr01	929114	935031	-0.448848	-0.270976	-0.194802	-0.415981
Chr01	935109	947664	-0.124062	-0.041443	-0.029115	-0.047087
Chr01	947666	965632	-0.234848	-0.099391	-0.056627	-0.102166
Chr01	965757	973897	-0.067476	-0.072607	-0.022182	-0.042370
Chr01	973977	981305	-0.002535	-0.001839	-0.000929	0.005366
Chr01	981345	994653	-0.314728	-0.181452	-0.076216	-0.120885
Chr01	994754	1002377	-0.307307	-0.202031	-0.097568	-0.152689
Chr01	1002498	1011142	-0.123465	-0.083987	-0.038592	-0.058098
Chr01	1011149	1017248	0.354919	0.222788	0.136869	0.179674
Chr01	1017505	1027726	0.118475	0.050670	0.031781	0.061431
Chr01	1027743	1031912	-0.114520	-0.056570	-0.032146	-0.041058
Chr01	1031955	1037704	-0.474677	-0.127345	-0.078499	-0.193011
Chr01	1037845	1044976	-0.191350	-0.170128	-0.084367	-0.063151
Chr01	1044994	1052384	-0.256140	-0.200010	-0.092669	-0.086321
Chr01	1052417	1062322	-0.526002	-0.255917	-0.131172	-0.319030
Chr01	1062577	1074357	-0.251991	-0.095638	-0.053414	-0.072983
Chr01	1074619	1088595	0.023501	0.007302	0.005244	0.008992
