chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	561506	741538	0.180462	0.166216	0.115196	0.080440
Superscaffold1	741590	902827	0.041782	0.032717	0.019603	0.020148
Superscaffold1	902914	1239571	0.055929	0.036177	0.024400	0.024228
Superscaffold1	1239574	1423265	0.016539	0.016179	0.009500	0.005909
Superscaffold1	1423292	1668437	0.138434	0.123058	0.073561	0.059839
Superscaffold1	1671728	1923635	-0.086437	-0.057098	-0.033388	-0.028054
Superscaffold1	1923932	2226869	-0.150467	-0.065307	-0.037601	-0.052383
Superscaffold1	2226904	2390651	-0.125494	-0.113499	-0.068104	-0.058908
Superscaffold1	2390682	2567772	0.060095	0.049911	0.030490	0.029435
Superscaffold1	2567831	2761766	0.019010	0.018116	0.010063	0.011682
Superscaffold1	2761820	2890825	0.129085	0.173254	0.075803	0.060240
Superscaffold1	2890827	3075301	-0.112798	-0.155939	-0.060688	-0.054975
Superscaffold1	3075524	3238340	0.078232	0.078694	0.040562	0.032751
Superscaffold1	3238413	3464647	0.062921	0.051072	0.030998	0.026159
Superscaffold1	3465003	3672242	-0.016283	-0.013382	-0.008411	-0.005485
Superscaffold1	3672247	3941959	-0.089164	-0.074440	-0.038435	-0.033281
Superscaffold1	3942016	4185570	-0.098858	-0.076351	-0.042422	-0.041419
Superscaffold1	4185584	4440819	0.018120	0.013807	0.008047	0.013974
Superscaffold1	4440820	4659163	0.114566	0.087545	0.052673	0.052968
Superscaffold1	4659223	4895500	-0.076960	-0.066187	-0.040360	-0.035439
Superscaffold1	4895556	5204310	-0.126762	-0.076521	-0.047962	-0.077169
Superscaffold1	5204372	5470868	-0.229883	-0.192668	-0.106688	-0.143955
Superscaffold1	5470876	5684909	-0.170676	-0.146565	-0.084143	-0.096987
Superscaffold1	5684967	5901725	-0.258165	-0.164126	-0.101293	-0.124398
Superscaffold1	5901884	6190992	-0.144003	-0.098668	-0.058118	-0.081397
Superscaffold1	6190993	6399546	-0.133796	-0.091622	-0.054505	-0.062174
Superscaffold1	6399581	6689048	-0.240115	-0.134132	-0.084230	-0.126235
Superscaffold1	6689173	6991055	-0.317718	-0.158697	-0.105619	-0.140166
Superscaffold1	6991296	7268030	-0.293283	-0.166229	-0.100113	-0.146599
Superscaffold1	7268204	7561785	-0.061824	-0.037959	-0.023453	-0.034092
Superscaffold1	7561936	7946979	0.042547	0.039146	0.022220	0.018297
Superscaffold1	7946990	8555177	0.043318	0.026904	0.017676	0.018565
Superscaffold1	8555187	9471761	0.019720	0.011905	0.007850	0.007723
Superscaffold1	9471859	10171122	0.066024	0.045159	0.029138	0.036783
Superscaffold1	10171384	10664713	-0.041989	-0.035624	-0.020710	-0.026534
Superscaffold1	10664722	10834771	-0.058705	-0.058673	-0.036650	-0.028500
Superscaffold1	10834799	11079174	-0.053940	-0.039391	-0.021698	-0.022796
Superscaffold1	11079190	11330252	-0.085869	-0.045208	-0.032599	-0.030792
Superscaffold1	11330266	11539469	-0.133568	-0.059069	-0.045015	-0.048537
Superscaffold1	11539521	11746502	-0.123681	-0.092392	-0.052829	-0.033532
Superscaffold1	11746528	11976275	-0.188526	-0.164075	-0.093465	-0.094686
Superscaffold1	11976326	12255812	-0.059915	-0.037465	-0.023693	-0.029468
Superscaffold1	12255865	12499294	0.090500	0.087449	0.052344	0.046981
Superscaffold1	12501295	12837970	-0.009725	-0.004098	-0.002795	-0.008176
Superscaffold1	12838011	13268083	-0.153607	-0.053615	-0.038380	-0.071872
Superscaffold1	13268086	13780044	-0.221346	-0.089811	-0.061528	-0.128042
Superscaffold1	13780079	14319689	-0.232632	-0.089939	-0.060038	-0.119993
Superscaffold1	14319705	14696092	0.080716	0.037506	0.022730	0.040291
Superscaffold1	14696161	14928954	0.084811	0.054460	0.033802	0.044521
Superscaffold1	14928984	15186124	0.428803	0.311959	0.192253	0.341916
Superscaffold1	15186137	15447566	0.254262	0.157445	0.088663	0.169574
Superscaffold1	15447570	15714121	-0.039176	-0.021993	-0.013215	-0.022968
Superscaffold1	15714262	15963982	-0.250427	-0.128528	-0.072983	-0.129153
Superscaffold1	15964011	16222076	-0.228074	-0.170960	-0.075900	-0.118683
Superscaffold1	16222166	16474262	-0.319701	-0.203386	-0.116646	-0.189557
Superscaffold1	16474279	16720974	-0.047491	-0.047174	-0.025466	-0.021409
Superscaffold1	16720994	16960405	-0.061664	-0.054927	-0.034235	-0.023524
Superscaffold1	16960441	17229755	0.082094	0.081406	0.043701	0.034644
Superscaffold1	17229758	17552204	-0.065013	-0.033483	-0.022478	-0.025270
Superscaffold1	17553578	18185898	-0.050939	-0.031287	-0.018398	-0.022800
Superscaffold1	18185950	18377422	-0.105512	-0.115980	-0.060419	-0.045460
Superscaffold1	18377423	18730807	-0.145864	-0.095424	-0.052656	-0.076402
Superscaffold1	18730809	19064540	-0.038078	-0.023395	-0.016216	-0.015016
Superscaffold1	19064559	19260502	-0.060819	-0.034037	-0.023485	-0.041426
Superscaffold1	19260884	19674845	-0.135375	-0.060610	-0.045741	-0.068255
Superscaffold1	19674915	19950236	-0.182532	-0.070732	-0.053247	-0.096052
Superscaffold1	19950319	20185503	-0.100638	-0.073299	-0.041438	-0.052869
Superscaffold1	20185803	20496079	0.022931	0.014941	0.008997	0.014858
Superscaffold1	20496143	21103516	0.004272	0.002068	0.001133	0.002637
Superscaffold1	21103533	21337007	-0.128401	-0.062523	-0.039231	-0.074615
Superscaffold1	21337035	21592502	-0.048996	-0.038518	-0.018557	-0.017995
Superscaffold1	21592515	21886221	0.001739	0.000977	0.000668	0.001264
Superscaffold1	21886629	22179029	0.037926	0.026788	0.015470	0.020616
Superscaffold1	22179036	22535441	0.059101	0.025519	0.017394	0.025696
Superscaffold1	22535504	23137683	0.242541	0.056965	0.041581	0.147369
Superscaffold1	23138006	23684945	0.147752	0.043000	0.029999	0.076900
Superscaffold1	23684956	24007574	-0.058582	-0.030659	-0.019996	-0.031142
Superscaffold1	24007593	24283129	-0.453858	-0.631743	-0.258766	-0.321741
Superscaffold1	24283187	24673749	-0.026012	-0.010404	-0.007441	-0.016254
Superscaffold1	24673859	24990565	0.110447	0.059913	0.038372	0.060071
Superscaffold1	24990613	25414171	-0.167789	-0.081941	-0.048570	-0.111333
Superscaffold1	25414178	25649238	-0.115769	-0.060951	-0.042425	-0.041838
Superscaffold1	25649433	25835863	0.042314	0.033318	0.022173	0.018366
Superscaffold1	25835912	26079367	-0.125442	-0.100814	-0.065252	-0.059790
Superscaffold1	26079402	26284861	-0.091798	-0.047255	-0.025973	-0.034060
Superscaffold1	26284959	26501343	-0.132186	-0.071112	-0.044839	-0.058107
Superscaffold1	26501350	26816916	-0.718106	-0.674107	-0.294805	-0.546710
Superscaffold1	26816927	27052393	-0.502544	-0.265420	-0.136693	-0.327379
Superscaffold1	27052428	27244321	-0.277534	-0.343525	-0.101882	-0.144211
Superscaffold1	27244351	27405279	-0.451504	-1.163452	-0.279092	-0.256616
Superscaffold1	27405437	27653348	-0.200077	-0.128370	-0.069858	-0.086868
Superscaffold1	27653386	27873445	0.024398	0.023674	0.013159	0.006897
Superscaffold1	27873454	28031119	-0.058708	-0.071247	-0.032267	-0.022017
Superscaffold1	28031125	28217092	-0.095750	-0.110335	-0.055028	-0.063186
Superscaffold1	28217103	28430779	-0.014125	-0.013019	-0.007168	-0.006360
Superscaffold1	28430858	28702977	-0.354759	-0.517943	-0.258447	-0.213243
Superscaffold1	28703059	29003270	-0.163299	-0.106697	-0.057112	-0.079927
Superscaffold1	29003335	29283668	-0.411394	-0.264386	-0.139737	-0.236015
Superscaffold1	29283796	29547585	-0.267078	-0.139129	-0.082384	-0.158866
Superscaffold1	29547599	29832817	0.383746	0.195382	0.123129	0.230928
Superscaffold1	29832954	30111647	-0.090087	-0.058354	-0.033630	-0.047732
Superscaffold1	30111654	30335049	-0.126179	-0.196888	-0.081665	-0.065239
Superscaffold1	30335076	30821706	-0.134416	-0.081025	-0.049593	-0.061342
Superscaffold1	30821747	31050437	-0.696172	-1.091515	-0.363849	-0.512127
Superscaffold1	31050482	31257367	0.052222	0.026556	0.016293	0.025384
Superscaffold1	31257416	31646389	-0.308197	-0.133501	-0.086641	-0.137011
Superscaffold1	31646425	31995130	-0.161481	-0.144722	-0.080744	-0.107057
Superscaffold1	31996716	32366906	-0.094623	-0.046630	-0.030111	-0.042935
Superscaffold1	32367016	32697404	0.281037	0.151703	0.101107	0.157625
Superscaffold1	32697407	33061148	-0.049046	-0.027139	-0.018494	-0.032856
Superscaffold1	33062990	33393219	0.007117	0.003555	0.002309	0.000109
Superscaffold1	33393281	33518447	-0.041184	-0.030592	-0.018811	-0.029303
Superscaffold1	33518461	33760380	0.085893	0.056124	0.037246	0.048086
Superscaffold1	33760394	33910765	0.038793	0.036393	0.023644	0.016844
Superscaffold1	33910823	34121193	-0.313587	-0.155899	-0.097649	-0.193466
Superscaffold1	34121204	34383570	-0.137234	-0.077053	-0.050829	-0.076089
Superscaffold1	34383582	34793455	0.090862	0.038246	0.026630	0.043746
Superscaffold1	34793509	35186692	-0.289401	-0.158727	-0.103983	-0.163989
Superscaffold1	35186723	35800621	-0.168916	-0.097393	-0.060491	-0.104026
Superscaffold1	35800710	36481548	-0.132337	-0.071535	-0.043224	-0.075943
Superscaffold1	36481593	36995818	-0.307080	-0.125102	-0.085824	-0.164079
Superscaffold1	36995926	37185719	-0.221080	-0.192690	-0.109420	-0.122475
Superscaffold1	37185742	37457230	-0.197622	-0.087164	-0.062926	-0.099233
Superscaffold1	37457231	37684060	0.051366	0.028239	0.016782	0.034420
Superscaffold1	37684094	38164729	-0.091047	-0.083398	-0.047056	-0.050023
Superscaffold1	38164828	38436721	-0.364148	-0.155278	-0.101289	-0.163709
Superscaffold1	38436762	38634228	-0.380956	-0.174584	-0.120727	-0.180377
Superscaffold1	38634235	38919423	-0.118669	-0.047470	-0.036198	-0.053383
Superscaffold1	38919451	39116902	-0.065607	-0.024257	-0.018618	-0.031030
Superscaffold1	39117078	39379024	-0.112020	-0.040970	-0.024969	-0.056858
Superscaffold1	39379026	39695397	-0.084832	-0.041178	-0.026605	-0.054785
Superscaffold1	39695473	39964053	-0.407052	-0.108892	-0.080089	-0.228554
Superscaffold1	39964062	40165023	-0.179379	-0.113432	-0.074680	-0.085722
Superscaffold1	40165287	40498829	0.094421	0.036847	0.029392	0.037372
Superscaffold1	40498920	40849743	0.006446	0.003809	0.002523	0.002595
Superscaffold1	40850370	41259632	-0.629013	-0.439987	-0.203292	-0.467990
Superscaffold1	41259897	41614371	-0.004440	-0.001995	-0.001336	-0.001631
Superscaffold1	41614538	42028264	0.340399	0.127375	0.074611	0.281131
Superscaffold1	42028485	42464331	-0.402238	-0.222912	-0.128297	-0.282411
Superscaffold1	42464419	42961899	0.067641	0.023061	0.015517	0.040358
Superscaffold1	42962513	43782759	-0.199363	-0.035291	-0.025160	-0.128236
Superscaffold1	43782880	44470369	0.037836	0.005929	0.004319	0.017928
Superscaffold1	44470405	45090574	0.005638	0.002383	0.001551	0.002103
Superscaffold1	45090780	45697668	-0.025579	-0.009293	-0.006954	-0.018162
Superscaffold1	45697689	47280505	-0.100177	-0.009563	-0.008274	-0.063246
Superscaffold1	47280513	48138134	0.064061	0.008828	0.007803	0.037530
Superscaffold1	48138172	48678526	-0.112512	-0.019896	-0.014384	-0.065534
Superscaffold1	48678527	49266082	0.037988	0.012338	0.009479	0.019736
Superscaffold1	49266096	49812072	0.079611	0.027443	0.019661	0.030344
Superscaffold1	49822029	50105572	0.257246	0.087400	0.055228	0.045146
Superscaffold1	50105631	50309672	0.357342	0.234053	0.126744	0.141606
Superscaffold1	50309693	50486312	-0.435180	-0.675738	-0.280236	-0.304023
Superscaffold1	50486490	50876160	0.135749	0.126708	0.079336	0.087999
Superscaffold1	50876174	51097943	-0.137028	-0.167433	-0.097732	-0.074829
Superscaffold1	51097987	51722209	0.067767	0.059882	0.038270	0.030370
Superscaffold2	308394	552264	-0.396089	-0.415244	-0.209399	-0.230607
Superscaffold2	552265	786574	-0.235361	-0.143465	-0.082838	-0.127402
Superscaffold2	786774	1086655	-0.467256	-0.262728	-0.161344	-0.333263
Superscaffold2	1086836	1365172	-0.443056	-0.187615	-0.128945	-0.238080
Superscaffold2	1365204	1593884	-0.431042	-0.386718	-0.203746	-0.280451
Superscaffold2	1593991	1919664	-0.442667	-0.228817	-0.130985	-0.299030
Superscaffold2	1919688	2233105	0.179981	0.091388	0.062588	0.087836
Superscaffold2	2233171	2470826	-0.236143	-0.111629	-0.075918	-0.105190
Superscaffold2	2470834	3059359	0.152968	0.084355	0.055550	0.083889
Superscaffold2	3059472	3599910	-0.128449	-0.090306	-0.046379	-0.063911
Superscaffold2	3599951	3992924	-0.018854	-0.008989	-0.005184	-0.007121
Superscaffold2	3993026	4402642	-0.094882	-0.052246	-0.030566	-0.052636
Superscaffold2	4402665	4819178	-0.114006	-0.038835	-0.025335	-0.055697
Superscaffold2	4819189	5007620	-0.245797	-0.171815	-0.104281	-0.141589
Superscaffold2	5007668	5359687	-0.238392	-0.164215	-0.096254	-0.121088
Superscaffold2	5359709	5736731	0.025368	0.013255	0.007945	0.009336
Superscaffold2	5736737	6247332	-0.060381	-0.026061	-0.016143	-0.026472
Superscaffold2	6247333	6548661	-0.295117	-0.176714	-0.102889	-0.159131
Superscaffold2	6548790	7353547	0.160796	0.035973	0.027167	0.092560
Superscaffold2	7353564	7614602	0.060639	0.036425	0.023817	0.041697
Superscaffold2	7614648	7963861	-0.192808	-0.078402	-0.051118	-0.084814
Superscaffold2	7963924	8298100	-0.089960	-0.044075	-0.029139	-0.044479
Superscaffold2	8298172	8731624	-0.155202	-0.054519	-0.040145	-0.076737
Superscaffold2	8731676	9190637	-0.086173	-0.045237	-0.029141	-0.044940
Superscaffold2	9190643	9675939	-0.074783	-0.042460	-0.026622	-0.042931
Superscaffold2	9675988	10069867	-0.235402	-0.108380	-0.067345	-0.141193
Superscaffold2	10069969	10442602	-0.178368	-0.091780	-0.058422	-0.098678
Superscaffold2	10442603	10700838	-0.086093	-0.052306	-0.033431	-0.043819
Superscaffold2	10700908	11106785	-0.138480	-0.066448	-0.037985	-0.082092
Superscaffold2	11106791	11586134	-0.083116	-0.034056	-0.023165	-0.043351
Superscaffold2	11586346	12399878	-0.003388	-0.001517	-0.000985	-0.002501
Superscaffold2	12399902	13109155	-0.118986	-0.042840	-0.030454	-0.059476
Superscaffold2	13109247	13484146	0.098593	0.046980	0.027048	0.049779
Superscaffold2	13484249	14023631	0.040009	0.011284	0.007996	0.019650
Superscaffold2	14023667	14392706	-0.164224	-0.082945	-0.048032	-0.082832
Superscaffold2	14392934	14893669	-0.187881	-0.080785	-0.044249	-0.082045
Superscaffold2	14893717	15334014	-0.104805	-0.037737	-0.024395	-0.046262
Superscaffold2	15334032	16315076	-0.038353	-0.023836	-0.012964	-0.020514
Superscaffold2	16315082	16680119	-0.191891	-0.173071	-0.083641	-0.105555
Superscaffold2	16680413	16969735	-0.036925	-0.028225	-0.016334	-0.019498
Superscaffold2	16969808	17357573	-0.209217	-0.173678	-0.090049	-0.126215
Superscaffold2	17357574	17740096	0.061124	0.029107	0.018861	0.028536
Superscaffold2	17740551	18133630	-0.226378	-0.102826	-0.062960	-0.091525
Superscaffold2	18133634	18631221	0.046527	0.011430	0.008488	0.016134
Superscaffold2	18631523	18944394	-0.071741	-0.039292	-0.019974	-0.022281
Superscaffold2	18944455	19336922	-0.124703	-0.046683	-0.031305	-0.045064
Superscaffold2	19337082	19689749	-0.094190	-0.082732	-0.040076	-0.037236
Superscaffold2	19689750	19903938	-0.090654	-0.109120	-0.049860	-0.045070
Superscaffold2	19903962	20164113	-0.215616	-0.104841	-0.066007	-0.081726
Superscaffold2	20164119	20536933	-0.078771	-0.029880	-0.020015	-0.030465
Superscaffold2	20537287	20827929	0.056574	0.046629	0.028875	0.028629
Superscaffold2	20828288	21177724	-0.006486	-0.004289	-0.002991	-0.004107
Superscaffold2	21177790	21617293	0.024136	0.005757	0.004032	0.011189
Superscaffold2	21617328	22007332	-0.380397	-0.099002	-0.071547	-0.148956
Superscaffold2	22007335	22323666	-0.207170	-0.102632	-0.061691	-0.088468
Superscaffold2	22323672	22663382	-0.003827	-0.002375	-0.001251	-0.002535
Superscaffold2	22664213	22976260	0.073225	0.032500	0.025440	0.026294
Superscaffold2	22976308	23425448	-0.115596	-0.026748	-0.021308	-0.046571
Superscaffold2	23425453	23753120	-0.186993	-0.091666	-0.056930	-0.095989
Superscaffold2	23753209	24007909	-0.434171	-0.347826	-0.162877	-0.216755
Superscaffold2	24007918	24296901	-0.082475	-0.037030	-0.023843	-0.032281
Superscaffold2	24296995	24554891	-0.242001	-0.118856	-0.071893	-0.115255
Superscaffold2	24554923	24950978	0.145444	0.044097	0.027913	0.064425
Superscaffold2	24951011	25362755	0.088325	0.045813	0.026881	0.038716
Superscaffold2	25362757	25620060	-0.224265	-0.155576	-0.079122	-0.111987
Superscaffold2	25620079	25869579	0.056090	0.052868	0.025884	0.023263
Superscaffold2	25869588	26218061	-0.081476	-0.023019	-0.016551	-0.031527
Superscaffold2	26218146	26602523	0.022368	0.009882	0.005973	0.007947
Superscaffold2	26602570	26838419	-0.252115	-0.145574	-0.088888	-0.127143
Superscaffold2	26838476	27025254	-0.205765	-0.150925	-0.086422	-0.084713
Superscaffold2	27025379	27290625	0.045014	0.022837	0.015406	0.015637
Superscaffold2	27290659	27511470	0.198997	0.162158	0.090695	0.082469
Superscaffold2	27511536	27668525	0.138414	0.167494	0.108363	0.071210
Superscaffold2	27668526	28641848	-0.010826	-0.004750	-0.003223	-0.004257
Superscaffold2	28642206	28987471	-0.055952	-0.030690	-0.018740	-0.022286
Superscaffold2	28987751	29188073	-0.032579	-0.014812	-0.009296	-0.009389
Superscaffold2	29188112	29480274	-0.063292	-0.035792	-0.023927	-0.025516
Superscaffold2	29480421	29736314	-0.486685	-0.286923	-0.178690	-0.299741
Superscaffold2	29736363	30174047	-0.042114	-0.017160	-0.010730	-0.015709
Superscaffold2	30174050	30567280	-0.339236	-0.167750	-0.092386	-0.182478
Superscaffold2	30567288	30946970	-0.058050	-0.026355	-0.015615	-0.023259
Superscaffold2	30946973	31243104	-0.071098	-0.031902	-0.020283	-0.023933
Superscaffold2	31243307	31620677	-0.047946	-0.016277	-0.011775	-0.019768
Superscaffold2	31620756	31872157	-0.330975	-0.196597	-0.103244	-0.177001
Superscaffold2	31872206	32436215	0.012888	0.008170	0.005020	0.005905
Superscaffold2	32436233	32735685	0.172975	0.071854	0.050752	0.050912
Superscaffold2	32735688	32995732	0.001696	0.000861	0.000495	-0.001155
Superscaffold2	32995816	33412211	-0.302647	-0.104027	-0.069414	-0.113630
Superscaffold2	33412278	33699297	-0.242065	-0.157684	-0.077006	-0.102974
Superscaffold2	33699336	34083157	0.001778	0.000954	0.000626	-0.000373
Superscaffold2	34083158	34411090	-0.273726	-0.105457	-0.062789	-0.113862
Superscaffold2	34411094	34884241	-0.051689	-0.015534	-0.010650	-0.020031
Superscaffold2	34884333	35266858	-0.042300	-0.010900	-0.007426	-0.010780
Superscaffold2	35266895	35885194	-0.094845	-0.024396	-0.017593	-0.034478
Superscaffold2	35885291	36422077	0.039456	0.015851	0.010661	0.016398
Superscaffold2	36422086	36680189	-0.069589	-0.026010	-0.018362	-0.028250
Superscaffold2	36680346	36946125	-0.128040	-0.099190	-0.058044	-0.074217
Superscaffold2	36946184	37096463	-0.070419	-0.060375	-0.032896	-0.037408
Superscaffold2	37096597	37439635	-0.046755	-0.021178	-0.013916	-0.019197
Superscaffold2	37439681	37696011	-0.120854	-0.068864	-0.039931	-0.054336
Superscaffold2	37696025	38018647	0.121555	0.065067	0.035023	0.048021
Superscaffold2	38018708	38628960	0.035027	0.013368	0.008141	0.012482
Superscaffold2	38629005	38817200	-0.417250	-0.144688	-0.091388	-0.277161
Superscaffold2	38817269	39064914	-0.412432	-0.207851	-0.111402	-0.213102
Superscaffold2	39064920	39429167	-0.020897	-0.006321	-0.004294	-0.006932
Superscaffold2	39429492	39716127	0.008186	0.003761	0.002459	0.001774
Superscaffold2	39716148	39986760	-0.050542	-0.040032	-0.021473	-0.020994
Superscaffold2	39986871	40315140	-0.085266	-0.026692	-0.018401	-0.033613
Superscaffold2	40315697	40461317	-0.499916	-0.593198	-0.218628	-0.264621
Superscaffold2	40461330	40695573	-0.362803	-0.207540	-0.117692	-0.228928
Superscaffold2	40695584	41001241	-0.006148	-0.002235	-0.001504	-0.006755
Superscaffold2	41001248	41102471	0.468628	0.293383	0.184911	0.339029
Superscaffold2	41102503	41221069	-0.049236	-0.038918	-0.020504	-0.025163
Superscaffold2	41222171	41514256	-0.026979	-0.011523	-0.007642	-0.012922
Superscaffold2	41514397	41838852	0.018987	0.006405	0.004128	0.012585
Superscaffold2	41838855	42154857	0.201020	0.100743	0.050761	0.101145
Superscaffold2	42154884	42413386	-0.361691	-0.152464	-0.084820	-0.135448
Superscaffold2	42413514	42656229	0.012004	0.008858	0.005059	0.007355
Superscaffold2	42656540	42946986	-0.109128	-0.045296	-0.030508	-0.060765
Superscaffold2	42947003	43153572	0.184745	0.098222	0.067964	0.111360
Superscaffold2	43153999	43606014	0.026986	0.005794	0.004528	0.007731
Superscaffold2	43606268	44018571	0.434603	0.128748	0.094096	0.185088
Superscaffold2	44018587	44722358	-0.099427	-0.017751	-0.013769	-0.040136
Superscaffold2	44722434	45662392	-0.049259	-0.005080	-0.004461	-0.015707
Superscaffold2	45663586	46474183	-0.003658	-0.000347	-0.000299	-0.000165
Superscaffold2	46474854	47017917	-0.145280	-0.017629	-0.013530	-0.032596
Superscaffold2	47017969	47613993	0.091832	0.019473	0.013618	0.038919
Superscaffold2	47614042	48191734	-0.174119	-0.055929	-0.036346	-0.069797
Superscaffold2	48191833	48698797	-0.090112	-0.019515	-0.014682	-0.035350
Superscaffold2	48699068	48958545	-0.286680	-0.129356	-0.089035	-0.136193
Superscaffold2	48958698	49335716	-0.024167	-0.008487	-0.005035	-0.010024
Superscaffold2	49335735	49614154	-0.027594	-0.015102	-0.008123	-0.011726
Superscaffold2	49614163	50016062	-0.170732	-0.086196	-0.043462	-0.062370
Superscaffold2	50016156	50369337	-0.029857	-0.010664	-0.006580	-0.017212
Superscaffold2	50369383	50692154	-0.334505	-0.164590	-0.096253	-0.170913
Superscaffold2	50692195	51100622	-0.208631	-0.097866	-0.054315	-0.086603
Superscaffold2	51100673	51453264	0.013056	0.003686	0.002591	0.004968
