chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	627356	937128	-0.147493	-0.077681	-0.051106	-0.072094
Superscaffold1	937423	1419298	0.148488	0.054693	0.037193	0.094369
Superscaffold1	1419324	1883959	0.214752	0.075262	0.048716	0.146492
Superscaffold1	1884076	2253844	0.058525	0.020478	0.011218	0.040349
Superscaffold1	2253856	2535795	0.034595	0.017702	0.011714	0.017248
Superscaffold1	2535876	2806690	-0.024897	-0.013478	-0.008289	-0.010397
Superscaffold1	2806757	3160216	-0.097847	-0.052752	-0.029938	-0.067469
Superscaffold1	3161966	3592916	0.062717	0.021089	0.013432	0.034761
Superscaffold1	3593202	4013284	0.057935	0.028352	0.015636	0.033870
Superscaffold1	4013439	4460519	0.152336	0.074631	0.045725	0.116234
Superscaffold1	4460520	4864767	0.087112	0.042754	0.026056	0.056398
Superscaffold1	4865985	5406779	0.404832	0.139004	0.092742	0.295529
Superscaffold1	5406946	5760160	0.070123	0.030489	0.019330	0.041455
Superscaffold1	5760220	6170134	0.035430	0.019681	0.012219	0.021840
Superscaffold1	6170145	6622418	0.230511	0.087382	0.058788	0.167183
Superscaffold1	6622437	7145622	0.255979	0.094281	0.059656	0.193792
Superscaffold1	7145667	7445539	-0.068103	-0.034568	-0.020272	-0.047779
Superscaffold1	7445915	7797191	0.025832	0.012989	0.007500	0.014509
Superscaffold1	7797332	8497934	0.226812	0.113087	0.062213	0.125857
Superscaffold1	8497939	9689460	0.006791	0.002344	0.001547	0.008348
Superscaffold1	9689485	10645190	-0.004010	-0.001561	-0.001054	-0.005050
Superscaffold1	10645220	11015776	0.057036	0.026120	0.015577	0.039243
Superscaffold1	11015855	11379700	0.087494	0.035511	0.022526	0.062987
Superscaffold1	11379702	11765907	-0.035302	-0.013647	-0.008072	-0.022083
Superscaffold1	11765915	12292670	0.140241	0.044359	0.030373	0.097416
Superscaffold1	12292686	12717701	0.212971	0.096590	0.059160	0.147391
Superscaffold1	12717727	13035243	0.010947	0.006040	0.003085	0.007131
Superscaffold1	13035276	13531258	0.522280	0.232199	0.121892	0.369428
Superscaffold1	13531261	13975167	0.264327	0.121815	0.059121	0.134208
Superscaffold1	13975434	14640961	0.028022	0.008901	0.005557	0.018776
Superscaffold1	14641000	14927824	0.142225	0.062541	0.037587	0.083508
Superscaffold1	14927900	15237650	0.431745	0.179928	0.123100	0.285255
Superscaffold1	15237731	15519394	0.324870	0.158688	0.096730	0.220668
Superscaffold1	15519404	15852576	0.179729	0.081651	0.046663	0.134651
Superscaffold1	15852771	16166837	0.150463	0.071785	0.041500	0.098624
Superscaffold1	16166929	16540439	0.245196	0.096170	0.058312	0.189809
Superscaffold1	16540553	16866121	-0.046157	-0.026356	-0.014999	-0.026439
Superscaffold1	16866147	17331338	0.106519	0.040342	0.024244	0.074452
Superscaffold1	17331392	18010863	0.093617	0.035045	0.020904	0.065324
Superscaffold1	18010996	18569420	-0.006537	-0.002482	-0.001512	-0.004971
Superscaffold1	18569625	19098759	-0.302842	-0.112999	-0.073348	-0.228044
Superscaffold1	19098828	19577550	0.120928	0.047703	0.033163	0.084754
Superscaffold1	19577577	19958925	0.316799	0.101968	0.071420	0.241306
Superscaffold1	19958945	20407474	0.105674	0.036378	0.024752	0.078634
Superscaffold1	20407475	21188220	0.176978	0.055107	0.033389	0.131299
Superscaffold1	21188362	21566205	0.333430	0.146633	0.082455	0.251284
Superscaffold1	21566394	21993282	0.009082	0.004091	0.002580	0.010860
Superscaffold1	21993862	22535760	0.034865	0.010561	0.007044	0.032511
Superscaffold1	22535790	22979276	-0.688982	-0.344505	-0.195462	-0.585855
Superscaffold1	22979305	23494496	0.354573	0.103660	0.060221	0.285176
Superscaffold1	23494504	23967306	-0.066093	-0.022227	-0.013578	-0.054997
Superscaffold1	23967314	24485780	0.157827	0.037151	0.025541	0.098750
Superscaffold1	24485963	24827727	0.290178	0.130510	0.080687	0.236672
Superscaffold1	24828245	25390077	0.036341	0.010193	0.006444	0.029080
Superscaffold1	25390251	25792760	0.026402	0.009694	0.006320	0.012365
Superscaffold1	25792843	26218773	0.069594	0.023523	0.015200	0.050431
Superscaffold1	26218805	26536500	0.201175	0.082702	0.049765	0.128063
Superscaffold1	26536518	27071828	0.088333	0.026647	0.015362	0.064385
Superscaffold1	27072892	27408030	0.026938	0.011124	0.006013	0.023973
Superscaffold1	27411764	27815035	0.049214	0.017594	0.010737	0.030290
Superscaffold1	27815072	28057314	-0.135059	-0.072929	-0.042587	-0.075060
Superscaffold1	28057528	28537340	0.248412	0.076804	0.051599	0.185249
Superscaffold1	28537525	29171343	0.060863	0.015203	0.010227	0.046718
Superscaffold1	29171426	29577867	-0.170456	-0.060502	-0.037498	-0.138272
Superscaffold1	29577905	29998282	0.151457	0.049255	0.026945	0.108842
Superscaffold1	29998289	30650818	0.012583	0.005274	0.003449	0.005275
Superscaffold1	30650879	31057989	-0.251045	-0.108559	-0.065478	-0.171260
Superscaffold1	31058050	31634538	0.137424	0.034570	0.022004	0.106853
Superscaffold1	31634616	32489015	0.313886	0.109593	0.065731	0.233538
Superscaffold1	32489049	32969641	0.307560	0.100541	0.062738	0.235851
Superscaffold1	32969664	33514616	-0.036714	-0.010459	-0.006954	-0.021415
Superscaffold1	33514700	33806640	-0.093318	-0.054134	-0.033185	-0.057066
Superscaffold1	33806652	34102575	0.154925	0.056561	0.037539	0.101821
Superscaffold1	34102641	34377876	0.144601	0.055931	0.033947	0.100977
Superscaffold1	34377892	34772654	-0.151957	-0.075469	-0.042286	-0.108056
Superscaffold1	34772655	35262588	0.186956	0.051861	0.037753	0.134804
Superscaffold1	35262699	36193950	0.156085	0.055493	0.035139	0.097134
Superscaffold1	36194106	37019630	0.083129	0.030242	0.019080	0.060742
Superscaffold1	37019702	37443298	0.060832	0.020996	0.014541	0.049487
Superscaffold1	37443845	37947116	0.174461	0.057130	0.036647	0.121556
Superscaffold1	37947155	38440494	-0.169029	-0.066992	-0.043695	-0.135168
Superscaffold1	38440510	38863880	0.130834	0.037809	0.026852	0.096888
Superscaffold1	38864037	39153415	0.409419	0.164806	0.098030	0.370251
Superscaffold1	39153665	39638316	0.468864	0.183460	0.107849	0.386156
Superscaffold1	39638394	39972341	0.492997	0.232062	0.146524	0.430569
Superscaffold1	39972349	40461821	0.129242	0.032218	0.021478	0.096152
Superscaffold1	40464548	40955868	0.065802	0.017831	0.011482	0.048041
Superscaffold1	40955873	41495434	0.238500	0.072475	0.044142	0.188425
Superscaffold1	41495513	41937067	0.142235	0.047896	0.029108	0.131936
Superscaffold1	41937135	42398922	-0.364540	-0.147203	-0.087891	-0.276562
Superscaffold1	42400320	42794604	0.255009	0.102797	0.061072	0.204551
Superscaffold1	42794610	43369596	0.135786	0.034022	0.020183	0.112406
Superscaffold1	43369810	43841807	0.217227	0.055941	0.031908	0.178945
Superscaffold1	43841925	44217428	0.260985	0.094491	0.047603	0.202024
Superscaffold1	44217429	44738407	0.252889	0.083312	0.041960	0.185632
Superscaffold1	44738409	45073831	-0.424196	-0.246249	-0.126455	-0.296567
Superscaffold1	45073933	45524967	0.141516	0.059297	0.033532	0.107851
Superscaffold1	45524999	45952300	-0.311589	-0.086814	-0.047645	-0.219176
Superscaffold1	45952320	46967201	0.069727	0.011751	0.005986	0.054954
Superscaffold1	46967392	47610708	0.590704	0.184974	0.104612	0.477459
Superscaffold1	47610715	48088723	0.574170	0.226634	0.109765	0.525869
Superscaffold1	48089342	48486274	0.674917	0.295311	0.158547	0.596763
Superscaffold1	48486336	48895190	0.653147	0.184818	0.117064	0.577584
Superscaffold1	48895370	49607084	0.002101	0.000304	0.000216	0.000165
Superscaffold1	49607151	50144913	0.706680	0.235496	0.124916	0.665627
Superscaffold1	50144966	50735416	0.036579	0.008785	0.006128	0.028118
Superscaffold1	50735436	51134102	0.228021	0.131756	0.084213	0.125356
Superscaffold2	196065	710082	-0.074060	-0.021081	-0.014642	-0.054847
Superscaffold2	710104	1148655	0.123999	0.042351	0.028369	0.091356
Superscaffold2	1149354	1596091	0.090624	0.037573	0.025705	0.062784
Superscaffold2	1596106	2108396	0.129114	0.039034	0.022947	0.093061
Superscaffold2	2108501	2731830	0.308637	0.099395	0.063953	0.234673
Superscaffold2	2731867	3548452	-0.202465	-0.080951	-0.051391	-0.132064
Superscaffold2	3548455	3967774	0.062737	0.025308	0.014645	0.051134
Superscaffold2	3967910	4565462	0.035952	0.010973	0.006652	0.034183
Superscaffold2	4565494	5006459	-0.026014	-0.008923	-0.005541	-0.021111
Superscaffold2	5006526	5536804	-0.000074	-0.000026	-0.000016	0.001525
Superscaffold2	5536808	6173033	0.301958	0.113379	0.064282	0.215268
