chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	197363	327446	0.041988	0.032351	0.017535	0.018028
Chr01	251820	439047	0.095343	0.052770	0.031433	0.038257
Chr01	327449	518528	0.165682	0.089808	0.043653	0.050121
Chr01	439120	622225	0.017827	0.010962	0.005153	0.006367
Chr01	518529	778731	-0.126088	-0.073639	-0.040442	-0.040869
Chr01	622591	933174	0.051943	0.029900	0.014017	0.023140
Chr01	781035	1049843	0.254798	0.120922	0.060982	0.074445
Chr01	933206	1177073	0.125239	0.050642	0.030892	0.033737
Chr01	1049848	1322636	0.037283	0.013009	0.008489	0.007023
Chr01	1177097	1457279	-0.000510	-0.000198	-0.000129	-0.003684
Chr01	1322643	1538073	0.058369	0.025770	0.016211	0.017129
Chr01	1457293	1629822	0.231044	0.098210	0.062238	0.082327
Chr01	1538102	1725618	0.192526	0.092900	0.059976	0.077106
Chr01	1629859	2006491	0.048859	0.016486	0.010732	0.020798
Chr01	1725627	2122015	0.041792	0.013683	0.008560	0.017457
Chr01	2006529	2230850	0.280513	0.152592	0.092641	0.132272
Chr01	2122082	2306290	0.192345	0.137640	0.081162	0.109000
Chr01	2230860	2442157	0.065748	0.065481	0.033194	0.042145
Chr01	2306452	2509753	0.134513	0.127899	0.065399	0.074591
Chr01	2442214	2616975	-0.003690	-0.004111	-0.002000	-0.002566
Chr01	2509773	2694349	-0.023328	-0.023502	-0.012440	-0.011795
Chr01	2616978	2738065	-0.143143	-0.117358	-0.069828	-0.071673
Chr01	2694385	2819470	0.079322	0.062016	0.037206	0.046953
Chr01	2738205	2921591	0.163943	0.136141	0.076600	0.086971
Chr01	2819519	3016911	-0.166291	-0.147409	-0.082840	-0.083221
Chr01	2921644	3110895	-0.157300	-0.141296	-0.080972	-0.085016
Chr01	3017269	3272509	-0.092093	-0.065486	-0.034911	-0.039352
Chr01	3110909	3410696	0.069792	0.042159	0.021362	0.029437
Chr01	3272510	3588291	-0.051587	-0.026147	-0.014958	-0.025991
Chr01	3410871	3768671	-0.141927	-0.063246	-0.040018	-0.064747
Chr01	3588331	3896239	0.022437	0.011816	0.007722	0.007538
Chr01	3768948	4028982	0.128077	0.075261	0.048082	0.051161
Chr01	3896347	4141348	0.142150	0.093811	0.049170	0.074934
Chr01	4029151	4258493	0.078191	0.050172	0.024361	0.039037
Chr01	4141377	4355519	0.135243	0.096389	0.050296	0.057330
Chr01	4258542	4441653	0.139536	0.124890	0.068223	0.073011
Chr01	4355524	4495064	-0.016700	-0.016671	-0.009452	-0.010858
Chr01	4441691	4599618	0.003975	0.004036	0.002068	0.002642
Chr01	4495090	4690508	0.070690	0.060844	0.029696	0.031731
Chr01	4599742	4843522	0.070038	0.045864	0.026121	0.033353
Chr01	4690721	4952783	-0.047185	-0.034042	-0.017752	-0.017179
Chr01	4843523	5087656	-0.010770	-0.010257	-0.004422	-0.002870
Chr01	4952821	5200920	0.215849	0.162962	0.088437	0.105856
Chr01	5087687	5521648	0.171856	0.101546	0.060980	0.090881
Chr01	5200925	5633492	0.012673	0.008627	0.004883	0.005726
Chr01	5521678	5789008	0.076269	0.063557	0.029740	0.030924
Chr01	5633493	5927639	0.104743	0.072382	0.032599	0.045967
Chr01	5790476	6040645	0.035233	0.022961	0.010921	0.014608
Chr01	5927692	6158807	-0.081029	-0.056845	-0.028342	-0.032005
Chr01	6040693	6242903	-0.226213	-0.315042	-0.093308	-0.088837
Chr01	6158938	6397607	0.074658	0.090022	0.022234	0.037604
Chr01	6242910	6693493	0.265854	0.168963	0.063367	0.140471
Chr01	6397620	6891365	0.321179	0.189579	0.085832	0.206636
Chr01	6693548	7023684	0.415675	0.304524	0.131088	0.268325
Chr01	6891376	7140344	0.300445	0.275237	0.096600	0.184896
Chr01	7023724	7338151	0.024219	0.019385	0.006520	0.009363
Chr01	7140367	7425844	-0.023251	-0.017886	-0.006703	-0.008620
Chr01	7338195	7581076	0.120154	0.067995	0.027387	0.056495
Chr01	7425923	7718756	0.058219	0.026294	0.011691	0.027883
Chr01	7581085	7863490	0.168354	0.104559	0.049212	0.079774
Chr01	7718899	8000867	0.089857	0.051749	0.027861	0.046660
Chr01	7863494	8119990	0.002447	0.001360	0.000819	0.000074
Chr01	8000872	8313903	0.077721	0.038707	0.025418	0.049122
Chr01	8120041	8483386	0.030948	0.012535	0.008521	0.018288
Chr01	8313955	8650731	0.014090	0.006483	0.003790	0.005764
Chr01	8483413	8800621	-0.015128	-0.008879	-0.004967	-0.004390
Chr01	8650814	9136520	-0.105291	-0.088092	-0.043509	-0.051594
Chr01	8800639	9271116	-0.042081	-0.036094	-0.019186	-0.022050
Chr01	9137362	9414120	0.111927	0.059295	0.037944	0.042355
Chr01	9271140	9533708	-0.011988	-0.005508	-0.003465	-0.001444
Chr01	9414291	9674137	-0.080427	-0.059538	-0.038164	-0.031820
Chr01	9533712	9818072	-0.073240	-0.071648	-0.042364	-0.033571
Chr01	9674174	9886985	-0.013708	-0.011961	-0.007160	-0.005853
Chr01	9818077	9981783	0.068482	0.044360	0.029415	0.034563
Chr01	9886999	10059055	-0.001886	-0.001242	-0.000797	-0.000999
Chr01	9981800	10209510	0.018581	0.011656	0.007195	0.013550
Chr01	10060365	10318747	0.048467	0.031312	0.018482	0.027037
Chr01	10209597	10410559	0.047820	0.036284	0.020966	0.020307
Chr01	10318757	10507961	0.126123	0.076122	0.045276	0.040449
Chr01	10410580	10949027	-0.003488	-0.002511	-0.001406	0.000484
Chr01	10508009	11047504	-0.011672	-0.010943	-0.004630	-0.003363
Chr01	10949117	11190416	0.042704	0.031622	0.013237	0.010420
Chr01	11047534	11301637	0.043496	0.026698	0.015040	0.011409
Chr01	11190520	11393620	-0.009667	-0.006451	-0.003765	-0.003751
Chr01	11301644	11498498	0.006145	0.004986	0.002506	0.003264
Chr01	11393813	11583123	0.058718	0.052810	0.024452	0.028613
Chr01	11498584	11759022	-0.003398	-0.002595	-0.001321	-0.001731
Chr01	11583178	11961831	-0.025581	-0.017757	-0.010099	-0.008996
Chr01	11759038	12080419	0.166713	0.128887	0.077750	0.113261
Chr01	11962493	12211196	0.125142	0.083845	0.051770	0.086551
Chr01	12080454	12398586	0.019693	0.009392	0.005823	0.010556
