chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	558343	714683	0.045641	0.040666	0.025267	0.024591
Superscaffold1	714712	899713	0.068016	0.035247	0.021142	0.041324
Superscaffold1	899761	1237396	-0.025947	-0.013656	-0.008292	-0.010562
Superscaffold1	1237579	1456458	0.053164	0.014979	0.010760	0.031968
Superscaffold1	1456479	1807806	-0.031908	-0.011328	-0.007205	-0.016973
Superscaffold1	1807891	2163671	-0.374433	-0.142268	-0.075488	-0.273648
Superscaffold1	2164142	2394884	-0.060838	-0.031524	-0.020765	-0.040991
Superscaffold1	2394922	2570855	-0.016306	-0.011917	-0.007320	-0.015010
Superscaffold1	2570897	2762955	0.035419	0.036159	0.018423	0.023741
Superscaffold1	2763002	2915864	-0.144596	-0.169412	-0.068322	-0.076998
Superscaffold1	2916100	3106507	-0.142472	-0.136298	-0.070913	-0.087950
Superscaffold1	3106510	3446174	0.030242	0.012436	0.007634	0.016959
Superscaffold1	3446187	3787902	-0.130729	-0.053433	-0.030974	-0.066758
Superscaffold1	3788235	4194232	-0.252831	-0.091905	-0.055012	-0.155006
Superscaffold1	4194647	4544554	0.000179	0.000074	0.000049	0.004109
Superscaffold1	4544580	4908098	-0.304396	-0.144727	-0.091410	-0.201908
Superscaffold1	4908124	5345440	-0.034117	-0.010253	-0.007088	-0.021778
Superscaffold1	5345461	5731602	0.042864	0.011934	0.008529	0.026715
Superscaffold1	5731604	6133788	-0.006090	-0.002183	-0.001439	-0.006579
Superscaffold1	6133825	6586440	-0.015201	-0.004287	-0.002920	-0.004814
Superscaffold1	6586469	6937210	-0.135476	-0.051687	-0.032343	-0.084970
Superscaffold1	6940317	7293059	-0.434626	-0.203072	-0.117929	-0.304909
Superscaffold1	7293084	7706029	-0.124220	-0.050071	-0.032590	-0.084044
Superscaffold1	7706048	8365895	-0.079059	-0.030004	-0.018798	-0.041914
Superscaffold1	8365960	8836840	-0.079160	-0.038477	-0.021783	-0.048709
Superscaffold1	8836848	9937450	0.022488	0.007173	0.004977	0.016983
Superscaffold1	9938159	10708350	-0.058287	-0.021707	-0.014342	-0.035214
Superscaffold1	10708392	11015776	-0.084256	-0.033069	-0.021167	-0.046779
Superscaffold1	11015977	11381761	-0.224523	-0.078352	-0.052492	-0.165549
Superscaffold1	11381771	11728745	-0.459070	-0.204837	-0.120606	-0.324961
Superscaffold1	11728765	12112858	0.011155	0.004367	0.002934	0.008705
Superscaffold1	12112862	12365783	0.010754	0.005354	0.003028	0.006291
Superscaffold1	12365795	12649572	-0.038749	-0.017573	-0.011211	-0.027425
Superscaffold1	12649580	12970053	-0.122410	-0.053007	-0.030134	-0.087442
Superscaffold1	12970113	13593854	-0.042710	-0.009461	-0.006156	-0.035252
Superscaffold1	13599307	14327490	0.139377	0.027735	0.018400	0.095050
Superscaffold1	14327964	14753200	0.057533	0.015617	0.009936	0.038908
Superscaffold1	14753665	15078671	-0.014381	-0.005572	-0.003651	-0.009755
Superscaffold1	15078725	15462561	-0.200582	-0.046237	-0.031515	-0.147425
Superscaffold1	15462585	15804649	-0.244013	-0.067508	-0.043508	-0.174535
Superscaffold1	15804920	16166498	0.100160	0.032178	0.019662	0.067360
Superscaffold1	16166629	16545094	-0.246264	-0.078387	-0.049046	-0.162915
Superscaffold1	16545142	16826786	-0.050138	-0.020899	-0.012831	-0.022265
Superscaffold1	16826854	17238978	0.117759	0.052635	0.029277	0.065018
Superscaffold1	17239151	17756970	-0.147618	-0.048769	-0.030068	-0.110922
Superscaffold1	17756998	18324065	-0.146930	-0.095112	-0.045124	-0.070769
Superscaffold1	18324105	18736652	-0.002497	-0.000696	-0.000446	-0.004182
Superscaffold1	18736709	19100432	-0.055904	-0.023877	-0.014949	-0.032241
Superscaffold1	19101105	19305403	-0.294752	-0.141604	-0.092394	-0.179064
Superscaffold1	19305740	19679574	-0.402700	-0.244068	-0.155255	-0.279409
Superscaffold1	19679600	19995347	-0.103668	-0.035874	-0.022915	-0.067135
Superscaffold1	19995361	20363158	0.044948	0.015182	0.009572	0.026941
Superscaffold1	20363273	21078806	-0.088432	-0.025503	-0.014692	-0.055522
Superscaffold1	21078960	21402685	-0.195553	-0.072239	-0.044241	-0.142564
Superscaffold1	21402760	21764690	0.006442	0.002588	0.001452	0.007117
Superscaffold1	21764696	22186187	-0.115135	-0.035291	-0.023146	-0.065079
Superscaffold1	22186231	22788692	0.031614	0.005525	0.003652	0.017908
Superscaffold1	22788705	23307662	-0.165385	-0.037554	-0.022909	-0.120693
Superscaffold1	23307664	23727792	-0.119654	-0.034908	-0.021117	-0.094656
Superscaffold1	23727823	24169561	-0.308720	-0.086845	-0.057049	-0.203395
Superscaffold1	24169677	24504770	-0.016707	-0.006684	-0.004200	-0.010560
Superscaffold1	24504940	24789039	-0.016075	-0.006388	-0.003873	-0.010509
Superscaffold1	24789102	25251917	-0.104853	-0.028731	-0.017985	-0.069184
Superscaffold1	25252039	25629318	0.070697	0.018317	0.011962	0.039130
Superscaffold1	25629642	26011935	-0.211951	-0.080319	-0.056991	-0.139819
Superscaffold1	26011947	26311856	-0.390351	-0.153282	-0.086265	-0.264920
Superscaffold1	26311859	26689991	0.055326	0.012393	0.008665	0.038536
Superscaffold1	26690398	27231057	0.135945	0.026640	0.016195	0.096426
Superscaffold1	27231256	27623386	-0.183553	-0.073797	-0.042094	-0.126272
Superscaffold1	27623508	27878527	-0.075709	-0.044476	-0.022845	-0.042853
Superscaffold1	27878582	28098064	-0.215050	-0.118526	-0.066286	-0.106379
Superscaffold1	28098075	28404814	0.168333	0.059857	0.039906	0.093652
Superscaffold1	28404823	28778867	-0.297402	-0.135514	-0.090742	-0.162217
Superscaffold1	28778881	29239718	-0.264759	-0.078445	-0.051602	-0.193183
Superscaffold1	29239949	29524692	-0.098876	-0.039594	-0.024178	-0.070036
Superscaffold1	29524694	29898812	-0.607574	-0.304878	-0.158885	-0.485761
Superscaffold1	29898856	30267282	-0.235350	-0.089947	-0.058766	-0.151820
Superscaffold1	30267288	30905728	-0.091593	-0.025467	-0.016357	-0.052789
Superscaffold1	30905742	31289432	0.003135	0.000819	0.000517	0.006410
Superscaffold1	31289458	31898622	-0.173891	-0.036660	-0.025223	-0.109122
Superscaffold1	31898759	32417610	0.005018	0.001933	0.001102	0.006884
Superscaffold1	32417629	32808417	0.171727	0.057294	0.035566	0.116061
Superscaffold1	32809063	33181660	-0.205728	-0.060282	-0.038215	-0.137561
Superscaffold1	33181665	33522924	-0.032275	-0.017429	-0.010563	-0.016964
Superscaffold1	33522950	33788653	-0.054342	-0.028557	-0.016803	-0.028063
Superscaffold1	33788809	34005830	-0.105432	-0.045679	-0.031193	-0.054963
Superscaffold1	34006050	34230159	-0.386821	-0.141531	-0.087556	-0.270794
Superscaffold1	34230208	34620394	-0.165339	-0.051479	-0.032942	-0.106882
Superscaffold1	34620851	35209473	0.020468	0.003637	0.002593	0.013044
Superscaffold1	35209495	35890377	-0.041329	-0.020743	-0.011683	-0.028074
Superscaffold1	35890521	36851892	0.078878	0.020358	0.013755	0.047841
Superscaffold1	36851960	37248863	-0.358581	-0.091050	-0.062512	-0.250625
Superscaffold1	37248873	37529991	-0.222411	-0.098787	-0.059257	-0.158075
Superscaffold1	37530029	38030485	0.007606	0.002727	0.001677	0.006772
Superscaffold1	38030739	38437535	-0.186229	-0.060032	-0.038556	-0.119899
Superscaffold1	38439292	38868873	0.039741	0.007914	0.005859	0.026176
Superscaffold1	38868901	39116836	-0.226245	-0.080136	-0.050432	-0.177951
Superscaffold1	39116845	39574645	-0.243733	-0.068239	-0.041477	-0.176130
Superscaffold1	39574659	39876361	-0.324469	-0.091885	-0.061694	-0.263586
Superscaffold1	39876799	40181797	0.214912	0.061735	0.042727	0.162558
Superscaffold1	40182250	40692388	0.061378	0.015063	0.009543	0.038346
Superscaffold1	40692486	41211626	0.242248	0.053230	0.032028	0.140354
Superscaffold1	41211759	41691538	-0.036509	-0.009084	-0.005527	-0.021909
Superscaffold1	41691558	42283737	-0.087753	-0.010171	-0.007517	-0.076600
Superscaffold1	42283741	43049621	0.155325	0.016764	0.012239	0.109891
Superscaffold1	43050265	43656033	0.071186	0.009823	0.006207	0.059547
Superscaffold1	43656163	44032094	0.125322	0.031610	0.020292	0.102861
Superscaffold1	44032734	45033011	-0.227595	-0.024031	-0.016870	-0.172738
Superscaffold1	45033039	45705760	0.035143	0.004882	0.003340	0.030351
Superscaffold1	45705768	46080944	-0.828857	-0.456846	-0.216880	-0.776357
Superscaffold1	46080958	47098421	-0.011191	-0.002092	-0.001189	-0.009680
Superscaffold1	47098431	47909543	0.106406	0.015111	0.009949	0.107318
Superscaffold1	47909598	48427956	0.388007	0.075075	0.049854	0.313731
Superscaffold1	48427957	48779992	0.538095	0.152016	0.088847	0.461501
Superscaffold1	48780024	49270107	0.108268	0.018328	0.011994	0.058794
Superscaffold1	49270207	49683299	-0.090379	-0.012465	-0.008382	-0.040429
Superscaffold1	49683528	50024855	-0.389467	-0.166190	-0.071125	-0.261074
Superscaffold1	50024866	50294595	-0.465419	-0.257959	-0.135219	-0.408004
Superscaffold1	50294660	50930571	0.067464	0.011188	0.008927	0.038711
Superscaffold1	50930608	51401913	0.150408	0.088555	0.050135	0.083700
Superscaffold2	281175	633027	0.141067	0.045582	0.030335	0.057245
Superscaffold2	633033	984638	-0.074889	-0.025292	-0.016393	-0.051658
Superscaffold2	985099	1440603	-0.004923	-0.001224	-0.000860	-0.002152
Superscaffold2	1440661	1927610	-0.062717	-0.012590	-0.008964	-0.038171
Superscaffold2	1927622	2244246	0.140954	0.069448	0.042850	0.104504
Superscaffold2	2244314	2625590	0.146228	0.053364	0.032622	0.090689
Superscaffold2	2625792	3436456	-0.010070	-0.004224	-0.002823	-0.011727
Superscaffold2	3436560	3743012	-0.331703	-0.184369	-0.101268	-0.212413
Superscaffold2	3743238	4181924	-0.075184	-0.029910	-0.015946	-0.049748
Superscaffold2	4181975	4565060	-0.102040	-0.031921	-0.019184	-0.071341
Superscaffold2	4565150	4892183	-0.273182	-0.096668	-0.060208	-0.201267
Superscaffold2	4892201	5288593	0.072068	0.026074	0.016854	0.042964
Superscaffold2	5288654	5705170	-0.011578	-0.004467	-0.002723	-0.004495
Superscaffold2	5705191	6151173	0.029948	0.013523	0.006805	0.024151
Superscaffold2	6151198	6627950	0.002520	0.000603	0.000397	0.003429
Superscaffold2	6628291	7380597	-0.125361	-0.025313	-0.016078	-0.095736
Superscaffold2	7383186	7884338	-0.164989	-0.034816	-0.023081	-0.103784
Superscaffold2	7884417	8408406	-0.034274	-0.008659	-0.005709	-0.022225
Superscaffold2	8408543	9195058	0.020503	0.003524	0.002536	0.012686
Superscaffold2	9195255	9814361	-0.131083	-0.031637	-0.020949	-0.094267
Superscaffold2	9814462	10304439	-0.283243	-0.059621	-0.040375	-0.186758
Superscaffold2	10304463	10683267	-0.031698	-0.016030	-0.009151	-0.015741
Superscaffold2	10683276	11277755	-0.154164	-0.031852	-0.021377	-0.105189
Superscaffold2	11277793	11708443	-0.152645	-0.038147	-0.023642	-0.110567
Superscaffold2	11708521	12799375	-0.063471	-0.025300	-0.014320	-0.034351
Superscaffold2	12800014	13269621	-0.317992	-0.113300	-0.068322	-0.239241
Superscaffold2	13269680	13662641	-0.405632	-0.135414	-0.078900	-0.323029
Superscaffold2	13662879	14085953	0.323055	0.114212	0.074107	0.246050
Superscaffold2	14085972	14552217	-0.206125	-0.057379	-0.033034	-0.133227
Superscaffold2	14552227	14949088	0.008633	0.003050	0.001783	0.007946
Superscaffold2	14949151	15746450	-0.212296	-0.067234	-0.039160	-0.153230
Superscaffold2	15746468	16532012	0.164350	0.060352	0.037525	0.099963
Superscaffold2	16532030	16803086	0.064182	0.031653	0.018664	0.031189
Superscaffold2	16803558	17548040	-0.191453	-0.035632	-0.024011	-0.127048
Superscaffold2	17548049	17989499	-0.040397	-0.010767	-0.006468	-0.028082
Superscaffold2	17989562	18462606	-0.165214	-0.043561	-0.025044	-0.119822
Superscaffold2	18462698	18960842	-0.282563	-0.067766	-0.039308	-0.206224
Superscaffold2	18960894	19349218	0.068725	0.022585	0.012916	0.051606
Superscaffold2	19349266	19696900	0.021414	0.017909	0.009302	0.004713
Superscaffold2	19696905	19988101	0.030200	0.017415	0.010544	0.021782
Superscaffold2	19988173	20354519	-0.264842	-0.064286	-0.033406	-0.186101
Superscaffold2	20354551	20853280	0.068733	0.021002	0.013536	0.039738
Superscaffold2	20853323	21298086	0.117873	0.029996	0.019799	0.084007
Superscaffold2	21299168	21853918	-0.392735	-0.096126	-0.059499	-0.324003
Superscaffold2	21854296	22314207	-0.181176	-0.045856	-0.026615	-0.112716
Superscaffold2	22314213	22665014	-0.134608	-0.065440	-0.033786	-0.068902
Superscaffold2	22666272	22981014	-0.434652	-0.235432	-0.134302	-0.241592
Superscaffold2	22981045	23334147	-0.422473	-0.158139	-0.090968	-0.336841
Superscaffold2	23334256	23747145	-0.008344	-0.002138	-0.001346	-0.000586
Superscaffold2	23747795	24153650	-0.176918	-0.045409	-0.025915	-0.112958
Superscaffold2	24153832	24460142	-0.028097	-0.009387	-0.005436	-0.014205
Superscaffold2	24460206	24789874	-0.099555	-0.038044	-0.020992	-0.077451
Superscaffold2	24790890	25330675	0.140604	0.046570	0.027089	0.102168
Superscaffold2	25330792	25691446	0.100858	0.032070	0.018712	0.068096
Superscaffold2	25691527	26115923	0.119110	0.036158	0.022324	0.089324
Superscaffold2	26115939	26440227	0.282676	0.119109	0.071718	0.229053
Superscaffold2	26440245	26895102	-0.066968	-0.016022	-0.010998	-0.046933
Superscaffold2	26895191	27293488	-0.190816	-0.077312	-0.046557	-0.134727
Superscaffold2	27293489	27654338	-0.240598	-0.061342	-0.043043	-0.150358
Superscaffold2	27654374	28769656	0.042551	0.012109	0.008375	0.030659
Superscaffold2	28769675	29125645	0.229016	0.052396	0.030351	0.136614
Superscaffold2	29128137	29488948	-0.154449	-0.051379	-0.030560	-0.102747
Superscaffold2	29489143	29695080	0.425367	0.170353	0.127238	0.273919
Superscaffold2	29695223	30202345	-0.256416	-0.082222	-0.045291	-0.179630
Superscaffold2	30202417	30708631	0.098029	0.019475	0.011751	0.060843
Superscaffold2	30708637	31100542	0.067039	0.019666	0.012443	0.043095
Superscaffold2	31100543	31473292	-0.172068	-0.059065	-0.035016	-0.117396
Superscaffold2	31473894	31830587	-0.238423	-0.092112	-0.049630	-0.168759
Superscaffold2	31830731	32568957	-0.063775	-0.014917	-0.009134	-0.036488
Superscaffold2	32569020	33016343	0.108301	0.026892	0.015745	0.067754
Superscaffold2	33016350	33480466	0.250175	0.059105	0.040452	0.189858
Superscaffold2	33480488	34062857	-0.182913	-0.040124	-0.026295	-0.130966
Superscaffold2	34063422	34482273	-0.198120	-0.053949	-0.032717	-0.144498
Superscaffold2	34482413	34964842	-0.031906	-0.006919	-0.004459	-0.021481
Superscaffold2	34964885	35384845	-0.372222	-0.110884	-0.063109	-0.286767
Superscaffold2	35385741	36108185	-0.186011	-0.039216	-0.024120	-0.125517
Superscaffold2	36108270	36532239	-0.082274	-0.025956	-0.015823	-0.062866
Superscaffold2	36532656	36921423	-0.122035	-0.037373	-0.022937	-0.079762
Superscaffold2	36921706	37202544	-0.269820	-0.105742	-0.066155	-0.173763
Superscaffold2	37202746	37560708	-0.125348	-0.033017	-0.021105	-0.081754
Superscaffold2	37560852	38219003	-0.065233	-0.016857	-0.009207	-0.048429
Superscaffold2	38219082	38720010	-0.232648	-0.061473	-0.037182	-0.164134
Superscaffold2	38720204	38986722	0.044461	0.011972	0.008581	0.023802
Superscaffold2	38986735	39352102	-0.254564	-0.091385	-0.046683	-0.182742
Superscaffold2	39352114	39688527	0.046810	0.015125	0.009553	0.029545
Superscaffold2	39688610	39979246	-0.103015	-0.049821	-0.026897	-0.048789
Superscaffold2	39979300	40240329	-0.399805	-0.185800	-0.098900	-0.290111
Superscaffold2	40241263	40609559	0.150697	0.024322	0.017596	0.095243
Superscaffold2	40609575	40976971	0.077133	0.024285	0.014366	0.058011
Superscaffold2	40976972	41123393	0.748651	0.386030	0.261720	0.672767
Superscaffold2	41123436	41427753	-0.007453	-0.002807	-0.001691	-0.006650
Superscaffold2	41428440	41780935	0.426333	0.124845	0.085173	0.330665
Superscaffold2	41780988	42262500	-0.233489	-0.039253	-0.025129	-0.158088
Superscaffold2	42262529	42813330	-0.032183	-0.004263	-0.002921	-0.023962
Superscaffold2	42813520	43112294	0.237237	0.052112	0.039583	0.147301
Superscaffold2	43112470	43509353	-0.023624	-0.005383	-0.003191	-0.006188
Superscaffold2	43509505	44104233	0.123019	0.019984	0.013284	0.090545
Superscaffold2	44104353	44614148	0.520911	0.120764	0.070178	0.459436
Superscaffold2	44614170	45258415	0.180313	0.038775	0.023525	0.164758
Superscaffold2	45258698	45999440	-0.254328	-0.050610	-0.028373	-0.214706
Superscaffold2	46000953	46626854	0.098051	0.014901	0.009298	0.080226
Superscaffold2	46626925	47263752	-0.069492	-0.009976	-0.006141	-0.059506
