chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	190474	400464	-0.069608	-0.060561	-0.033599	-0.037193
Chr01	261782	547974	0.021503	0.016058	0.007173	0.015911
Chr01	400489	676329	-0.122315	-0.095914	-0.039257	-0.057766
Chr01	547991	899338	-0.177830	-0.164189	-0.063387	-0.061180
Chr01	676379	1035390	0.112742	0.106085	0.039010	0.039437
Chr01	899433	1157905	0.152885	0.112220	0.053962	0.057377
Chr01	1035402	1279721	0.016967	0.011183	0.006284	0.003127
Chr01	1157927	1415673	-0.165084	-0.139102	-0.074068	-0.056516
Chr01	1279765	1532417	-0.255810	-0.186760	-0.097895	-0.088945
Chr01	1416179	1592012	-0.114442	-0.078525	-0.043593	-0.037382
Chr01	1532792	1691391	0.031210	0.023403	0.013284	0.010009
Chr01	1592022	1878088	0.094959	0.040092	0.025771	0.028004
Chr01	1691414	2051177	0.130612	0.049450	0.030008	0.039642
Chr01	1878095	2154078	0.176102	0.106178	0.056780	0.056603
Chr01	2051403	2224030	0.264781	0.201392	0.112528	0.116947
Chr01	2154260	2285535	0.142047	0.130249	0.067499	0.072137
Chr01	2224043	2439667	0.110194	0.092717	0.051003	0.063996
Chr01	2285580	2525865	0.084471	0.068457	0.037000	0.049709
Chr01	2439847	2643311	-0.106758	-0.119118	-0.056596	-0.049567
Chr01	2525866	2716613	-0.213010	-0.206586	-0.106074	-0.097415
Chr01	2643392	2779937	-0.088118	-0.067686	-0.038284	-0.040048
Chr01	2716614	2886225	0.122782	0.088616	0.051933	0.072169
Chr01	2779956	2957450	0.099884	0.091465	0.048315	0.054915
Chr01	2886512	3068868	-0.054637	-0.069765	-0.029765	-0.021642
Chr01	2957503	3166318	-0.035948	-0.036486	-0.017918	-0.012590
Chr01	3068876	3344306	0.036646	0.023218	0.012019	0.015887
Chr01	3166354	3514677	0.031786	0.016249	0.008796	0.013929
Chr01	3344317	3642874	-0.143266	-0.094294	-0.051127	-0.071889
Chr01	3514710	3795831	-0.128855	-0.092085	-0.052358	-0.060144
Chr01	3645136	3974547	0.032085	0.016813	0.010899	0.013866
Chr01	3795990	4105475	0.008026	0.004590	0.002616	0.010679
Chr01	3974672	4242412	-0.008467	-0.004940	-0.002571	0.001352
Chr01	4105536	4332829	0.148251	0.098827	0.049565	0.067963
Chr01	4242468	4436222	0.267069	0.235978	0.128234	0.123438
Chr01	4332930	4494971	0.101164	0.093972	0.056321	0.046587
Chr01	4436265	4607453	-0.013604	-0.013738	-0.007080	-0.004442
Chr01	4494983	4715048	-0.022794	-0.016850	-0.008891	-0.008142
Chr01	4607470	4888482	-0.004401	-0.002495	-0.001380	0.001755
Chr01	4715086	5030362	0.123566	0.074738	0.039884	0.059991
Chr01	4888490	5167762	0.209766	0.155486	0.077892	0.097648
Chr01	5032217	5279061	0.196927	0.131561	0.075700	0.091004
Chr01	5167860	5543967	0.233524	0.128836	0.088024	0.124606
Chr01	5279337	5641223	0.188877	0.125472	0.078768	0.098812
Chr01	5544023	5828455	0.175774	0.127884	0.061762	0.077798
Chr01	5641227	5931172	0.174114	0.113605	0.053081	0.081269
Chr01	5829065	6047920	0.097879	0.067010	0.032529	0.044692
Chr01	5931226	6166335	-0.081998	-0.049831	-0.027124	-0.035929
Chr01	6047938	6283185	0.096866	0.077502	0.026242	0.043507
Chr01	6166425	6633776	0.366711	0.210931	0.073198	0.159626
Chr01	6283186	6883095	-0.018070	-0.008554	-0.003848	-0.004079
Chr01	6633781	7035040	-0.034621	-0.019789	-0.008262	-0.016485
Chr01	6883261	7167437	0.141645	0.095873	0.036609	0.076667
Chr01	7035197	7359847	-0.088742	-0.067324	-0.026295	-0.053585
Chr01	7167502	7481278	0.004858	0.003604	0.001440	0.003371
Chr01	7360018	7590956	0.322288	0.223921	0.079362	0.150351
Chr01	7481298	7738409	0.208307	0.112352	0.046518	0.085290
Chr01	7590994	7906031	0.072457	0.033646	0.017181	0.035035
Chr01	7738420	8058731	0.004625	0.002155	0.001237	0.003560
Chr01	7906175	8151761	-0.029336	-0.016891	-0.010574	-0.013443
Chr01	8058809	8325693	0.010825	0.007256	0.004136	0.009334
Chr01	8151844	8483413	0.026591	0.014239	0.008082	0.009851
Chr01	8326234	8634516	-0.006097	-0.003387	-0.001777	-0.001029
Chr01	8483431	8774456	-0.079184	-0.045821	-0.026435	-0.025995
Chr01	8634732	8975151	-0.052530	-0.036450	-0.019166	-0.022954
Chr01	8774504	9281292	0.074452	0.062058	0.031956	0.033088
Chr01	8975268	9391190	0.216226	0.136009	0.085049	0.066069
Chr01	9281352	9495026	0.113713	0.053127	0.030493	0.021550
Chr01	9391255	9593787	0.073778	0.053908	0.033695	0.019649
Chr01	9495140	9746961	0.077992	0.065158	0.041109	0.027050
Chr01	9594075	9856285	0.048965	0.038369	0.022973	0.021704
Chr01	9747138	9924171	0.025837	0.025126	0.014937	0.015409
Chr01	9856297	10014104	-0.053240	-0.064636	-0.033157	-0.028324
Chr01	9924211	10108931	0.035634	0.032127	0.017718	0.023074
Chr01	10014119	10258896	0.139025	0.098455	0.058348	0.077121
Chr01	10108947	10360342	0.069081	0.052050	0.031332	0.031350
Chr01	10258913	10441694	0.051938	0.041849	0.022308	0.017261
Chr01	10360365	10913207	0.067812	0.051586	0.026137	0.022750
Chr01	10441710	11049667	0.099398	0.062259	0.031420	0.043020
Chr01	10913463	11209947	0.104145	0.052602	0.026906	0.038171
Chr01	11049778	11338579	0.065012	0.033298	0.020111	0.022289
Chr01	11209961	11436597	0.062099	0.048082	0.027525	0.025914
Chr01	11338589	11542238	0.136514	0.132246	0.059413	0.066358
Chr01	11436602	11703042	0.099156	0.064459	0.032775	0.050532
Chr01	11542250	11951583	-0.045231	-0.025434	-0.015199	-0.021625
Chr01	11703090	12100554	0.075037	0.046021	0.029690	0.055444
Chr01	11951960	12328113	0.056436	0.024296	0.016317	0.034391
Chr01	12100560	12487351	-0.029041	-0.009020	-0.006153	-0.008236
Chr01	12328150	12862886	0.157071	0.047497	0.025129	0.065794
Chr01	12488402	13265054	0.207660	0.068769	0.031203	0.092908
Chr01	12863254	13483555	0.051423	0.025971	0.010432	0.019130
Chr01	13265138	13737237	-0.027597	-0.012768	-0.005856	-0.006579
Chr01	13484323	13904454	0.090689	0.035563	0.019663	0.037477
Chr01	13737315	14053568	-0.004532	-0.002301	-0.001339	-0.001875
Chr01	13904503	14176291	0.007218	0.003939	0.002525	0.001661
Chr01	14053589	14333455	-0.369125	-0.238229	-0.130674	-0.221809
Chr01	14176294	14487478	-0.641078	-0.347156	-0.186348	-0.434498
Chr01	14333673	14698471	-0.534162	-0.219336	-0.125891	-0.326950
Chr01	14487889	14831446	-0.222509	-0.097505	-0.053257	-0.125931
Chr01	14698486	14948590	0.206852	0.101166	0.059486	0.109803
Chr01	14831526	15078662	0.275200	0.136728	0.078648	0.125181
Chr01	14948638	15174070	0.129164	0.068757	0.037295	0.055107
