chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	212650	394512	-0.242312	-0.185704	-0.116925	-0.157483
Chr01	269063	494437	-0.157581	-0.094735	-0.064373	-0.098743
Chr01	394603	628789	-0.034600	-0.013179	-0.009156	-0.013622
Chr01	494443	826433	-0.015531	-0.006106	-0.003873	-0.003829
Chr01	628797	954705	-0.201076	-0.091598	-0.056864	-0.117393
Chr01	828306	1098490	-0.265983	-0.075180	-0.050536	-0.169360
Chr01	954739	1214097	-0.147234	-0.033703	-0.023331	-0.103446
Chr01	1098545	1390755	-0.165096	-0.042305	-0.028874	-0.116888
Chr01	1214395	1502727	0.053313	0.016248	0.010822	0.030866
Chr01	1390768	1575959	0.080597	0.040482	0.025417	0.051173
Chr01	1502751	1691102	-0.263971	-0.150764	-0.086507	-0.183693
Chr01	1576025	1868196	-0.369385	-0.165428	-0.086015	-0.275320
Chr01	1691126	2046295	-0.422810	-0.178316	-0.091764	-0.319542
Chr01	1868883	2187514	-0.260400	-0.104726	-0.063034	-0.184381
Chr01	2046321	2259984	-0.081329	-0.036964	-0.024649	-0.049914
Chr01	2187525	2411282	-0.139493	-0.093648	-0.056680	-0.085052
Chr01	2260060	2495370	-0.091485	-0.063249	-0.038318	-0.048753
Chr01	2411753	2612240	-0.109717	-0.084243	-0.047316	-0.054794
Chr01	2495378	2682517	-0.116637	-0.110244	-0.054611	-0.067905
Chr01	2612501	2733569	-0.197155	-0.207479	-0.088916	-0.116803
Chr01	2682580	2817764	-0.365190	-0.337195	-0.153579	-0.215280
Chr01	2733697	2931706	-0.384055	-0.319951	-0.170305	-0.231168
Chr01	2817934	3037097	-0.244600	-0.178736	-0.102509	-0.141320
Chr01	2931904	3167911	-0.119982	-0.059266	-0.037679	-0.070475
Chr01	3037114	3312001	-0.198693	-0.079452	-0.049091	-0.124987
Chr01	3167921	3472486	-0.300917	-0.109161	-0.066071	-0.200265
Chr01	3312048	3638951	0.034145	0.011740	0.007908	0.022639
Chr01	3472639	3841588	0.023133	0.008300	0.005516	0.011750
Chr01	3638976	4008439	-0.383897	-0.159356	-0.090399	-0.284480
Chr01	3841649	4139788	-0.324834	-0.122798	-0.074168	-0.221035
Chr01	4008472	4271369	-0.228435	-0.079478	-0.051314	-0.153330
Chr01	4139811	4403513	-0.475955	-0.289807	-0.159057	-0.347958
Chr01	4271379	4480439	-0.399382	-0.335675	-0.185444	-0.261169
Chr01	4403694	4634220	-0.169419	-0.068037	-0.047079	-0.106592
Chr01	4480444	4806531	-0.337549	-0.123064	-0.078798	-0.237970
Chr01	4634518	4980353	-0.452364	-0.158748	-0.102221	-0.319409
Chr01	4806778	5195635	-0.454222	-0.119361	-0.081551	-0.318017
Chr01	4980362	5503436	-0.293419	-0.080290	-0.052833	-0.199405
Chr01	5195677	5721392	-0.144533	-0.048096	-0.031773	-0.096222
Chr01	5503456	5867362	-0.076959	-0.027170	-0.018074	-0.051735
Chr01	5721447	6000333	-0.027980	-0.012325	-0.007543	-0.019097
Chr01	5867369	6201354	0.007882	0.002517	0.001667	0.005854
Chr01	6000450	6387257	-0.318412	-0.105508	-0.069766	-0.264500
Chr01	6203607	6793339	-0.325437	-0.096283	-0.063341	-0.249541
Chr01	6389541	7028957	-0.297377	-0.081359	-0.055493	-0.228727
Chr01	6793558	7221123	-0.367080	-0.122491	-0.087786	-0.304455
Chr01	7029211	7365862	-0.301460	-0.125912	-0.082876	-0.237222
Chr01	7221538	7500225	-0.474478	-0.250232	-0.136125	-0.366861
Chr01	7365866	7689122	-0.442448	-0.164448	-0.097028	-0.323521
Chr01	7500402	7853203	-0.537119	-0.198985	-0.119317	-0.389959
Chr01	7689345	7986177	-0.515893	-0.231359	-0.134885	-0.373436
Chr01	7853305	8131285	-0.329391	-0.128250	-0.079025	-0.220811
Chr01	7986202	8260642	-0.215064	-0.075361	-0.044758	-0.143369
Chr01	8131327	8470450	-0.320967	-0.083299	-0.053816	-0.232641
Chr01	8260652	8568815	-0.503637	-0.166249	-0.106481	-0.381949
Chr01	8470456	8662302	-0.489684	-0.348667	-0.161298	-0.344258
Chr01	8568866	8851171	-0.272228	-0.148832	-0.079797	-0.152767
Chr01	8662355	9154294	-0.089527	-0.045133	-0.026712	-0.031367
Chr01	8851192	9324213	-0.290936	-0.097687	-0.063717	-0.158193
Chr01	9154300	9484826	-0.472141	-0.146929	-0.092483	-0.344245
Chr01	9324254	9653695	-0.274764	-0.111930	-0.065780	-0.203915
Chr01	9484859	9835815	0.072150	0.032282	0.020438	0.042561
Chr01	9653705	9919500	-0.023356	-0.010884	-0.007094	-0.015157
Chr01	9835878	10047540	-0.213588	-0.090765	-0.061366	-0.140919
Chr01	9919518	10192897	-0.111215	-0.045207	-0.028493	-0.064071
Chr01	10047654	10361073	0.276240	0.112282	0.071904	0.175784
Chr01	10192903	10514854	0.056630	0.020612	0.013460	0.041383
Chr01	10361287	11001069	-0.443698	-0.212485	-0.126833	-0.355199
Chr01	10514935	11179850	-0.578130	-0.365149	-0.199529	-0.463229
Chr01	11001070	11328880	-0.468772	-0.214425	-0.122635	-0.354721
Chr01	11179859	11498337	-0.149835	-0.053020	-0.034826	-0.106266
Chr01	11328922	11582143	0.102919	0.045227	0.030855	0.076863
Chr01	11498498	11714561	0.143733	0.077035	0.047263	0.103046
Chr01	11582238	11808115	0.229034	0.116676	0.070436	0.160652
Chr01	11714580	12069956	0.197105	0.108757	0.066803	0.120751
Chr01	11808192	12202777	-0.052761	-0.023659	-0.014702	-0.037611
Chr01	12070054	12350627	-0.507705	-0.221278	-0.121923	-0.373161
Chr01	12202837	12465924	-0.367830	-0.173262	-0.092124	-0.281278
Chr01	12350721	12715260	-0.169427	-0.073498	-0.035237	-0.117258
Chr01	12465985	12872345	-0.670524	-0.262940	-0.132314	-0.575086
Chr01	12715278	13190663	-0.723755	-0.182461	-0.115111	-0.647845
Chr01	12872863	13510684	-0.556704	-0.111873	-0.073660	-0.462154
Chr01	13190711	13724501	-0.484775	-0.132641	-0.081440	-0.407401
Chr01	13510822	13918641	-0.311269	-0.097337	-0.057119	-0.250655
Chr01	13724771	14085717	-0.026367	-0.008939	-0.005356	-0.019651
Chr01	13919583	14239080	-0.086204	-0.034534	-0.020914	-0.057965
Chr01	14085725	14366762	-0.309527	-0.125015	-0.074666	-0.226092
Chr01	14239150	14585245	-0.402344	-0.160430	-0.086293	-0.314254
Chr01	14366764	14708945	-0.415394	-0.157408	-0.088234	-0.344524
Chr01	14585336	14854957	-0.314308	-0.096816	-0.063285	-0.261084
Chr01	14709019	15016740	-0.391619	-0.125815	-0.077911	-0.312297
Chr01	14854958	15146236	-0.413842	-0.168545	-0.096679	-0.316612
Chr01	15017946	15278522	-0.243436	-0.103678	-0.052833	-0.167411
Chr01	15146287	15464456	-0.388338	-0.160247	-0.078985	-0.294430
Chr01	15278798	15621128	-0.435231	-0.163174	-0.089961	-0.321005
Chr01	15464623	15998286	-0.229121	-0.078878	-0.048845	-0.142397
Chr01	15621170	16242125	-0.022616	-0.007369	-0.004837	-0.009395
Chr01	15998320	16430475	0.084134	0.025558	0.016492	0.047765
Chr01	16242390	16563048	-0.312347	-0.178936	-0.094520	-0.219710
Chr01	16430491	16687187	-0.519567	-0.326265	-0.168727	-0.434974
Chr01	16563141	16927612	-0.353749	-0.127994	-0.076999	-0.286871
Chr01	16690004	17096005	-0.194725	-0.056201	-0.036146	-0.156412
Chr01	16927613	17297410	-0.153307	-0.040088	-0.025371	-0.124610
Chr01	17096095	17456598	-0.351526	-0.123201	-0.073086	-0.250956
Chr01	17297425	17532423	-0.443496	-0.298670	-0.158985	-0.250500
Chr01	17456766	17695685	0.016384	0.006235	0.004032	0.011496
Chr01	17532615	17902740	-0.036340	-0.010336	-0.006786	-0.027560
Chr01	17695729	18109536	-0.345869	-0.133660	-0.079488	-0.256631
Chr01	17902983	18240891	-0.431848	-0.235110	-0.130050	-0.317559
Chr01	18109688	18323853	-0.360322	-0.212518	-0.121161	-0.233303
Chr01	18240910	18434529	-0.578277	-0.439371	-0.238828	-0.449488
Chr01	18323861	18559795	-0.633485	-0.488312	-0.270391	-0.525687
Chr01	18434624	18640548	-0.531880	-0.363925	-0.212506	-0.395298
Chr01	18559809	18813826	-0.415365	-0.175351	-0.109614	-0.309745
Chr01	18640606	18958761	-0.217947	-0.074587	-0.048283	-0.155571
Chr01	18813853	19160982	-0.307353	-0.099975	-0.059684	-0.204790
Chr01	18958796	19295484	-0.301355	-0.107906	-0.062935	-0.193624
Chr01	19161230	19488823	-0.016513	-0.004843	-0.002954	-0.011644
Chr01	19295529	19702689	-0.437938	-0.130336	-0.066250	-0.337011
Chr01	19488874	19913225	-0.584956	-0.198047	-0.100504	-0.495998
Chr01	19702693	20026507	-0.374766	-0.130019	-0.075556	-0.312056
