chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	524559	669952	-0.034344	-0.034568	-0.020745	-0.022757
Superscaffold1	669998	818488	-0.038594	-0.024203	-0.014482	-0.022229
Superscaffold1	818496	1046348	0.119042	0.090976	0.043174	0.068374
Superscaffold1	1046492	1301991	-0.135186	-0.069987	-0.042063	-0.067883
Superscaffold1	1302161	1533081	-0.004547	-0.001188	-0.000821	-0.005229
Superscaffold1	1533110	1887440	-0.176567	-0.083656	-0.049594	-0.113714
Superscaffold1	1887449	2227428	-0.341097	-0.127378	-0.071208	-0.255067
Superscaffold1	2227495	2421328	-0.050435	-0.031963	-0.019615	-0.032384
Superscaffold1	2421335	2614310	-0.122729	-0.087089	-0.053145	-0.076897
Superscaffold1	2614311	2785171	0.017921	0.022295	0.010522	0.011008
Superscaffold1	2785205	2971511	-0.222599	-0.220600	-0.097948	-0.119819
Superscaffold1	2971522	3230439	-0.099764	-0.058967	-0.034954	-0.053772
Superscaffold1	3230550	3569745	-0.045869	-0.018371	-0.010818	-0.022198
Superscaffold1	3569859	3967478	-0.174433	-0.057071	-0.034669	-0.101544
Superscaffold1	3967482	4332322	-0.102870	-0.045445	-0.027100	-0.058190
Superscaffold1	4332334	4648003	-0.264714	-0.125441	-0.075233	-0.183263
Superscaffold1	4648024	5049391	-0.143401	-0.059180	-0.039885	-0.088639
Superscaffold1	5049403	5531708	-0.164264	-0.035335	-0.025412	-0.102970
Superscaffold1	5531805	5840308	0.146967	0.056083	0.038208	0.092201
Superscaffold1	5840317	6274503	0.074594	0.024965	0.016452	0.042329
Superscaffold1	6274504	6653657	-0.050370	-0.016440	-0.011044	-0.031362
Superscaffold1	6653732	7075026	-0.354138	-0.134828	-0.082107	-0.238313
Superscaffold1	7075076	7376727	-0.293967	-0.141741	-0.083224	-0.206025
Superscaffold1	7376795	7780960	-0.113073	-0.049993	-0.030740	-0.069163
Superscaffold1	7780973	8442015	-0.028087	-0.011492	-0.006766	-0.010820
Superscaffold1	8442042	8873467	-0.085572	-0.041646	-0.024248	-0.048528
Superscaffold1	8873483	10157531	0.064298	0.019976	0.013630	0.045352
Superscaffold1	10157638	10747539	-0.001307	-0.000592	-0.000385	-0.001291
Superscaffold1	10747630	11059918	-0.130494	-0.049899	-0.031349	-0.076757
Superscaffold1	11059973	11411135	-0.251631	-0.098320	-0.064739	-0.188908
Superscaffold1	11411164	11766148	-0.429690	-0.175140	-0.102039	-0.314610
Superscaffold1	11766261	12114251	0.119599	0.050277	0.033806	0.085131
Superscaffold1	12114285	12405019	-0.044070	-0.021041	-0.012078	-0.024343
Superscaffold1	12405145	12703309	-0.066498	-0.025673	-0.016542	-0.044630
Superscaffold1	12703375	12995804	-0.069565	-0.027946	-0.016300	-0.050013
Superscaffold1	12995825	13727390	-0.060379	-0.011151	-0.007562	-0.047902
