chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	618983	908546	-0.236950	-0.155835	-0.083809	-0.133484
Superscaffold1	908780	1378371	-0.021579	-0.009629	-0.006073	-0.013507
Superscaffold1	1378442	1794023	-0.021744	-0.009782	-0.006194	-0.014348
Superscaffold1	1794031	2156035	0.059573	0.022953	0.011474	0.042171
Superscaffold1	2156107	2429165	0.093479	0.049159	0.030866	0.057967
Superscaffold1	2429309	2707769	0.066706	0.038662	0.024604	0.041781
Superscaffold1	2707803	2944153	-0.046409	-0.031866	-0.016624	-0.029399
Superscaffold1	2944155	3338901	0.032726	0.015599	0.009492	0.017839
Superscaffold1	3338987	3783712	0.075970	0.028810	0.016720	0.046132
Superscaffold1	3783727	4237743	0.060932	0.029025	0.016985	0.041961
Superscaffold1	4237749	4647996	0.245888	0.123578	0.075469	0.184028
Superscaffold1	4648085	5097590	0.174713	0.079891	0.052167	0.108503
Superscaffold1	5097625	5594422	0.367954	0.138357	0.087704	0.263121
Superscaffold1	5594560	5844888	0.166961	0.092251	0.057881	0.089644
Superscaffold1	5844913	6295945	0.086828	0.037179	0.023517	0.058883
Superscaffold1	6296237	6693126	0.160322	0.072269	0.048180	0.114196
Superscaffold1	6693134	7188110	0.289617	0.109194	0.068095	0.212632
Superscaffold1	7188111	7467318	-0.021944	-0.011808	-0.006623	-0.015085
Superscaffold1	7467441	7800589	0.095616	0.051268	0.028554	0.050280
Superscaffold1	7800604	8506754	0.153413	0.077145	0.042258	0.078440
Superscaffold1	8506757	9684936	-0.016749	-0.006098	-0.003948	-0.006814
Superscaffold1	9685117	10606355	0.041275	0.017735	0.011732	0.025537
Superscaffold1	10606473	10974112	0.015642	0.008270	0.004775	0.011904
Superscaffold1	10974349	11342137	0.176216	0.074530	0.046077	0.119229
Superscaffold1	11342280	11735118	-0.057141	-0.020250	-0.012573	-0.039803
Superscaffold1	11735236	12194793	0.056473	0.021082	0.013893	0.035854
Superscaffold1	12195330	12591068	0.183685	0.088941	0.055408	0.118535
Superscaffold1	12591165	12913556	-0.119720	-0.069088	-0.034530	-0.084668
Superscaffold1	12913967	13261283	0.450707	0.218837	0.116003	0.296197
Superscaffold1	13261293	13834273	0.521906	0.225775	0.112591	0.305950
Superscaffold1	13834391	14474739	0.058907	0.019693	0.011660	0.038568
Superscaffold1	14474780	14838402	0.088585	0.037968	0.022777	0.057689
Superscaffold1	14838413	15119193	0.124124	0.057349	0.034923	0.069358
Superscaffold1	15119474	15397102	0.597987	0.280397	0.181170	0.441587
Superscaffold1	15397368	15672221	0.226993	0.113417	0.069611	0.159227
Superscaffold1	15672296	15996629	0.086072	0.039077	0.021664	0.059225
Superscaffold1	15996650	16271181	0.069771	0.031279	0.017390	0.046292
Superscaffold1	16271230	16707309	0.145136	0.055955	0.035659	0.106605
Superscaffold1	16707344	17003360	-0.048167	-0.031711	-0.016665	-0.020643
Superscaffold1	17003371	17459458	0.064662	0.023517	0.014495	0.049652
Superscaffold1	17460391	18288294	0.287761	0.096568	0.057573	0.192911
Superscaffold1	18291585	18666668	-0.176397	-0.071059	-0.043597	-0.126526
Superscaffold1	18670515	19136481	-0.313121	-0.123757	-0.080704	-0.233779
Superscaffold1	19136490	19609159	0.230230	0.110614	0.074675	0.171394
Superscaffold1	19609179	19995867	0.239723	0.073573	0.051428	0.174784
Superscaffold1	19995974	20454535	0.183501	0.059509	0.040928	0.137347
Superscaffold1	20454573	21204885	0.288499	0.085655	0.053910	0.215704
Superscaffold1	21204952	21632842	0.096782	0.034920	0.020680	0.075033
Superscaffold1	21632914	22033969	0.047671	0.023044	0.014456	0.034819
Superscaffold1	22033971	22603327	-0.090911	-0.026820	-0.018094	-0.071563
Superscaffold1	22603477	23022533	-0.562925	-0.246975	-0.146055	-0.460160
Superscaffold1	23022617	23534932	0.380341	0.115585	0.066850	0.316053
Superscaffold1	23534969	23996824	-0.052295	-0.016935	-0.010530	-0.040099
Superscaffold1	23996889	24589351	0.179353	0.038415	0.027336	0.111261
Superscaffold1	24596848	24895049	0.260225	0.122425	0.077231	0.210629
Superscaffold1	24895102	25432378	-0.000160	-0.000051	-0.000030	-0.002856
Superscaffold1	25432460	25817375	0.016715	0.006892	0.004411	0.004520
Superscaffold1	25817487	26227097	0.161796	0.063350	0.038181	0.118397
Superscaffold1	26227422	26540701	0.124860	0.049698	0.028438	0.080268
Superscaffold1	26543751	27073932	0.102506	0.030344	0.017790	0.074685
Superscaffold1	27073985	27432777	0.038579	0.016159	0.008713	0.030031
Superscaffold1	27433247	27814736	0.081887	0.027554	0.017495	0.048914
Superscaffold1	27814780	28019164	-0.175607	-0.133208	-0.066947	-0.101886
Superscaffold1	28019181	28428746	0.277699	0.088143	0.058499	0.201474
Superscaffold1	28428934	29084384	0.166316	0.044233	0.030056	0.116433
Superscaffold1	29084437	29475178	-0.090891	-0.028980	-0.019528	-0.072040
Superscaffold1	29475201	29963489	-0.013971	-0.003956	-0.002152	-0.008901
Superscaffold1	29963631	30522898	0.021902	0.009295	0.006037	0.013966
Superscaffold1	30523009	31022708	0.023101	0.008697	0.005649	0.015597
Superscaffold1	31022716	31591638	0.002693	0.000691	0.000446	0.000614
Superscaffold1	31591640	32429717	0.186349	0.053363	0.033653	0.144490
Superscaffold1	32429885	32950822	0.236368	0.070670	0.046075	0.173801
Superscaffold1	32950871	33454563	0.020692	0.006603	0.004235	0.021233
Superscaffold1	33454602	33777487	0.037135	0.017562	0.011387	0.026876
Superscaffold1	33777503	34065710	0.080228	0.026957	0.019036	0.053888
Superscaffold1	34066019	34354390	0.281047	0.090761	0.058290	0.188410
Superscaffold1	34354399	34713925	-0.172946	-0.101889	-0.054970	-0.113873
Superscaffold1	34713970	35200164	0.074367	0.018404	0.013266	0.049613
Superscaffold1	35200227	35948012	0.264783	0.109379	0.070569	0.180118
Superscaffold1	35948124	36922308	0.033200	0.011310	0.007130	0.022720
Superscaffold1	36922320	37323490	0.183175	0.066778	0.045866	0.145415
Superscaffold1	37324732	37722147	0.258902	0.074630	0.050191	0.191996
Superscaffold1	37722459	38313841	0.002875	0.001230	0.000829	0.005899
Superscaffold1	38313852	38730490	-0.284010	-0.078652	-0.054134	-0.207262
Superscaffold1	38730564	39081699	0.092493	0.024572	0.016582	0.078589
Superscaffold1	39081925	39584504	0.278302	0.105608	0.063351	0.231785
Superscaffold1	39587519	39921852	0.696230	0.317360	0.204813	0.616384
Superscaffold1	39921941	40350820	0.075401	0.018135	0.012499	0.058789
Superscaffold1	40350913	40887283	0.016948	0.004237	0.002876	0.012485
Superscaffold1	40887497	41456082	0.249602	0.066575	0.040304	0.191554
Superscaffold1	41456295	41873452	0.177971	0.063396	0.038480	0.159149
Superscaffold1	41873733	42313292	-0.199775	-0.076920	-0.046569	-0.161850
Superscaffold1	42313349	42766575	0.193836	0.067272	0.041662	0.154455
Superscaffold1	42766581	43309814	0.183252	0.045777	0.027379	0.143026
Superscaffold1	43309890	43815553	0.212568	0.051184	0.029672	0.171045
Superscaffold1	43819699	44180071	0.228811	0.088329	0.044338	0.160712
Superscaffold1	44180081	44733825	0.284647	0.091763	0.044838	0.220420
