chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	585030	824206	0.124563	0.070603	0.050216	0.064757
Superscaffold1	824230	1242386	0.054294	0.023948	0.016491	0.024692
Superscaffold1	1242393	1467643	-0.009735	-0.008514	-0.005139	-0.006189
Superscaffold1	1467725	1875760	-0.087412	-0.041853	-0.028097	-0.047478
Superscaffold1	1875973	2254675	-0.065099	-0.028357	-0.017060	-0.035014
Superscaffold1	2254712	2521580	-0.133308	-0.087384	-0.056349	-0.081377
Superscaffold1	2521596	2792539	0.094270	0.061840	0.040054	0.054201
Superscaffold1	2792555	3075181	0.025654	0.019247	0.009989	0.016376
Superscaffold1	3075192	3349322	-0.025461	-0.018055	-0.010960	-0.015590
Superscaffold1	3349357	3750316	-0.007803	-0.003724	-0.002587	-0.003500
Superscaffold1	3750317	4166379	-0.058853	-0.027936	-0.017501	-0.035223
Superscaffold1	4167733	4498145	-0.015153	-0.008419	-0.005562	-0.006028
Superscaffold1	4498182	4881273	-0.026388	-0.017167	-0.010839	-0.017141
Superscaffold1	4881344	5238771	-0.200703	-0.116378	-0.074937	-0.130357
Superscaffold1	5239141	5576985	-0.253322	-0.171706	-0.107516	-0.177538
Superscaffold1	5576996	5806099	-0.139459	-0.112109	-0.068035	-0.086523
Superscaffold1	5806276	6197220	-0.103201	-0.051557	-0.033961	-0.065515
Superscaffold1	6197275	6456295	-0.148508	-0.081030	-0.052094	-0.083532
Superscaffold1	6456746	6809075	-0.204711	-0.112447	-0.073330	-0.132077
Superscaffold1	6809086	7248422	-0.244086	-0.116680	-0.075091	-0.133496
Superscaffold1	7248435	7697871	-0.080042	-0.041355	-0.027672	-0.050075
Superscaffold1	7697878	8532434	-0.056400	-0.026300	-0.017642	-0.033887
Superscaffold1	8532534	9714158	-0.089834	-0.045140	-0.030753	-0.063211
Superscaffold1	9714169	10646896	0.074028	0.041048	0.027504	0.045212
Superscaffold1	10647186	10963940	-0.059367	-0.037397	-0.023384	-0.032467
Superscaffold1	10963975	11330781	-0.096809	-0.050188	-0.036099	-0.058321
Superscaffold1	11330803	11684433	-0.100952	-0.033236	-0.025574	-0.062324
Superscaffold1	11684482	11994316	-0.129696	-0.081653	-0.049113	-0.069961
Superscaffold1	11994335	12406539	-0.096702	-0.052773	-0.034808	-0.053994
Superscaffold1	12406621	12818083	-0.053709	-0.028386	-0.019007	-0.034055
Superscaffold1	12818142	13372175	-0.117168	-0.036273	-0.026869	-0.079640
Superscaffold1	13372433	14003291	-0.252699	-0.074482	-0.052320	-0.154541
Superscaffold1	14003534	14647769	-0.057913	-0.023549	-0.015289	-0.039250
Superscaffold1	14647771	15044207	0.040839	0.019583	0.012898	0.024803
Superscaffold1	15044363	15333533	0.545081	0.301019	0.189696	0.441324
Superscaffold1	15333789	15640542	0.061545	0.035849	0.021510	0.040033
Superscaffold1	15640929	15975502	-0.197362	-0.085289	-0.052086	-0.129114
Superscaffold1	15975577	16349259	-0.335955	-0.162820	-0.088648	-0.220541
Superscaffold1	16349535	16730860	-0.072960	-0.041477	-0.026558	-0.042741
Superscaffold1	16730890	17108258	0.073820	0.054009	0.035058	0.040877
Superscaffold1	17108288	17775507	-0.016849	-0.006327	-0.004537	-0.010810
Superscaffold1	17775597	18376855	0.000372	0.000232	0.000133	-0.002332
Superscaffold1	18376866	18882905	-0.215995	-0.113143	-0.071218	-0.131891
Superscaffold1	18883005	19237332	-0.043290	-0.021288	-0.015060	-0.032783
Superscaffold1	19237494	19770456	-0.190691	-0.069415	-0.053291	-0.123573
Superscaffold1	19770493	20025208	-0.277426	-0.126843	-0.090609	-0.176157
Superscaffold1	20025224	20375816	-0.136247	-0.079084	-0.049770	-0.095067
Superscaffold1	20375834	21167186	0.007711	0.003131	0.001860	0.004478
Superscaffold1	21167228	21550647	-0.125903	-0.063108	-0.036954	-0.083968
Superscaffold1	21550731	22018169	0.053264	0.023072	0.016749	0.033661
Superscaffold1	22018289	22577128	0.047325	0.017394	0.011793	0.029590
Superscaffold1	22577641	23392129	0.234306	0.047204	0.034673	0.154760
Superscaffold1	23393226	23916647	0.043249	0.015676	0.010737	0.030497
Superscaffold1	23916686	24249268	-0.423384	-0.375944	-0.189582	-0.304627
Superscaffold1	24249303	24723020	0.024645	0.009374	0.006648	0.017537
Superscaffold1	24723055	25190670	0.014397	0.007316	0.004700	0.007767
Superscaffold1	25190721	25562892	-0.296540	-0.147671	-0.091805	-0.168052
Superscaffold1	25562959	25828027	-0.094787	-0.052138	-0.036457	-0.043708
Superscaffold1	25828178	26149891	-0.073477	-0.051582	-0.031236	-0.043254
Superscaffold1	26150039	26481906	-0.264004	-0.095993	-0.064199	-0.161162
Superscaffold1	26482274	26899598	-0.675264	-0.544469	-0.248463	-0.533860
Superscaffold1	26899612	27235763	-0.215598	-0.087932	-0.046470	-0.161965
Superscaffold1	27235792	27479416	-0.370877	-0.466906	-0.174325	-0.233476
Superscaffold1	27479418	27834859	-0.112064	-0.052015	-0.034481	-0.071459
Superscaffold1	27834994	28106693	-0.142360	-0.105603	-0.059350	-0.075771
Superscaffold1	28106779	28394339	0.122951	0.087628	0.052157	0.080247
Superscaffold1	28394482	28705834	-0.306097	-0.398714	-0.205003	-0.201107
Superscaffold1	28705894	29070041	-0.297608	-0.179513	-0.089599	-0.174214
Superscaffold1	29070066	29456947	-0.293822	-0.132431	-0.088921	-0.200715
Superscaffold1	29456981	29833640	-0.194228	-0.091946	-0.052672	-0.125271
Superscaffold1	29833677	30240404	-0.088084	-0.056261	-0.035833	-0.059407
Superscaffold1	30240438	30753236	-0.219054	-0.175664	-0.095908	-0.152823
Superscaffold1	30753302	31037485	-0.646402	-0.526714	-0.263824	-0.470079
Superscaffold1	31037746	31544889	0.021167	0.006268	0.004279	0.012765
Superscaffold1	31544890	31872311	-0.163698	-0.086351	-0.058009	-0.117802
Superscaffold1	31872313	32453158	-0.014129	-0.006237	-0.004373	-0.008906
Superscaffold1	32457828	32892690	0.379788	0.179447	0.125733	0.273667
Superscaffold1	32892719	33387655	-0.226754	-0.098970	-0.067921	-0.155233
Superscaffold1	33387685	33570047	-0.273516	-0.137368	-0.094552	-0.173852
Superscaffold1	33570130	33894756	0.074326	0.047391	0.031691	0.041557
Superscaffold1	33894796	34160201	-0.335874	-0.158950	-0.101027	-0.213870
Superscaffold1	34160256	34587601	0.021186	0.009171	0.006503	0.010822
Superscaffold1	34587679	35153190	-0.221981	-0.077847	-0.053913	-0.149782
Superscaffold1	35155080	35985504	-0.187569	-0.081425	-0.054091	-0.136555
Superscaffold1	35985774	36977147	-0.185202	-0.069918	-0.046343	-0.119900
Superscaffold1	36977228	37264031	-0.286883	-0.201568	-0.127363	-0.186975
Superscaffold1	37264033	37564446	0.138094	0.064295	0.042097	0.098622
Superscaffold1	37564485	38163852	-0.115798	-0.061452	-0.040629	-0.078418
Superscaffold1	38163964	38522961	-0.048968	-0.013632	-0.009952	-0.030960
Superscaffold1	38522962	38878780	-0.305900	-0.115546	-0.084809	-0.187293
Superscaffold1	38878849	39195821	0.086408	0.026638	0.020594	0.055303
Superscaffold1	39195908	39635541	0.064826	0.024266	0.015525	0.039793
Superscaffold1	39635556	39991872	-0.300648	-0.074616	-0.056363	-0.216627
Superscaffold1	39992041	40340202	-0.196532	-0.081285	-0.059767	-0.106036
Superscaffold1	40340217	40813455	0.103282	0.045581	0.034559	0.071071
Superscaffold1	40813832	41361945	-0.647135	-0.281088	-0.165023	-0.526259
Superscaffold1	41362906	41830105	0.255019	0.095988	0.062992	0.184236
Superscaffold1	41830166	42312709	-0.084528	-0.039565	-0.022504	-0.077915
Superscaffold1	42312728	43007405	-0.046045	-0.013891	-0.009357	-0.027385
Superscaffold1	43007413	43844455	-0.295061	-0.053240	-0.038273	-0.193339
Superscaffold1	43844599	44804998	0.094435	0.015614	0.011301	0.053773
Superscaffold1	44805092	45524378	0.134214	0.064102	0.045789	0.086507
Superscaffold1	45524641	46489907	-0.226528	-0.069648	-0.048697	-0.121329
Superscaffold1	46491353	47938507	0.026962	0.004712	0.003909	0.010703
Superscaffold1	47938932	48591358	-0.090339	-0.016303	-0.012337	-0.056512
Superscaffold1	48591544	49252460	-0.137914	-0.051988	-0.035088	-0.081747
Superscaffold1	49252518	50007821	0.116595	0.031349	0.023444	0.064411
Superscaffold1	50007830	50315415	0.358451	0.113947	0.076303	0.302357
Superscaffold1	50315498	50679944	-0.349996	-0.305416	-0.167950	-0.258906
Superscaffold1	50679963	51052895	-0.012574	-0.010552	-0.007028	-0.008067
Superscaffold2	61792	424409	-0.324588	-0.229540	-0.130900	-0.198297
Superscaffold2	424421	717428	-0.379519	-0.241259	-0.138956	-0.240314
Superscaffold2	717550	1074781	-0.420912	-0.225786	-0.139925	-0.306766
Superscaffold2	1074975	1434250	-0.438088	-0.202548	-0.136527	-0.312928
Superscaffold2	1434620	1755384	-0.492700	-0.332221	-0.176341	-0.348592
Superscaffold2	1755391	2101890	0.138821	0.050672	0.035603	0.076482
Superscaffold2	2101921	2497324	-0.175649	-0.076476	-0.051910	-0.101292
Superscaffold2	2497413	3461868	-0.003961	-0.002040	-0.001289	-0.005126
Superscaffold2	3461905	4070283	0.078992	0.026909	0.017253	0.053045
Superscaffold2	4072572	4649165	-0.123189	-0.039783	-0.027263	-0.076219
Superscaffold2	4649247	4967883	-0.050739	-0.023038	-0.015061	-0.031566
Superscaffold2	4967947	5380163	0.040069	0.027467	0.015514	0.024277
Superscaffold2	5380367	6128023	-0.093664	-0.030839	-0.021463	-0.051700
Superscaffold2	6128173	6544695	-0.292726	-0.158107	-0.100302	-0.199714
Superscaffold2	6544697	7464301	0.113937	0.025068	0.018936	0.079230
Superscaffold2	7464363	7829715	-0.027654	-0.010196	-0.007199	-0.015344
Superscaffold2	7829717	8308145	-0.127431	-0.050824	-0.034607	-0.071196
Superscaffold2	8308329	8928810	0.010102	0.003823	0.002771	0.003922
Superscaffold2	8929456	9462088	-0.124882	-0.055805	-0.036999	-0.074215
Superscaffold2	9462123	10003221	-0.135838	-0.056321	-0.036254	-0.087780
Superscaffold2	10003270	10532706	-0.339188	-0.157481	-0.100608	-0.231696
Superscaffold2	10532751	10928602	-0.194126	-0.117079	-0.066514	-0.123119
Superscaffold2	10931786	11542165	-0.080460	-0.026987	-0.018622	-0.052409
Superscaffold2	11542571	12872939	-0.036212	-0.011409	-0.007877	-0.023284
Superscaffold2	12872981	13446833	-0.126021	-0.043255	-0.029775	-0.083266
Superscaffold2	13446924	14125042	0.002133	0.000560	0.000394	0.002787
Superscaffold2	14125134	14703126	-0.175190	-0.077865	-0.044737	-0.115809
Superscaffold2	14703137	15215578	-0.164856	-0.054805	-0.034901	-0.089228
Superscaffold2	15215629	16413020	-0.192613	-0.122307	-0.063978	-0.126566
Superscaffold2	16414931	16780267	0.039046	0.027037	0.015906	0.020477
Superscaffold2	16781008	17323017	-0.256323	-0.146972	-0.084700	-0.157311
Superscaffold2	17323056	17863125	0.116475	0.044393	0.030018	0.068496
Superscaffold2	17863174	18644819	-0.074250	-0.015750	-0.011843	-0.043929
Superscaffold2	18644864	19297171	-0.075288	-0.023353	-0.015517	-0.048851
Superscaffold2	19297202	19876205	-0.046791	-0.026988	-0.014785	-0.018719
Superscaffold2	19876463	20433794	-0.182842	-0.046765	-0.033781	-0.123597
Superscaffold2	20434820	20931835	0.069561	0.043754	0.029859	0.044322
Superscaffold2	20931927	21536165	0.022062	0.005031	0.003771	0.012456
Superscaffold2	21536655	22230896	-0.308124	-0.064264	-0.047789	-0.231835
Superscaffold2	22230909	22805289	-0.097703	-0.044212	-0.028296	-0.064905
Superscaffold2	22805293	23515924	-0.062320	-0.011176	-0.009107	-0.035745
Superscaffold2	23516023	23990936	-0.341081	-0.163986	-0.096043	-0.263586
Superscaffold2	23992503	24394663	-0.138385	-0.051728	-0.034503	-0.086120
Superscaffold2	24394794	25009983	0.001807	0.000472	0.000319	0.000138
Superscaffold2	25009986	25560237	0.012487	0.005379	0.003169	0.009624
Superscaffold2	25560427	26134832	-0.020941	-0.006275	-0.004339	-0.021035
Superscaffold2	26135399	26783511	0.000216	0.000054	0.000039	-0.000703
Superscaffold2	26783532	27211532	-0.298297	-0.103488	-0.070830	-0.185957
Superscaffold2	27211566	27550192	0.314370	0.179539	0.115142	0.177904
Superscaffold2	27550274	28589617	0.079913	0.033182	0.023829	0.047303
Superscaffold2	28590108	29083300	0.095603	0.041252	0.027201	0.069113
Superscaffold2	29083336	29534890	-0.191339	-0.062374	-0.044517	-0.116317
Superscaffold2	29534912	30150288	-0.202744	-0.067578	-0.045763	-0.123048
Superscaffold2	30150402	30840252	-0.170504	-0.059188	-0.036666	-0.126837
Superscaffold2	30840254	31309911	0.016610	0.005961	0.004027	0.011627
Superscaffold2	31310704	31806028	-0.199730	-0.067051	-0.045463	-0.134030
Superscaffold2	31806062	32559645	-0.057386	-0.021347	-0.014517	-0.032349
Superscaffold2	32559864	33022579	-0.035953	-0.012922	-0.008612	-0.023887
Superscaffold2	33022602	33575737	-0.228901	-0.083572	-0.052101	-0.148200
Superscaffold2	33575741	34200267	-0.160173	-0.058524	-0.037573	-0.110425
Superscaffold2	34200276	34864338	-0.130969	-0.031025	-0.021895	-0.082035
Superscaffold2	34864348	35660606	0.025145	0.004612	0.003316	0.020710
Superscaffold2	35660735	36520422	0.007941	0.002218	0.001634	0.002812
Superscaffold2	36520607	36957329	-0.109471	-0.045076	-0.030562	-0.080691
Superscaffold2	36957616	37418198	-0.192530	-0.074477	-0.050941	-0.128702
Superscaffold2	37418222	37786781	0.061456	0.028640	0.017082	0.035010
Superscaffold2	37786805	38667299	0.153065	0.045787	0.029233	0.101255
Superscaffold2	38667363	38946001	0.050602	0.023241	0.014169	0.034613
Superscaffold2	38946740	39624342	-0.164341	-0.038300	-0.026681	-0.110877
Superscaffold2	39624351	39993007	0.061718	0.034989	0.021663	0.041944
Superscaffold2	39993060	40391044	-0.275204	-0.110154	-0.069996	-0.174510
Superscaffold2	40391097	40750032	-0.291015	-0.137960	-0.082521	-0.215718
Superscaffold2	40750617	41115215	0.476840	0.178808	0.127669	0.403699
Superscaffold2	41115236	41418308	0.060329	0.026495	0.016994	0.040189
Superscaffold2	41418429	42018898	0.271637	0.078819	0.050721	0.222113
Superscaffold2	42019256	42501531	-0.040681	-0.013891	-0.008696	-0.029813
Superscaffold2	42501535	42981335	0.028076	0.009111	0.006475	0.018491
Superscaffold2	42981361	43527827	0.186729	0.037124	0.029901	0.108928
Superscaffold2	43528048	44404198	0.226762	0.046417	0.035558	0.169870
Superscaffold2	44404201	46231297	-0.000064	-0.000005	-0.000005	-0.003136
Superscaffold2	46231522	47570571	0.100073	0.009160	0.007286	0.071722
Superscaffold2	47570648	48608120	-0.056509	-0.009906	-0.007418	-0.040354
Superscaffold2	48609054	49150852	-0.273344	-0.068326	-0.050829	-0.215707
Superscaffold2	49151164	49816174	0.104134	0.028668	0.017992	0.075792
Superscaffold2	49816236	50408449	-0.048959	-0.017195	-0.010695	-0.036307
Superscaffold2	50408458	51076973	-0.272513	-0.085323	-0.054189	-0.203811
Superscaffold2	51076999	51743812	0.080186	0.014864	0.011658	0.055154
Superscaffold2	51744168	52147167	-0.189400	-0.044178	-0.034439	-0.131397
Superscaffold2	52147193	52532658	-0.129475	-0.044466	-0.023739	-0.094100
Superscaffold2	52532680	52848806	-0.014159	-0.007840	-0.005266	-0.006427
Superscaffold2	52849003	53244838	-0.195905	-0.126335	-0.070732	-0.123348
Superscaffold2	53246938	53935784	-0.274673	-0.154411	-0.090393	-0.198481
Superscaffold2	53935787	54285828	0.048010	0.026206	0.014679	0.031175
