chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	556001	704874	-0.236155	-0.202341	-0.119744	-0.148828
Superscaffold1	704971	873805	0.131968	0.078440	0.045294	0.077379
Superscaffold1	873855	1185525	-0.008476	-0.004163	-0.002549	-0.000930
Superscaffold1	1185714	1432577	0.028676	0.009494	0.006436	0.015588
Superscaffold1	1432595	1731197	0.008978	0.003193	0.002059	0.004953
Superscaffold1	1731305	2060406	-0.297257	-0.122674	-0.065704	-0.210935
Superscaffold1	2060680	2338200	-0.221817	-0.091776	-0.057433	-0.167497
Superscaffold1	2338298	2522153	-0.152842	-0.120993	-0.071018	-0.103295
Superscaffold1	2522179	2727152	-0.028318	-0.020126	-0.012038	-0.012541
Superscaffold1	2727300	2876513	-0.072365	-0.074944	-0.036624	-0.039948
Superscaffold1	2876736	3106414	-0.268957	-0.235097	-0.112509	-0.175043
Superscaffold1	3106429	3473508	0.041060	0.014764	0.009510	0.022819
Superscaffold1	3473583	3865640	-0.136089	-0.047265	-0.028219	-0.079164
Superscaffold1	3866037	4202135	-0.199882	-0.080732	-0.047149	-0.116648
Superscaffold1	4202170	4568809	-0.080268	-0.031088	-0.020190	-0.048959
Superscaffold1	4568848	4908029	-0.280843	-0.147715	-0.092965	-0.179301
Superscaffold1	4908098	5341912	-0.061460	-0.019031	-0.013002	-0.039560
Superscaffold1	5341942	5741387	0.024214	0.006223	0.004548	0.014086
Superscaffold1	5741473	6152746	0.092432	0.032749	0.021686	0.050983
Superscaffold1	6152764	6619868	-0.009676	-0.002588	-0.001814	-0.000699
Superscaffold1	6619880	7039970	-0.178891	-0.064175	-0.041358	-0.116680
Superscaffold1	7039983	7333964	-0.289770	-0.126895	-0.076426	-0.191416
Superscaffold1	7334131	7772354	-0.219412	-0.090552	-0.057718	-0.141826
Superscaffold1	7772703	8447933	-0.270129	-0.110553	-0.066161	-0.164898
Superscaffold1	8448309	9002043	-0.057266	-0.025271	-0.015773	-0.030141
Superscaffold1	9010767	10057748	0.144644	0.054765	0.036165	0.096749
Superscaffold1	10057751	10685915	0.017636	0.008175	0.005115	0.012374
Superscaffold1	10685959	10963140	-0.138595	-0.068632	-0.040963	-0.086182
Superscaffold1	10963207	11248257	0.070216	0.026554	0.017356	0.049204
Superscaffold1	11248283	11580391	-0.432591	-0.212439	-0.130170	-0.325368
Superscaffold1	11580403	11990975	-0.027715	-0.008460	-0.005540	-0.020599
Superscaffold1	11990996	12298068	0.060015	0.027348	0.016221	0.042033
Superscaffold1	12298231	12572167	0.035360	0.020053	0.012738	0.014746
Superscaffold1	12572175	12896643	-0.173855	-0.061286	-0.037191	-0.125139
Superscaffold1	12896654	13360210	0.062337	0.017531	0.011030	0.044934
Superscaffold1	13360219	14027269	0.003741	0.000672	0.000437	0.005129
