chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60374	68663	0.085984	0.035852	0.027443	0.074029
Chr01	68737	73399	0.469406	0.272238	0.223374	0.397254
Chr01	73526	79637	-0.773050	-0.451991	-0.266566	-0.645369
Chr01	79638	121260	-0.756728	-0.448730	-0.246868	-0.611849
Chr01	121311	148175	-0.001490	-0.001119	-0.000417	0.000244
Chr01	148259	152463	-0.076443	-0.403238	-0.028480	-0.017835
Chr01	152485	160600	-0.149687	-0.299059	-0.074932	-0.049276
Chr01	160626	168129	-0.456797	-0.609215	-0.223242	-0.248300
Chr01	168175	184056	-0.208506	-0.592995	-0.226594	-0.118251
Chr01	184060	186335	-0.202925	-0.839896	-0.268725	-0.114491
Chr01	186360	191712	-0.053910	-0.201785	-0.066469	-0.022134
Chr01	191845	202866	-0.154831	-0.317096	-0.139570	-0.070948
Chr01	202898	206360	0.074092	0.109026	0.061773	0.029159
Chr01	206362	209566	0.098830	0.143434	0.079093	0.037261
Chr01	209570	213533	0.121742	0.188015	0.107209	0.057165
Chr01	213591	216833	0.070675	0.136427	0.072158	0.034259
Chr01	216867	219042	0.191208	0.387732	0.209158	0.063009
Chr01	219069	221854	0.046285	0.095666	0.045511	0.020690
Chr01	221860	226296	-0.008928	-0.011720	-0.007610	-0.004143
Chr01	226352	231686	0.115617	0.141566	0.102944	0.040770
Chr01	231725	236860	-0.011333	-0.023277	-0.012102	-0.000620
Chr01	236887	243322	0.060521	0.076671	0.045349	0.027856
Chr01	243403	248790	0.073490	0.073797	0.052020	0.020692
Chr01	248853	251702	0.199346	0.184731	0.132076	0.055087
Chr01	251721	254882	0.008076	0.010130	0.006048	-0.008465
Chr01	255018	257972	-0.191228	-0.141332	-0.083205	-0.080275
Chr01	258002	261388	-0.120452	-0.100608	-0.063611	-0.049255
Chr01	261393	263458	-0.005516	-0.008354	-0.004270	-0.002637
Chr01	263466	265461	-0.162941	-0.173786	-0.106250	-0.082805
Chr01	265462	271205	-0.222245	-0.235747	-0.137990	-0.124826
Chr01	271261	275660	-0.109032	-0.110979	-0.043550	-0.042421
Chr01	275677	280065	-0.042160	-0.047823	-0.026361	-0.018668
Chr01	280082	291323	-0.239628	-0.349784	-0.140449	-0.125708
Chr01	292506	310035	-0.052000	-0.037475	-0.020847	-0.030612
Chr01	310040	315008	-0.137305	-0.148244	-0.100095	-0.112858
Chr01	315065	318953	-0.426275	-0.926799	-0.295021	-0.224077
Chr01	319100	325912	-0.547473	-1.151424	-0.336385	-0.363697
Chr01	325974	334615	-0.363097	-0.276115	-0.152575	-0.237781
Chr01	334659	344387	-0.475814	-0.256573	-0.154004	-0.143132
Chr01	344502	351773	-0.273032	-0.323167	-0.175032	-0.151805
Chr01	351825	369854	-0.658268	-0.370561	-0.237771	-0.434368
Chr01	370060	388040	-0.000016	-0.000010	-0.000007	-0.002789
Chr01	388067	392923	-0.124622	-0.088602	-0.063829	-0.065459
Chr01	393046	401190	-0.124183	-0.147086	-0.081400	-0.042745
Chr01	401231	404698	-0.066562	-0.184953	-0.072878	-0.020805
Chr01	404699	416269	-0.109717	-0.091280	-0.038380	-0.037043
Chr01	416283	425952	0.327857	0.209734	0.146067	0.205912
Chr01	426198	432561	-0.087108	-0.094592	-0.043830	-0.041109
Chr01	432703	438999	0.230273	0.176306	0.088852	0.086437
Chr01	439012	447575	-0.558859	-0.109665	-0.087830	-0.084897
Chr01	447858	452863	-0.037562	-0.023302	-0.015971	-0.018218
Chr01	452883	464711	-0.490795	-0.437033	-0.253266	-0.252874
Chr01	464727	473456	-0.358290	-0.383270	-0.246861	-0.228221
Chr01	473474	478886	-0.426755	-0.494759	-0.291857	-0.324876
Chr01	478896	482612	-0.443559	-0.526106	-0.299332	-0.295584
Chr01	482636	488317	-0.456257	-0.354020	-0.194674	-0.260395
Chr01	488340	496497	-0.179859	-0.120103	-0.069090	-0.080886
Chr01	496550	501288	-0.238980	-0.102255	-0.066229	-0.155702
Chr01	501402	511930	-0.237080	-0.219803	-0.104850	-0.104059
Chr01	512004	516619	-0.385189	-0.358200	-0.158707	-0.158834
Chr01	516622	521437	-0.145877	-0.303682	-0.069407	-0.058101
Chr01	521440	526307	0.161656	0.286440	0.101249	0.064396
Chr01	526332	529988	0.117435	0.130810	0.056358	0.031504
Chr01	529991	544894	-0.254419	-0.607707	-0.084425	-0.073977
Chr01	544915	557192	-0.369578	-0.846796	-0.115014	-0.123428
Chr01	557249	563352	-0.142624	-0.118895	-0.052542	-0.085375
Chr01	563471	572847	0.220516	0.192393	0.093333	0.107910
Chr01	572970	576504	0.442439	0.318998	0.191931	0.168741
Chr01	576520	578948	0.066160	0.066402	0.034191	0.006769
Chr01	578982	588506	0.381252	0.287926	0.212470	0.258429
Chr01	588621	605930	0.628919	0.402621	0.281430	0.469325
Chr01	605969	611052	0.500978	0.409266	0.282554	0.282420
Chr01	611059	620976	-0.017365	-0.011983	-0.007235	0.005615
Chr01	621357	627738	-0.142247	-0.083154	-0.057403	-0.030253
Chr01	627787	633179	0.145084	0.100460	0.065605	0.044990
Chr01	633182	641010	0.520190	0.183516	0.136567	0.140389
Chr01	641019	650399	-0.001115	-0.000867	-0.000416	0.005221
Chr01	650411	655496	-0.151348	-0.070497	-0.041382	-0.037599
Chr01	655498	659162	0.350064	0.198181	0.132259	0.165935
Chr01	659316	668458	0.210760	0.072453	0.059014	0.132484
Chr01	668606	677672	-0.001939	-0.001226	-0.000812	0.016489
Chr01	678478	694564	-0.400267	-0.274345	-0.141831	-0.205899
Chr01	694625	713176	-0.557267	-0.389777	-0.174940	-0.317851
Chr01	713200	762520	-0.477537	-0.441635	-0.213701	-0.349624
Chr01	762521	804603	-0.523830	-0.285554	-0.152382	-0.261720
Chr01	804659	832474	-0.242189	-0.126485	-0.076094	-0.120122
Chr01	832517	841211	-0.846487	-0.368401	-0.194960	-0.506479
