chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	189729	318529	-0.314735	-0.683612	-0.211001	-0.133276
Chr01	241174	433513	-0.324417	-0.372061	-0.146877	-0.122407
Chr01	318530	540516	0.009544	0.008952	0.003426	0.005428
Chr01	433549	655084	-0.042192	-0.050628	-0.016460	-0.013862
Chr01	542430	847101	-0.187202	-0.248965	-0.079704	-0.070493
Chr01	655112	956829	-0.069823	-0.097204	-0.026107	-0.018305
Chr01	847249	1099204	0.000521	0.000441	0.000169	0.000354
Chr01	956846	1255951	-0.090892	-0.053459	-0.029599	-0.044222
Chr01	1099226	1435907	-0.241859	-0.158794	-0.087762	-0.098620
Chr01	1255966	1539975	-0.265681	-0.189859	-0.099141	-0.102660
Chr01	1436118	1657069	-0.036797	-0.020158	-0.011664	-0.015210
Chr01	1539988	1812987	0.114076	0.044811	0.030133	0.050336
Chr01	1657205	2013367	0.156294	0.054997	0.036806	0.068879
Chr01	1812993	2121592	0.200240	0.089963	0.051813	0.080582
Chr01	2013615	2222663	0.211564	0.140509	0.076666	0.103992
Chr01	2121668	2282154	0.162775	0.129041	0.070232	0.083256
Chr01	2222762	2436537	0.088895	0.075903	0.041688	0.050582
Chr01	2282241	2513074	0.118135	0.094724	0.051518	0.066253
Chr01	2436567	2618473	0.044282	0.044121	0.022095	0.019400
Chr01	2513153	2702876	-0.096205	-0.087821	-0.049875	-0.052800
Chr01	2618485	2750586	-0.156367	-0.124265	-0.072976	-0.074437
Chr01	2702883	2821434	0.081924	0.072580	0.039193	0.042705
Chr01	2750649	2932658	0.139718	0.127987	0.065194	0.070724
Chr01	2821448	3031684	-0.014451	-0.011459	-0.005797	-0.004595
Chr01	2932670	3160239	-0.030065	-0.021138	-0.011670	-0.010139
Chr01	3031818	3305434	-0.024844	-0.015158	-0.008176	-0.008786
Chr01	3160297	3456288	0.059466	0.032593	0.016570	0.022394
Chr01	3305435	3588048	0.051714	0.034126	0.016067	0.025088
Chr01	3456413	3777271	-0.002414	-0.001497	-0.000811	-0.000471
Chr01	3588063	3910792	0.060394	0.031616	0.020465	0.018854
Chr01	3777356	4033568	0.121925	0.071292	0.044815	0.038841
Chr01	3912993	4153297	0.124700	0.086858	0.044246	0.062556
Chr01	4034019	4277783	0.152133	0.091924	0.044300	0.086943
Chr01	4153609	4378331	0.136557	0.077570	0.044618	0.063598
Chr01	4277870	4453414	-0.000267	-0.000231	-0.000142	-0.001605
Chr01	4378754	4526763	0.005058	0.005065	0.002698	0.002616
Chr01	4453441	4624666	0.010898	0.010685	0.005032	0.005104
Chr01	4526788	4754866	-0.033845	-0.025454	-0.013081	-0.010973
Chr01	4624675	4868673	0.012190	0.007414	0.004273	0.008023
Chr01	4754918	4963665	-0.015173	-0.013212	-0.006089	-0.000761
Chr01	4868768	5114434	0.088689	0.079431	0.034880	0.041444
Chr01	4963782	5224262	0.275509	0.179975	0.104977	0.135567
Chr01	5114662	5563052	0.201048	0.092108	0.066029	0.119460
Chr01	5225189	5693583	0.166240	0.074721	0.051546	0.086637
Chr01	5563068	5802972	0.213562	0.144887	0.075434	0.086711
Chr01	5693601	5914707	0.152559	0.123601	0.051463	0.063097
Chr01	5803225	6001489	0.183739	0.152205	0.069297	0.087823
Chr01	5914725	6109708	0.009104	0.005993	0.003290	0.004409
Chr01	6001693	6219378	-0.055974	-0.036887	-0.017374	-0.021496
Chr01	6109741	6376013	0.330775	0.234963	0.075565	0.125394
Chr01	6220029	6784273	0.121866	0.051795	0.021158	0.057516
Chr01	6376015	6925242	-0.179564	-0.070430	-0.036043	-0.102177
Chr01	6784369	7056322	-0.138800	-0.076454	-0.033637	-0.079788
Chr01	6925401	7199187	0.002683	0.001921	0.000731	0.000207
Chr01	7056394	7345728	-0.045501	-0.032037	-0.013126	-0.023412
Chr01	7199201	7463563	0.040446	0.031859	0.011805	0.019788
Chr01	7345776	7585488	0.082110	0.055350	0.021239	0.051167
Chr01	7463832	7733972	0.023443	0.011906	0.005071	0.016170
Chr01	7585528	7864364	0.128705	0.074914	0.034485	0.057102
Chr01	7734041	8015622	-0.001707	-0.000968	-0.000520	0.001407
Chr01	7864377	8132563	0.002957	0.001663	0.000985	0.001146
Chr01	8016254	8338123	-0.051685	-0.030845	-0.017802	-0.024319
Chr01	8132610	8517537	-0.149784	-0.069328	-0.039669	-0.055359
Chr01	8338125	8683792	-0.019856	-0.010223	-0.005690	-0.006477
Chr01	8517554	8934868	-0.119577	-0.070526	-0.038806	-0.055610
Chr01	8683840	9254404	0.014120	0.010053	0.005583	0.008198
Chr01	8934870	9404439	0.144642	0.084155	0.053227	0.064550
Chr01	9254556	9514280	0.086509	0.043095	0.025101	0.029810
Chr01	9404706	9597552	0.039820	0.046639	0.023951	0.013429
Chr01	9514478	9765153	0.029655	0.029927	0.017790	0.011993
Chr01	9597611	9855078	0.059037	0.046939	0.028454	0.032076
Chr01	9765156	9922319	0.063861	0.060052	0.035716	0.032943
Chr01	9855079	10013782	-0.027335	-0.027808	-0.015107	-0.014895
Chr01	9922351	10103528	0.049443	0.039403	0.022758	0.029159
Chr01	10013793	10238612	0.103075	0.064895	0.039478	0.058341
Chr01	10103536	10371570	0.073472	0.043449	0.027827	0.037884
Chr01	10238766	10498965	0.093892	0.048383	0.029682	0.038110
Chr01	10371618	10945990	0.008454	0.005825	0.003089	0.005289
Chr01	10499187	11044240	0.087525	0.074288	0.034166	0.025031
Chr01	10946017	11205218	0.129113	0.079594	0.035480	0.030329
Chr01	11044277	11307481	0.079195	0.053711	0.027542	0.025186
Chr01	11205239	11397274	0.043857	0.035016	0.019154	0.015105
Chr01	11307484	11503078	0.058235	0.050502	0.024681	0.025910
Chr01	11397370	11581472	0.171598	0.140504	0.068482	0.086620
Chr01	11503168	11757032	0.093707	0.061960	0.033240	0.045467
Chr01	11581481	11935537	-0.000346	-0.000228	-0.000131	0.002935
Chr01	11757100	12075065	0.182962	0.152021	0.087797	0.120644
Chr01	11935574	12209041	0.183415	0.129882	0.077825	0.124491
Chr01	12075117	12421761	0.089243	0.037484	0.023663	0.039993
Chr01	12209060	12711487	0.008467	0.002520	0.001453	0.007507
Chr01	12421851	13128098	0.092883	0.031096	0.014539	0.046845
Chr01	12711494	13307153	0.166206	0.063689	0.028874	0.065848
Chr01	13128117	13517046	0.071413	0.035112	0.015532	0.021136
Chr01	13307209	13759394	0.070789	0.029179	0.013736	0.018413
Chr01	13517052	13906476	0.019796	0.007406	0.004161	0.007110
Chr01	13759445	14049266	-0.081209	-0.043221	-0.024277	-0.035288
Chr01	13906537	14155168	-0.013378	-0.008318	-0.005215	-0.007864
Chr01	14049272	14320734	-0.216394	-0.140790	-0.075535	-0.123903
Chr01	14155435	14457923	-0.552331	-0.329349	-0.161411	-0.353078
Chr01	14320779	14637033	-0.449187	-0.195948	-0.113974	-0.253071
Chr01	14458146	14741768	-0.189911	-0.088031	-0.046572	-0.086048
Chr01	14637034	14869738	0.013163	0.007759	0.003880	0.008654
Chr01	14741769	14958132	0.176920	0.092136	0.056686	0.081489
Chr01	14869807	15093999	0.143320	0.080929	0.042793	0.060813
Chr01	14959478	15174834	0.028676	0.015373	0.008348	0.010873
Chr01	15094009	15303257	0.077263	0.033962	0.022637	0.029196
Chr01	15174867	15458046	0.318173	0.127171	0.080556	0.145699
Chr01	15303268	15590913	0.257708	0.121727	0.068316	0.133117
Chr01	15458072	15710609	0.114951	0.067275	0.036619	0.048540
Chr01	15590966	16143394	0.059249	0.033273	0.020168	0.021843
Chr01	15730152	16277277	0.009340	0.004919	0.003250	0.006909
Chr01	16143429	16402753	-0.004206	-0.002828	-0.001813	-0.001250
Chr01	16277543	16500033	-0.116522	-0.112304	-0.063046	-0.055535
Chr01	16402822	16656603	-0.005039	-0.003191	-0.001927	-0.000823
Chr01	16500065	16876519	0.117729	0.051605	0.031703	0.051990
Chr01	16657282	17027209	0.158808	0.084425	0.047596	0.079886
Chr01	16876695	17253658	0.129322	0.055561	0.033433	0.066249
Chr01	17027314	17420137	0.026418	0.008523	0.005774	0.012287
Chr01	17255428	17494697	0.179521	0.094468	0.049605	0.063599
Chr01	17420151	17565719	0.062893	0.054250	0.021964	0.033655
Chr01	17494712	17728957	-0.077308	-0.065482	-0.031418	-0.030299
