chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209956	386685	-0.083194	-0.058634	-0.037697	-0.061646
Chr01	264200	479545	-0.015216	-0.008997	-0.006011	-0.014552
Chr01	386688	588610	-0.032196	-0.015308	-0.010112	-0.021633
Chr01	479550	682693	-0.013608	-0.006775	-0.004119	-0.007491
Chr01	588621	882036	-0.251376	-0.132922	-0.077259	-0.143207
Chr01	682747	1030308	-0.306052	-0.126591	-0.079902	-0.188465
Chr01	882054	1151415	-0.204750	-0.063458	-0.043363	-0.139142
Chr01	1030314	1284870	-0.206207	-0.065809	-0.043497	-0.151930
Chr01	1151421	1401514	-0.337015	-0.134456	-0.083625	-0.248614
Chr01	1284940	1502047	-0.282930	-0.136782	-0.082383	-0.208791
Chr01	1401601	1567004	-0.184387	-0.112745	-0.067813	-0.124426
Chr01	1502064	1688996	-0.341195	-0.187698	-0.110342	-0.248029
Chr01	1567355	1854453	-0.414768	-0.182524	-0.097919	-0.322897
Chr01	1688998	2023250	-0.489202	-0.218675	-0.109568	-0.367527
Chr01	1854712	2170075	-0.348186	-0.144643	-0.081517	-0.247608
Chr01	2023253	2241492	-0.078280	-0.032725	-0.021658	-0.051748
Chr01	2170096	2376889	-0.132520	-0.085626	-0.053939	-0.086986
Chr01	2241498	2472963	-0.107419	-0.078155	-0.047457	-0.063524
Chr01	2376969	2574405	-0.054269	-0.037259	-0.023563	-0.025423
Chr01	2473036	2660664	-0.011582	-0.008670	-0.005019	-0.003547
Chr01	2574442	2713662	-0.016729	-0.014544	-0.007190	-0.005097
Chr01	2660667	2764633	-0.081236	-0.079682	-0.035913	-0.043711
Chr01	2713667	2857075	-0.235550	-0.195272	-0.100757	-0.144465
Chr01	2764652	2945296	-0.304291	-0.243632	-0.132665	-0.193935
Chr01	2857080	3069636	-0.154566	-0.108444	-0.062487	-0.095548
Chr01	2945313	3177033	-0.001843	-0.000870	-0.000559	-0.001032
Chr01	3069693	3331618	-0.095832	-0.035754	-0.022233	-0.054912
Chr01	3177118	3481398	-0.326231	-0.123526	-0.072937	-0.211672
Chr01	3331775	3659738	-0.220830	-0.077154	-0.048866	-0.147846
Chr01	3481401	3843892	-0.144927	-0.050143	-0.032100	-0.104990
Chr01	3659822	3997261	-0.389254	-0.183969	-0.099019	-0.295527
Chr01	3843911	4081152	-0.301338	-0.154197	-0.085196	-0.204432
Chr01	3997327	4249935	-0.220157	-0.075355	-0.048902	-0.142380
Chr01	4081164	4363379	-0.435498	-0.201125	-0.118491	-0.312613
Chr01	4249948	4463421	-0.376730	-0.287082	-0.160907	-0.246627
Chr01	4363382	4588651	-0.274116	-0.145722	-0.093543	-0.172812
Chr01	4463447	4730312	-0.301405	-0.122310	-0.078459	-0.207372
Chr01	4588759	4906514	-0.370625	-0.139913	-0.087002	-0.277999
Chr01	4730361	5114098	-0.377366	-0.106185	-0.070596	-0.276616
Chr01	4906592	5433715	-0.294214	-0.074345	-0.049888	-0.186282
Chr01	5114416	5619088	-0.303977	-0.110938	-0.069508	-0.199521
Chr01	5433839	5840047	-0.238185	-0.087139	-0.055832	-0.172132
Chr01	5619200	5944523	-0.169148	-0.062328	-0.039395	-0.107798
Chr01	5840083	6108509	-0.043253	-0.016423	-0.009997	-0.026965
Chr01	5944569	6283147	-0.134079	-0.045664	-0.030253	-0.108628
Chr01	6108549	6623922	-0.439918	-0.145521	-0.097206	-0.321463
Chr01	6283157	6940400	-0.507936	-0.127185	-0.087565	-0.340700
Chr01	6627651	7175188	-0.224906	-0.050540	-0.039081	-0.168666
Chr01	6940466	7342716	-0.313100	-0.106302	-0.074900	-0.235505
Chr01	7175404	7481409	-0.417256	-0.229944	-0.128731	-0.313660
Chr01	7342940	7636663	-0.271855	-0.103993	-0.063513	-0.197049
Chr01	7481418	7821460	-0.492787	-0.171232	-0.103063	-0.358318
Chr01	7636873	7937226	-0.525923	-0.215954	-0.128550	-0.391246
Chr01	7821483	8078568	-0.273329	-0.122921	-0.071708	-0.190991
Chr01	7937240	8252186	-0.138076	-0.044793	-0.028474	-0.093797
Chr01	8078603	8455556	-0.303957	-0.073207	-0.051371	-0.228580
Chr01	8252210	8546029	-0.434139	-0.132163	-0.088583	-0.333070
Chr01	8455615	8658932	-0.409424	-0.220632	-0.117316	-0.250987
Chr01	8546131	8821158	-0.236731	-0.114616	-0.065992	-0.121437
Chr01	8659059	8953102	-0.095958	-0.053438	-0.031624	-0.043368
Chr01	8821228	9311943	-0.162565	-0.049870	-0.033983	-0.081081
Chr01	8953136	9468747	-0.394762	-0.118286	-0.076484	-0.287994
Chr01	9311966	9584724	-0.360897	-0.165603	-0.099252	-0.293147
Chr01	9468748	9782397	-0.109829	-0.064311	-0.037714	-0.080253
Chr01	9584737	9877909	-0.016577	-0.008007	-0.004880	-0.009863
Chr01	9782818	9996177	-0.030428	-0.012222	-0.008630	-0.011249
Chr01	9878267	10142040	-0.133077	-0.050850	-0.033274	-0.084136
Chr01	9996187	10310479	-0.144922	-0.059762	-0.036262	-0.093488
Chr01	10142051	10459401	-0.087032	-0.036542	-0.022677	-0.064741
Chr01	10310527	10952134	-0.181783	-0.074847	-0.047972	-0.143933
Chr01	10459432	11087901	-0.498875	-0.281479	-0.165637	-0.400206
Chr01	10952215	11248121	-0.501443	-0.341546	-0.168874	-0.375877
Chr01	11088257	11404603	-0.107662	-0.043397	-0.026821	-0.079230
Chr01	11248475	11525006	0.112236	0.040925	0.028994	0.086895
Chr01	11404631	11637470	0.074259	0.034832	0.023531	0.049947
Chr01	11525303	11766100	0.056816	0.025300	0.015930	0.036546
Chr01	11637486	11972803	0.096233	0.046203	0.028257	0.057272
Chr01	11766123	12114087	0.076569	0.040101	0.026264	0.041278
Chr01	11972828	12253904	-0.352359	-0.161336	-0.093160	-0.233542
Chr01	12114283	12393962	-0.471719	-0.216141	-0.116439	-0.361202
Chr01	12253943	12496504	-0.212789	-0.103406	-0.052049	-0.156879
Chr01	12394010	12762941	-0.262451	-0.105076	-0.052109	-0.196291
Chr01	12496517	12924847	-0.723139	-0.267141	-0.140922	-0.639343
Chr01	12762943	13248371	-0.712475	-0.169239	-0.106493	-0.625856
Chr01	12924904	13537968	-0.342522	-0.056410	-0.039607	-0.249945
Chr01	13248377	13741583	-0.297438	-0.079719	-0.050602	-0.234770
Chr01	13538013	13928429	-0.327291	-0.113614	-0.064411	-0.266124
Chr01	13741615	14083770	-0.106307	-0.040528	-0.023829	-0.080860
Chr01	13928551	14225672	-0.119955	-0.048229	-0.029114	-0.081249
Chr01	14083785	14369613	-0.234515	-0.069218	-0.046125	-0.168321
Chr01	14225673	14593057	-0.344704	-0.095477	-0.061200	-0.281893
Chr01	14369638	14729010	-0.305595	-0.092933	-0.058655	-0.259742
Chr01	14593078	14886512	-0.161549	-0.047321	-0.031423	-0.127447
Chr01	14729532	15016514	-0.441679	-0.163982	-0.097065	-0.342378
Chr01	14886720	15130708	-0.417508	-0.190442	-0.109250	-0.311283
Chr01	15016534	15281619	-0.262034	-0.113189	-0.058038	-0.182197
Chr01	15130778	15455510	-0.417058	-0.175349	-0.089011	-0.322076
Chr01	15281630	15618622	-0.443913	-0.161070	-0.090999	-0.323366
Chr01	15455588	15853223	-0.286767	-0.097921	-0.057906	-0.166029
Chr01	15618790	16212105	-0.023951	-0.008133	-0.005186	-0.009795
Chr01	15853455	16416711	0.058028	0.016906	0.010866	0.034956
Chr01	16212243	16561380	-0.200311	-0.095716	-0.053869	-0.130393
Chr01	16416971	16680161	-0.455236	-0.278690	-0.148324	-0.362603
Chr01	16561425	16922510	-0.350646	-0.131500	-0.078453	-0.284194
Chr01	16680181	17067430	-0.175956	-0.052807	-0.033464	-0.136690
Chr01	16922878	17269269	-0.109643	-0.031113	-0.019539	-0.095093
Chr01	17067673	17392122	-0.228035	-0.083563	-0.049003	-0.181317
Chr01	17269271	17493531	-0.445344	-0.306291	-0.147730	-0.266311
Chr01	17392177	17580733	-0.266356	-0.145945	-0.083689	-0.164137
Chr01	17493538	17816142	-0.121206	-0.040171	-0.025443	-0.092804
Chr01	17580734	18042619	-0.221506	-0.068404	-0.042675	-0.161012
Chr01	17816192	18204482	-0.422647	-0.182010	-0.107717	-0.309376
Chr01	18042621	18269403	-0.467085	-0.309493	-0.157392	-0.322594
Chr01	18204644	18369072	-0.488768	-0.326549	-0.184490	-0.349569
Chr01	18269415	18499265	-0.600825	-0.436641	-0.247593	-0.478580
Chr01	18369379	18593143	-0.704116	-0.624775	-0.320705	-0.570621
Chr01	18499268	18694081	-0.609872	-0.468686	-0.246541	-0.443988
Chr01	18593150	18860622	-0.299150	-0.127423	-0.078127	-0.214798
Chr01	18694110	19018865	-0.200522	-0.069611	-0.044390	-0.141968
Chr01	18860691	19231762	-0.272309	-0.089615	-0.053381	-0.188426
Chr01	19019383	19326202	-0.148587	-0.061661	-0.034332	-0.108780
Chr01	19231779	19580327	0.003586	0.000906	0.000506	-0.001408
Chr01	19326231	19737120	-0.416438	-0.116713	-0.059636	-0.312155
Chr01	19580420	19912155	-0.586900	-0.283629	-0.135374	-0.490235
Chr01	19737167	19996708	-0.285859	-0.124550	-0.071013	-0.232867
Chr01	19912180	20130031	-0.327224	-0.175069	-0.094111	-0.251187
Chr01	19996783	20273939	-0.457260	-0.233669	-0.120549	-0.351392
Chr01	20130044	20417519	-0.212380	-0.084217	-0.048174	-0.160947
Chr01	20274268	20555553	-0.056961	-0.022825	-0.013835	-0.042919
Chr01	20417524	20665357	-0.155201	-0.074048	-0.041569	-0.100994
Chr01	20555563	20867438	-0.381364	-0.116538	-0.071010	-0.276171
