chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	214228	352606	-0.272728	-0.284802	-0.156918	-0.178651
Chr01	261403	491218	-0.104149	-0.084950	-0.048288	-0.059396
Chr01	352704	632939	0.234584	0.126096	0.081639	0.120097
Chr01	491874	835715	0.275718	0.148738	0.094616	0.139851
Chr01	633025	956846	0.114805	0.074969	0.039426	0.074199
Chr01	835740	1104581	-0.034735	-0.018407	-0.009244	-0.017387
Chr01	956889	1196434	-0.038724	-0.019523	-0.010310	-0.019794
Chr01	1104659	1337210	-0.055435	-0.031263	-0.015627	-0.028269
Chr01	1196446	1479324	0.220638	0.126463	0.064527	0.122559
Chr01	1337338	1556535	0.287103	0.175025	0.100676	0.182290
Chr01	1479370	1654264	0.208389	0.123280	0.064226	0.126949
Chr01	1556615	1711770	0.258319	0.172607	0.084331	0.154238
Chr01	1654270	1853098	0.006575	0.005600	0.002102	0.004303
Chr01	1712292	2005943	-0.152196	-0.103920	-0.039682	-0.105204
Chr01	1853183	2091595	-0.064751	-0.039836	-0.018660	-0.039195
Chr01	2006000	2195588	0.026663	0.018196	0.009680	0.012385
Chr01	2091647	2257042	-0.128228	-0.093146	-0.049703	-0.070089
Chr01	2195726	2376413	-0.177536	-0.165565	-0.084788	-0.107621
Chr01	2257046	2467079	-0.122412	-0.104742	-0.058727	-0.083620
Chr01	2376421	2534822	-0.203237	-0.149353	-0.087178	-0.129286
Chr01	2467164	2641760	-0.371369	-0.323727	-0.159582	-0.231056
Chr01	2534869	2703059	-0.118095	-0.100939	-0.055303	-0.074964
Chr01	2641984	2754714	0.057711	0.048742	0.027972	0.039445
Chr01	2703075	2823436	-0.066160	-0.064946	-0.032986	-0.038366
Chr01	2754728	2921345	0.003230	0.002680	0.001490	0.002835
Chr01	2823469	3013776	0.247203	0.176061	0.105691	0.152332
Chr01	2921369	3096878	0.289354	0.223478	0.139094	0.178638
Chr01	3013805	3204378	0.133346	0.102567	0.058944	0.072863
Chr01	3096989	3358886	-0.071817	-0.039863	-0.022209	-0.036679
Chr01	3204557	3461884	0.015183	0.008698	0.004525	0.008852
Chr01	3358894	3565833	0.170670	0.113842	0.059984	0.109805
Chr01	3461933	3686565	0.177338	0.100652	0.058765	0.110053
