chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	566443	759063	-0.220278	-0.128399	-0.082183	-0.121927
Superscaffold1	759064	1037851	0.204732	0.096241	0.060806	0.114578
Superscaffold1	1037874	1325468	-0.091498	-0.027918	-0.020400	-0.038903
Superscaffold1	1325742	1632849	0.060633	0.012745	0.009292	0.031780
Superscaffold1	1632977	2097780	-0.239060	-0.082776	-0.046031	-0.160079
Superscaffold1	2098110	2383697	-0.130676	-0.058777	-0.038575	-0.095654
Superscaffold1	2383703	2589888	-0.117298	-0.066049	-0.042960	-0.072698
Superscaffold1	2589943	2791029	0.041319	0.029223	0.018480	0.023333
Superscaffold1	2791064	3027916	-0.264865	-0.167964	-0.093235	-0.176845
Superscaffold1	3028025	3325138	0.018783	0.007593	0.004838	0.009829
Superscaffold1	3325174	3708285	0.134095	0.043930	0.028842	0.080950
Superscaffold1	3708633	4145512	-0.192522	-0.065524	-0.040239	-0.130838
Superscaffold1	4145535	4486883	-0.059287	-0.021629	-0.013677	-0.031120
Superscaffold1	4487223	4882318	-0.178639	-0.074108	-0.050086	-0.120803
Superscaffold1	4882413	5361588	-0.201861	-0.055164	-0.038821	-0.141210
Superscaffold1	5361853	5796998	0.038924	0.009630	0.007020	0.025164
Superscaffold1	5797003	6300121	0.094483	0.026567	0.018300	0.058155
Superscaffold1	6300157	6708701	-0.039882	-0.012453	-0.008932	-0.023586
Superscaffold1	6708737	7203044	-0.342193	-0.105486	-0.069383	-0.232287
Superscaffold1	7203225	7561471	-0.001130	-0.000445	-0.000291	-0.004758
Superscaffold1	7561577	8332895	-0.080039	-0.022963	-0.015866	-0.042567
Superscaffold1	8332913	8838528	-0.053880	-0.026867	-0.015226	-0.042349
Superscaffold1	8838543	10220644	0.113044	0.028726	0.020933	0.078116
Superscaffold1	10220781	10803724	-0.080449	-0.026656	-0.019134	-0.053537
Superscaffold1	10803781	11183968	-0.092219	-0.031947	-0.021161	-0.066498
Superscaffold1	11184584	11573117	-0.467500	-0.178934	-0.116735	-0.369672
Superscaffold1	11573118	11997268	-0.012729	-0.003956	-0.002687	-0.008880
Superscaffold1	11997333	12357925	-0.060990	-0.022540	-0.014214	-0.033237
Superscaffold1	12357952	12668386	-0.002060	-0.000873	-0.000566	-0.001777
Superscaffold1	12668469	13035979	0.015332	0.005578	0.003361	0.015378
Superscaffold1	13036043	13859569	-0.100156	-0.016829	-0.011624	-0.072522
Superscaffold1	13859585	14590601	0.010287	0.002130	0.001479	0.006705
Superscaffold1	14590697	14964389	0.173101	0.054228	0.035513	0.118914
Superscaffold1	14964399	15414589	-0.182627	-0.040530	-0.029261	-0.144950
Superscaffold1	15414717	15865577	-0.343204	-0.076663	-0.052239	-0.261505
Superscaffold1	15865609	16226038	-0.003130	-0.001088	-0.000666	0.004228
Superscaffold1	16226053	16673000	-0.088025	-0.023134	-0.015828	-0.055253
Superscaffold1	16673040	17054176	0.064599	0.023564	0.013822	0.031144
Superscaffold1	17054372	17539180	-0.099359	-0.032280	-0.021047	-0.068508
Superscaffold1	17539212	18282198	-0.057094	-0.021806	-0.012980	-0.038315
Superscaffold1	18282281	18753480	0.036727	0.009153	0.006239	0.019941
Superscaffold1	18754015	19121932	-0.085651	-0.031403	-0.020960	-0.055933
Superscaffold1	19121958	19471823	-0.425139	-0.202169	-0.130287	-0.288270
Superscaffold1	19471840	19780671	-0.434974	-0.177772	-0.119917	-0.306541
Superscaffold1	19780812	20196548	-0.043724	-0.011534	-0.007749	-0.025476
Superscaffold1	20196693	20799132	0.094136	0.028317	0.017742	0.060224
Superscaffold1	20802503	21311053	-0.015735	-0.004281	-0.002709	-0.012649
Superscaffold1	21311180	21721806	-0.249401	-0.094289	-0.055364	-0.185044
Superscaffold1	21721842	22168877	-0.020437	-0.005916	-0.003960	-0.010119
Superscaffold1	22169010	22808347	-0.040435	-0.007231	-0.004931	-0.034205
Superscaffold1	22808363	23438629	-0.065972	-0.013328	-0.008515	-0.055376
Superscaffold1	23438785	23896178	-0.170764	-0.046185	-0.029133	-0.129726
Superscaffold1	23896217	24317371	-0.300138	-0.090134	-0.059455	-0.193005
Superscaffold1	24317541	24663908	-0.022587	-0.008250	-0.005127	-0.016790
Superscaffold1	24663917	25042236	-0.063064	-0.023104	-0.014580	-0.044531
Superscaffold1	25042325	25511108	-0.079953	-0.020516	-0.012857	-0.052372
Superscaffold1	25511417	25909971	-0.091031	-0.025034	-0.018265	-0.067347
Superscaffold1	25910241	26274437	-0.359574	-0.115383	-0.071519	-0.255868
Superscaffold1	26274513	26896473	-0.098777	-0.017833	-0.012742	-0.073221
Superscaffold1	26896638	27453615	0.065298	0.012728	0.008268	0.059425
Superscaffold1	27453665	27822213	-0.165989	-0.058329	-0.035885	-0.115297
Superscaffold1	27822309	28086286	-0.205464	-0.081903	-0.052001	-0.101577
Superscaffold1	28086302	28514553	0.048991	0.013966	0.009719	0.032259
Superscaffold1	28516017	28907839	-0.193912	-0.065989	-0.049673	-0.120709
Superscaffold1	28907859	29364895	-0.290069	-0.074941	-0.049394	-0.215093
Superscaffold1	29365038	29785939	-0.184120	-0.063290	-0.038840	-0.145656
Superscaffold1	29786266	30099657	-0.588484	-0.279354	-0.168535	-0.462258
Superscaffold1	30100460	30866227	-0.031182	-0.006365	-0.004616	-0.019057
Superscaffold1	30866794	31323562	0.019264	0.004396	0.002932	0.015941
Superscaffold1	31323567	32167852	-0.053496	-0.009644	-0.007043	-0.034163
Superscaffold1	32167926	32601010	-0.022418	-0.007371	-0.004348	-0.011087
Superscaffold1	32601345	33027682	-0.073579	-0.019317	-0.013084	-0.050185
Superscaffold1	33028036	33507281	-0.042863	-0.012793	-0.008615	-0.025360
Superscaffold1	33507284	33785069	-0.013517	-0.005508	-0.003595	-0.007205
Superscaffold1	33785123	34037846	-0.086668	-0.027956	-0.020076	-0.050330
Superscaffold1	34037977	34314915	-0.316983	-0.094385	-0.062203	-0.234980
Superscaffold1	34314926	34792442	-0.046814	-0.010842	-0.007518	-0.038140
Superscaffold1	34792611	35491054	0.045332	0.008299	0.006215	0.026312
Superscaffold1	35491099	36573158	0.011020	0.002921	0.002046	0.001045
Superscaffold1	36573279	37158049	-0.267776	-0.057069	-0.041431	-0.203739
Superscaffold1	37158082	37509621	-0.097390	-0.029000	-0.019475	-0.060661
Superscaffold1	37509675	37969751	-0.071194	-0.022669	-0.014813	-0.051490
Superscaffold1	37969865	38482426	-0.152777	-0.041019	-0.028380	-0.106043
Superscaffold1	38482772	38900497	0.013405	0.003057	0.002276	0.002347
Superscaffold1	38900506	39199033	-0.263138	-0.081649	-0.051889	-0.206894
Superscaffold1	39199046	39683133	-0.275933	-0.059423	-0.041185	-0.217807
Superscaffold1	39683233	40051346	-0.028753	-0.007812	-0.005344	-0.024313
Superscaffold1	40051367	40556036	0.196400	0.040402	0.028532	0.136430
Superscaffold1	40556057	41212877	0.210291	0.039690	0.026792	0.142786
Superscaffold1	41212920	41737278	0.049226	0.010637	0.006963	0.041768
Superscaffold1	41737295	42564869	-0.097392	-0.009006	-0.006847	-0.081545
Superscaffold1	42565215	43416213	0.131782	0.017409	0.012157	0.109698
Superscaffold1	43417092	44003135	0.219373	0.038148	0.025101	0.192636
Superscaffold1	44003229	45050979	-0.298586	-0.034403	-0.024449	-0.251116
Superscaffold1	45051099	45787256	0.088808	0.011825	0.008179	0.067108
Superscaffold1	45787258	46412773	-0.631471	-0.163704	-0.089589	-0.564854
Superscaffold1	46413609	47438279	0.187117	0.029515	0.017368	0.161141
Superscaffold1	47438361	48263271	0.323042	0.040468	0.027468	0.280930
Superscaffold1	48263337	48633120	0.683807	0.222040	0.124793	0.634753
Superscaffold1	48633141	49270458	0.157280	0.021939	0.015452	0.096543
Superscaffold1	49272606	49887695	-0.315678	-0.048251	-0.033792	-0.235427
Superscaffold1	49887773	50231734	-0.691633	-0.308163	-0.168325	-0.616437
Superscaffold1	50231932	50908481	0.241456	0.040087	0.032669	0.165382
Superscaffold1	50908967	51473057	0.231242	0.100199	0.067666	0.134817
Superscaffold2	409753	765149	0.043086	0.015667	0.010019	0.022982
Superscaffold2	765151	1332705	0.045811	0.009381	0.007023	0.033317
Superscaffold2	1332952	1909852	-0.129016	-0.021806	-0.016417	-0.079773
Superscaffold2	1909887	2257776	0.173357	0.073209	0.047156	0.127746
Superscaffold2	2257863	2828773	0.158017	0.048370	0.032383	0.100179
Superscaffold2	2828823	3586052	-0.124819	-0.045526	-0.030167	-0.079302
Superscaffold2	3586138	4054604	-0.115515	-0.041276	-0.024177	-0.076268
Superscaffold2	4054607	4551962	-0.064922	-0.018518	-0.011335	-0.044624
Superscaffold2	4552217	4932529	-0.131388	-0.038495	-0.026643	-0.097183
Superscaffold2	4932530	5441614	-0.032253	-0.009389	-0.006532	-0.023186
Superscaffold2	5441628	5931279	-0.041392	-0.014600	-0.008519	-0.022023
Superscaffold2	5931292	6515936	0.241529	0.063188	0.044773	0.182783
Superscaffold2	6516330	7384087	-0.030243	-0.005391	-0.003608	-0.020850
Superscaffold2	7385877	7990397	-0.166416	-0.031791	-0.022071	-0.102700
Superscaffold2	7990426	8730749	0.098760	0.018728	0.013240	0.059126
