chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	598081	908497	-0.412995	-0.243362	-0.134138	-0.270103
Superscaffold1	908546	1354028	-0.138476	-0.066156	-0.039831	-0.094395
Superscaffold1	1354059	1626605	-0.355049	-0.216682	-0.121577	-0.268552
Superscaffold1	1627790	2079297	0.132198	0.052459	0.027803	0.095642
Superscaffold1	2079301	2391415	0.025627	0.011245	0.006682	0.012964
Superscaffold1	2391496	2679737	0.086740	0.045219	0.030335	0.054296
Superscaffold1	2679812	2890827	-0.026498	-0.019676	-0.010267	-0.010363
Superscaffold1	2891069	3297539	-0.072847	-0.034187	-0.020218	-0.053405
Superscaffold1	3297592	3758955	0.141869	0.049822	0.030277	0.082891
Superscaffold1	3759014	4184467	-0.050360	-0.023408	-0.013442	-0.037675
Superscaffold1	4184515	4623601	0.252682	0.121917	0.074949	0.187962
Superscaffold1	4623883	5064340	0.199343	0.087511	0.057913	0.125866
Superscaffold1	5064390	5609642	0.149257	0.044054	0.029813	0.100110
Superscaffold1	5609723	5916644	0.123320	0.060442	0.038725	0.074552
Superscaffold1	5916723	6362080	0.212115	0.084628	0.055325	0.141224
Superscaffold1	6362156	6770201	0.184627	0.078533	0.052125	0.133973
Superscaffold1	6770305	7242411	0.278491	0.109067	0.069269	0.200618
Superscaffold1	7242463	7560199	-0.063093	-0.037800	-0.020627	-0.045394
Superscaffold1	7560320	7945437	0.189343	0.098289	0.053365	0.088809
Superscaffold1	7945580	8546104	0.169802	0.097854	0.051585	0.095969
Superscaffold1	8546139	9844945	0.027217	0.009899	0.006659	0.022933
Superscaffold1	9844946	10710403	0.066399	0.025478	0.016963	0.039140
Superscaffold1	10710698	11090259	0.047550	0.022872	0.012794	0.035265
Superscaffold1	11090264	11467600	0.065930	0.027961	0.017746	0.057422
Superscaffold1	11467624	11865485	0.103456	0.040496	0.024265	0.070628
Superscaffold1	11866322	12361055	0.093122	0.030810	0.020608	0.064828
Superscaffold1	12361239	12787352	0.061404	0.030524	0.017303	0.039044
Superscaffold1	12787777	13061112	0.271000	0.148631	0.078885	0.208157
Superscaffold1	13061139	13624922	0.513122	0.226766	0.116518	0.331715
Superscaffold1	13625129	14244217	0.111089	0.036858	0.020195	0.060534
Superscaffold1	14244242	14734895	0.066893	0.024713	0.015083	0.048310
Superscaffold1	14735006	15028062	0.094649	0.044046	0.026127	0.048519
Superscaffold1	15028130	15314834	0.493629	0.203053	0.141217	0.361472
Superscaffold1	15315444	15590414	0.213363	0.105372	0.063848	0.144172
Superscaffold1	15590425	15918071	0.215423	0.100176	0.055775	0.155532
Superscaffold1	15918077	16218927	0.036495	0.015206	0.008870	0.023489
Superscaffold1	16218946	16666216	0.188483	0.065626	0.042657	0.148947
Superscaffold1	16666219	17012081	-0.007140	-0.003463	-0.002063	-0.001788
Superscaffold1	17012095	17505387	0.060070	0.021768	0.013326	0.048157
Superscaffold1	17505665	18295822	0.244883	0.096288	0.050599	0.170772
Superscaffold1	18295823	18730237	-0.138935	-0.053162	-0.032817	-0.096471
Superscaffold1	18730500	19133350	-0.046648	-0.019336	-0.013211	-0.037275
Superscaffold1	19133364	19589782	0.321524	0.165077	0.108865	0.236459
Superscaffold1	19589882	19974775	0.374517	0.125962	0.087564	0.282624
Superscaffold1	19975161	20413995	0.115522	0.039197	0.026782	0.082542
Superscaffold1	20417273	21202237	0.199326	0.053344	0.033747	0.144740
Superscaffold1	21202406	21615979	0.187567	0.070811	0.040963	0.139218
Superscaffold1	21615992	22034453	-0.041431	-0.018148	-0.011712	-0.029532
Superscaffold1	22034499	22644531	-0.098157	-0.030503	-0.020287	-0.076057
Superscaffold1	22644573	23080939	-0.477302	-0.213394	-0.126560	-0.396346
Superscaffold1	23093789	23603520	0.274121	0.076882	0.044564	0.229564
Superscaffold1	23603998	24130295	-0.021262	-0.005801	-0.003843	-0.014419
Superscaffold1	24130299	24652875	0.179345	0.046411	0.031856	0.121139
Superscaffold1	24652881	25032972	0.198784	0.079809	0.049648	0.150785
Superscaffold1	25033171	25518025	-0.115708	-0.037711	-0.022981	-0.088704
Superscaffold1	25518098	25911635	0.159951	0.056509	0.039582	0.119378
Superscaffold1	25911714	26310806	-0.026187	-0.009222	-0.005441	-0.017646
Superscaffold1	26310821	26714142	0.061062	0.030806	0.016561	0.038253
Superscaffold1	26714151	27242642	0.052033	0.013489	0.007996	0.047367
Superscaffold1	27242721	27577729	0.093700	0.038781	0.023312	0.055741
Superscaffold1	27577822	27924870	-0.144258	-0.055364	-0.034011	-0.093786
Superscaffold1	27924956	28236486	0.170750	0.074619	0.044412	0.109913
Superscaffold1	28236516	28770766	0.147922	0.047923	0.034607	0.106106
Superscaffold1	28770785	29322495	-0.084340	-0.022064	-0.014126	-0.062185
Superscaffold1	29323492	29804119	-0.060217	-0.015179	-0.009411	-0.045447
Superscaffold1	29804384	30261076	-0.127598	-0.047686	-0.028147	-0.083810
Superscaffold1	30261160	30841334	0.145386	0.050444	0.031402	0.087983
Superscaffold1	30841342	31255346	0.042676	0.013916	0.008859	0.028092
Superscaffold1	31255356	32038811	0.053804	0.015164	0.009938	0.041447
Superscaffold1	32038853	32690191	0.339101	0.127313	0.072331	0.271845
Superscaffold1	32690223	33285411	0.107538	0.028352	0.018417	0.080895
