chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	210405	391551	0.078463	0.057737	0.037959	0.048911
Chr01	264557	484106	0.008818	0.005360	0.003543	0.005175
Chr01	391553	594486	0.148669	0.075542	0.046750	0.099975
Chr01	484136	683847	0.273620	0.142854	0.085946	0.182576
Chr01	594619	881777	-0.141199	-0.075562	-0.044250	-0.091187
Chr01	683857	1026465	-0.130001	-0.057324	-0.036226	-0.090021
Chr01	881783	1148708	-0.050013	-0.016927	-0.011594	-0.039004
Chr01	1026512	1278284	-0.269246	-0.092651	-0.059270	-0.199908
Chr01	1148710	1397718	-0.372818	-0.146584	-0.090974	-0.270272
Chr01	1278300	1501298	-0.236605	-0.103519	-0.064357	-0.174542
Chr01	1397793	1566326	-0.117507	-0.072238	-0.043134	-0.080214
Chr01	1501334	1686905	-0.220440	-0.128999	-0.074835	-0.164278
Chr01	1566470	1848089	-0.321158	-0.143917	-0.078388	-0.253579
Chr01	1686909	2030217	-0.460193	-0.186683	-0.098852	-0.355810
Chr01	1848251	2174316	-0.335728	-0.128768	-0.074682	-0.254588
Chr01	2030234	2251445	-0.117630	-0.049873	-0.032498	-0.079645
Chr01	2174360	2395658	-0.096410	-0.058365	-0.036582	-0.058346
Chr01	2251608	2483967	-0.017158	-0.011304	-0.007138	-0.005953
Chr01	2395722	2605788	0.031839	0.020974	0.013470	0.019752
Chr01	2484094	2670031	0.157871	0.119741	0.071128	0.087978
Chr01	2605831	2721276	0.103724	0.086706	0.046730	0.057784
Chr01	2670532	2795476	-0.240170	-0.205450	-0.099856	-0.145549
Chr01	2721293	2908420	-0.335153	-0.286148	-0.146324	-0.218427
Chr01	2795501	3020522	-0.036517	-0.024914	-0.015459	-0.022038
Chr01	2908460	3162451	0.014399	0.006752	0.004460	0.009339
Chr01	3020525	3288283	-0.090964	-0.035314	-0.022524	-0.059170
Chr01	3162499	3437158	-0.166288	-0.069529	-0.040946	-0.106868
Chr01	3288449	3601645	-0.222880	-0.076633	-0.048247	-0.152311
Chr01	3437243	3834507	-0.222066	-0.065875	-0.042923	-0.156483
Chr01	3601936	3985651	-0.374582	-0.153182	-0.087375	-0.271719
Chr01	3834518	4104914	-0.349958	-0.147243	-0.087249	-0.239668
Chr01	3985693	4251670	-0.186219	-0.059773	-0.039593	-0.122624
Chr01	4104984	4364112	-0.326423	-0.156261	-0.093987	-0.228155
Chr01	4251685	4465068	-0.300984	-0.208059	-0.124478	-0.188925
Chr01	4364132	4595536	-0.115580	-0.053798	-0.036547	-0.070940
Chr01	4465077	4738187	-0.159726	-0.063788	-0.042106	-0.107775
Chr01	4595555	4921793	-0.323531	-0.116135	-0.074883	-0.237511
Chr01	4738518	5149606	-0.351475	-0.092231	-0.062463	-0.255371
Chr01	4921864	5481071	-0.211351	-0.051369	-0.035275	-0.137990
Chr01	5149655	5641362	-0.144611	-0.046828	-0.031683	-0.096679
Chr01	5481526	5851484	-0.153631	-0.052655	-0.034930	-0.106679
Chr01	5641396	5988592	-0.127903	-0.049002	-0.029971	-0.081642
