chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	561804	755395	0.074833	0.071322	0.040623	0.036339
Superscaffold1	756231	1009430	0.458205	0.307982	0.180839	0.240081
Superscaffold1	1009618	1318165	0.269737	0.165954	0.108188	0.128333
Superscaffold1	1318676	1538109	0.142770	0.080247	0.047055	0.057361
Superscaffold1	1538587	1890758	0.251084	0.130770	0.073634	0.124146
Superscaffold1	1890919	2180861	-0.010660	-0.005660	-0.002501	-0.006152
Superscaffold1	2181018	2378095	0.093434	0.071317	0.043699	0.056118
Superscaffold1	2378096	2543524	-0.141511	-0.114622	-0.068156	-0.088916
Superscaffold1	2543534	2716999	0.046912	0.037778	0.022304	0.033458
Superscaffold1	2717003	2862191	0.195782	0.167388	0.092767	0.129732
Superscaffold1	2862252	3109359	-0.068257	-0.042535	-0.024476	-0.044051
Superscaffold1	3109401	3371359	0.068865	0.048670	0.026817	0.039675
Superscaffold1	3371360	3632152	0.313216	0.171441	0.103523	0.190389
Superscaffold1	3632245	3891826	0.126880	0.083118	0.041675	0.068919
Superscaffold1	3891866	4146409	0.172387	0.108701	0.056426	0.116829
Superscaffold1	4146422	4443183	-0.024295	-0.016948	-0.009073	-0.014181
Superscaffold1	4443189	4685056	0.286315	0.221292	0.123731	0.203887
Superscaffold1	4685319	4964094	0.138863	0.095551	0.057315	0.086895
Superscaffold1	4964165	5257297	0.194345	0.127500	0.072003	0.127953
Superscaffold1	5257524	5606975	0.156589	0.070414	0.046193	0.086303
Superscaffold1	5606983	5990360	0.179361	0.070112	0.048698	0.126622
Superscaffold1	5990455	6407279	-0.035571	-0.014286	-0.009567	-0.021283
Superscaffold1	6407798	6803575	0.092997	0.037311	0.025190	0.067295
Superscaffold1	6804240	7234484	-0.222188	-0.082646	-0.052802	-0.143103
Superscaffold1	7234486	7546336	0.100044	0.054648	0.031384	0.066138
Superscaffold1	7546370	8076048	0.111492	0.036342	0.024357	0.051616
Superscaffold1	8078176	8635885	0.225965	0.103301	0.061691	0.154438
Superscaffold1	8635895	9762216	0.193172	0.074007	0.052162	0.118116
Superscaffold1	9762264	10610825	0.121329	0.046907	0.032784	0.077420
Superscaffold1	10610842	10845192	0.180841	0.096727	0.062855	0.109071
Superscaffold1	10845255	11177074	-0.143250	-0.064044	-0.038992	-0.097501
Superscaffold1	11177920	11496262	-0.425221	-0.213997	-0.135785	-0.338160
Superscaffold1	11496287	11856307	-0.006960	-0.002535	-0.001605	-0.004802
Superscaffold1	11856388	12083578	0.064769	0.040165	0.024701	0.039553
Superscaffold1	12083614	12355983	0.184083	0.113931	0.064776	0.122714
Superscaffold1	12355992	12605256	0.193977	0.124107	0.077550	0.112384
Superscaffold1	12605590	12962923	-0.054840	-0.026524	-0.014365	-0.041897
Superscaffold1	12962956	13403650	0.454474	0.186906	0.107937	0.354985
Superscaffold1	13403862	13895903	0.384813	0.245519	0.129971	0.280663
Superscaffold1	13895913	14527319	-0.038195	-0.012906	-0.008079	-0.030905
Superscaffold1	14528193	14855002	0.014016	0.005563	0.003480	0.010044
Superscaffold1	14855033	15120843	0.274007	0.133591	0.084047	0.165628
Superscaffold1	15121039	15440529	0.050734	0.014202	0.010069	0.029816
