chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	251000	606164	-0.188231	-0.081363	-0.053563	-0.113324
Chr01	425333	889851	0.043718	0.019891	0.012810	0.029883
Chr01	606346	1147589	0.016320	0.005358	0.003767	0.014900
Chr01	889875	1399533	-0.082604	-0.020327	-0.014271	-0.056580
Chr01	1147599	1533145	0.279595	0.085908	0.058710	0.201337
Chr01	1399899	1688867	0.209879	0.083506	0.054343	0.163832
Chr01	1533217	1889715	-0.167706	-0.070292	-0.036723	-0.129879
Chr01	1688871	2115729	-0.272179	-0.108541	-0.053569	-0.203103
Chr01	1889928	2263153	-0.008683	-0.003352	-0.001979	-0.008790
Chr01	2115737	2472428	0.015224	0.007075	0.004592	0.013021
Chr01	2263169	2611474	-0.144410	-0.080790	-0.051478	-0.100733
Chr01	2472623	2715708	-0.083591	-0.043987	-0.028435	-0.059852
Chr01	2611476	2800176	-0.091381	-0.049046	-0.029168	-0.061408
Chr01	2715736	2964844	-0.034366	-0.020805	-0.012079	-0.023528
Chr01	2800189	3163167	-0.014923	-0.006681	-0.004347	-0.011713
Chr01	2964889	3389182	-0.125638	-0.040601	-0.026243	-0.083517
Chr01	3163220	3590507	0.011408	0.003424	0.002227	0.005638
Chr01	3389302	3814439	0.093396	0.033143	0.020739	0.062631
Chr01	3590511	4039256	0.017049	0.006588	0.003840	0.010915
Chr01	3814546	4255599	0.020497	0.008064	0.004687	0.017175
Chr01	4039449	4404965	0.063051	0.030681	0.017083	0.047333
Chr01	4255624	4507900	0.078021	0.046624	0.027116	0.044860
Chr01	4404966	4677919	0.031037	0.014888	0.009439	0.016612
Chr01	4507912	4906116	0.096483	0.039676	0.024038	0.074412
Chr01	4677956	5098507	0.031741	0.013367	0.008408	0.028802
Chr01	4906123	5405179	-0.024038	-0.009781	-0.006174	-0.015837
Chr01	5099122	5603177	-0.011408	-0.004593	-0.002981	-0.005215
Chr01	5407999	5787851	-0.096831	-0.045986	-0.029217	-0.063866
Chr01	5603199	5933127	-0.125171	-0.067822	-0.038242	-0.074172
Chr01	5787978	6109002	-0.042406	-0.019670	-0.011660	-0.026501
Chr01	5933133	6271530	0.042365	0.018783	0.011850	0.037765
Chr01	6109035	6622679	-0.192536	-0.091912	-0.056572	-0.163638
Chr01	6271597	6847659	0.217848	0.068696	0.050308	0.189810
Chr01	6623922	7100855	0.582150	0.140102	0.112593	0.481025
Chr01	6847673	7351048	-0.007211	-0.002285	-0.001575	0.000945
Chr01	7100913	7562825	0.029133	0.012278	0.007537	0.022498
Chr01	7351171	7789564	0.156714	0.057088	0.034567	0.124548
Chr01	7562987	7912751	0.035367	0.013003	0.007752	0.027093
Chr01	7789595	8047812	-0.170730	-0.082162	-0.047259	-0.128103
Chr01	7912787	8190087	0.059824	0.033638	0.019421	0.041524
Chr01	8047882	8371766	0.373232	0.147819	0.095748	0.262228
Chr01	8190097	8495138	0.300925	0.116345	0.069927	0.199733
Chr01	8371769	8598921	0.382084	0.217575	0.109026	0.239252
Chr01	8495163	8799749	0.158591	0.065337	0.039290	0.104600
Chr01	8598970	9265930	-0.087748	-0.026394	-0.018206	-0.056924
Chr01	8799774	9474090	-0.050287	-0.016203	-0.010072	-0.034704
Chr01	9266238	9670228	-0.140115	-0.063551	-0.036510	-0.117268
Chr01	9474362	9856101	-0.263732	-0.134927	-0.085235	-0.207810
Chr01	9670236	9989167	-0.148946	-0.062326	-0.042133	-0.106768
Chr01	9856229	10120931	0.023818	0.011026	0.007187	0.012507
Chr01	9989202	10315740	0.018392	0.008413	0.005208	0.003123
Chr01	10121204	10458834	0.091262	0.039816	0.023645	0.055039
