chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60092	73360	0.663754	0.355274	0.288355	0.510534
Chr01	73361	78910	0.625306	0.533889	0.405864	0.432702
Chr01	78963	82893	0.577760	0.442572	0.391630	0.419821
Chr01	82903	138940	0.270907	0.102435	0.062128	0.093452
Chr01	138953	151263	0.162425	0.159845	0.067278	0.057482
Chr01	151359	158093	-0.081075	-0.100146	-0.035337	-0.027149
Chr01	158315	167969	0.194399	0.205092	0.117611	0.093019
Chr01	167970	183914	0.116475	0.228284	0.142858	0.059479
Chr01	183937	186335	0.147724	0.286100	0.171576	0.080490
Chr01	186360	192013	0.112715	0.269613	0.142627	0.056992
Chr01	192170	203095	0.096800	0.167169	0.097465	0.055402
Chr01	203191	206418	0.174538	0.225420	0.113550	0.074655
Chr01	206458	209490	-0.033026	-0.040242	-0.020320	-0.025090
Chr01	209497	213338	0.149010	0.173119	0.096723	0.084157
Chr01	213342	216458	0.089305	0.078376	0.049532	0.055753
Chr01	216493	218087	-0.083060	-0.217830	-0.062465	-0.071371
Chr01	218112	220245	-0.083122	-0.100942	-0.050271	-0.071308
Chr01	220257	224175	0.176627	0.231469	0.143329	0.102387
Chr01	224200	228821	-0.113247	-0.296082	-0.101497	-0.067099
Chr01	228833	233786	-0.147235	-0.411735	-0.138041	-0.082301
Chr01	233848	238206	-0.151144	-0.210488	-0.104188	-0.095026
Chr01	238207	244823	-0.142079	-0.131714	-0.074821	-0.093771
Chr01	245055	249343	0.022593	0.036868	0.017076	0.010297
Chr01	249357	252146	0.125035	0.224934	0.101246	0.049903
Chr01	252165	255191	-0.110201	-0.308402	-0.092702	-0.059420
Chr01	255213	258057	-0.049077	-0.097266	-0.034625	-0.025369
Chr01	258063	261393	0.248470	0.322030	0.179066	0.119725
Chr01	261403	263466	0.076690	0.118447	0.053759	0.045050
Chr01	263474	265386	0.183708	0.245481	0.138745	0.112293
Chr01	265407	270645	0.245876	0.320630	0.185962	0.178617
Chr01	270651	275207	0.029507	0.037158	0.016562	0.005593
Chr01	275303	276911	0.091086	0.181882	0.072744	0.053366
Chr01	277017	287780	0.032880	0.042086	0.019470	0.014640
Chr01	287790	307325	0.077754	0.061069	0.030757	0.046472
Chr01	307342	312516	0.503353	0.492399	0.369385	0.405117
Chr01	312581	318401	0.183999	0.326627	0.120186	0.108118
Chr01	318436	326453	0.194286	0.263552	0.125636	0.099393
Chr01	326749	342637	0.513981	0.436517	0.269226	0.275664
Chr01	342648	351677	0.386685	0.421286	0.267486	0.264384
Chr01	351684	369797	-0.549136	-0.357908	-0.221009	-0.368908
Chr01	369854	387548	0.175054	0.138865	0.093671	0.117065
Chr01	387588	392178	0.235097	0.238391	0.170559	0.129056
Chr01	392290	399748	0.064574	0.124733	0.045401	0.021003
Chr01	399749	403866	0.011681	0.034146	0.010270	0.003250
Chr01	403997	414967	0.216800	0.204274	0.104582	0.095737
Chr01	414969	425414	0.742173	0.626561	0.498445	0.518238
Chr01	425480	432005	0.239767	0.318119	0.135826	0.131679
Chr01	432014	437607	0.346560	0.527769	0.171455	0.202739
Chr01	437684	446731	0.311755	0.113921	0.075715	0.077585
