chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	540173	694952	-0.117815	-0.154361	-0.083169	-0.067531
Superscaffold1	694993	851140	0.180510	0.170794	0.090774	0.105330
Superscaffold1	851224	1160328	0.092230	0.082726	0.041076	0.046685
Superscaffold1	1160975	1367421	-0.059588	-0.051195	-0.027010	-0.026376
Superscaffold1	1367423	1525871	-0.005149	-0.003702	-0.001976	-0.004469
Superscaffold1	1525897	1860390	0.187495	0.101385	0.056986	0.106837
Superscaffold1	1860430	2011508	0.019950	0.014174	0.005887	0.008664
Superscaffold1	2011532	2202164	0.098973	0.064487	0.028778	0.063484
Superscaffold1	2202165	2369605	0.062851	0.060488	0.033401	0.034669
Superscaffold1	2369616	2513080	-0.098925	-0.141416	-0.064510	-0.065342
Superscaffold1	2513106	2633568	-0.007731	-0.008122	-0.004296	-0.000658
Superscaffold1	2633598	2772058	-0.060289	-0.098680	-0.040697	-0.035764
Superscaffold1	2772107	2916932	0.149408	0.191105	0.071495	0.090526
Superscaffold1	2917159	3093503	-0.078728	-0.090860	-0.042183	-0.049849
Superscaffold1	3093553	3275396	-0.067318	-0.076008	-0.034684	-0.039279
Superscaffold1	3275631	3498695	0.065443	0.040517	0.022288	0.036268
Superscaffold1	3498807	3685397	0.150549	0.131924	0.061713	0.093455
Superscaffold1	3685413	3892327	0.124798	0.098149	0.042251	0.065306
Superscaffold1	3892352	4092780	0.064656	0.062037	0.023706	0.038946
Superscaffold1	4092781	4375143	0.259306	0.210305	0.118402	0.156983
Superscaffold1	4375145	4581429	0.125866	0.099753	0.053556	0.086117
Superscaffold1	4581492	4819948	0.002262	0.002283	0.001075	0.002841
Superscaffold1	4820024	5047415	0.114245	0.105693	0.055226	0.069862
Superscaffold1	5047416	5254909	0.444616	0.385645	0.193435	0.266432
Superscaffold1	5255039	5552597	0.129677	0.068286	0.041739	0.070371
Superscaffold1	5552623	5811738	0.062039	0.033964	0.021256	0.042835
Superscaffold1	5811766	6158750	0.154460	0.079352	0.050477	0.097847
Superscaffold1	6158754	6464904	-0.045305	-0.022430	-0.013950	-0.028399
Superscaffold1	6464968	6811547	0.088583	0.040911	0.026226	0.064292
Superscaffold1	6812078	7194572	-0.371293	-0.176332	-0.098461	-0.248243
Superscaffold1	7194692	7445675	-0.148458	-0.106990	-0.052339	-0.093394
Superscaffold1	7445710	7766412	-0.040952	-0.019717	-0.011640	-0.017169
Superscaffold1	7766457	8384242	0.123077	0.046844	0.031406	0.047350
Superscaffold1	8384260	8745876	-0.026969	-0.014928	-0.007821	-0.018705
Superscaffold1	8745877	9631065	0.091460	0.045796	0.028548	0.058425
Superscaffold1	9631074	10358329	0.051670	0.026804	0.017193	0.036151
Superscaffold1	10358343	10695612	0.054119	0.042303	0.022692	0.029680
Superscaffold1	10695624	10871252	0.080078	0.062859	0.032804	0.051828
Superscaffold1	10871374	11129732	-0.008715	-0.005204	-0.002908	-0.004545
Superscaffold1	11130242	11403725	-0.218084	-0.115268	-0.071812	-0.155781
Superscaffold1	11403731	11637966	-0.325657	-0.203451	-0.109954	-0.254595
Superscaffold1	11637969	11887953	0.010001	0.006063	0.003139	0.004860
Superscaffold1	11887969	12078582	0.070784	0.071028	0.037628	0.038823
Superscaffold1	12078639	12311059	0.114239	0.088575	0.043764	0.065553
Superscaffold1	12311105	12524150	0.189322	0.193369	0.108108	0.115022
Superscaffold1	12524193	12818126	-0.154027	-0.082620	-0.040782	-0.105531
Superscaffold1	12818142	13090527	0.282453	0.140775	0.078230	0.219263
Superscaffold1	13090550	13433513	0.479632	0.302222	0.147458	0.324935
Superscaffold1	13433528	13793662	0.393712	0.387868	0.188657	0.252872
Superscaffold1	13793746	14277127	-0.107645	-0.061777	-0.029481	-0.073029
Superscaffold1	14277186	14659212	-0.045084	-0.015330	-0.009132	-0.028568
Superscaffold1	14659216	14893994	0.127291	0.070470	0.040306	0.071265
Superscaffold1	14894252	15121810	0.193485	0.114509	0.067065	0.114115
Superscaffold1	15121817	15398903	0.037917	0.011224	0.007709	0.019511
Superscaffold1	15398922	15731298	-0.130904	-0.044903	-0.027571	-0.087802
Superscaffold1	15731417	16042098	-0.011310	-0.004306	-0.002639	-0.005482
Superscaffold1	16043096	16342366	-0.031706	-0.011081	-0.006680	-0.022776
Superscaffold1	16342655	16672737	-0.005731	-0.003209	-0.001847	-0.003521
Superscaffold1	16672991	16866289	-0.028172	-0.021457	-0.009876	-0.013331
Superscaffold1	16866325	17140554	-0.050780	-0.037095	-0.017372	-0.024542
Superscaffold1	17140583	17540845	0.025521	0.011508	0.006836	0.022346
Superscaffold1	17541043	18130284	0.013340	0.007760	0.003908	0.006883
Superscaffold1	18130285	18373132	-0.202459	-0.216418	-0.088237	-0.091448
Superscaffold1	18373133	18745972	-0.019704	-0.007496	-0.004428	-0.010770
Superscaffold1	18745978	19097797	-0.075845	-0.038098	-0.024201	-0.045019
Superscaffold1	19097872	19258635	0.007153	0.005513	0.003048	0.000610
Superscaffold1	19258692	19657575	0.355189	0.215101	0.151376	0.280068
Superscaffold1	19657664	19922118	0.027084	0.013090	0.007973	0.022359
Superscaffold1	19922128	20186644	0.079024	0.045252	0.024904	0.051401
Superscaffold1	20186655	20496149	0.225231	0.100367	0.061476	0.126644
Superscaffold1	20496445	21080561	-0.157591	-0.059384	-0.031512	-0.092254
Superscaffold1	21080633	21262742	0.239738	0.131057	0.074074	0.142279
Superscaffold1	21262747	21461252	0.279743	0.198203	0.085144	0.170917
Superscaffold1	21461268	21722003	0.077843	0.039403	0.020940	0.047680
Superscaffold1	21722040	22066045	-0.071602	-0.037055	-0.022558	-0.050607
Superscaffold1	22066046	22462190	0.203692	0.060526	0.037003	0.128105
Superscaffold1	22462192	22923426	0.690359	0.303511	0.192020	0.608703
Superscaffold1	22923450	23256652	0.205604	0.086399	0.044657	0.145983
Superscaffold1	23257344	23685797	-0.069590	-0.020723	-0.011927	-0.048976
Superscaffold1	23685845	23965981	-0.144814	-0.077604	-0.041747	-0.092986
Superscaffold1	23966052	24314403	0.084069	0.025789	0.017244	0.049647
Superscaffold1	24315500	24666507	0.143470	0.049229	0.031944	0.110758
