chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	155659	268876	0.178683	0.186497	0.084530	0.075018
Chr01	223086	350021	0.141194	0.132893	0.062086	0.055917
Chr01	268885	445261	0.055697	0.041585	0.022915	0.022407
Chr01	350046	519463	0.015763	0.016999	0.005795	0.006834
Chr01	445350	624517	-0.138766	-0.122648	-0.051775	-0.052277
Chr01	519608	805066	-0.318681	-0.240259	-0.122724	-0.133136
Chr01	624520	906856	-0.212160	-0.234561	-0.077868	-0.064163
Chr01	805233	1008875	0.149519	0.134236	0.048194	0.039334
Chr01	906930	1113712	0.184153	0.112716	0.057887	0.063149
Chr01	1008876	1276146	-0.003485	-0.001545	-0.000948	-0.006589
Chr01	1113742	1390901	-0.111549	-0.055573	-0.032616	-0.047504
Chr01	1276322	1500819	-0.171484	-0.098818	-0.055011	-0.073126
Chr01	1390958	1565526	-0.036643	-0.023422	-0.013279	-0.017952
Chr01	1501421	1687832	0.136001	0.074946	0.044763	0.052713
Chr01	1565565	1921039	0.111729	0.034633	0.023452	0.046375
Chr01	1687902	2077935	0.183419	0.068789	0.043292	0.086287
Chr01	1921112	2196035	0.328479	0.212270	0.120504	0.166969
Chr01	2077990	2264669	0.235076	0.161183	0.097104	0.117106
Chr01	2196094	2425041	0.076964	0.058908	0.032280	0.043239
Chr01	2264670	2495128	0.019944	0.017370	0.009039	0.014896
Chr01	2425042	2599911	-0.038005	-0.046075	-0.021570	-0.020389
Chr01	2495155	2674202	-0.056009	-0.057238	-0.029879	-0.028224
Chr01	2599928	2729472	-0.182440	-0.160393	-0.091936	-0.087938
Chr01	2674370	2803465	0.051041	0.044021	0.025613	0.033273
Chr01	2729512	2915721	0.175192	0.146361	0.083050	0.108839
Chr01	2803622	3023592	-0.113246	-0.093524	-0.053683	-0.060886
Chr01	2916002	3132395	-0.121296	-0.095723	-0.056861	-0.065935
Chr01	3023843	3270740	-0.035063	-0.026576	-0.013596	-0.012582
Chr01	3133327	3403317	0.060415	0.040148	0.019266	0.023031
Chr01	3270784	3615492	-0.181807	-0.078327	-0.048545	-0.101371
Chr01	3403764	3778769	-0.210859	-0.086578	-0.057896	-0.101257
Chr01	3615639	3893561	0.069794	0.046063	0.029635	0.023204
Chr01	3778800	4001835	0.161155	0.127276	0.078632	0.056845
Chr01	3893575	4077029	0.108883	0.092968	0.049067	0.046758
Chr01	4001856	4178796	-0.008882	-0.006763	-0.003162	0.000652
Chr01	4077031	4275913	0.049709	0.031183	0.015118	0.020101
Chr01	4178917	4379827	0.057304	0.036893	0.020786	0.021972
Chr01	4276024	4448131	0.039323	0.033296	0.020589	0.016997
Chr01	4380079	4505748	-0.041492	-0.049414	-0.025310	-0.025308
Chr01	4448160	4614630	-0.032237	-0.031508	-0.016222	-0.014724
Chr01	4505785	4716186	0.032700	0.025422	0.013029	0.016283
Chr01	4614849	4874995	0.010777	0.006963	0.003843	0.006789
Chr01	4716229	5034958	0.094268	0.066620	0.035334	0.049174
Chr01	4875033	5183827	0.254670	0.184870	0.093572	0.132993
Chr01	5035038	5439939	0.248065	0.148106	0.086489	0.129729
Chr01	5183835	5621828	0.075480	0.042196	0.026691	0.036305
Chr01	5440062	5777555	0.094858	0.054418	0.030389	0.039254
Chr01	5621977	5878698	0.031568	0.024032	0.010676	0.011059
Chr01	5777613	5998297	-0.018206	-0.015155	-0.006926	-0.014664
Chr01	5878766	6102561	-0.037820	-0.025269	-0.013402	-0.016976
Chr01	5998934	6213556	-0.299588	-0.249148	-0.122847	-0.133508
Chr01	6102690	6293775	-0.313006	-0.361225	-0.124606	-0.147945
Chr01	6213665	6606338	0.103636	0.071680	0.027889	0.051653
Chr01	6294852	6886427	0.558021	0.351356	0.158314	0.387274
Chr01	6606831	6998669	0.584669	0.478468	0.209738	0.429595
Chr01	6886491	7131472	0.339529	0.309183	0.112608	0.217936
Chr01	6998695	7338685	-0.004562	-0.003771	-0.001261	-0.004342
Chr01	7131667	7442751	-0.134411	-0.116037	-0.044393	-0.066622
Chr01	7338748	7575099	0.330260	0.274522	0.109250	0.205806
Chr01	7442766	7721383	0.391161	0.246739	0.110345	0.216543
Chr01	7575181	7883255	0.169271	0.095133	0.047873	0.087059
Chr01	7721411	8045458	0.081910	0.041056	0.024142	0.044434
Chr01	7883655	8207768	-0.044268	-0.019814	-0.013228	-0.022935
Chr01	8045599	8470784	0.209808	0.067083	0.049440	0.148429
Chr01	8207782	8646413	0.163001	0.046456	0.033577	0.088963
Chr01	8470786	8817671	-0.015700	-0.007892	-0.004784	-0.006454
Chr01	8646428	9178912	-0.094734	-0.067249	-0.038440	-0.054770
Chr01	8817749	9314874	-0.085112	-0.066353	-0.038053	-0.049060
Chr01	9179623	9482167	0.011941	0.004321	0.002928	0.006428
Chr01	9315131	9589507	-0.125651	-0.050401	-0.035817	-0.051518
Chr01	9482221	9756374	-0.107765	-0.080502	-0.053593	-0.050991
Chr01	9589631	9868265	-0.058299	-0.039079	-0.023918	-0.026861
Chr01	9756560	9970257	0.058747	0.038565	0.025453	0.035174
Chr01	9868272	10066076	0.012915	0.008491	0.005513	0.007952
Chr01	9970267	10237745	-0.033645	-0.019362	-0.012263	-0.016560
Chr01	10066078	10372542	0.003215	0.001774	0.001153	0.006166
Chr01	10237746	10515892	-0.012484	-0.006858	-0.004273	-0.003029
Chr01	10372638	11116745	-0.039546	-0.016913	-0.009878	-0.019801
Chr01	10515906	11296201	0.019741	0.006956	0.004405	0.009742
Chr01	11116870	11389884	0.072232	0.032332	0.021865	0.031600
