chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	565919	749696	-0.166292	-0.098172	-0.064550	-0.091990
Superscaffold1	749759	1026869	0.103626	0.045984	0.029119	0.064287
Superscaffold1	1026936	1314753	-0.143876	-0.053816	-0.035716	-0.077276
Superscaffold1	1314781	1619739	0.180805	0.031451	0.023977	0.101182
Superscaffold1	1619813	2065486	-0.316877	-0.103343	-0.062261	-0.232775
Superscaffold1	2065598	2362732	-0.115462	-0.047726	-0.030147	-0.085504
Superscaffold1	2362762	2551144	0.027790	0.018261	0.011296	0.015052
Superscaffold1	2551193	2768651	0.021162	0.013350	0.008652	0.014007
Superscaffold1	2768788	2969460	-0.193968	-0.167170	-0.077572	-0.126722
Superscaffold1	2969506	3252609	0.024375	0.011342	0.007410	0.011966
Superscaffold1	3252966	3655194	0.012492	0.004226	0.002682	0.009772
Superscaffold1	3655218	4147066	-0.237943	-0.071148	-0.044901	-0.153206
Superscaffold1	4147104	4517574	0.045573	0.015913	0.010781	0.039745
Superscaffold1	4517824	4939225	-0.097811	-0.033072	-0.023334	-0.063744
Superscaffold1	4939242	5517933	-0.077331	-0.015546	-0.011648	-0.052030
Superscaffold1	5518076	5868159	0.207396	0.067115	0.048093	0.130054
Superscaffold1	5868237	6349215	0.132433	0.035442	0.025165	0.089008
Superscaffold1	6349227	6765250	-0.065692	-0.020507	-0.014632	-0.040801
Superscaffold1	6765291	7246512	-0.332474	-0.105138	-0.067553	-0.212415
Superscaffold1	7246524	7727166	-0.183218	-0.061205	-0.041751	-0.132371
Superscaffold1	7727185	8452908	-0.393534	-0.138112	-0.088186	-0.301882
Superscaffold1	8454017	9371562	-0.013076	-0.004116	-0.002838	-0.006799
Superscaffold1	9371645	10589001	0.157841	0.045619	0.032489	0.109492
Superscaffold1	10589008	10923131	-0.208136	-0.078994	-0.051587	-0.144727
Superscaffold1	10923148	11337891	0.051407	0.016453	0.011570	0.036297
Superscaffold1	11338041	11651899	-0.512551	-0.202539	-0.126905	-0.391296
Superscaffold1	11651931	12113213	0.046385	0.013957	0.009718	0.033449
Superscaffold1	12113222	12412942	0.169942	0.077878	0.047553	0.099517
Superscaffold1	12412967	12787892	-0.124133	-0.042330	-0.027780	-0.079692
Superscaffold1	12789748	13239531	0.025200	0.007491	0.004608	0.014951
Superscaffold1	13239592	14024914	0.053007	0.008748	0.006110	0.043091
Superscaffold1	14024929	14703019	0.029998	0.006747	0.004613	0.025998
Superscaffold1	14703285	15077907	0.012532	0.004237	0.002885	0.006587
Superscaffold1	15077933	15515595	-0.170863	-0.035581	-0.025072	-0.131128
Superscaffold1	15515682	15924688	-0.160113	-0.039154	-0.026599	-0.120986
Superscaffold1	15924692	16343668	-0.012935	-0.003207	-0.002149	-0.010753
Superscaffold1	16343813	16714953	-0.160072	-0.053082	-0.034923	-0.090222
Superscaffold1	16715484	17112051	0.055089	0.019397	0.011812	0.029063
Superscaffold1	17112116	17598534	-0.047766	-0.013980	-0.009159	-0.038388
Superscaffold1	17598799	18317665	-0.451708	-0.260534	-0.129069	-0.339993
Superscaffold1	18317705	18821566	-0.091792	-0.021852	-0.015247	-0.061283
Superscaffold1	18821568	19132017	0.159382	0.062523	0.042706	0.092905
Superscaffold1	19132057	19556686	-0.429384	-0.222450	-0.141547	-0.301280
Superscaffold1	19556735	19847831	-0.344626	-0.123116	-0.084882	-0.253938
Superscaffold1	19848123	20287105	0.011504	0.002945	0.001995	0.008516
Superscaffold1	20287136	21024369	0.057845	0.016084	0.009899	0.035746
Superscaffold1	21024538	21394074	-0.121821	-0.039804	-0.025332	-0.086386
Superscaffold1	21394102	21809980	0.022952	0.007456	0.004419	0.018780
Superscaffold1	21809983	22345566	-0.116064	-0.024384	-0.017327	-0.077010
Superscaffold1	22345731	23120617	-0.146092	-0.024684	-0.016597	-0.111679
Superscaffold1	23120682	23635428	-0.027105	-0.006366	-0.003955	-0.019793
Superscaffold1	23636144	24096076	-0.242697	-0.067688	-0.044724	-0.167301
Superscaffold1	24096111	24550642	0.033147	0.010147	0.006866	0.018905
Superscaffold1	24550703	24855506	-0.119634	-0.043843	-0.028111	-0.085565
Superscaffold1	24855961	25398352	-0.031755	-0.008174	-0.005149	-0.019165
Superscaffold1	25398458	25815083	0.062660	0.014126	0.010233	0.038846
Superscaffold1	25815112	26191132	-0.134797	-0.047960	-0.032310	-0.089277
Superscaffold1	26191218	26626730	-0.094179	-0.020738	-0.014826	-0.063455
Superscaffold1	26627224	27281508	0.159383	0.027823	0.018096	0.125307
Superscaffold1	27281517	27727698	0.090650	0.031164	0.020274	0.062275
Superscaffold1	27727984	27967526	-0.253127	-0.140100	-0.077550	-0.132515
Superscaffold1	27967558	28259138	0.084813	0.031774	0.020928	0.055511
Superscaffold1	28259139	28711975	-0.236183	-0.056111	-0.041827	-0.138939
Superscaffold1	28712002	29210162	-0.343525	-0.093531	-0.063366	-0.264473
Superscaffold1	29210869	29600557	-0.009431	-0.003096	-0.002022	-0.010800
Superscaffold1	29600645	29966711	-0.540071	-0.220952	-0.129616	-0.437786
Superscaffold1	29966740	30729396	-0.038794	-0.008739	-0.006473	-0.023232
Superscaffold1	30729411	31208501	0.047800	0.010420	0.007208	0.038546
Superscaffold1	31208606	31889758	-0.133856	-0.023601	-0.016623	-0.088024
Superscaffold1	31889794	32554704	0.048568	0.012440	0.008666	0.028847
Superscaffold1	32554804	32977072	-0.017260	-0.004652	-0.003141	-0.013129
Superscaffold1	32977268	33454662	0.115686	0.033624	0.023617	0.073551
Superscaffold1	33454663	33731792	0.120844	0.049149	0.032458	0.068856
Superscaffold1	33731809	34006153	0.004987	0.001902	0.001308	0.001497
Superscaffold1	34006163	34249633	-0.180358	-0.060786	-0.039662	-0.134153
Superscaffold1	34249637	34695142	-0.036839	-0.010327	-0.006947	-0.026777
Superscaffold1	34695418	35296566	-0.041685	-0.007451	-0.005317	-0.032873
Superscaffold1	35296576	36286427	0.042263	0.014158	0.009198	0.024340
Superscaffold1	36286466	37073124	-0.167959	-0.031294	-0.022707	-0.122479
Superscaffold1	37073203	37444858	-0.308487	-0.104499	-0.069745	-0.215103
Superscaffold1	37444943	37766384	0.086677	0.027643	0.017881	0.059509
Superscaffold1	37766997	38367912	0.031726	0.010631	0.007089	0.022046
Superscaffold1	38367998	38839105	0.047066	0.009221	0.006749	0.036148
Superscaffold1	38839174	39108032	-0.064060	-0.020468	-0.013740	-0.042992
Superscaffold1	39108215	39604539	-0.247161	-0.056773	-0.037423	-0.188634
Superscaffold1	39604641	39921263	-0.255100	-0.075714	-0.051266	-0.203138
Superscaffold1	39921517	40368592	0.265160	0.055060	0.038591	0.193671
Superscaffold1	40368748	40854788	0.244331	0.059901	0.041910	0.150491
Superscaffold1	40855073	41641029	0.128952	0.018605	0.012482	0.082560
Superscaffold1	41641066	42306691	-0.011647	-0.001382	-0.001031	-0.010567
Superscaffold1	42306702	43119600	0.109340	0.012298	0.008914	0.083670
Superscaffold1	43119660	43870401	0.130774	0.016579	0.011323	0.115926
Superscaffold1	43870434	44668435	-0.132375	-0.026907	-0.017106	-0.132181
Superscaffold1	44669035	45488725	0.124466	0.011242	0.008709	0.097722
Superscaffold1	45518534	46360678	0.006458	0.000865	0.000589	0.003576
Superscaffold1	46361424	47510674	0.257313	0.029313	0.019564	0.189406
Superscaffold1	47511322	48333226	0.094207	0.009840	0.007144	0.074871
Superscaffold1	48333393	48652161	0.679637	0.246717	0.133297	0.622810
Superscaffold1	48652264	49358580	-0.021111	-0.002601	-0.001882	-0.011703
Superscaffold1	49358748	49870354	-0.279293	-0.052520	-0.032486	-0.170425
Superscaffold1	49870370	50153693	-0.717807	-0.397288	-0.195063	-0.635438
Superscaffold1	50153887	50714693	0.183291	0.031555	0.024623	0.128891
Superscaffold1	50715770	51315474	0.274386	0.106560	0.073564	0.162342
Superscaffold2	305545	704918	0.124709	0.040946	0.027605	0.073794
Superscaffold2	704922	1174937	0.145462	0.033661	0.024386	0.103021
Superscaffold2	1175117	1645139	-0.015292	-0.003972	-0.002852	-0.009876
Superscaffold2	1645241	2022599	-0.043660	-0.011432	-0.008134	-0.035063
Superscaffold2	2022793	2430469	0.157859	0.051531	0.033725	0.112113
Superscaffold2	2430483	3392013	0.076923	0.022450	0.015422	0.038396
Superscaffold2	3392280	3736086	-0.044504	-0.022697	-0.013470	-0.030164
Superscaffold2	3736177	4266830	-0.129082	-0.040312	-0.024312	-0.094093
Superscaffold2	4266887	4712409	-0.069238	-0.019928	-0.012109	-0.048007
Superscaffold2	4712497	5199255	-0.356772	-0.103734	-0.072663	-0.263554
Superscaffold2	5199263	5534929	0.070156	0.024539	0.015850	0.058491
Superscaffold2	5534932	6110052	0.236090	0.088771	0.054145	0.180546
Superscaffold2	6110062	6546245	0.163087	0.045545	0.030051	0.117641
Superscaffold2	6546247	7450072	-0.069804	-0.012831	-0.008280	-0.050885
Superscaffold2	7450088	7969359	-0.097535	-0.020622	-0.013808	-0.065189
Superscaffold2	7969580	8747415	0.000011	0.000002	0.000001	-0.000990
Superscaffold2	8748262	9530983	-0.146673	-0.028743	-0.020624	-0.111126
Superscaffold2	9530992	10085648	-0.010642	-0.002223	-0.001462	-0.006319
Superscaffold2	10085669	10614564	0.045812	0.012654	0.008469	0.029801
Superscaffold2	10614600	11272719	-0.141071	-0.024554	-0.017519	-0.104527
