chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	205420	326807	-0.177066	-0.281094	-0.139477	-0.122717
Chr01	254315	452950	-0.024209	-0.027736	-0.014647	-0.015879
Chr01	326881	575227	0.320333	0.258852	0.127092	0.203135
Chr01	453010	670923	0.361740	0.259011	0.139845	0.222644
Chr01	575242	882276	0.228081	0.178453	0.097802	0.131083
Chr01	670937	999732	-0.003321	-0.002994	-0.001337	0.002343
Chr01	882490	1117838	-0.095432	-0.062273	-0.031245	-0.040976
Chr01	999768	1197139	-0.075950	-0.045252	-0.023942	-0.037401
Chr01	1117908	1333913	-0.087453	-0.055252	-0.027339	-0.046863
Chr01	1197186	1468606	0.132873	0.088791	0.043030	0.079672
Chr01	1333978	1543404	0.242558	0.168758	0.094718	0.153299
Chr01	1468657	1635586	0.161555	0.096718	0.052704	0.089233
Chr01	1543492	1686437	0.254545	0.163211	0.082448	0.144552
Chr01	1635680	1791022	-0.010365	-0.010826	-0.003804	-0.006480
Chr01	1686503	1875701	-0.068824	-0.066786	-0.020374	-0.039779
Chr01	1791036	2000291	-0.152628	-0.133052	-0.041657	-0.081920
Chr01	1875765	2074703	-0.209271	-0.177324	-0.065063	-0.106286
Chr01	2000485	2172863	0.024281	0.018463	0.009064	0.010893
Chr01	2074774	2230384	0.097874	0.083930	0.041815	0.052668
Chr01	2172873	2277733	0.143073	0.162383	0.084176	0.075201
Chr01	2230476	2415083	0.038751	0.049303	0.024145	0.023025
Chr01	2277745	2475123	0.038289	0.043899	0.022439	0.027992
Chr01	2415128	2536972	-0.054017	-0.063306	-0.031436	-0.028545
Chr01	2475131	2629502	-0.114025	-0.143874	-0.063610	-0.060922
Chr01	2536982	2688761	0.045009	0.047014	0.025184	0.031771
Chr01	2629706	2729058	0.079261	0.079147	0.041521	0.054449
Chr01	2688764	2792999	-0.060273	-0.081424	-0.034146	-0.034685
Chr01	2729064	2874285	-0.103673	-0.132981	-0.059767	-0.054970
Chr01	2793000	2954955	0.144069	0.148236	0.073232	0.087234
Chr01	2874359	3049743	0.321280	0.246635	0.146137	0.208155
Chr01	2954965	3131443	0.254811	0.195156	0.122299	0.151617
Chr01	3049752	3254394	0.087897	0.068148	0.034821	0.049715
Chr01	3131457	3365124	0.043020	0.025422	0.013502	0.025831
Chr01	3254450	3471317	0.159455	0.099668	0.050579	0.099296
Chr01	3365158	3556422	0.248913	0.178390	0.090185	0.162775
Chr01	3471415	3657508	0.353431	0.237280	0.139487	0.230424
Chr01	3556484	3766473	0.193690	0.134645	0.069515	0.116385
Chr01	3657638	3865771	0.131276	0.118977	0.048569	0.080640
Chr01	3766807	4019907	0.138245	0.130078	0.046637	0.088165
Chr01	3865774	4132778	-0.005606	-0.004606	-0.001823	0.001545
Chr01	4019914	4243945	-0.031077	-0.028730	-0.012374	-0.021914
Chr01	4132783	4327139	0.020758	0.023752	0.009748	0.012670
Chr01	4243990	4431045	0.194752	0.243918	0.096836	0.120954
Chr01	4327229	4489811	0.134413	0.156258	0.067425	0.072405
Chr01	4431243	4572776	-0.027282	-0.026749	-0.014539	-0.014191
Chr01	4489812	4645549	0.099785	0.089395	0.045736	0.051971
Chr01	4572781	4756617	0.154858	0.152173	0.067010	0.088223
Chr01	4645569	4870848	0.158192	0.132728	0.057184	0.096801
Chr01	4756739	5021175	0.062981	0.036807	0.019781	0.041297
Chr01	4870858	5171320	-0.076354	-0.042191	-0.023357	-0.048653
Chr01	5021404	5511351	0.084876	0.037900	0.022813	0.061546
Chr01	5171436	5639036	0.129675	0.055664	0.035963	0.085127
Chr01	5511378	5803805	-0.095400	-0.044325	-0.027312	-0.065161
Chr01	5639073	5978010	-0.167344	-0.071559	-0.042588	-0.109766
Chr01	5804664	6165827	-0.168264	-0.064246	-0.038257	-0.111412
Chr01	5978024	6376293	-0.149270	-0.049443	-0.032174	-0.106936
Chr01	6165847	6775996	0.230561	0.063865	0.046852	0.178163
Chr01	6376423	7049226	0.384550	0.076905	0.062396	0.340716
Chr01	6776679	7310919	0.087803	0.018367	0.014543	0.074637
Chr01	7049466	7414481	-0.137672	-0.061260	-0.038385	-0.092758
Chr01	7310927	7581818	-0.201715	-0.094500	-0.055556	-0.132536
Chr01	7414526	7703047	-0.439441	-0.238433	-0.126311	-0.276637
Chr01	7581823	7872292	-0.444098	-0.224624	-0.128230	-0.291840
Chr01	7703052	7970208	-0.253171	-0.131528	-0.075401	-0.184938
Chr01	7872636	8077303	-0.210986	-0.129848	-0.067311	-0.143602
Chr01	7970223	8235468	-0.012441	-0.004332	-0.002600	-0.007534
Chr01	8077321	8397959	0.186533	0.061772	0.038356	0.115773
Chr01	8235617	8563118	0.456684	0.183843	0.114346	0.336346
Chr01	8397979	8660802	0.378389	0.169317	0.099903	0.266536
Chr01	8563263	8822042	-0.051512	-0.026685	-0.015268	-0.026250
Chr01	8660906	9213301	-0.072610	-0.037583	-0.022359	-0.039517
Chr01	8822051	9325692	-0.110822	-0.059693	-0.032893	-0.066565
Chr01	9213332	9515149	-0.183992	-0.083894	-0.047767	-0.148513
Chr01	9325792	9689683	-0.071739	-0.033482	-0.019586	-0.058516
Chr01	9515438	9837557	0.078744	0.048514	0.028388	0.049501
Chr01	9689796	9912642	-0.038225	-0.023971	-0.014904	-0.019596
Chr01	9837603	9985654	-0.117802	-0.078544	-0.046947	-0.066133
Chr01	9912643	10067457	0.112441	0.075620	0.046201	0.076654
