chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	85357	147661	-0.750935	-0.349603	-0.176854	-0.635036
Chr01	147954	152930	-0.434468	-0.205260	-0.120041	-0.337127
Chr01	153076	164737	-0.506986	-0.410787	-0.223502	-0.394791
Chr01	164738	182753	-0.380326	-0.218460	-0.144704	-0.242693
Chr01	182996	185600	-0.095724	-0.307284	-0.140894	-0.045676
Chr01	185602	189557	-0.190821	-0.270247	-0.147563	-0.110914
Chr01	189572	197589	-0.266441	-0.369105	-0.175982	-0.164751
Chr01	197686	207587	-0.242223	-0.220138	-0.134336	-0.170012
Chr01	207604	210738	-0.444558	-0.646411	-0.324263	-0.316037
Chr01	210742	216365	-0.132224	-0.102631	-0.073857	-0.078397
Chr01	216433	218872	-0.331676	-0.522468	-0.276704	-0.250718
Chr01	218915	222360	-0.187627	-0.268109	-0.149996	-0.115223
Chr01	222478	229376	-0.360832	-0.498884	-0.279463	-0.247524
Chr01	229511	235897	-0.488616	-0.562158	-0.299322	-0.326556
Chr01	235916	241222	-0.411600	-0.371914	-0.222464	-0.293337
Chr01	241244	249357	-0.701508	-0.627202	-0.346283	-0.519119
Chr01	249369	254067	-0.472385	-0.704524	-0.368916	-0.377236
Chr01	254110	257409	-0.265551	-0.310876	-0.191337	-0.210296
Chr01	257473	261724	-0.328473	-0.399541	-0.220088	-0.206462
Chr01	261731	264170	-0.352721	-0.327872	-0.200878	-0.204299
Chr01	264200	269320	-0.151446	-0.126859	-0.084836	-0.082865
Chr01	269410	275321	-0.429551	-0.341488	-0.206117	-0.300090
Chr01	275334	280786	-0.415146	-0.547200	-0.271156	-0.265810
Chr01	280806	291626	-0.181931	-0.228218	-0.112024	-0.099956
Chr01	292506	310735	0.237103	0.206355	0.117769	0.162107
Chr01	310837	318130	0.327034	0.231978	0.147755	0.146141
Chr01	318221	334146	-0.137025	-0.063538	-0.040591	-0.102303
Chr01	334299	350114	-0.267678	-0.132854	-0.081262	-0.174733
Chr01	350126	355234	-0.191053	-0.320550	-0.143229	-0.128463
Chr01	355291	387008	0.230427	0.089974	0.062184	0.180525
Chr01	387015	393788	-0.245278	-0.161702	-0.107564	-0.147480
Chr01	393799	402941	-0.465940	-0.455107	-0.244147	-0.344769
Chr01	402963	418334	-0.154914	-0.068713	-0.043577	-0.119309
Chr01	418617	429340	0.693169	0.427077	0.343937	0.530511
Chr01	429473	437684	0.108277	0.097857	0.045267	0.071164
Chr01	437704	453118	-0.298288	-0.142919	-0.102409	-0.237760
Chr01	453125	476566	0.114502	0.045896	0.036131	0.074452
Chr01	476603	482902	-0.101213	-0.074696	-0.046803	-0.055549
Chr01	483052	496976	-0.058329	-0.024855	-0.017237	-0.041648
Chr01	497117	512581	-0.298086	-0.131069	-0.089074	-0.217774
Chr01	512720	525977	-0.346903	-0.168874	-0.103387	-0.318381
Chr01	526124	551553	0.103282	0.035563	0.020941	0.067712
Chr01	551671	569590	0.108221	0.025660	0.020339	0.065243
Chr01	569652	577861	-0.034214	-0.011355	-0.008392	-0.022203
Chr01	577862	594210	0.091490	0.027074	0.021994	0.057552
Chr01	594391	610656	0.318391	0.075462	0.064663	0.219861
Chr01	610664	625832	-0.342540	-0.220004	-0.129976	-0.244252
Chr01	625942	639801	-0.403524	-0.285072	-0.158801	-0.288877
Chr01	639901	655837	-0.468209	-0.332865	-0.170399	-0.247179
Chr01	656016	661938	0.297634	0.138104	0.110417	0.220424
Chr01	661992	677633	-0.146608	-0.096107	-0.064478	-0.111079
Chr01	677647	702226	-0.304819	-0.235129	-0.111672	-0.247853
Chr01	702319	760418	-0.440732	-0.326846	-0.142976	-0.339955
Chr01	760988	804659	-0.598832	-0.561654	-0.250183	-0.463508
Chr01	804709	835273	-0.452773	-0.204039	-0.129016	-0.310639
Chr01	835317	852944	-0.624983	-0.373736	-0.134542	-0.504651
Chr01	853171	866070	-0.403162	-0.462628	-0.144074	-0.340952
Chr01	866169	880806	-0.334949	-0.326035	-0.143103	-0.226541
Chr01	880901	904357	-0.183470	-0.079439	-0.046399	-0.106681
Chr01	904420	925505	0.250855	0.085141	0.068685	0.193996
Chr01	925526	932518	-0.574607	-0.396928	-0.237464	-0.419137
Chr01	932612	944557	-0.390058	-0.296435	-0.137222	-0.253813
Chr01	944641	968687	0.437620	0.187405	0.108845	0.364309
Chr01	968968	1003566	0.246414	0.074379	0.039181	0.172946
Chr01	1003785	1015333	0.407667	0.171951	0.112043	0.255165
Chr01	1015427	1026465	0.792602	0.326936	0.247644	0.507198
Chr01	1026512	1032599	0.622132	0.218233	0.167223	0.439180
Chr01	1032653	1050882	-0.299311	-0.214581	-0.087771	-0.167851
Chr01	1050888	1066142	0.627200	0.229852	0.141259	0.514537
Chr01	1067029	1095740	0.418289	0.137805	0.091095	0.362547
Chr01	1096247	1111546	-0.568530	-0.207172	-0.107391	-0.456648
Chr01	1111548	1133936	-0.331862	-0.116844	-0.075696	-0.246409
Chr01	1134061	1144711	-0.265931	-0.119913	-0.077314	-0.218130
Chr01	1144747	1151998	-0.005361	-0.001709	-0.001303	0.026839
Chr01	1152026	1161811	-0.299164	-0.107748	-0.074923	-0.272251
Chr01	1161839	1170282	-0.459101	-0.296550	-0.187271	-0.423374
Chr01	1170309	1179734	-0.238183	-0.170560	-0.107630	-0.213189
Chr01	1179865	1189133	-0.184740	-0.122427	-0.068909	-0.148377
Chr01	1189325	1206305	-0.285795	-0.173923	-0.070176	-0.246585
Chr01	1206337	1216613	-0.129312	-0.058130	-0.022502	-0.112671
Chr01	1217008	1276337	0.227625	0.093178	0.049700	0.212745
Chr01	1276356	1292060	-0.282468	-0.043009	-0.027630	-0.252939
Chr01	1292072	1307635	-0.715922	-0.674030	-0.302892	-0.622378
Chr01	1307679	1323870	-0.732078	-0.523942	-0.237070	-0.643826
Chr01	1324311	1358352	-0.154600	-0.041669	-0.029342	-0.134305
Chr01	1362026	1375463	-0.462356	-0.243175	-0.136791	-0.294329
Chr01	1375532	1392868	-0.764550	-0.515093	-0.279837	-0.570479
Chr01	1392896	1408404	-0.536815	-0.271246	-0.177858	-0.485426
Chr01	1408436	1427795	-0.531622	-0.450217	-0.252034	-0.464026
Chr01	1427967	1449422	0.309113	0.191206	0.091474	0.222211
Chr01	1449450	1457903	-0.051846	-0.030164	-0.016479	-0.037763
Chr01	1457931	1467502	-0.053758	-0.038048	-0.018305	-0.046981
Chr01	1467619	1475431	-0.224039	-0.197116	-0.097848	-0.220906
Chr01	1475471	1496039	-0.439105	-0.104189	-0.066945	-0.372416
Chr01	1496049	1509801	-0.538626	-0.384079	-0.193527	-0.436563
Chr01	1509810	1520389	-0.510603	-0.410679	-0.191035	-0.351895
Chr01	1520461	1536053	-0.170225	-0.075030	-0.042414	-0.085882
Chr01	1536060	1539847	0.044790	0.046958	0.024170	0.027486
Chr01	1539849	1544236	-0.032200	-0.035897	-0.017977	-0.017767
Chr01	1544241	1554441	-0.165446	-0.147136	-0.075296	-0.109770
Chr01	1554478	1563987	-0.510649	-0.357999	-0.142162	-0.330158
Chr01	1564066	1576802	-0.587250	-0.483413	-0.161284	-0.501258
Chr01	1576832	1596020	-0.394691	-0.143863	-0.064562	-0.369085
Chr01	1596085	1632264	0.010876	0.003238	0.001630	0.002577
Chr01	1632265	1645870	-0.525954	-0.319139	-0.153145	-0.445123
Chr01	1645877	1658022	-0.702905	-0.587451	-0.201085	-0.602764
Chr01	1658061	1668134	0.899239	0.394916	0.303812	0.870377
Chr01	1668144	1676683	0.171959	0.073354	0.051689	0.160767
Chr01	1676716	1686253	0.024620	0.009263	0.005911	0.028999
Chr01	1686284	1688867	-0.145244	-0.196661	-0.092047	-0.061119
Chr01	1688869	1690479	-0.113710	-0.204365	-0.077219	-0.049058
Chr01	1690490	1692985	-0.155987	-0.224879	-0.091474	-0.086497
Chr01	1693000	1702353	-0.140129	-0.172570	-0.031466	-0.057886
Chr01	1702469	1725597	-0.451382	-0.126731	-0.073493	-0.340270
Chr01	1725618	1756405	-0.152791	-0.043586	-0.022181	-0.157746
Chr01	1756847	1796650	-0.345283	-0.072920	-0.040977	-0.270257
Chr01	1796706	1811774	0.092171	0.041845	0.016191	0.086742
Chr01	1811866	1826204	0.111752	0.049960	0.019870	0.083028
Chr01	1826215	1842593	0.006940	0.002996	0.001418	0.011473
Chr01	1842610	1847125	0.504517	0.444758	0.302414	0.385126
Chr01	1847186	1872120	-0.047030	-0.012477	-0.005625	-0.003896
Chr01	1872284	1895195	-0.693287	-0.294917	-0.129120	-0.660517
Chr01	1895615	1909332	-0.414720	-0.171217	-0.069183	-0.385382
Chr01	1909741	1925529	-0.410467	-0.225686	-0.106087	-0.239632
Chr01	1925707	1971975	-0.448481	-0.188564	-0.117497	-0.241007
Chr01	1971979	1980992	-0.612410	-0.594756	-0.117124	-0.222690
Chr01	1981006	1992309	-0.450325	-0.489416	-0.105691	-0.210341
Chr01	1992318	2000797	0.350605	0.286429	0.101550	0.182855
Chr01	2000804	2010826	0.459593	0.179609	0.091529	0.272853
Chr01	2010846	2028815	-0.269599	-0.075313	-0.044523	-0.207934
Chr01	2028849	2039271	-0.458995	-0.350200	-0.177421	-0.362560
Chr01	2039405	2046742	-0.270500	-0.190339	-0.110566	-0.165538
Chr01	2046918	2054263	0.118237	0.048431	0.033142	0.069524
Chr01	2054290	2070474	0.112858	0.051667	0.032288	0.095712
Chr01	2070848	2083465	0.119533	0.096460	0.047503	0.087099
Chr01	2083671	2093305	-0.587976	-0.251191	-0.176563	-0.473171
Chr01	2093320	2098383	-0.590210	-0.129649	-0.106408	-0.416468
Chr01	2098393	2107674	-0.750770	-0.552196	-0.226745	-0.644812
Chr01	2107677	2117908	-0.452280	-0.450532	-0.154396	-0.327486
Chr01	2117949	2143327	-0.188551	-0.054654	-0.036336	-0.147913
Chr01	2143503	2161980	-0.239323	-0.103776	-0.069819	-0.102734
Chr01	2162003	2174692	-0.111193	-0.071324	-0.049549	-0.068360
Chr01	2174729	2186024	0.128582	0.041303	0.032331	0.062221
Chr01	2186108	2204523	0.126084	0.035836	0.020785	0.039987
Chr01	2204655	2210065	-0.062843	-0.048556	-0.031415	-0.036163
Chr01	2210088	2213908	-0.222022	-0.222175	-0.109169	-0.126769
Chr01	2213916	2223205	0.651863	0.453884	0.248781	0.420831
Chr01	2223217	2229040	0.132423	0.123193	0.066390	0.089932
Chr01	2229044	2232815	-0.190299	-0.180608	-0.083088	-0.080194
Chr01	2232882	2244343	0.051840	0.024663	0.017199	0.006677
Chr01	2244450	2250782	-0.519266	-0.660188	-0.271254	-0.389954
Chr01	2250797	2255785	-0.047165	-0.095664	-0.033503	-0.022486
Chr01	2255809	2262242	0.018901	0.018141	0.011018	0.010306
Chr01	2262243	2266841	0.220108	0.164445	0.131303	0.094468
Chr01	2266850	2272848	0.078878	0.161325	0.102846	0.047928
