chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	212526	403180	-0.103687	-0.072778	-0.047197	-0.076766
Chr01	270525	497697	-0.093129	-0.047547	-0.031906	-0.053225
Chr01	403199	619740	0.080298	0.036690	0.022857	0.051533
Chr01	497728	768255	0.165808	0.078061	0.046181	0.093205
Chr01	619867	932768	-0.222300	-0.100832	-0.061930	-0.111285
Chr01	769282	1072199	-0.228475	-0.064698	-0.043750	-0.136699
Chr01	932816	1202975	-0.104627	-0.020735	-0.014942	-0.072190
Chr01	1072219	1375379	-0.118368	-0.027189	-0.018914	-0.085462
Chr01	1203119	1475112	-0.004838	-0.001615	-0.001032	-0.006000
Chr01	1375439	1552238	-0.032891	-0.016358	-0.010167	-0.022129
Chr01	1475263	1677799	-0.300411	-0.155487	-0.091109	-0.221680
Chr01	1552254	1828819	-0.358889	-0.160622	-0.087908	-0.283123
Chr01	1677818	2000797	-0.428380	-0.187692	-0.097041	-0.321128
Chr01	1828841	2112235	-0.344878	-0.149596	-0.081281	-0.245537
Chr01	2000803	2227809	-0.077376	-0.031762	-0.020690	-0.052260
Chr01	2112288	2303916	-0.092849	-0.048663	-0.031981	-0.057742
Chr01	2228168	2443726	-0.159587	-0.117472	-0.067328	-0.085802
Chr01	2303939	2525866	-0.232622	-0.186223	-0.103660	-0.136092
Chr01	2443887	2642434	-0.186236	-0.167127	-0.081572	-0.104198
Chr01	2525872	2691576	0.076003	0.070304	0.034600	0.045333
Chr01	2642439	2730387	-0.006952	-0.006670	-0.003184	-0.009499
Chr01	2691597	2805569	-0.243809	-0.230540	-0.106178	-0.145405
Chr01	2730504	2910306	-0.286957	-0.283105	-0.142173	-0.175509
Chr01	2805600	3000148	-0.174161	-0.141470	-0.079648	-0.100697
Chr01	2910352	3108701	-0.037109	-0.021288	-0.013312	-0.026143
Chr01	3000507	3272963	-0.075358	-0.030570	-0.019345	-0.049081
Chr01	3108942	3426195	-0.213609	-0.076611	-0.047130	-0.129801
Chr01	3272968	3558116	-0.174742	-0.066706	-0.041881	-0.117906
Chr01	3426206	3783593	-0.099618	-0.031120	-0.020299	-0.074981
Chr01	3558133	3928055	-0.323084	-0.135418	-0.078096	-0.248774
Chr01	3783594	4036234	-0.432673	-0.254291	-0.128215	-0.298674
Chr01	3928170	4186050	-0.328267	-0.116868	-0.072111	-0.202592
Chr01	4036356	4309262	-0.382275	-0.147546	-0.091580	-0.269933
Chr01	4186100	4430734	-0.489997	-0.296211	-0.166324	-0.348135
Chr01	4309470	4502108	-0.312193	-0.266902	-0.152019	-0.189973
Chr01	4430752	4655168	-0.062340	-0.026096	-0.017940	-0.035343
Chr01	4502186	4815216	-0.293921	-0.107427	-0.066813	-0.211379
Chr01	4655677	4938729	-0.313378	-0.124995	-0.077461	-0.231651
Chr01	4815225	5144810	-0.232630	-0.066732	-0.045680	-0.163875
Chr01	4938757	5447297	-0.253040	-0.065637	-0.043217	-0.159760
Chr01	5145241	5621174	-0.303179	-0.114485	-0.071257	-0.203047
Chr01	5450875	5793761	-0.170347	-0.063639	-0.040755	-0.117664
Chr01	5621288	5926154	-0.034695	-0.012303	-0.008055	-0.017575
Chr01	5793776	6051104	-0.067742	-0.027562	-0.017118	-0.038317
Chr01	5926217	6231925	-0.080073	-0.026055	-0.016854	-0.060192
Chr01	6051114	6420130	-0.496177	-0.211177	-0.124553	-0.418833
Chr01	6232024	6824095	-0.517563	-0.163877	-0.101629	-0.405349
Chr01	6420412	7054172	-0.445789	-0.119940	-0.080880	-0.352108
Chr01	6824353	7243068	-0.462575	-0.170024	-0.116789	-0.375255
Chr01	7054283	7365124	-0.242906	-0.107915	-0.070577	-0.175129
Chr01	7243069	7495110	-0.372361	-0.189319	-0.109516	-0.265697
Chr01	7365165	7674404	-0.478888	-0.168805	-0.102984	-0.338385
Chr01	7495172	7836250	-0.587398	-0.223925	-0.131531	-0.437640
Chr01	7674405	7949330	-0.513353	-0.240404	-0.136743	-0.378943
Chr01	7836284	8082730	-0.252555	-0.109846	-0.064241	-0.174641
Chr01	7949399	8227101	-0.059734	-0.021207	-0.012838	-0.042054
Chr01	8082772	8424142	-0.281029	-0.074911	-0.048965	-0.203267
Chr01	8227120	8518355	-0.609990	-0.215087	-0.131838	-0.484556
Chr01	8424180	8635947	-0.560949	-0.377726	-0.176344	-0.402977
Chr01	8519496	8772583	-0.247818	-0.128418	-0.069293	-0.148729
Chr01	8635996	8943095	-0.048143	-0.023018	-0.013787	-0.011366
Chr01	8772591	9283620	-0.236609	-0.074257	-0.048960	-0.108643
Chr01	8943114	9438784	-0.454450	-0.143586	-0.089691	-0.320597
Chr01	9283621	9614345	-0.307622	-0.129726	-0.076064	-0.248970
Chr01	9439165	9825758	0.046505	0.020807	0.013021	0.029061
Chr01	9614411	9905834	0.068559	0.034035	0.021549	0.044421
Chr01	9825762	10009736	-0.195249	-0.093420	-0.061176	-0.120225
Chr01	9906000	10143390	-0.241175	-0.099612	-0.061910	-0.154676
Chr01	10009766	10306187	-0.115735	-0.049723	-0.029242	-0.075992
Chr01	10143428	10445272	-0.100488	-0.042527	-0.025981	-0.076663
Chr01	10306231	10934313	-0.177248	-0.075321	-0.047390	-0.139702
Chr01	10445280	11047100	-0.553427	-0.324716	-0.188506	-0.445366
Chr01	10934485	11219167	-0.611167	-0.409246	-0.204789	-0.478243
Chr01	11047349	11367452	-0.192746	-0.080048	-0.047510	-0.140005
Chr01	11219266	11514711	0.023324	0.008202	0.005665	0.022635
Chr01	11368133	11606680	-0.038644	-0.017609	-0.011866	-0.022874
Chr01	11514715	11756688	-0.028998	-0.013042	-0.008037	-0.015320
Chr01	11606716	11876304	0.053173	0.024580	0.014530	0.033458
Chr01	11756742	12080959	0.105509	0.064269	0.039810	0.058778
Chr01	11876584	12211675	-0.160012	-0.071542	-0.043548	-0.094825
Chr01	12081005	12351852	-0.527855	-0.257186	-0.135517	-0.400769
Chr01	12212288	12459386	-0.396460	-0.202820	-0.107109	-0.314755
Chr01	12351982	12653747	-0.145732	-0.069097	-0.032267	-0.102708
Chr01	12459401	12841389	-0.612867	-0.251347	-0.123917	-0.525058
Chr01	12653797	13154120	-0.753267	-0.190202	-0.119364	-0.674345
Chr01	12841910	13411880	-0.534581	-0.107403	-0.069809	-0.438267
Chr01	13154128	13618316	-0.486825	-0.134849	-0.081207	-0.390439
Chr01	13411954	13831650	-0.423100	-0.126078	-0.074835	-0.338488
Chr01	13618429	14023320	-0.108556	-0.032811	-0.019420	-0.080022
Chr01	13831658	14146592	-0.058295	-0.023268	-0.013641	-0.036475
Chr01	14023380	14294693	-0.365751	-0.188826	-0.104141	-0.252909
Chr01	14146707	14457230	-0.351153	-0.130813	-0.075037	-0.271402
Chr01	14294742	14595718	-0.454705	-0.186518	-0.097593	-0.354176
Chr01	14457232	14736870	-0.461963	-0.181138	-0.106525	-0.383974
Chr01	14595747	14880627	-0.261050	-0.077425	-0.049790	-0.203190
Chr01	14737892	15013532	-0.394219	-0.141997	-0.084648	-0.301106
Chr01	14880657	15142352	-0.358875	-0.142056	-0.085641	-0.260672
Chr01	15013586	15266649	-0.119586	-0.049319	-0.025481	-0.076461
Chr01	15142604	15422748	-0.363714	-0.177198	-0.082544	-0.272989
Chr01	15266695	15589162	-0.489955	-0.204096	-0.105755	-0.356913
Chr01	15424429	15744929	-0.304686	-0.100703	-0.059013	-0.187216
Chr01	15589246	16172628	-0.068593	-0.023441	-0.014810	-0.035894
Chr01	15744932	16335277	0.050284	0.016848	0.010685	0.032361
Chr01	16173235	16476194	-0.075370	-0.034130	-0.019128	-0.041990
Chr01	16335618	16619505	-0.541481	-0.400177	-0.190898	-0.391693
Chr01	16476209	16824492	-0.514194	-0.255131	-0.138996	-0.422407
Chr01	16619578	16993466	-0.128132	-0.038670	-0.024685	-0.101546
Chr01	16824496	17158099	-0.125311	-0.035085	-0.023017	-0.106360
Chr01	16993557	17330907	-0.309428	-0.087341	-0.052322	-0.243844
Chr01	17158120	17465629	-0.483468	-0.203573	-0.108185	-0.327367
Chr01	17330966	17545065	-0.354819	-0.266171	-0.130658	-0.205199
Chr01	17465664	17717450	0.107333	0.041139	0.026266	0.072663
Chr01	17545105	17896530	0.051557	0.015532	0.009978	0.033191
Chr01	17717453	18091759	-0.354629	-0.144068	-0.083562	-0.257145
Chr01	17896571	18238730	-0.460970	-0.258207	-0.140666	-0.333626
Chr01	18091853	18317854	-0.421725	-0.262984	-0.141712	-0.276648
Chr01	18238787	18431753	-0.610492	-0.426988	-0.235139	-0.469182
