chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	569995	812045	-0.330513	-0.225552	-0.132740	-0.236738
Superscaffold1	812060	1163983	-0.203742	-0.142541	-0.075483	-0.128164
Superscaffold1	1164011	1456740	-0.106124	-0.052709	-0.031063	-0.074480
Superscaffold1	1456763	1885315	-0.454176	-0.237731	-0.127416	-0.329169
Superscaffold1	1885594	2229820	0.165238	0.052720	0.028370	0.109235
Superscaffold1	2229835	2436948	-0.021037	-0.012476	-0.007759	-0.015225
Superscaffold1	2437015	2605402	0.015155	0.016147	0.008459	0.005271
Superscaffold1	2605408	2786235	-0.122232	-0.134858	-0.067129	-0.065471
Superscaffold1	2786297	2971494	-0.427331	-0.487932	-0.209956	-0.314685
Superscaffold1	2971522	3174746	0.022101	0.021866	0.010174	0.010277
Superscaffold1	3174765	3474448	0.071138	0.037519	0.020882	0.042523
Superscaffold1	3474450	3769766	0.071355	0.034308	0.019094	0.042388
Superscaffold1	3769771	4170650	-0.190831	-0.100440	-0.054473	-0.119517
Superscaffold1	4170675	4493304	0.102975	0.057653	0.032677	0.069204
Superscaffold1	4493336	4780459	0.173339	0.136939	0.070252	0.102816
Superscaffold1	4780513	5165407	0.044931	0.019580	0.012683	0.032911
Superscaffold1	5166656	5606179	-0.140491	-0.039945	-0.026594	-0.101939
Superscaffold1	5606244	5921511	0.173749	0.076692	0.051206	0.113075
Superscaffold1	5921666	6297350	0.053909	0.024597	0.014422	0.031778
Superscaffold1	6297452	6642506	0.095672	0.040083	0.027096	0.061873
Superscaffold1	6642862	7119642	-0.015796	-0.006602	-0.003789	-0.007147
Superscaffold1	7119746	7467318	0.010645	0.004818	0.002742	0.001849
Superscaffold1	7467441	7999931	-0.194521	-0.050032	-0.033684	-0.127623
Superscaffold1	7999972	8743291	0.097350	0.041228	0.024172	0.060578
Superscaffold1	8743304	9842849	0.120176	0.046111	0.030509	0.070875
Superscaffold1	9842950	10664713	-0.002408	-0.001215	-0.000717	0.001238
Superscaffold1	10664747	10895245	0.030764	0.016502	0.009403	0.026357
Superscaffold1	10895255	11263225	-0.094610	-0.034495	-0.021587	-0.061984
Superscaffold1	11263242	11548068	-0.358622	-0.216119	-0.129579	-0.260808
Superscaffold1	11548177	11948357	0.024575	0.008159	0.005082	0.017706
Superscaffold1	11948386	12213244	-0.278272	-0.231857	-0.122004	-0.176795
Superscaffold1	12213418	12491917	0.024115	0.017818	0.010203	0.012142
Superscaffold1	12491924	12867935	0.026365	0.011524	0.006299	0.019973
Superscaffold1	12868032	13258470	-0.072568	-0.029733	-0.015691	-0.050437
Superscaffold1	13258648	13965080	-0.090367	-0.019560	-0.012261	-0.064925
Superscaffold1	13965480	14537407	-0.030898	-0.011860	-0.006755	-0.022027
Superscaffold1	14537833	14862379	0.028760	0.012273	0.007304	0.019464
Superscaffold1	14862513	15282264	-0.129700	-0.029302	-0.021541	-0.104751
Superscaffold1	15282459	15649370	-0.229503	-0.068346	-0.044048	-0.170709
Superscaffold1	15649390	15978037	-0.218629	-0.090040	-0.050931	-0.145091
Superscaffold1	15978060	16325145	-0.115987	-0.043446	-0.024762	-0.073783
Superscaffold1	16326503	16708359	-0.043857	-0.020608	-0.011844	-0.027830
Superscaffold1	16708492	17055670	-0.073057	-0.031175	-0.019736	-0.044276
Superscaffold1	17055688	17440555	0.102059	0.042243	0.023491	0.068790
Superscaffold1	17440932	18188817	-0.010078	-0.004630	-0.002425	-0.004626
Superscaffold1	18188829	18419739	-0.213466	-0.214301	-0.086275	-0.097747
Superscaffold1	18419807	18970418	-0.045582	-0.015612	-0.009257	-0.023520
Superscaffold1	18970542	19176433	0.001034	0.000581	0.000400	-0.000349
Superscaffold1	19176521	19636014	0.147795	0.076394	0.052753	0.115994
Superscaffold1	19636067	19921998	-0.122026	-0.062374	-0.038096	-0.084616
Superscaffold1	19922093	20295681	0.047931	0.015243	0.009636	0.030220
Superscaffold1	20296058	20974902	0.034741	0.016582	0.008316	0.024963
Superscaffold1	20974979	21278254	0.052575	0.025997	0.014621	0.035711
Superscaffold1	21278520	21616031	-0.098519	-0.043777	-0.022432	-0.063523
Superscaffold1	21616342	22010846	-0.030349	-0.013520	-0.007963	-0.018364
Superscaffold1	22010849	22576109	0.197852	0.050724	0.032678	0.141537
Superscaffold1	22576222	23032382	0.362871	0.117695	0.069149	0.286313
Superscaffold1	23032877	23534666	-0.001588	-0.000422	-0.000249	-0.002265
Superscaffold1	23534698	23910539	-0.162261	-0.064414	-0.034601	-0.097713
Superscaffold1	23910570	24325427	-0.165904	-0.063887	-0.038646	-0.099818
Superscaffold1	24325439	24698239	0.090135	0.030269	0.019726	0.072329
Superscaffold1	24698289	25109155	0.092046	0.031852	0.017858	0.058270
Superscaffold1	25109186	25486005	-0.294117	-0.110444	-0.065329	-0.162058
Superscaffold1	25486868	25826282	-0.188894	-0.080953	-0.051105	-0.133186
Superscaffold1	25826285	26218956	-0.134672	-0.052820	-0.032600	-0.094260
Superscaffold1	26219856	26585841	0.161656	0.053317	0.035034	0.088347
Superscaffold1	26595875	27132963	-0.214938	-0.043195	-0.026076	-0.135930
Superscaffold1	27133071	27503315	-0.101973	-0.042365	-0.025802	-0.078722
Superscaffold1	27503352	27813457	-0.085315	-0.044981	-0.024200	-0.057990
Superscaffold1	27813481	28012612	-0.254008	-0.194795	-0.094506	-0.152576
Superscaffold1	28012620	28272151	0.244614	0.136584	0.079662	0.139759
Superscaffold1	28272160	28773126	-0.104955	-0.029933	-0.021573	-0.069615
Superscaffold1	28773130	29282793	-0.027763	-0.006568	-0.004227	-0.014755
Superscaffold1	29282840	29554571	0.065232	0.035317	0.018647	0.039765
Superscaffold1	29554589	29877432	-0.102556	-0.051177	-0.024232	-0.068841
Superscaffold1	29878901	30214855	-0.002094	-0.000928	-0.000556	-0.001369
Superscaffold1	30214861	30913661	-0.047468	-0.015389	-0.008989	-0.027730
Superscaffold1	30913851	31378440	-0.236202	-0.062300	-0.038876	-0.180356
Superscaffold1	31380036	32304479	0.079335	0.021480	0.012783	0.048551
Superscaffold1	32304487	32646848	0.261600	0.100751	0.062823	0.183724
Superscaffold1	32646966	33063903	-0.141693	-0.050788	-0.031096	-0.100781
Superscaffold1	33063957	33450843	-0.285895	-0.141256	-0.080652	-0.197961
Superscaffold1	33450847	33644029	0.006329	0.003389	0.002110	0.000045
Superscaffold1	33644136	33918751	-0.092548	-0.059062	-0.036256	-0.055974
Superscaffold1	33918795	34236820	-0.377316	-0.114114	-0.072664	-0.265984
Superscaffold1	34236831	34675443	-0.120169	-0.040056	-0.025000	-0.089300
Superscaffold1	34677179	35265247	-0.048508	-0.010088	-0.006873	-0.038622
Superscaffold1	35265264	36174554	-0.076182	-0.031824	-0.018911	-0.043809
Superscaffold1	36174568	37002069	0.169623	0.047044	0.030505	0.106903
Superscaffold1	37002080	37322908	0.086368	0.030382	0.019392	0.044157
Superscaffold1	37323336	37616341	0.342932	0.146876	0.087514	0.235033
Superscaffold1	37616343	38285531	0.074979	0.029434	0.017405	0.045954
Superscaffold1	38285733	38573941	0.143656	0.053239	0.033253	0.111255
Superscaffold1	38573992	38940633	-0.020827	-0.006754	-0.004341	-0.015265
Superscaffold1	38940726	39220263	-0.159010	-0.061556	-0.035727	-0.125544
Superscaffold1	39220331	39659600	-0.285605	-0.094624	-0.055864	-0.226823
Superscaffold1	39659663	40032903	0.156397	0.047977	0.029284	0.125728
Superscaffold1	40032990	40433205	0.168657	0.049495	0.031879	0.119152
Superscaffold1	40433457	40867832	-0.075338	-0.026459	-0.016834	-0.047950
Superscaffold1	40868154	41417896	-0.023730	-0.005936	-0.003471	-0.015335
Superscaffold1	41417906	41789110	0.068722	0.018737	0.012236	0.054439
Superscaffold1	41789336	42548763	0.083875	0.009749	0.006907	0.072165
Superscaffold1	42549067	43251933	0.152401	0.022750	0.015373	0.130393
Superscaffold1	43252116	43892740	0.143354	0.022495	0.014635	0.114194
Superscaffold1	43892857	44176248	-0.382633	-0.174394	-0.078322	-0.333873
Superscaffold1	44176421	44742700	0.169487	0.052971	0.026004	0.139902
Superscaffold1	44742759	45381041	0.104078	0.015667	0.011213	0.076343
