chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	630107	921975	-0.143370	-0.073078	-0.043971	-0.075380
Superscaffold1	922030	1392807	0.113000	0.047290	0.030708	0.071981
Superscaffold1	1392812	1841013	0.265702	0.098715	0.063961	0.175123
Superscaffold1	1841073	2191292	0.100457	0.036703	0.019135	0.069719
Superscaffold1	2191297	2447070	-0.008169	-0.004850	-0.002999	-0.005393
Superscaffold1	2447123	2750402	0.000054	0.000030	0.000019	0.002078
Superscaffold1	2750415	2970545	-0.018324	-0.013285	-0.006546	-0.011973
Superscaffold1	2970967	3354635	0.077155	0.037026	0.022751	0.045301
Superscaffold1	3354732	3792379	0.078413	0.030188	0.017199	0.048511
Superscaffold1	3792575	4197356	0.039836	0.019107	0.011002	0.028009
Superscaffold1	4197358	4567296	0.207327	0.111565	0.068788	0.159140
Superscaffold1	4567310	4983621	0.221946	0.113696	0.066557	0.140477
Superscaffold1	4984068	5453282	0.330691	0.130595	0.081048	0.224983
Superscaffold1	5453532	5756377	0.003760	0.001746	0.001085	0.002076
Superscaffold1	5756443	6106689	0.083792	0.049883	0.030540	0.053257
Superscaffold1	6106746	6476062	0.027711	0.011941	0.007442	0.022819
Superscaffold1	6476889	6877694	0.136178	0.062312	0.039552	0.100888
Superscaffold1	6877695	7274896	0.194912	0.089374	0.048637	0.136950
Superscaffold1	7274897	7595478	-0.065853	-0.039684	-0.021635	-0.041290
Superscaffold1	7595546	8011987	0.232540	0.106196	0.062773	0.108807
Superscaffold1	8011994	8575296	0.164262	0.098016	0.051205	0.099728
Superscaffold1	8575335	9842998	0.073782	0.028869	0.018979	0.049748
Superscaffold1	9843077	10679723	0.165456	0.070949	0.046230	0.104175
Superscaffold1	10679741	11024092	-0.000573	-0.000293	-0.000165	0.002154
Superscaffold1	11024129	11372656	0.149279	0.065620	0.040750	0.110354
Superscaffold1	11373048	11739145	-0.024397	-0.009264	-0.005502	-0.013212
Superscaffold1	11739166	12185839	0.123295	0.047542	0.031793	0.082281
Superscaffold1	12186293	12580654	0.153659	0.080853	0.046790	0.095737
Superscaffold1	12580678	12902196	-0.129218	-0.072090	-0.036752	-0.095152
Superscaffold1	12902204	13261105	0.371707	0.175472	0.093714	0.254455
Superscaffold1	13261176	13794089	0.380318	0.191484	0.090175	0.211109
Superscaffold1	13794485	14381763	0.129597	0.044823	0.024344	0.088750
Superscaffold1	14381969	14806443	0.066794	0.027685	0.016296	0.046735
Superscaffold1	14806517	15090877	0.256852	0.124856	0.076072	0.132345
Superscaffold1	15090921	15351800	0.435283	0.215859	0.130716	0.324339
Superscaffold1	15351876	15618383	0.104190	0.058336	0.034941	0.069815
Superscaffold1	15618513	15918577	0.222544	0.109404	0.058355	0.152646
Superscaffold1	15918591	16191039	0.023419	0.012100	0.006637	0.018353
Superscaffold1	16191069	16540041	0.225380	0.098128	0.056061	0.171336
Superscaffold1	16540107	16859312	-0.045300	-0.027061	-0.015416	-0.023690
Superscaffold1	16859344	17290575	0.101485	0.042908	0.025797	0.064877
Superscaffold1	17290623	17848929	0.105983	0.040327	0.023625	0.081591
Superscaffold1	17848981	18460245	-0.047387	-0.019515	-0.011032	-0.032746
Superscaffold1	18460408	18974837	-0.063784	-0.025177	-0.015065	-0.044949
Superscaffold1	18975018	19250005	-0.117951	-0.055419	-0.038008	-0.097787
Superscaffold1	19257084	19730727	0.204528	0.097686	0.064758	0.148616
Superscaffold1	19730742	20147922	0.137427	0.038975	0.027131	0.097894
Superscaffold1	20148258	20694661	0.201907	0.067304	0.041444	0.138258
Superscaffold1	20695441	21227645	0.362884	0.161072	0.095600	0.284160
Superscaffold1	21227838	21615904	0.202558	0.085645	0.047150	0.142809
Superscaffold1	21615979	22011742	0.016256	0.008243	0.004989	0.017280
Superscaffold1	22011744	22547775	0.137767	0.041424	0.027697	0.116302
Superscaffold1	22548138	22970258	-0.698498	-0.382753	-0.210776	-0.587165
Superscaffold1	22970282	23473357	0.326959	0.095089	0.053927	0.261531
Superscaffold1	23473513	23938223	-0.018337	-0.006092	-0.003622	-0.011865
Superscaffold1	23938299	24417851	0.013505	0.003284	0.002243	0.009583
Superscaffold1	24417939	24729617	0.359097	0.174628	0.101308	0.291385
Superscaffold1	24729712	25205640	0.058860	0.019003	0.011810	0.045134
Superscaffold1	25205701	25603774	-0.188842	-0.071274	-0.042137	-0.138106
Superscaffold1	25604048	26015937	0.120362	0.047337	0.032048	0.087622
Superscaffold1	26016009	26316955	0.218321	0.111657	0.053089	0.149397
Superscaffold1	26317004	26688470	0.157372	0.078159	0.042026	0.098625
Superscaffold1	26688483	27207135	0.216822	0.056344	0.033681	0.160276
Superscaffold1	27207598	27458723	-0.036991	-0.023733	-0.011146	-0.017853
Superscaffold1	27458896	27818957	-0.035732	-0.013195	-0.007743	-0.028015
Superscaffold1	27818978	28022726	-0.262708	-0.241626	-0.106732	-0.149018
Superscaffold1	28022866	28404739	0.117571	0.040145	0.026470	0.077203
Superscaffold1	28404831	29005583	0.192137	0.069004	0.044005	0.133699
Superscaffold1	29006121	29395109	-0.061494	-0.018879	-0.012361	-0.049608
Superscaffold1	29395118	29793214	0.175913	0.064475	0.035534	0.132412
Superscaffold1	29793505	30223637	-0.160336	-0.066529	-0.036929	-0.107004
Superscaffold1	30223645	30775065	0.140532	0.067436	0.037805	0.067200
Superscaffold1	30775148	31107288	-0.112009	-0.048194	-0.030252	-0.071445
Superscaffold1	31108177	31631895	0.046269	0.012312	0.007715	0.034691
Superscaffold1	31632074	32448341	0.280580	0.093302	0.053325	0.207282
Superscaffold1	32448513	32928087	0.269578	0.090866	0.055266	0.196755
Superscaffold1	32928092	33416444	0.061758	0.021127	0.012706	0.051906
Superscaffold1	33416542	33671457	-0.058914	-0.033674	-0.021144	-0.036386
Superscaffold1	33671499	33986096	-0.030649	-0.013702	-0.009145	-0.023176
Superscaffold1	33986141	34248941	0.389322	0.161727	0.100608	0.285604
Superscaffold1	34248968	34519862	0.053461	0.037318	0.018942	0.037006
Superscaffold1	34520018	34949420	-0.305434	-0.085958	-0.056627	-0.218001
Superscaffold1	34949424	35477115	0.337507	0.141534	0.091000	0.233771
Superscaffold1	35477157	36484444	0.142920	0.053076	0.032996	0.086390
Superscaffold1	36484559	37064180	0.036790	0.014497	0.009414	0.026153
Superscaffold1	37064299	37519433	0.246548	0.087118	0.056516	0.186310
Superscaffold1	37519894	38035141	0.203491	0.079935	0.049962	0.144125
Superscaffold1	38036372	38440596	-0.132567	-0.059091	-0.036510	-0.099347
Superscaffold1	38440744	38805204	0.090984	0.025401	0.018201	0.063624
Superscaffold1	38805425	39088933	0.230058	0.090995	0.053081	0.199398
Superscaffold1	39088955	39558917	0.430223	0.178086	0.100552	0.343234
Superscaffold1	39558947	39900174	0.592466	0.247413	0.159496	0.525153
Superscaffold1	39900300	40230601	0.025256	0.007709	0.005084	0.023851
Superscaffold1	40230608	40734843	0.138796	0.037426	0.023567	0.103531
Superscaffold1	40734971	41244968	0.247724	0.081268	0.047549	0.189140
Superscaffold1	41245800	41704789	0.153739	0.054924	0.033834	0.128056
Superscaffold1	41704825	42086477	-0.015540	-0.005608	-0.003260	-0.014397
Superscaffold1	42086515	42565696	0.257198	0.104096	0.059393	0.179322
Superscaffold1	42565946	42896574	0.305522	0.164855	0.099003	0.243958
Superscaffold1	42896751	43438209	0.201796	0.050162	0.028539	0.166036
Superscaffold1	43438313	43869788	0.121836	0.029760	0.016604	0.087370
Superscaffold1	43869805	44371662	0.375594	0.121654	0.062438	0.331036
Superscaffold1	44371685	44911476	0.124872	0.038417	0.021463	0.089870
Superscaffold1	44911715	45282123	-0.099195	-0.053988	-0.032279	-0.070272
Superscaffold1	45284209	45770176	-0.236338	-0.083531	-0.044807	-0.188790
Superscaffold1	45770235	46293499	-0.766329	-0.329026	-0.150842	-0.711897
Superscaffold1	46295021	47260796	0.131900	0.024690	0.013729	0.115172
Superscaffold1	47260828	47759832	0.803260	0.318774	0.189803	0.740919
Superscaffold1	47759862	48183817	0.584675	0.295411	0.153824	0.538231
Superscaffold1	48183883	48510142	0.712880	0.331588	0.167580	0.647912
Superscaffold1	48510194	48894054	0.498712	0.142503	0.083811	0.425778
Superscaffold1	48894309	49485636	0.056050	0.009805	0.006724	0.043546
Superscaffold1	49485637	50077310	0.587151	0.145682	0.081095	0.503317
Superscaffold1	50077311	50432468	0.380328	0.155904	0.093199	0.350325
Superscaffold1	50432490	50997883	0.179595	0.054371	0.040303	0.110822
Superscaffold1	50997931	51656809	0.076379	0.034362	0.021095	0.044963
Superscaffold2	429809	892416	0.132617	0.042893	0.027642	0.100219
Superscaffold2	892465	1349720	0.077289	0.030321	0.020022	0.060134
Superscaffold2	1349929	1820222	0.161626	0.061036	0.036872	0.107857
Superscaffold2	1820239	2365380	0.181342	0.050878	0.032902	0.142385
Superscaffold2	2365615	3061388	0.363641	0.140456	0.090581	0.266339
Superscaffold2	3061557	3609183	-0.228799	-0.124944	-0.070202	-0.162467
Superscaffold2	3609188	4078907	0.084339	0.038868	0.020959	0.068212
Superscaffold2	4079056	4563453	0.020137	0.006659	0.003885	0.021013
Superscaffold2	4563481	4969787	-0.091520	-0.033427	-0.020557	-0.068084
Superscaffold2	4970496	5474414	0.011720	0.005054	0.002984	0.009999
Superscaffold2	5474418	5932953	0.221547	0.104813	0.050282	0.163640
Superscaffold2	5933042	6455099	0.107422	0.035748	0.023208	0.076476
Superscaffold2	6455123	6971964	0.278113	0.106473	0.056701	0.224270
Superscaffold2	6972036	7445733	0.772477	0.452045	0.283658	0.637987
Superscaffold2	7446034	7870012	0.231994	0.080931	0.047577	0.175192
Superscaffold2	7870276	8362334	0.098136	0.032987	0.020350	0.066354
Superscaffold2	8362416	9130326	-0.040995	-0.010075	-0.006589	-0.028101
Superscaffold2	9130348	9698322	0.283315	0.114382	0.067788	0.217831
Superscaffold2	9698399	10096781	0.130092	0.055194	0.030878	0.087743
Superscaffold2	10096836	10575558	0.153487	0.061077	0.036653	0.095948
Superscaffold2	10575560	11006380	0.086592	0.033000	0.018899	0.067882
Superscaffold2	11007004	11531030	0.103715	0.032754	0.019933	0.078570
Superscaffold2	11531090	12406027	0.150437	0.053662	0.030711	0.108586
Superscaffold2	12406054	13065635	0.080871	0.033900	0.018355	0.063346
Superscaffold2	13065708	13539060	0.318421	0.118753	0.067406	0.241775
Superscaffold2	13539105	14016358	0.241445	0.084267	0.049700	0.189096
Superscaffold2	14016375	14542921	0.024920	0.006995	0.003999	0.020061
Superscaffold2	14543215	14977337	0.178307	0.069024	0.038238	0.141513
Superscaffold2	14977405	15825487	-0.039454	-0.014913	-0.008108	-0.030158
Superscaffold2	15825494	16626020	0.089255	0.036266	0.021653	0.059464
Superscaffold2	16626066	17037156	-0.062174	-0.024108	-0.014478	-0.035916
Superscaffold2	17037230	17683851	0.286267	0.084459	0.054931	0.227805
Superscaffold2	17683895	18143544	0.140154	0.047363	0.026322	0.098459
Superscaffold2	18143803	18473600	0.443031	0.209264	0.114263	0.370767
Superscaffold2	18473622	18953968	0.502129	0.182699	0.097553	0.399448
Superscaffold2	18953969	19372114	0.227264	0.091897	0.049395	0.160112
Superscaffold2	19372189	19921025	0.069893	0.033064	0.015692	0.045050
Superscaffold2	19921026	20273984	0.322463	0.112944	0.062008	0.253635
Superscaffold2	20274002	20638580	-0.058567	-0.025048	-0.012398	-0.041292
Superscaffold2	20638582	21098241	0.349332	0.170091	0.104173	0.214393
Superscaffold2	21098388	21485947	0.424922	0.175856	0.102623	0.365073
Superscaffold2	21485953	21895270	0.759479	0.410380	0.254191	0.686089
Superscaffold2	21895583	22313482	0.362142	0.124407	0.075212	0.288068
Superscaffold2	22313760	22830883	0.225552	0.085456	0.052021	0.157324
Superscaffold2	22830975	23169845	-0.084394	-0.039241	-0.021474	-0.066489
Superscaffold2	23170003	23616407	0.359687	0.106014	0.065836	0.310337
Superscaffold2	23617309	24039707	0.297077	0.110812	0.059483	0.229648
Superscaffold2	24039851	24348070	0.031595	0.012431	0.007140	0.022993
Superscaffold2	24348081	24723881	0.042922	0.014787	0.008283	0.035185
Superscaffold2	24723898	25135816	0.562466	0.331323	0.166452	0.437793
Superscaffold2	25135822	25529523	0.374601	0.136990	0.079973	0.309436
Superscaffold2	25529546	25838068	-0.131599	-0.089683	-0.046248	-0.093424
Superscaffold2	25838077	26135033	0.717318	0.367104	0.229239	0.620399
Superscaffold2	26135041	26621487	0.321196	0.104309	0.063733	0.282701
Superscaffold2	26621516	26973391	0.218141	0.080310	0.053586	0.180624
Superscaffold2	26973394	27303559	0.477827	0.269800	0.138926	0.368606
Superscaffold2	27303655	27634167	0.099616	0.037815	0.024340	0.074924
Superscaffold2	27634169	28769595	-0.243040	-0.080449	-0.050686	-0.178516
Superscaffold2	28769602	29044047	0.083348	0.025632	0.014676	0.047393
Superscaffold2	29044122	29410990	0.094497	0.032097	0.019353	0.063925
