chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	546618	718655	-0.040161	-0.036827	-0.021429	-0.024053
Superscaffold1	718703	875696	0.406309	0.368559	0.188606	0.238146
Superscaffold1	875698	1201826	0.226952	0.175785	0.097234	0.121642
Superscaffold1	1201827	1419160	0.165308	0.107787	0.062097	0.064032
Superscaffold1	1419169	1637751	0.324535	0.183225	0.110432	0.151954
Superscaffold1	1638014	1905048	0.242627	0.148350	0.077783	0.134316
Superscaffold1	1905076	2129120	-0.025102	-0.014361	-0.006159	-0.014943
Superscaffold1	2129161	2312763	0.056492	0.043760	0.023558	0.031397
Superscaffold1	2312862	2452050	-0.068661	-0.077467	-0.040263	-0.043443
Superscaffold1	2452061	2617442	0.007089	0.006378	0.003642	0.005199
Superscaffold1	2617468	2774264	-0.037033	-0.052567	-0.023363	-0.023275
Superscaffold1	2774285	2938084	0.203818	0.229954	0.098665	0.121194
Superscaffold1	2938333	3138979	-0.033594	-0.034620	-0.017341	-0.024141
Superscaffold1	3138984	3328187	0.006499	0.006756	0.003227	0.004811
Superscaffold1	3328368	3576155	0.041988	0.024065	0.013391	0.025638
Superscaffold1	3576185	3779151	0.224217	0.232550	0.097784	0.129735
Superscaffold1	3779206	3985227	0.007989	0.007347	0.003067	0.004393
Superscaffold1	3985262	4251342	0.204861	0.167470	0.081117	0.126736
Superscaffold1	4251367	4481365	0.212656	0.190758	0.092342	0.130228
Superscaffold1	4481443	4755562	0.218127	0.184026	0.098832	0.144659
Superscaffold1	4755682	4946042	0.109903	0.094824	0.053513	0.063745
Superscaffold1	4946068	5201161	0.239692	0.263809	0.117376	0.154857
Superscaffold1	5201175	5507882	0.185854	0.080803	0.052633	0.087490
Superscaffold1	5508081	5797861	0.074492	0.043180	0.025927	0.052757
Superscaffold1	5797911	6171903	0.165013	0.082294	0.053480	0.103601
Superscaffold1	6171985	6514741	-0.130763	-0.059381	-0.037326	-0.091530
Superscaffold1	6514753	6860859	0.105706	0.045811	0.030112	0.068868
Superscaffold1	6860905	7236855	-0.333376	-0.168064	-0.093694	-0.228416
Superscaffold1	7237189	7520260	-0.045768	-0.029466	-0.015186	-0.029205
Superscaffold1	7520264	7940874	0.023398	0.009321	0.005846	0.012352
Superscaffold1	7940939	8522737	0.031508	0.015827	0.008857	0.020407
Superscaffold1	8522969	9239251	0.050447	0.028721	0.017675	0.026565
Superscaffold1	9239263	10111621	0.056407	0.024252	0.016287	0.040743
Superscaffold1	10111788	10679183	-0.067802	-0.037173	-0.022400	-0.044228
Superscaffold1	10679318	10883885	0.115971	0.077843	0.042218	0.076878
Superscaffold1	10883927	11179827	-0.077754	-0.044512	-0.025633	-0.049004
