chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	579866	849262	0.196464	0.109330	0.079239	0.126931
Superscaffold1	849303	1274373	0.165586	0.084211	0.060214	0.097851
Superscaffold1	1274380	1528115	0.084635	0.061718	0.041022	0.057149
Superscaffold1	1528241	2005811	0.105059	0.041129	0.027634	0.064838
Superscaffold1	2005835	2372654	-0.078706	-0.028889	-0.020707	-0.050561
Superscaffold1	2372757	2654199	-0.085282	-0.037206	-0.027144	-0.054536
Superscaffold1	2654232	2857062	0.155426	0.122692	0.074126	0.091375
Superscaffold1	2857298	3184036	-0.184382	-0.123516	-0.076140	-0.129482
Superscaffold1	3184215	3577687	0.012788	0.006190	0.004359	0.009673
Superscaffold1	3578061	3968130	0.122062	0.068279	0.045151	0.081137
Superscaffold1	3968148	4346088	0.028997	0.019187	0.012031	0.019696
Superscaffold1	4346098	4605267	-0.027782	-0.018725	-0.011822	-0.015023
Superscaffold1	4605284	4900884	-0.065377	-0.044934	-0.030884	-0.038665
Superscaffold1	4900890	5278705	-0.274353	-0.165494	-0.108609	-0.199519
Superscaffold1	5279435	5604009	-0.318803	-0.233823	-0.139856	-0.235920
Superscaffold1	5604088	5877078	-0.079456	-0.045574	-0.031318	-0.049885
Superscaffold1	5877115	6275393	-0.155235	-0.087538	-0.057420	-0.105465
Superscaffold1	6275470	6619719	-0.132860	-0.065448	-0.044727	-0.091617
Superscaffold1	6619745	7030865	-0.064758	-0.029942	-0.020860	-0.040767
Superscaffold1	7030868	7451559	-0.286031	-0.116486	-0.080582	-0.209131
Superscaffold1	7451586	7881996	-0.130162	-0.076635	-0.051332	-0.074783
Superscaffold1	7882020	8844098	0.077568	0.030937	0.023091	0.043362
Superscaffold1	8844203	10011220	0.036804	0.017943	0.013068	0.025500
Superscaffold1	10012567	10745497	-0.031416	-0.015556	-0.010929	-0.022264
Superscaffold1	10745519	11111133	0.023951	0.010484	0.007440	0.020702
Superscaffold1	11111426	11535212	-0.090916	-0.030153	-0.023712	-0.065509
Superscaffold1	11535235	11899933	-0.094808	-0.042387	-0.028677	-0.054564
Superscaffold1	11900795	12298538	-0.065067	-0.030441	-0.021830	-0.038395
Superscaffold1	12298876	12773272	0.158818	0.072310	0.053382	0.108539
Superscaffold1	12773441	13343394	-0.117851	-0.033438	-0.025545	-0.079791
Superscaffold1	13343551	13957614	-0.261858	-0.078807	-0.057084	-0.182462
Superscaffold1	13957736	14647771	-0.008142	-0.002862	-0.001969	-0.009752
Superscaffold1	14647819	14992064	0.080875	0.036307	0.025076	0.055338
Superscaffold1	14992157	15334409	0.614399	0.265198	0.192835	0.564095
