chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	565802	761619	-0.023250	-0.011168	-0.007930	-0.013423
Superscaffold1	761622	1038241	0.262039	0.110811	0.070857	0.154699
Superscaffold1	1038242	1322769	-0.039224	-0.013342	-0.009147	-0.022989
Superscaffold1	1322863	1637531	0.200913	0.034711	0.026281	0.113343
Superscaffold1	1637791	2118987	-0.371662	-0.111529	-0.067434	-0.285392
Superscaffold1	2118993	2394751	-0.039395	-0.016224	-0.011056	-0.029350
Superscaffold1	2394822	2613678	-0.136615	-0.059545	-0.041327	-0.083560
Superscaffold1	2613693	2800036	-0.032129	-0.024883	-0.014149	-0.020385
Superscaffold1	2800075	3051561	-0.213655	-0.113888	-0.070341	-0.126026
Superscaffold1	3052455	3403562	-0.050535	-0.017799	-0.011731	-0.028367
Superscaffold1	3403627	3869251	-0.167242	-0.045677	-0.030302	-0.100160
Superscaffold1	3869285	4326009	-0.004599	-0.001642	-0.001074	0.006632
Superscaffold1	4326531	4746566	-0.178947	-0.062765	-0.043273	-0.112855
Superscaffold1	4746594	5207767	-0.071982	-0.019333	-0.013837	-0.042968
Superscaffold1	5207862	5687289	0.041628	0.008748	0.006709	0.022837
Superscaffold1	5687303	6158116	0.188665	0.056031	0.039756	0.115302
Superscaffold1	6158669	6647456	-0.018529	-0.004255	-0.003092	-0.008152
Superscaffold1	6647557	7122756	-0.331229	-0.113815	-0.073693	-0.221096
Superscaffold1	7122842	7530546	-0.202541	-0.063497	-0.043344	-0.145586
Superscaffold1	7530806	8097159	-0.120340	-0.039246	-0.026263	-0.071342
Superscaffold1	8097176	8842263	0.062345	0.023606	0.015231	0.036399
Superscaffold1	8842272	10216523	0.053547	0.013550	0.009777	0.041142
Superscaffold1	10216684	10803781	-0.099954	-0.032306	-0.022891	-0.065088
Superscaffold1	10803972	11206537	0.020710	0.006768	0.004547	0.016577
Superscaffold1	11206560	11580280	-0.471083	-0.186244	-0.118734	-0.375094
Superscaffold1	11580292	12012089	0.025208	0.007485	0.005034	0.020379
Superscaffold1	12016908	12365632	0.006092	0.002255	0.001455	0.007990
Superscaffold1	12365782	12749633	-0.084791	-0.030485	-0.020062	-0.061135
Superscaffold1	12749668	13089049	0.142145	0.047938	0.029472	0.113394
Superscaffold1	13089175	13969713	0.007080	0.001095	0.000765	0.005604
Superscaffold1	13969763	14729474	0.003474	0.000683	0.000481	0.004880
Superscaffold1	14729475	15087108	0.157307	0.048615	0.034428	0.105179
Superscaffold1	15087136	15566455	-0.105343	-0.018488	-0.013800	-0.079580
Superscaffold1	15566629	15978448	-0.136592	-0.035038	-0.023404	-0.104661
Superscaffold1	15979302	16422050	-0.133599	-0.032077	-0.021654	-0.097419
Superscaffold1	16422085	16760086	-0.086535	-0.033741	-0.021828	-0.048014
Superscaffold1	16760204	17267112	0.142449	0.046053	0.029444	0.082869
Superscaffold1	17267123	18021261	-0.069328	-0.017670	-0.011711	-0.055144
Superscaffold1	18021292	18387940	-0.304605	-0.181242	-0.094060	-0.193454
Superscaffold1	18387941	18983127	0.105492	0.021757	0.015502	0.067380
Superscaffold1	18983128	19184938	-0.021815	-0.008878	-0.006231	-0.016680
Superscaffold1	19184949	19611104	-0.426545	-0.219874	-0.146308	-0.319443
Superscaffold1	19611142	19929133	-0.214885	-0.075229	-0.049327	-0.153126
Superscaffold1	19929138	20340876	0.128376	0.032378	0.022509	0.080233
Superscaffold1	20340956	21124751	-0.089636	-0.019638	-0.012324	-0.051552
Superscaffold1	21124853	21523423	-0.198052	-0.068826	-0.042248	-0.146529
Superscaffold1	21523459	21902160	-0.045439	-0.017517	-0.010756	-0.027672
Superscaffold1	21902170	22535971	-0.078432	-0.013996	-0.010064	-0.054978
Superscaffold1	22545162	23200454	-0.160240	-0.028810	-0.018632	-0.124300
Superscaffold1	23200462	23725514	-0.137486	-0.032270	-0.020545	-0.108079
Superscaffold1	23726169	24172740	-0.247619	-0.068238	-0.046064	-0.169209
Superscaffold1	24172788	24613923	0.031826	0.009759	0.006561	0.019366
Superscaffold1	24614009	24901331	-0.008957	-0.003366	-0.002194	-0.004527
Superscaffold1	24901341	25440474	-0.094143	-0.022327	-0.014311	-0.060417
Superscaffold1	25440578	25862640	0.113057	0.029673	0.021911	0.083343
Superscaffold1	25862758	26242811	-0.379712	-0.119927	-0.076140	-0.256917
Superscaffold1	26242815	26822932	-0.029805	-0.005493	-0.003935	-0.020129
Superscaffold1	26829871	27341944	0.183765	0.041589	0.026064	0.136144
Superscaffold1	27342050	27809329	-0.117227	-0.036567	-0.023522	-0.084801
Superscaffold1	27809351	28016401	-0.294654	-0.185641	-0.091099	-0.155025
