chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209891	388413	-0.204307	-0.170933	-0.106035	-0.130725
Chr01	263649	478879	-0.063789	-0.042214	-0.026939	-0.036466
Chr01	388818	576796	0.111351	0.067157	0.038820	0.069533
Chr01	478896	668903	0.286058	0.163537	0.096334	0.174586
Chr01	576825	860420	-0.005628	-0.002788	-0.001716	-0.005830
Chr01	668988	979280	-0.260182	-0.121127	-0.074488	-0.158420
Chr01	860448	1121039	-0.199583	-0.062313	-0.041818	-0.132808
Chr01	979559	1255114	-0.162556	-0.042526	-0.028556	-0.117911
Chr01	1121144	1393236	-0.208094	-0.062535	-0.041985	-0.150702
Chr01	1255262	1502119	-0.072367	-0.026372	-0.017368	-0.052873
Chr01	1393340	1571919	0.003638	0.002002	0.001255	0.005075
Chr01	1502151	1689506	-0.272924	-0.153693	-0.089479	-0.195561
Chr01	1571958	1846683	-0.342333	-0.156400	-0.083120	-0.263404
Chr01	1689513	2011702	-0.403450	-0.193005	-0.092751	-0.302549
Chr01	1846862	2155267	-0.309926	-0.138339	-0.073564	-0.225127
Chr01	2011798	2236078	-0.137896	-0.058349	-0.037702	-0.092618
Chr01	2155352	2360544	-0.225164	-0.132222	-0.083578	-0.146182
Chr01	2236094	2468000	-0.127638	-0.090192	-0.054778	-0.074430
Chr01	2360550	2539904	-0.204792	-0.188687	-0.100342	-0.122755
Chr01	2468010	2644792	-0.168969	-0.193884	-0.083750	-0.100298
Chr01	2540113	2704906	0.101096	0.092323	0.046335	0.056370
Chr01	2644817	2747048	-0.019085	-0.018232	-0.008753	-0.013080
Chr01	2704913	2823436	-0.162895	-0.161275	-0.076914	-0.095687
Chr01	2747050	2932700	-0.228721	-0.220334	-0.117247	-0.136662
Chr01	2823445	3036007	-0.131070	-0.105464	-0.058385	-0.084561
Chr01	2932701	3170571	-0.085614	-0.043956	-0.027398	-0.053170
Chr01	3036090	3331793	-0.165258	-0.061976	-0.038774	-0.097302
Chr01	3170682	3482160	-0.276645	-0.102059	-0.061829	-0.182457
Chr01	3332016	3662114	-0.016545	-0.005969	-0.003962	-0.016462
Chr01	3482187	3856915	0.040714	0.014969	0.009646	0.023045
Chr01	3662796	4014308	-0.406131	-0.182306	-0.099628	-0.300043
Chr01	3857215	4141031	-0.399078	-0.164497	-0.097188	-0.268803
Chr01	4014472	4277172	-0.284619	-0.100667	-0.063757	-0.186899
Chr01	4141040	4405699	-0.480773	-0.280449	-0.155993	-0.344791
Chr01	4277417	4484937	-0.324734	-0.277085	-0.155478	-0.204898
Chr01	4405768	4642999	-0.072729	-0.029374	-0.020307	-0.045665
Chr01	4484945	4823229	-0.307995	-0.109324	-0.069121	-0.218610
Chr01	4643081	4983218	-0.358260	-0.125273	-0.081889	-0.262947
Chr01	4823230	5195805	-0.331870	-0.091109	-0.063526	-0.235653
Chr01	4983260	5504778	-0.370605	-0.102007	-0.067185	-0.245030
Chr01	5195821	5716932	-0.171956	-0.055762	-0.036908	-0.112025
Chr01	5504799	5865957	-0.133413	-0.047391	-0.030907	-0.090053
Chr01	5717627	5986000	-0.099085	-0.044911	-0.026086	-0.064360
Chr01	5866015	6169398	0.127628	0.039480	0.026036	0.091460
Chr01	5986020	6373111	-0.175015	-0.055273	-0.037766	-0.146175
