chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	59949	73266	-0.285585	-0.114714	-0.084003	-0.212921
Chr01	73322	79293	-0.649396	-0.580772	-0.289845	-0.521694
Chr01	79294	83701	-0.335722	-0.351177	-0.229572	-0.284884
Chr01	83702	147604	-0.318774	-0.192823	-0.069348	-0.155008
Chr01	147640	153182	-0.118285	-0.096969	-0.031228	-0.036450
Chr01	153199	165683	-0.333296	-0.764939	-0.171810	-0.124126
Chr01	165743	181960	-0.135287	-0.215724	-0.111225	-0.066790
Chr01	182036	185500	0.251194	0.377943	0.257736	0.124492
Chr01	185520	190267	0.180916	0.331174	0.198800	0.088784
Chr01	190325	197634	0.067965	0.107378	0.068715	0.027405
Chr01	197647	205555	0.060993	0.101778	0.049869	0.033238
Chr01	205556	209147	-0.041187	-0.065493	-0.031382	-0.032310
Chr01	209159	210915	-0.071641	-0.251335	-0.075391	-0.037520
Chr01	211023	216189	0.115327	0.166730	0.095742	0.066809
Chr01	216204	217783	0.023522	0.077829	0.023080	0.007285
Chr01	217788	219998	-0.046655	-0.118536	-0.042998	-0.037194
Chr01	220002	223992	0.104829	0.177437	0.099408	0.056687
Chr01	223995	228506	0.124193	0.205669	0.109129	0.063240
Chr01	228567	233394	0.007243	0.013086	0.006785	0.004518
Chr01	233396	238101	-0.188583	-0.396709	-0.160380	-0.102065
Chr01	238106	244242	-0.335703	-0.460289	-0.196452	-0.215916
Chr01	244341	249316	-0.035677	-0.050178	-0.026057	-0.010633
Chr01	249320	251776	0.071549	0.101534	0.055235	0.030566
Chr01	251779	254622	-0.174393	-0.412096	-0.151044	-0.108081
Chr01	254666	256817	-0.280995	-0.595547	-0.183524	-0.147161
Chr01	256881	260661	-0.245312	-0.453149	-0.190544	-0.131649
Chr01	260669	262502	-0.268729	-0.777170	-0.172514	-0.132287
Chr01	262533	264288	-0.189904	-0.390316	-0.122294	-0.094938
Chr01	264291	269204	-0.406042	-0.531634	-0.247797	-0.289142
Chr01	269258	273254	-0.065724	-0.076103	-0.043220	-0.041742
Chr01	273298	276153	0.092735	0.089099	0.035601	0.051465
Chr01	276161	282814	-0.127513	-0.187220	-0.079064	-0.059507
Chr01	282968	298814	-0.217145	-0.230013	-0.106753	-0.124997
Chr01	298836	310256	0.026101	0.027103	0.014630	0.013072
Chr01	310311	316084	0.201513	0.269664	0.162284	0.122423
Chr01	316138	321225	-0.045607	-0.163835	-0.043719	-0.017526
Chr01	321367	336476	0.206829	0.145039	0.095593	0.104175
Chr01	336613	350046	0.285574	0.207193	0.135406	0.156327
Chr01	350090	356228	-0.140180	-0.232094	-0.117215	-0.078429
Chr01	356291	384919	-0.502671	-0.310347	-0.196910	-0.337323
Chr01	384942	390896	0.121190	0.073382	0.057633	0.057597
Chr01	390929	396486	-0.017420	-0.021798	-0.013792	-0.007737
Chr01	396524	403029	-0.020809	-0.039242	-0.015886	-0.016441
Chr01	403047	407770	0.140784	0.205017	0.092978	0.073800
Chr01	407870	419496	0.370716	0.292391	0.156825	0.252039
Chr01	419549	428715	0.663376	0.539983	0.404505	0.497962
Chr01	428748	433896	0.033022	0.056854	0.015949	0.027788
Chr01	433942	440409	0.460556	0.314555	0.204782	0.185013
Chr01	440527	449578	-0.245555	-0.092085	-0.067421	-0.074676
Chr01	449591	453208	-0.094595	-0.141087	-0.074683	-0.046729
Chr01	453277	465143	-0.421509	-0.446789	-0.235802	-0.247107
Chr01	465149	473560	-0.468556	-0.474216	-0.296308	-0.319047
Chr01	473576	478776	-0.614173	-0.728686	-0.366688	-0.479478
Chr01	478834	480854	-0.545408	-0.728182	-0.349330	-0.379304
Chr01	480880	486237	-0.552669	-0.618110	-0.315647	-0.418702
Chr01	486251	495063	0.008563	0.006447	0.003394	0.006005
Chr01	495078	498847	-0.273310	-0.117675	-0.078070	-0.159955
Chr01	498918	509039	-0.209992	-0.230038	-0.112670	-0.139233
Chr01	509050	515176	-0.560815	-0.982415	-0.257248	-0.274217
Chr01	515182	518768	-0.362518	-0.633560	-0.178490	-0.180244
Chr01	518831	524219	0.186112	0.329983	0.101418	0.096829
Chr01	524242	528508	0.174764	0.317891	0.095651	0.088156
Chr01	528517	533497	0.060683	0.144766	0.028316	0.033518
Chr01	533586	550150	-0.341921	-1.236177	-0.122321	-0.131722
Chr01	550174	559687	-0.265245	-0.310745	-0.084546	-0.116478
Chr01	559690	567188	-0.063076	-0.054765	-0.023234	-0.034692
Chr01	567189	575227	0.456929	0.436535	0.243707	0.254844
Chr01	575247	577700	0.323123	0.332672	0.187340	0.150146
Chr01	577715	588150	0.418953	0.333594	0.228136	0.262087
Chr01	588177	605061	0.597977	0.410118	0.285020	0.408928
Chr01	605174	611068	0.536436	0.411746	0.307088	0.319285
