chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	550541	729747	-0.235897	-0.249993	-0.130551	-0.138863
Superscaffold1	729857	899666	0.233342	0.198381	0.105953	0.152798
Superscaffold1	899908	1235745	0.010264	0.008267	0.004441	0.007402
Superscaffold1	1235750	1431696	-0.193412	-0.148679	-0.076387	-0.094253
Superscaffold1	1431743	1697329	-0.113392	-0.075689	-0.041511	-0.064818
Superscaffold1	1697464	1914944	0.208386	0.138156	0.069653	0.117774
Superscaffold1	1914989	2154890	0.049303	0.027345	0.012025	0.034953
Superscaffold1	2155158	2339709	0.097954	0.074701	0.043521	0.055516
Superscaffold1	2339898	2511891	-0.049226	-0.052558	-0.027577	-0.035357
Superscaffold1	2512120	2644563	0.025634	0.025048	0.014219	0.018990
Superscaffold1	2644663	2791333	-0.051818	-0.065913	-0.030718	-0.029954
Superscaffold1	2791417	2977458	0.083485	0.097109	0.037627	0.051256
Superscaffold1	2977528	3173945	0.006198	0.005537	0.002994	0.001954
Superscaffold1	3173954	3375235	0.127313	0.109956	0.058010	0.077253
Superscaffold1	3375301	3625309	0.042213	0.025306	0.014081	0.027159
Superscaffold1	3625345	3872827	0.220281	0.129382	0.070765	0.129289
Superscaffold1	3872856	4134931	0.118017	0.101248	0.043125	0.065414
Superscaffold1	4135005	4438913	0.032794	0.023941	0.012827	0.020967
Superscaffold1	4438934	4671439	0.165003	0.128662	0.069010	0.118107
Superscaffold1	4671534	4898167	0.098294	0.092502	0.050325	0.055287
Superscaffold1	4898291	5160069	0.180372	0.158801	0.085030	0.122430
Superscaffold1	5160075	5465878	0.277112	0.136502	0.083969	0.147160
Superscaffold1	5465879	5769596	0.046372	0.024112	0.014610	0.032936
Superscaffold1	5769613	6179374	0.122518	0.052687	0.035420	0.077587
Superscaffold1	6179786	6561365	-0.178862	-0.065897	-0.044649	-0.125911
Superscaffold1	6561555	6889579	0.073248	0.034475	0.021892	0.048862
Superscaffold1	6889728	7272542	-0.231528	-0.103287	-0.063596	-0.159169
Superscaffold1	7272740	7609846	-0.024214	-0.012328	-0.007411	-0.011612
Superscaffold1	7609880	8233302	0.103271	0.047697	0.027159	0.074574
Superscaffold1	8233463	8661854	0.123838	0.049522	0.031921	0.073765
Superscaffold1	8661880	9688540	0.023975	0.010956	0.006984	0.014270
Superscaffold1	9688559	10514137	-0.016223	-0.007439	-0.004839	-0.008834
Superscaffold1	10514169	10783053	0.125198	0.069383	0.044096	0.075942
Superscaffold1	10783147	11057790	0.008594	0.004807	0.002667	0.002943
Superscaffold1	11057791	11349788	0.093514	0.042167	0.028283	0.065220
Superscaffold1	11350729	11635148	-0.368607	-0.172790	-0.105813	-0.305626
Superscaffold1	11635291	11935164	0.037984	0.018747	0.010734	0.023400
Superscaffold1	11935175	12136358	0.136815	0.103511	0.062065	0.085774
Superscaffold1	12136415	12368648	0.073851	0.054754	0.027552	0.044176
Superscaffold1	12368661	12637362	0.060291	0.034755	0.020513	0.035183
Superscaffold1	12637371	12956898	-0.161749	-0.075721	-0.042023	-0.104968
Superscaffold1	12956920	13347679	0.358264	0.173302	0.094568	0.267773
Superscaffold1	13347972	13749848	0.536327	0.433016	0.208661	0.398722
Superscaffold1	13749933	14211736	-0.044734	-0.023447	-0.011965	-0.029268
Superscaffold1	14211965	14673426	-0.077817	-0.026123	-0.015937	-0.052548
Superscaffold1	14673427	14928379	0.112994	0.055009	0.032601	0.065345
Superscaffold1	14928456	15161707	0.143811	0.064893	0.041293	0.088859
Superscaffold1	15161737	15527372	-0.001046	-0.000270	-0.000193	-0.001872
Superscaffold1	15527401	15914638	-0.202941	-0.061198	-0.038536	-0.151742
Superscaffold1	15914665	16282275	0.109615	0.035305	0.022825	0.088907
Superscaffold1	16282309	16651569	-0.021534	-0.010479	-0.006230	-0.014395
Superscaffold1	16651580	16955382	-0.021440	-0.010460	-0.006127	-0.011883
Superscaffold1	16955417	17302522	0.013936	0.007754	0.004305	0.009267
Superscaffold1	17302537	17876968	-0.076816	-0.028130	-0.016814	-0.061361
Superscaffold1	17877412	18306694	-0.428053	-0.575074	-0.189689	-0.285168
Superscaffold1	18306698	18620122	0.043000	0.016359	0.009984	0.027522
Superscaffold1	18620130	19080105	-0.253495	-0.118323	-0.071959	-0.160616
Superscaffold1	19080106	19239020	-0.107145	-0.064152	-0.038542	-0.071166
Superscaffold1	19239067	19669069	0.147790	0.082915	0.056052	0.116377
Superscaffold1	19669141	19953290	-0.034409	-0.015734	-0.009479	-0.022649
Superscaffold1	19953303	20282418	0.115527	0.048482	0.030542	0.070117
Superscaffold1	20282483	20862690	0.271512	0.107246	0.063178	0.176581
Superscaffold1	20862716	21198694	0.077969	0.033333	0.019459	0.047017
Superscaffold1	21198708	21413043	0.174972	0.092093	0.047640	0.105827
Superscaffold1	21413053	21717461	0.250944	0.127186	0.069691	0.159751
Superscaffold1	21717545	22134238	-0.088367	-0.035795	-0.022742	-0.062735
Superscaffold1	22134338	22645462	0.235761	0.060376	0.038196	0.164092
Superscaffold1	22645698	22994524	0.620619	0.311797	0.194653	0.532931
Superscaffold1	22994532	23448818	0.156180	0.050441	0.028791	0.122867
Superscaffold1	23448838	23796316	0.137852	0.051235	0.030202	0.097229
Superscaffold1	23796347	24189495	-0.194498	-0.075949	-0.046146	-0.132783
Superscaffold1	24190033	24650093	0.066891	0.018694	0.012741	0.048894
Superscaffold1	24650120	24918305	0.015786	0.006360	0.004032	0.012987
