chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	208406	339515	0.024434	0.022107	0.013848	0.010342
Chr01	257503	453118	0.060883	0.038621	0.025516	0.037568
Chr01	339608	530201	-0.024871	-0.014617	-0.009093	-0.015039
Chr01	453125	634355	0.067630	0.037400	0.021645	0.045146
Chr01	530307	797052	0.030297	0.016596	0.009202	0.018254
Chr01	634367	910570	-0.282968	-0.165188	-0.090182	-0.167195
Chr01	797057	1048393	-0.126422	-0.045450	-0.030056	-0.076842
Chr01	910572	1176550	-0.126507	-0.029487	-0.021832	-0.083341
Chr01	1048425	1322673	-0.129257	-0.030986	-0.021576	-0.089372
Chr01	1176560	1457180	-0.106542	-0.039427	-0.024469	-0.069795
Chr01	1322770	1536138	-0.036740	-0.018577	-0.011635	-0.023069
Chr01	1457229	1638666	-0.225003	-0.125132	-0.073024	-0.158856
Chr01	1536145	1736203	-0.352720	-0.207485	-0.111512	-0.263397
Chr01	1638670	1898768	-0.378466	-0.175574	-0.089710	-0.286752
Chr01	1736338	2079272	-0.355745	-0.140653	-0.076533	-0.267473
Chr01	1898769	2186531	-0.098585	-0.040195	-0.024822	-0.071222
Chr01	2079274	2250757	0.120593	0.065101	0.041726	0.072891
Chr01	2186538	2395365	-0.041550	-0.029678	-0.017716	-0.028619
Chr01	2250782	2477397	-0.074655	-0.052680	-0.032207	-0.042031
Chr01	2395391	2586130	-0.199431	-0.176302	-0.096375	-0.118997
Chr01	2477494	2661031	-0.186823	-0.215637	-0.091112	-0.114339
Chr01	2591597	2713464	-0.017799	-0.022606	-0.008812	-0.006525
Chr01	2661048	2771355	-0.195671	-0.244000	-0.096605	-0.110453
Chr01	2713487	2866499	-0.300299	-0.286776	-0.140993	-0.175791
Chr01	2771615	2957119	-0.341412	-0.274629	-0.151747	-0.205796
Chr01	2866506	3097896	-0.336993	-0.202173	-0.116737	-0.201908
Chr01	2957142	3245382	-0.213363	-0.090494	-0.055679	-0.133788
