chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	123569	150963	-0.428805	-0.237512	-0.121405	-0.264391
Chr01	151207	167969	-0.286202	-0.211079	-0.113808	-0.158124
Chr01	167980	185834	0.153527	0.080297	0.059821	0.062356
Chr01	185892	203575	0.248874	0.101774	0.078662	0.096391
Chr01	203617	210738	0.435071	0.223014	0.147873	0.260179
Chr01	210742	218128	0.471712	0.219702	0.162283	0.345061
Chr01	218203	226087	0.169210	0.091969	0.060510	0.119500
Chr01	226119	243502	0.038167	0.007712	0.005806	0.003338
Chr01	243593	253643	0.164924	0.073398	0.058443	0.115280
Chr01	253682	261282	-0.712453	-0.349174	-0.216834	-0.667762
Chr01	261346	269663	-0.862365	-0.507493	-0.273729	-0.756524
Chr01	269708	284136	0.022042	0.009650	0.006065	0.034253
Chr01	284139	311341	0.209117	0.085896	0.059552	0.115953
Chr01	311342	326749	-0.362441	-0.307985	-0.168392	-0.258091
Chr01	326770	358603	0.063320	0.019742	0.015335	0.028933
Chr01	358683	394210	0.350456	0.166345	0.114441	0.258387
Chr01	394320	415057	0.399267	0.148068	0.102397	0.170791
Chr01	415611	429469	0.669806	0.264259	0.199299	0.512369
Chr01	429484	442039	-0.107620	-0.039784	-0.024655	-0.039829
Chr01	442139	452915	0.353156	0.106277	0.084465	0.098001
Chr01	452949	478460	-0.443176	-0.179807	-0.105378	-0.328063
Chr01	478465	492465	-0.279363	-0.129431	-0.071013	-0.221563
Chr01	492480	514773	-0.243986	-0.085857	-0.046630	-0.086254
Chr01	514784	525579	-0.518168	-0.367362	-0.221270	-0.366861
Chr01	525670	548941	-0.686563	-0.612394	-0.268657	-0.642575
Chr01	548999	566396	-0.505339	-0.208344	-0.117445	-0.384466
Chr01	566404	593948	-0.170367	-0.061539	-0.044756	-0.148931
Chr01	594074	611414	0.738310	0.308649	0.252088	0.559828
Chr01	612515	628205	0.094526	0.059473	0.039918	0.093371
Chr01	628530	638511	0.073445	0.077957	0.047711	0.059133
Chr01	638558	654243	0.450505	0.344722	0.235347	0.409449
Chr01	654331	667441	0.107581	0.027692	0.023553	0.073145
Chr01	667518	701437	-0.153663	-0.095546	-0.048287	-0.087242
Chr01	701927	792106	-0.169121	-0.062524	-0.039708	-0.087745
Chr01	792348	836335	0.146295	0.058697	0.038037	0.099868
Chr01	836831	853451	-0.529343	-0.248688	-0.093001	-0.295947
Chr01	853477	871395	0.221181	0.137277	0.058078	0.188758
Chr01	871454	889894	0.099443	0.052398	0.036441	0.047015
Chr01	889974	927093	0.013106	0.002917	0.002276	0.020668
Chr01	927128	959436	-0.034624	-0.005657	-0.004123	-0.003020
Chr01	959443	984677	0.370818	0.143868	0.080610	0.347800
Chr01	985826	1008834	-0.304853	-0.065915	-0.042123	-0.185977
Chr01	1008835	1030715	0.094222	0.010007	0.008224	0.086432
Chr01	1030816	1051182	-0.437148	-0.040143	-0.030253	-0.311314
Chr01	1051187	1076040	-0.624331	-0.193046	-0.111077	-0.510269
Chr01	1076041	1083513	-0.222111	-0.186224	-0.087354	-0.110922
Chr01	1083535	1104019	0.192675	0.093585	0.050213	0.163929
Chr01	1104031	1117830	-0.647461	-0.661580	-0.269135	-0.450344
Chr01	1117838	1140625	0.076578	0.038818	0.024190	0.070178
Chr01	1141214	1154178	0.052497	0.012228	0.009365	0.062298
Chr01	1154285	1167492	-0.002340	-0.000489	-0.000387	0.002501
Chr01	1167628	1178130	0.161642	0.028205	0.023137	0.108975
Chr01	1178206	1187141	0.405693	0.188976	0.121074	0.312336
Chr01	1187168	1207034	0.046398	0.016134	0.008312	0.030665
Chr01	1207093	1231432	0.121069	0.026383	0.013640	0.119084
Chr01	1231484	1292298	0.250258	0.063541	0.027122	0.160554
Chr01	1292347	1309851	0.383978	0.137226	0.078129	0.170368
Chr01	1309911	1322146	-0.304528	-0.301486	-0.121047	-0.189390
Chr01	1322202	1350053	0.199521	0.086561	0.058667	0.149539
Chr01	1350160	1386706	-0.177947	-0.051241	-0.027663	-0.087321
Chr01	1387019	1407671	0.397802	0.106515	0.072692	0.202640
Chr01	1407739	1424695	-0.384209	-0.269893	-0.147685	-0.260608
Chr01	1424768	1452692	0.401269	0.190694	0.103808	0.293694
Chr01	1452711	1458814	0.119149	0.084913	0.041974	0.087097
Chr01	1458943	1466787	0.122001	0.088312	0.039976	0.102675
Chr01	1466828	1474575	0.330554	0.184032	0.114945	0.263904
Chr01	1474592	1484974	0.158267	0.093153	0.060285	0.143684
Chr01	1484987	1502108	0.480349	0.234963	0.150930	0.420922
Chr01	1502483	1512147	0.326798	0.129967	0.087708	0.279641
Chr01	1512351	1533461	0.267470	0.058137	0.041736	0.199993
Chr01	1533517	1539359	0.075214	0.061492	0.034656	0.054142
Chr01	1539393	1549332	0.047443	0.015626	0.010699	0.026845
Chr01	1549347	1565066	-0.063797	-0.025483	-0.014774	-0.035741
Chr01	1565213	1573254	-0.448856	-0.228645	-0.092023	-0.323284
Chr01	1573265	1584964	0.088024	0.044855	0.018236	0.082657
Chr01	1585324	1617716	0.802700	0.432646	0.195177	0.735767
Chr01	1617725	1630898	-0.423285	-0.206230	-0.097962	-0.385712
Chr01	1630903	1643902	-0.083535	-0.027799	-0.017758	-0.063170
Chr01	1643968	1657083	-0.772419	-0.539004	-0.219127	-0.702353
Chr01	1657205	1670091	0.465924	0.201008	0.133922	0.433797
Chr01	1670110	1685589	0.036250	0.007873	0.005963	0.010725
Chr01	1685778	1689954	0.222688	0.219852	0.136387	0.143444
Chr01	1689971	1702290	0.028101	0.017168	0.005590	0.022048
Chr01	1702322	1728553	-0.506682	-0.191712	-0.095909	-0.380208
Chr01	1730800	1756461	-0.585176	-0.229822	-0.102014	-0.511602
Chr01	1756477	1794413	-0.717444	-0.412130	-0.136233	-0.531671
Chr01	1794428	1811423	-0.243207	-0.104330	-0.040562	-0.214678
Chr01	1812049	1828664	-0.309152	-0.157761	-0.057876	-0.197227
Chr01	1828876	1853260	0.521012	0.231121	0.109023	0.526110
Chr01	1853268	1871444	-0.423093	-0.230008	-0.087858	-0.349890
Chr01	1871446	1887564	-0.704498	-0.500579	-0.167588	-0.580245
Chr01	1887634	1897328	-0.689646	-0.618818	-0.156713	-0.518065
Chr01	1897354	1921358	-0.563506	-0.199098	-0.086714	-0.496464
Chr01	1921400	1992713	-0.701192	-0.217796	-0.089508	-0.498625
Chr01	1992817	2008723	0.127837	0.019481	0.012348	0.062991
Chr01	2008821	2027094	-0.379600	-0.226894	-0.093159	-0.314460
Chr01	2027480	2041459	-0.307546	-0.135368	-0.080733	-0.204829
Chr01	2041503	2053446	0.024082	0.014430	0.008310	0.013684
Chr01	2053488	2066775	0.074719	0.043740	0.024764	0.025466
Chr01	2066776	2080991	0.283626	0.088259	0.055561	0.175800
Chr01	2081002	2099520	0.065197	0.031813	0.018049	0.052477
Chr01	2099908	2126604	-0.218982	-0.067961	-0.031459	-0.148677
Chr01	2126807	2151456	0.124406	0.064821	0.041982	0.089003
Chr01	2151642	2173124	0.147375	0.050333	0.035074	0.069365
Chr01	2173232	2188078	0.472948	0.130590	0.100875	0.336936
Chr01	2188084	2208249	0.023326	0.009164	0.005631	0.011059
Chr01	2208415	2215226	-0.406421	-0.334918	-0.187227	-0.347666
Chr01	2215257	2225316	0.221228	0.176391	0.095827	0.168815
Chr01	2225335	2232230	-0.103021	-0.075868	-0.034871	-0.044265
Chr01	2232317	2246995	0.123702	0.047581	0.035654	0.079554
Chr01	2247022	2254327	0.160026	0.180351	0.084362	0.083442
Chr01	2254332	2259839	-0.328807	-0.607660	-0.234012	-0.186989
Chr01	2259845	2266805	0.071155	0.092264	0.054717	0.038626
Chr01	2266850	2273921	0.133943	0.068574	0.059780	0.072855
Chr01	2274409	2287394	0.100775	0.026575	0.022563	0.034511
Chr01	2287411	2314304	-0.039746	-0.014691	-0.009434	-0.020055
Chr01	2314370	2377035	0.067625	0.025542	0.013184	0.050861
Chr01	2377037	2400015	-0.380189	-0.245859	-0.125379	-0.306027
Chr01	2405095	2420709	0.219314	0.078498	0.059579	0.189494
Chr01	2420724	2436361	0.232404	0.088455	0.063928	0.206019
Chr01	2436445	2446409	0.140823	0.062163	0.043834	0.102056
Chr01	2446626	2468140	-0.026432	-0.017507	-0.010195	-0.018422
Chr01	2468221	2476155	0.627233	0.429443	0.280455	0.496623
Chr01	2476188	2491899	0.046662	0.024404	0.015604	0.043594
Chr01	2492171	2495812	-0.360348	-0.722930	-0.273524	-0.283098
