chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	562176	734858	-0.010678	-0.008143	-0.004769	-0.008177
Superscaffold1	735152	917850	0.018334	0.009695	0.005655	0.014899
Superscaffold1	918137	1267050	-0.074049	-0.038080	-0.023397	-0.037119
Superscaffold1	1267333	1506685	-0.086001	-0.026172	-0.017435	-0.049860
Superscaffold1	1506694	1897530	-0.328496	-0.114505	-0.072792	-0.225847
Superscaffold1	1897545	2245611	-0.349520	-0.130162	-0.073119	-0.268024
Superscaffold1	2245618	2454824	-0.036051	-0.019602	-0.012384	-0.023115
Superscaffold1	2454880	2700058	-0.068451	-0.040959	-0.025217	-0.037583
Superscaffold1	2700137	2843266	-0.200830	-0.205949	-0.096166	-0.125509
Superscaffold1	2843270	3093503	-0.212050	-0.161269	-0.082216	-0.134872
Superscaffold1	3093553	3466240	-0.107346	-0.038552	-0.024621	-0.057218
Superscaffold1	3466369	3905465	-0.076446	-0.024422	-0.014984	-0.045385
Superscaffold1	3905543	4307831	-0.148387	-0.058307	-0.035411	-0.090435
Superscaffold1	4307901	4657856	-0.319088	-0.138727	-0.085882	-0.223829
Superscaffold1	4657934	5095561	-0.033949	-0.011681	-0.008150	-0.017577
Superscaffold1	5095581	5594321	-0.243622	-0.052962	-0.037774	-0.162102
Superscaffold1	5594342	5921511	0.093675	0.035247	0.023036	0.062510
Superscaffold1	5921637	6403608	0.082917	0.021747	0.015155	0.057234
Superscaffold1	6403725	6788417	-0.214011	-0.080345	-0.053361	-0.145451
Superscaffold1	6788461	7249970	-0.330901	-0.119014	-0.071740	-0.224861
Superscaffold1	7250076	7693791	-0.189538	-0.075642	-0.048851	-0.131725
Superscaffold1	7693881	8420159	-0.223313	-0.072736	-0.046239	-0.126036
Superscaffold1	8420210	9118966	-0.158084	-0.070349	-0.043024	-0.095384
Superscaffold1	9119535	10402153	-0.106937	-0.033246	-0.022187	-0.071337
Superscaffold1	10402196	10849609	-0.162903	-0.057852	-0.039899	-0.107567
Superscaffold1	10849803	11229431	-0.099853	-0.034572	-0.022152	-0.066210
Superscaffold1	11229454	11582697	-0.251158	-0.102502	-0.067380	-0.172544
Superscaffold1	11582715	12042598	-0.095624	-0.029513	-0.019475	-0.062696
Superscaffold1	12042600	12364927	0.105102	0.048521	0.029808	0.065270
Superscaffold1	12364946	12747295	-0.220057	-0.087706	-0.054975	-0.160323
Superscaffold1	12747323	13038587	0.172222	0.068491	0.039295	0.135546
Superscaffold1	13038751	13839958	-0.050150	-0.008657	-0.005820	-0.032578
Superscaffold1	13840055	14572806	-0.078679	-0.017508	-0.011621	-0.057092
Superscaffold1	14572972	14954917	0.103223	0.031097	0.020677	0.067295
Superscaffold1	14955214	15409371	-0.228533	-0.054303	-0.037760	-0.172415
Superscaffold1	15409559	15802512	-0.186557	-0.048404	-0.031487	-0.142675
Superscaffold1	15802515	16188443	-0.008729	-0.002538	-0.001624	-0.002907
Superscaffold1	16188710	16615885	-0.253091	-0.075292	-0.047239	-0.172348
Superscaffold1	16616012	16975130	-0.096211	-0.038846	-0.021753	-0.048479
Superscaffold1	16975710	17416730	-0.109282	-0.039229	-0.024269	-0.072189
Superscaffold1	17416762	18192343	-0.092439	-0.034445	-0.019920	-0.062459
Superscaffold1	18192421	18520262	-0.076448	-0.030018	-0.017935	-0.044197
Superscaffold1	18520494	19032104	-0.081156	-0.022492	-0.015263	-0.048522
Superscaffold1	19032113	19211214	0.022255	0.012269	0.007583	0.011142
Superscaffold1	19211248	19626658	-0.419723	-0.208258	-0.141724	-0.305545
Superscaffold1	19626662	19950690	-0.258245	-0.090312	-0.058467	-0.186327
Superscaffold1	19950735	20335050	-0.010965	-0.003391	-0.002191	-0.007456
Superscaffold1	20335053	21099053	-0.092704	-0.022430	-0.013485	-0.055106
Superscaffold1	21099330	21418435	-0.222855	-0.095372	-0.054359	-0.166468
Superscaffold1	21418544	21785949	-0.071557	-0.029735	-0.016253	-0.044348
Superscaffold1	21785973	22242506	-0.120317	-0.033431	-0.022642	-0.083845
Superscaffold1	22242524	22949210	-0.167227	-0.030855	-0.019802	-0.127356
Superscaffold1	22950431	23443634	-0.115161	-0.028612	-0.016756	-0.087926
Superscaffold1	23443725	23881266	-0.268421	-0.075590	-0.046144	-0.201165
Superscaffold1	23881272	24312713	-0.337890	-0.109515	-0.070124	-0.212167
Superscaffold1	24312718	24659245	-0.030351	-0.011717	-0.007239	-0.022402
Superscaffold1	24659262	24949866	-0.119687	-0.052706	-0.031448	-0.083784
Superscaffold1	24950390	25467342	-0.075039	-0.019655	-0.011980	-0.048664
Superscaffold1	25467486	25852184	-0.169691	-0.051426	-0.035048	-0.129533
Superscaffold1	25854415	26231140	-0.304189	-0.098466	-0.061642	-0.199459
Superscaffold1	26231197	26634087	-0.183904	-0.052558	-0.034805	-0.124192
Superscaffold1	26634150	27213599	0.105195	0.020408	0.012740	0.082507
Superscaffold1	27213624	27641544	-0.046888	-0.017026	-0.009845	-0.039680
Superscaffold1	27641734	27909638	-0.211881	-0.135916	-0.067021	-0.120000
Superscaffold1	27909721	28207635	-0.217470	-0.095372	-0.055897	-0.105920
Superscaffold1	28207763	28627667	0.287322	0.116424	0.071971	0.210206
Superscaffold1	28627765	28908073	0.242684	0.135463	0.093190	0.181936
Superscaffold1	28908422	29308655	-0.101508	-0.034358	-0.019915	-0.068333
Superscaffold1	29308814	29671905	-0.224854	-0.087136	-0.052922	-0.163017
Superscaffold1	29671906	29991947	-0.612018	-0.297541	-0.161404	-0.504705
Superscaffold1	29991993	30729763	-0.086217	-0.023594	-0.016074	-0.045727
Superscaffold1	30729809	31161113	-0.167307	-0.043554	-0.028322	-0.117172
Superscaffold1	31162118	31754084	-0.158245	-0.029545	-0.020350	-0.105101
