chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	123569	151210	-0.573803	-0.243340	-0.135279	-0.441548
Chr01	151231	166690	-0.562765	-0.321554	-0.177117	-0.384696
Chr01	166701	184815	-0.306950	-0.262448	-0.148134	-0.148664
Chr01	184822	192825	-0.051882	-0.058741	-0.031422	-0.021652
Chr01	192861	208309	0.043366	0.026063	0.016488	0.025890
Chr01	208317	216133	0.137022	0.065423	0.050495	0.088961
Chr01	216157	220706	0.135473	0.084138	0.057103	0.091173
Chr01	220708	235657	0.024685	0.011166	0.007930	0.021407
Chr01	235797	249133	-0.162750	-0.069304	-0.047254	-0.113043
Chr01	249448	256491	-0.180872	-0.084872	-0.064362	-0.160843
Chr01	256817	268553	-0.147747	-0.054380	-0.040158	-0.115813
Chr01	268596	277153	-0.194857	-0.109892	-0.065944	-0.153115
Chr01	277173	309411	-0.211573	-0.122496	-0.069376	-0.133549
Chr01	309728	320274	-0.208746	-0.212891	-0.133528	-0.127168
Chr01	320726	354692	-0.274477	-0.094225	-0.065293	-0.164939
Chr01	354715	390996	0.692932	0.334464	0.244686	0.548758
Chr01	391551	408128	-0.389889	-0.200622	-0.121093	-0.204380
Chr01	408256	428460	0.622450	0.199237	0.153521	0.443140
Chr01	428569	440144	-0.075916	-0.037498	-0.021911	-0.030116
Chr01	440198	452788	0.051265	0.018766	0.014950	0.015223
Chr01	452863	477412	-0.157742	-0.069423	-0.048750	-0.110571
Chr01	477424	489003	-0.077127	-0.042701	-0.026624	-0.058315
Chr01	489965	514784	-0.172805	-0.061472	-0.035660	-0.071818
Chr01	514826	525670	-0.620254	-0.511533	-0.290464	-0.464326
Chr01	525696	550867	-0.531448	-0.356100	-0.212917	-0.476439
Chr01	550964	569598	-0.182616	-0.052691	-0.038807	-0.134197
Chr01	572649	596166	-0.170484	-0.058037	-0.043254	-0.174271
Chr01	596315	617409	0.590844	0.228751	0.186850	0.405088
Chr01	617455	630337	-0.380957	-0.367541	-0.199637	-0.276659
Chr01	630461	639743	-0.198656	-0.164623	-0.117207	-0.161981
Chr01	639801	656244	-0.286155	-0.228849	-0.144317	-0.264100
Chr01	656341	661420	0.743379	0.334914	0.288806	0.577625
Chr01	661573	683535	0.293502	0.143307	0.106859	0.227753
Chr01	683691	747534	-0.206129	-0.106657	-0.057140	-0.120398
Chr01	751488	821772	-0.224946	-0.085140	-0.057166	-0.155672
Chr01	821953	845115	-0.178327	-0.085976	-0.043812	-0.110104
Chr01	845807	862461	-0.455024	-0.275955	-0.102824	-0.370251
Chr01	862709	880901	-0.057783	-0.037240	-0.016417	-0.053845
Chr01	881134	906371	-0.340468	-0.120828	-0.076312	-0.227340
