chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209502	367164	0.393620	0.302921	0.212002	0.212367
Chr01	261909	483052	0.281524	0.212419	0.132810	0.159263
Chr01	367492	625371	0.353773	0.226044	0.133118	0.201091
Chr01	483075	846488	0.287359	0.168763	0.098555	0.149178
Chr01	625384	980298	0.104750	0.064784	0.037206	0.052258
Chr01	846890	1121310	0.074360	0.041007	0.022916	0.032038
Chr01	980306	1217506	0.030962	0.019114	0.009664	0.016394
Chr01	1121375	1395220	0.075396	0.047452	0.023649	0.041516
Chr01	1217529	1505684	0.239058	0.128398	0.073703	0.122437
Chr01	1395243	1585461	0.252382	0.124028	0.077682	0.126205
Chr01	1505781	1675928	0.227812	0.127561	0.070019	0.112932
Chr01	1585614	1815366	0.093095	0.061904	0.026748	0.051582
Chr01	1675932	1984087	-0.143885	-0.093072	-0.035004	-0.072569
Chr01	1815471	2080252	-0.150633	-0.094441	-0.039101	-0.069021
Chr01	1984499	2190222	-0.160510	-0.103475	-0.053249	-0.075514
Chr01	2080263	2262447	-0.029811	-0.020973	-0.011930	-0.015594
Chr01	2190224	2410560	0.001957	0.001362	0.000833	0.000618
Chr01	2262642	2482459	-0.057739	-0.041016	-0.025052	-0.037484
Chr01	2410583	2592750	0.047545	0.033281	0.020816	0.023907
Chr01	2482700	2661471	0.049865	0.035511	0.021731	0.025037
Chr01	2592799	2718219	0.069784	0.061307	0.035722	0.045304
Chr01	2661490	2785669	-0.017767	-0.016098	-0.008765	-0.014499
Chr01	2718233	2885104	-0.104457	-0.081772	-0.045974	-0.062860
Chr01	2787860	2987219	0.060433	0.046906	0.027648	0.032173
Chr01	2885116	3093922	0.013610	0.011451	0.006412	0.003446
Chr01	2998528	3221693	-0.021953	-0.016006	-0.009181	-0.014280
Chr01	3093932	3392580	0.012553	0.006375	0.003701	0.010333
Chr01	3222053	3515616	-0.027012	-0.015126	-0.008121	-0.011324
Chr01	3392598	3629287	0.294076	0.165271	0.101908	0.181870
Chr01	3515718	3771539	0.282783	0.157801	0.095386	0.183767
Chr01	3629310	3902273	-0.019747	-0.015925	-0.006965	-0.007431
Chr01	3771567	4066028	0.086149	0.063721	0.028320	0.045346
Chr01	3902546	4214307	0.046784	0.033193	0.015040	0.025601
Chr01	4066066	4320772	-0.060503	-0.055685	-0.024523	-0.036189
Chr01	4214315	4438521	0.040633	0.037469	0.016892	0.030247
Chr01	4320782	4505386	0.043013	0.029159	0.015766	0.023400
Chr01	4438524	4621017	0.093726	0.063122	0.037330	0.053719
Chr01	4505411	4713085	0.092440	0.071073	0.036111	0.048187
Chr01	4621054	4864758	0.046790	0.037804	0.016482	0.025217
Chr01	4713168	5017330	0.065918	0.039997	0.021364	0.046953
Chr01	4864773	5184018	0.017482	0.008621	0.005122	0.017576
Chr01	5017429	5541724	0.189147	0.087734	0.053934	0.144415
Chr01	5184069	5721841	0.157255	0.063919	0.042864	0.113947
Chr01	5542490	5915775	-0.106517	-0.039791	-0.025929	-0.069971
