chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	551179	710537	-0.124515	-0.104444	-0.065060	-0.072568
Superscaffold1	710591	888973	0.118721	0.058514	0.035133	0.068756
Superscaffold1	888982	1217151	-0.032688	-0.015731	-0.009723	-0.015244
Superscaffold1	1217156	1446058	0.088308	0.023616	0.017002	0.045103
Superscaffold1	1446077	1785885	0.005061	0.001544	0.001032	0.002525
Superscaffold1	1785922	2091125	-0.293214	-0.110115	-0.060249	-0.209290
Superscaffold1	2091167	2344240	-0.184796	-0.087814	-0.054867	-0.135334
Superscaffold1	2344263	2513531	-0.152333	-0.143862	-0.076648	-0.093792
Superscaffold1	2513556	2687273	-0.034431	-0.026398	-0.015176	-0.020923
Superscaffold1	2687287	2818837	-0.013627	-0.017186	-0.008115	-0.006844
Superscaffold1	2818885	3010595	-0.252350	-0.280729	-0.117224	-0.154072
Superscaffold1	3010750	3238095	-0.020707	-0.013195	-0.007660	-0.011041
Superscaffold1	3238178	3553826	0.051212	0.019551	0.012122	0.029037
Superscaffold1	3553906	3879241	-0.184775	-0.063473	-0.036848	-0.092223
Superscaffold1	3879551	4201174	-0.267338	-0.116788	-0.066529	-0.156040
Superscaffold1	4201178	4500311	-0.151098	-0.061673	-0.038686	-0.093796
Superscaffold1	4500324	4812652	-0.212198	-0.145212	-0.085203	-0.127514
Superscaffold1	4812666	5157312	-0.021130	-0.007437	-0.005036	-0.009748
Superscaffold1	5157338	5577909	-0.196757	-0.046361	-0.032831	-0.128534
Superscaffold1	5577926	5842489	0.234181	0.099967	0.066470	0.132504
Superscaffold1	5842526	6183271	0.091214	0.038179	0.024765	0.047954
Superscaffold1	6183368	6586127	0.020922	0.005666	0.003877	0.017485
Superscaffold1	6586200	6877796	-0.129234	-0.050974	-0.033147	-0.081843
Superscaffold1	6878140	7260786	-0.370407	-0.168150	-0.095088	-0.238392
Superscaffold1	7260856	7562425	-0.220422	-0.098627	-0.060091	-0.154496
Superscaffold1	7562822	7975476	-0.085425	-0.036226	-0.021901	-0.043437
Superscaffold1	7975563	8532369	-0.221199	-0.112659	-0.059960	-0.134859
Superscaffold1	8532476	9278922	-0.018513	-0.007938	-0.005026	-0.006465
Superscaffold1	9278934	10318675	0.087012	0.029862	0.019947	0.060614
Superscaffold1	10319371	10759025	0.020863	0.009446	0.006288	0.015708
Superscaffold1	10759079	10995298	-0.120589	-0.061055	-0.034330	-0.068655
Superscaffold1	10995358	11330395	-0.137806	-0.052814	-0.033818	-0.102948
Superscaffold1	11330402	11597914	-0.481722	-0.245421	-0.144815	-0.370559
Superscaffold1	11598059	11984657	-0.009806	-0.003336	-0.002197	-0.008334
Superscaffold1	11984663	12274585	-0.084021	-0.041463	-0.024096	-0.039655
Superscaffold1	12274632	12512474	0.068252	0.041427	0.024938	0.035772
Superscaffold1	12512500	12834377	-0.197633	-0.073522	-0.044882	-0.142554
Superscaffold1	12834380	13086440	0.054072	0.023781	0.013408	0.034686
Superscaffold1	13086464	13765749	-0.076824	-0.012481	-0.008731	-0.051010
Superscaffold1	13765764	14359663	0.046611	0.011808	0.007330	0.034206
Superscaffold1	14359664	14758350	0.086317	0.022125	0.014276	0.058427
Superscaffold1	14758404	15045850	0.065111	0.028952	0.018136	0.040718
Superscaffold1	15046145	15411212	-0.203247	-0.045472	-0.032142	-0.151851
Superscaffold1	15411214	15753373	-0.240430	-0.060657	-0.038755	-0.161218
Superscaffold1	15753517	16051906	-0.001139	-0.000394	-0.000249	0.002005
Superscaffold1	16051946	16358226	-0.227581	-0.080265	-0.046004	-0.150123
Superscaffold1	16358269	16697684	-0.028093	-0.009763	-0.006277	-0.013636
Superscaffold1	16697773	16978210	-0.037743	-0.019666	-0.010182	-0.015037
Superscaffold1	16978298	17330203	-0.137789	-0.063533	-0.037119	-0.083049
Superscaffold1	17330236	17862812	0.037054	0.010859	0.006775	0.021227
Superscaffold1	17862853	18312077	-0.240262	-0.241334	-0.091766	-0.105062
Superscaffold1	18312081	18603887	0.090870	0.028675	0.018178	0.059629
Superscaffold1	18603895	19034044	-0.205711	-0.070070	-0.044048	-0.126863
Superscaffold1	19034063	19194104	-0.180582	-0.100336	-0.058987	-0.102676
Superscaffold1	19194111	19591340	-0.459525	-0.308615	-0.187656	-0.339991
Superscaffold1	19591418	19871940	-0.299652	-0.112959	-0.075143	-0.211746
Superscaffold1	19872097	20203916	-0.043893	-0.013040	-0.008190	-0.022455
Superscaffold1	20203938	20491463	0.002088	0.001022	0.000565	0.001527
Superscaffold1	20491472	21185433	-0.118832	-0.030823	-0.018453	-0.068573
Superscaffold1	21185569	21486047	-0.168313	-0.068016	-0.037074	-0.113088
Superscaffold1	21486063	21781365	-0.074337	-0.032454	-0.018819	-0.049062
Superscaffold1	21781554	22193584	-0.085496	-0.024380	-0.016468	-0.050720
Superscaffold1	22193594	22762628	0.083179	0.015976	0.010648	0.052869
Superscaffold1	22762762	23230558	-0.123497	-0.026979	-0.016576	-0.090736
Superscaffold1	23230602	23624598	-0.088066	-0.024034	-0.014657	-0.069109
Superscaffold1	23624903	23965979	-0.286513	-0.112951	-0.066742	-0.191387
Superscaffold1	23965980	24327928	-0.124682	-0.037722	-0.024347	-0.065069
Superscaffold1	24327930	24649163	-0.028727	-0.012756	-0.007125	-0.017537
Superscaffold1	24649301	24890617	-0.044832	-0.020252	-0.012487	-0.030500
Superscaffold1	24890641	25328265	-0.178047	-0.046945	-0.028364	-0.118566
Superscaffold1	25328286	25641002	0.121308	0.032260	0.021205	0.064593
Superscaffold1	25641129	25974903	-0.386668	-0.145992	-0.101647	-0.265435
Superscaffold1	25976747	26268949	-0.444403	-0.182038	-0.101282	-0.314161
Superscaffold1	26269259	26652204	-0.038270	-0.007965	-0.005622	-0.024367
Superscaffold1	26652397	27125898	0.150441	0.027489	0.017274	0.104972
Superscaffold1	27126179	27500918	-0.150849	-0.057937	-0.032973	-0.094969
Superscaffold1	27500923	27815203	-0.158382	-0.068571	-0.037701	-0.098259
Superscaffold1	27815204	27992459	-0.272532	-0.259958	-0.102911	-0.124739
Superscaffold1	27992670	28234463	0.032224	0.015058	0.009456	0.013830
Superscaffold1	28234479	28646911	0.005839	0.001747	0.001222	0.005075
Superscaffold1	28646921	28910266	-0.118193	-0.059934	-0.042638	-0.079671
Superscaffold1	28910340	29301000	-0.220798	-0.064291	-0.039014	-0.139517
