chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	554984	705504	0.152145	0.130357	0.087089	0.084169
Superscaffold1	705527	880546	0.100585	0.054630	0.031403	0.065167
Superscaffold1	880577	1198274	-0.049593	-0.027054	-0.015945	-0.019111
Superscaffold1	1198281	1440567	-0.031433	-0.009725	-0.006687	-0.014093
Superscaffold1	1440568	1781879	-0.063584	-0.021319	-0.013873	-0.035009
Superscaffold1	1781914	2099764	-0.247465	-0.094722	-0.051459	-0.178533
Superscaffold1	2099952	2364379	-0.259347	-0.129464	-0.079702	-0.190461
Superscaffold1	2364423	2533188	0.048740	0.040645	0.024629	0.027561
Superscaffold1	2533614	2736556	-0.048922	-0.038504	-0.021396	-0.026545
Superscaffold1	2736563	2860214	-0.163213	-0.186960	-0.085494	-0.089406
Superscaffold1	2860233	3085991	-0.165002	-0.166968	-0.077635	-0.098594
Superscaffold1	3086022	3343156	0.068895	0.032527	0.019918	0.036575
Superscaffold1	3343401	3673456	-0.150471	-0.061651	-0.035370	-0.088027
Superscaffold1	3673460	4024097	-0.212456	-0.078202	-0.045629	-0.121262
Superscaffold1	4024681	4365729	-0.011419	-0.005429	-0.003197	0.005693
Superscaffold1	4365792	4666600	-0.331924	-0.171139	-0.101388	-0.227467
Superscaffold1	4666626	5062001	-0.037829	-0.016809	-0.011217	-0.021747
Superscaffold1	5062041	5497717	-0.185585	-0.042288	-0.030121	-0.117349
Superscaffold1	5498068	5825740	0.105438	0.037964	0.025861	0.065068
Superscaffold1	5825812	6219755	0.058221	0.021714	0.014103	0.037019
Superscaffold1	6219772	6634836	-0.019300	-0.005912	-0.004025	-0.010943
Superscaffold1	6634890	7036475	-0.239531	-0.095118	-0.057215	-0.159336
Superscaffold1	7036476	7317590	-0.419157	-0.203316	-0.116725	-0.292293
Superscaffold1	7317889	7748934	-0.123086	-0.048663	-0.031185	-0.079629
Superscaffold1	7749037	8364190	-0.221102	-0.102836	-0.058639	-0.117354
Superscaffold1	8364200	8646302	-0.074467	-0.044096	-0.022350	-0.042691
Superscaffold1	8646312	9706365	0.006092	0.001983	0.001328	0.006129
Superscaffold1	9708043	10622336	-0.026417	-0.010642	-0.006870	-0.014259
Superscaffold1	10622346	10899057	-0.047629	-0.019622	-0.012564	-0.025566
Superscaffold1	10899071	11240730	-0.123903	-0.049464	-0.030990	-0.087648
Superscaffold1	11241051	11573750	-0.459403	-0.225791	-0.138594	-0.348341
Superscaffold1	11573820	11966315	0.032483	0.010574	0.006799	0.019884
Superscaffold1	11966427	12243208	-0.091683	-0.048159	-0.028044	-0.045537
Superscaffold1	12243396	12495553	0.079163	0.049585	0.027863	0.044617
Superscaffold1	12495600	12832844	-0.246334	-0.089271	-0.054405	-0.172954
Superscaffold1	12832942	13096711	0.070047	0.030907	0.017078	0.050726
Superscaffold1	13096728	13808028	-0.175461	-0.030941	-0.021290	-0.125233
Superscaffold1	13808037	14410970	-0.012359	-0.003157	-0.001924	-0.005683
Superscaffold1	14410981	14832545	0.166962	0.045998	0.029864	0.113138
Superscaffold1	14832584	15135199	-0.143387	-0.051708	-0.033683	-0.094067
Superscaffold1	15135327	15551811	-0.134036	-0.028753	-0.020040	-0.091708
Superscaffold1	15552905	15904455	-0.291340	-0.086542	-0.053660	-0.213552
Superscaffold1	15904556	16217152	-0.043646	-0.016796	-0.009495	-0.027378
Superscaffold1	16217192	16619811	-0.136711	-0.042303	-0.026611	-0.085339
Superscaffold1	16619838	16903083	-0.003433	-0.001312	-0.000766	0.000522
Superscaffold1	16903354	17304484	-0.090223	-0.046036	-0.025913	-0.054584
Superscaffold1	17304491	17855869	-0.034586	-0.010262	-0.006324	-0.026015
Superscaffold1	17855895	18323218	-0.319657	-0.297927	-0.116734	-0.155643
Superscaffold1	18323219	18711738	-0.017894	-0.004802	-0.003131	-0.012346
Superscaffold1	18711885	19084506	-0.045265	-0.018889	-0.011538	-0.025470
Superscaffold1	19084542	19238704	-0.171384	-0.112397	-0.065820	-0.096593
Superscaffold1	19238715	19633776	-0.362280	-0.206149	-0.136980	-0.258200
Superscaffold1	19633783	19922420	-0.225194	-0.090454	-0.057048	-0.160428
Superscaffold1	19922436	20304222	0.018154	0.005638	0.003522	0.011327
Superscaffold1	20305184	20946419	-0.073738	-0.025191	-0.013930	-0.045794
Superscaffold1	20946428	21306260	-0.018678	-0.006097	-0.003765	-0.011514
Superscaffold1	21306317	21639201	-0.259607	-0.114792	-0.060863	-0.175061
Superscaffold1	21639250	21995796	-0.057551	-0.033873	-0.018422	-0.034259
Superscaffold1	21995948	22464963	-0.146058	-0.031459	-0.021430	-0.108404
Superscaffold1	22465045	23100539	-0.239266	-0.043538	-0.028420	-0.172074
