chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	577057	824265	0.243076	0.145688	0.096313	0.142096
Superscaffold1	824278	1240372	0.296246	0.135448	0.088869	0.148766
Superscaffold1	1241238	1639930	-0.056631	-0.016708	-0.011748	-0.031706
Superscaffold1	1639986	2185068	0.059775	0.018167	0.009798	0.039746
Superscaffold1	2185181	2432074	0.019039	0.008996	0.005968	0.009540
Superscaffold1	2432158	2609566	0.074515	0.063403	0.037393	0.047448
Superscaffold1	2609606	2802528	0.019751	0.015277	0.009023	0.011999
Superscaffold1	2802530	3044815	-0.272212	-0.202380	-0.110160	-0.180062
Superscaffold1	3044834	3286468	0.242544	0.177268	0.095532	0.130334
Superscaffold1	3287286	3677272	0.029849	0.010543	0.006779	0.022459
Superscaffold1	3677283	4046665	0.007861	0.003826	0.002118	0.004898
Superscaffold1	4046673	4396931	0.210712	0.118663	0.070818	0.158688
Superscaffold1	4397194	4650860	0.308153	0.194852	0.107135	0.196174
Superscaffold1	4650889	4989388	-0.080298	-0.037890	-0.024631	-0.051763
Superscaffold1	4989456	5544449	-0.076257	-0.020777	-0.014333	-0.059426
Superscaffold1	5544455	5898977	0.167374	0.057147	0.039458	0.108697
Superscaffold1	5899819	6318387	0.082406	0.032542	0.020313	0.048083
Superscaffold1	6318417	6703053	0.155877	0.065774	0.045205	0.105586
Superscaffold1	6703082	7230317	-0.007771	-0.002375	-0.001508	-0.001997
Superscaffold1	7230323	7585546	0.166413	0.080889	0.047841	0.110910
Superscaffold1	7585568	8506185	0.093440	0.020288	0.014093	0.059419
Superscaffold1	8506246	9600203	0.136706	0.046539	0.031057	0.079857
Superscaffold1	9600292	10615432	0.115571	0.040878	0.028355	0.071208
Superscaffold1	10615447	10882528	0.025292	0.010921	0.006835	0.018617
Superscaffold1	10882555	11330699	-0.145066	-0.047849	-0.031487	-0.101830
Superscaffold1	11330706	11614860	-0.445675	-0.205273	-0.125278	-0.339865
Superscaffold1	11616063	12078639	-0.066160	-0.021877	-0.014977	-0.047175
Superscaffold1	12078959	12367628	-0.211824	-0.129097	-0.073185	-0.144667
Superscaffold1	12367631	12717359	0.148583	0.069598	0.042574	0.095038
Superscaffold1	12717426	13156490	0.006642	0.002227	0.001284	0.006365
Superscaffold1	13156522	13885773	-0.052832	-0.012859	-0.008101	-0.041510
Superscaffold1	13886198	14534467	0.020442	0.005775	0.003722	0.013685
Superscaffold1	14535154	14893568	0.217319	0.087810	0.054254	0.163017
Superscaffold1	14893603	15352779	-0.118530	-0.029452	-0.021002	-0.101260
Superscaffold1	15352835	15776554	-0.286333	-0.082504	-0.053602	-0.216643
Superscaffold1	15776642	16169739	-0.016010	-0.005103	-0.003174	-0.002982
