chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	214213	402552	-0.018909	-0.013040	-0.008679	-0.009565
Chr01	269514	502102	-0.154261	-0.078058	-0.052258	-0.091212
Chr01	402558	618868	0.178170	0.087236	0.054467	0.121261
Chr01	502131	775240	0.282904	0.139143	0.083947	0.179641
Chr01	618909	937748	-0.262300	-0.104056	-0.066332	-0.144823
Chr01	776829	1097717	-0.207671	-0.053096	-0.036884	-0.134238
Chr01	937750	1256012	0.086370	0.017057	0.012417	0.056562
Chr01	1097736	1411687	-0.041320	-0.008704	-0.006305	-0.034318
Chr01	1256032	1520559	-0.007670	-0.002275	-0.001590	-0.006862
Chr01	1411689	1637802	-0.108523	-0.048555	-0.030573	-0.083141
Chr01	1520620	1739324	-0.337893	-0.165704	-0.095489	-0.251219
Chr01	1637919	1907849	-0.419884	-0.194173	-0.099839	-0.327858
Chr01	1739568	2094623	-0.340658	-0.132736	-0.073892	-0.262598
Chr01	1907859	2225523	-0.188003	-0.066978	-0.043830	-0.135725
Chr01	2094737	2297192	-0.167274	-0.073392	-0.048402	-0.107234
Chr01	2225555	2445301	-0.076097	-0.045940	-0.029142	-0.043292
Chr01	2297464	2542990	0.084730	0.054898	0.035259	0.048322
Chr01	2445302	2659035	0.205867	0.147370	0.088529	0.123686
Chr01	2543046	2716292	-0.041692	-0.035685	-0.017086	-0.020933
Chr01	2659097	2777068	-0.296794	-0.292531	-0.125625	-0.183618
Chr01	2716312	2885352	-0.355055	-0.300656	-0.150476	-0.225221
Chr01	2777091	2979506	-0.212953	-0.161891	-0.091054	-0.143152
Chr01	2885386	3140297	-0.072711	-0.035705	-0.022959	-0.048666
Chr01	2979509	3300020	-0.084131	-0.028481	-0.018837	-0.052244
Chr01	3140308	3449377	-0.076827	-0.026947	-0.016991	-0.048925
Chr01	3300075	3613641	0.078267	0.028792	0.019160	0.055948
Chr01	3449394	3838101	-0.036502	-0.012840	-0.008415	-0.034773
Chr01	3613664	4001095	-0.302541	-0.129648	-0.073166	-0.226621
Chr01	3838284	4120220	-0.166030	-0.074688	-0.043469	-0.112930
Chr01	4001131	4282370	-0.284796	-0.099891	-0.063343	-0.198223
Chr01	4120329	4413821	-0.429220	-0.197674	-0.120361	-0.296708
Chr01	4282494	4496978	-0.190475	-0.132300	-0.085323	-0.105134
Chr01	4413832	4682093	-0.098914	-0.039177	-0.026776	-0.059570
Chr01	4497008	4861780	-0.352224	-0.119228	-0.076437	-0.263930
Chr01	4682109	5103864	-0.482912	-0.124255	-0.084158	-0.340335
Chr01	4861792	5421428	-0.302193	-0.069374	-0.048147	-0.200631
Chr01	5103867	5583127	-0.016057	-0.005843	-0.003959	-0.011463
Chr01	5421453	5780365	0.091293	0.035159	0.023987	0.065527
Chr01	5583149	5938571	-0.085998	-0.032466	-0.020914	-0.057272
Chr01	5780419	6104448	0.000693	0.000266	0.000173	-0.001769
Chr01	5938772	6272720	0.148017	0.044489	0.032209	0.107843
Chr01	6104530	6540470	-0.145020	-0.044838	-0.032259	-0.109132
Chr01	6272736	6922136	-0.280069	-0.068965	-0.048516	-0.199522
Chr01	6540498	7175162	-0.084310	-0.016949	-0.013230	-0.062619
Chr01	6922308	7344918	-0.177791	-0.049302	-0.037145	-0.128568
Chr01	7175180	7487205	-0.362684	-0.149723	-0.094966	-0.251592
Chr01	7344992	7684538	-0.355343	-0.095709	-0.066913	-0.224339
Chr01	7487206	7854905	-0.514171	-0.140533	-0.096113	-0.330545
Chr01	7684795	7995101	-0.460463	-0.181310	-0.112144	-0.334471
Chr01	7854935	8174695	-0.244617	-0.078228	-0.050316	-0.170975
Chr01	7995194	8381199	-0.263655	-0.059237	-0.042610	-0.192020
Chr01	8174738	8509112	-0.435583	-0.122939	-0.084196	-0.320279
Chr01	8381762	8644199	-0.357367	-0.162515	-0.090998	-0.236960
Chr01	8509133	8791130	-0.081875	-0.037345	-0.021381	-0.042496
Chr01	8644228	8950762	-0.053187	-0.026884	-0.016189	-0.012770
Chr01	8792350	9318543	-0.211738	-0.066182	-0.044531	-0.107230
Chr01	8950764	9476977	-0.379734	-0.112413	-0.073208	-0.273294
Chr01	9318680	9653785	-0.338935	-0.147202	-0.088092	-0.263319
Chr01	9477066	9833729	0.051658	0.024797	0.015880	0.032763
Chr01	9653823	9920557	0.179045	0.076921	0.052091	0.115566
Chr01	9833733	10054190	-0.041860	-0.015838	-0.011114	-0.026607
Chr01	9920568	10207365	-0.151120	-0.063818	-0.039848	-0.100702
Chr01	10054195	10410580	-0.039466	-0.015668	-0.009853	-0.035495
Chr01	10207380	10916214	-0.144706	-0.051618	-0.033541	-0.109548
Chr01	10410650	11043803	-0.642384	-0.391999	-0.211320	-0.541879
Chr01	10916244	11236150	-0.637067	-0.390518	-0.208178	-0.514066
Chr01	11043864	11397524	-0.068913	-0.025874	-0.016891	-0.046531
Chr01	11236171	11565454	0.064002	0.020639	0.014936	0.052411
Chr01	11397608	11698325	0.011049	0.003888	0.002679	0.010476
Chr01	11565767	11801832	0.153009	0.067100	0.042698	0.099729
Chr01	11698426	12066981	0.199335	0.091060	0.060241	0.119508
Chr01	11801943	12182531	0.130227	0.058927	0.038895	0.077076
Chr01	12066991	12306588	-0.343243	-0.207246	-0.105137	-0.283197
Chr01	12182567	12436148	-0.279537	-0.146405	-0.077922	-0.226725
Chr01	12306614	12574749	0.068570	0.029985	0.015620	0.062498
Chr01	12436234	12815647	-0.384652	-0.148296	-0.076389	-0.318467
Chr01	12574836	13103657	-0.660819	-0.153352	-0.098413	-0.581389
Chr01	12815831	13318935	-0.447370	-0.094008	-0.062684	-0.376313
Chr01	13104633	13610436	-0.173154	-0.042513	-0.027872	-0.129908
Chr01	13318944	13840019	-0.195580	-0.048737	-0.031516	-0.154296
