chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	542665	694471	0.078391	0.074720	0.045379	0.046550
Superscaffold1	694717	849922	-0.109147	-0.071209	-0.039835	-0.064248
Superscaffold1	849967	1149981	-0.097371	-0.064206	-0.033112	-0.048594
Superscaffold1	1149989	1364594	-0.130485	-0.068468	-0.039093	-0.070537
Superscaffold1	1364624	1548280	-0.220767	-0.083029	-0.049710	-0.130500
Superscaffold1	1548298	1880680	-0.153137	-0.083227	-0.047421	-0.104065
Superscaffold1	1880716	2120163	-0.014682	-0.006658	-0.003280	-0.009478
Superscaffold1	2120168	2324590	0.168266	0.093590	0.058847	0.118744
Superscaffold1	2324599	2514325	-0.053988	-0.047569	-0.027186	-0.034833
Superscaffold1	2514335	2702874	0.023416	0.018125	0.010532	0.013485
Superscaffold1	2702923	2824483	0.022588	0.027159	0.013085	0.014110
Superscaffold1	2824603	3024577	-0.077251	-0.089878	-0.039014	-0.043723
Superscaffold1	3024721	3240505	0.135865	0.090771	0.052218	0.072783
Superscaffold1	3240633	3520779	0.173856	0.069453	0.043269	0.089732
Superscaffold1	3520791	3927027	-0.089909	-0.029766	-0.018242	-0.048053
Superscaffold1	3927453	4257306	-0.198213	-0.091325	-0.052796	-0.115967
Superscaffold1	4257314	4608974	-0.271968	-0.122793	-0.074722	-0.175435
Superscaffold1	4609016	4916552	-0.173196	-0.080761	-0.053752	-0.102653
Superscaffold1	4917322	5313547	0.003497	0.001227	0.000815	0.003534
Superscaffold1	5313645	5685214	-0.080811	-0.021419	-0.015292	-0.047603
Superscaffold1	5685236	6009147	0.205395	0.071982	0.049675	0.120443
Superscaffold1	6009213	6404297	0.059775	0.016370	0.011472	0.045693
Superscaffold1	6404330	6765264	-0.116705	-0.044434	-0.030105	-0.070418
Superscaffold1	6765276	7212918	-0.388404	-0.135046	-0.084562	-0.239043
Superscaffold1	7212961	7534614	-0.190939	-0.078281	-0.049024	-0.135902
Superscaffold1	7534663	7951708	-0.186809	-0.079354	-0.049362	-0.115071
Superscaffold1	7952052	8529080	-0.152627	-0.072058	-0.040274	-0.092955
Superscaffold1	8529349	9328430	0.015357	0.006131	0.003962	0.007884
Superscaffold1	9328466	10254595	0.077017	0.026627	0.018159	0.049618
Superscaffold1	10254681	10763440	-0.022731	-0.009176	-0.006222	-0.014855
Superscaffold1	10765074	11059918	-0.047098	-0.020213	-0.012202	-0.027786
Superscaffold1	11059973	11403454	-0.111581	-0.041782	-0.028335	-0.082016
Superscaffold1	11403464	11739350	-0.463170	-0.183795	-0.110437	-0.345434
Superscaffold1	11739573	12102697	0.051962	0.021378	0.014138	0.036912
Superscaffold1	12102700	12342854	0.030296	0.014381	0.008172	0.017647
Superscaffold1	12343043	12588996	0.079352	0.047517	0.030280	0.039907
Superscaffold1	12589064	12900865	-0.140820	-0.052683	-0.031397	-0.099026
Superscaffold1	12900878	13359614	0.065423	0.018322	0.011559	0.048903
Superscaffold1	13360044	13990085	0.042644	0.007206	0.004717	0.030709
Superscaffold1	13990654	14583348	-0.053126	-0.013300	-0.008851	-0.035860
Superscaffold1	14583577	14901341	0.202986	0.071452	0.046078	0.124909
Superscaffold1	14901355	15306936	-0.077796	-0.015793	-0.011801	-0.061224
Superscaffold1	15306976	15628072	-0.232862	-0.061615	-0.040741	-0.156151
Superscaffold1	15628101	15976786	-0.232019	-0.069894	-0.043867	-0.164484
Superscaffold1	15976787	16332027	-0.103781	-0.030802	-0.019316	-0.072696
Superscaffold1	16332099	16682899	-0.070775	-0.023579	-0.015285	-0.037925
Superscaffold1	16683938	16982326	0.119386	0.051247	0.028467	0.056942
Superscaffold1	16982950	17368860	-0.059564	-0.022638	-0.014241	-0.036369
Superscaffold1	17368866	18059761	-0.008315	-0.002463	-0.001527	-0.010665
Superscaffold1	18059818	18354777	-0.412039	-0.588062	-0.180856	-0.232260
Superscaffold1	18354794	18814985	0.001375	0.000286	0.000200	0.000892
Superscaffold1	18814986	19101787	-0.060268	-0.029425	-0.018104	-0.033540
Superscaffold1	19102391	19278764	-0.293629	-0.152100	-0.095555	-0.176646
Superscaffold1	19278779	19665564	-0.473930	-0.281667	-0.179442	-0.336369
Superscaffold1	19665598	19983221	-0.129105	-0.043929	-0.028047	-0.084072
Superscaffold1	19983321	20339568	0.090990	0.028928	0.018884	0.053934
Superscaffold1	20339604	21068458	-0.030649	-0.009038	-0.005190	-0.019449
Superscaffold1	21068481	21385146	-0.202555	-0.074718	-0.046275	-0.151391
Superscaffold1	21385176	21752084	0.007952	0.002894	0.001667	0.009505
Superscaffold1	21752105	22141573	-0.078214	-0.023500	-0.015523	-0.046922
Superscaffold1	22141586	22709319	0.081674	0.016645	0.011182	0.058775
Superscaffold1	22709365	23246115	-0.085994	-0.017508	-0.011076	-0.071593
Superscaffold1	23246139	23655205	-0.143343	-0.037722	-0.023206	-0.109366
Superscaffold1	23655248	23999898	-0.317041	-0.122896	-0.074126	-0.220613
Superscaffold1	23999949	24405271	-0.076818	-0.021466	-0.014704	-0.036286
Superscaffold1	24405394	24680097	-0.067309	-0.026299	-0.016217	-0.049935
Superscaffold1	24680162	25034629	-0.022932	-0.009412	-0.005590	-0.012695
Superscaffold1	25034769	25446356	-0.108134	-0.031718	-0.019067	-0.070702
Superscaffold1	25446423	25818008	0.077472	0.019924	0.014201	0.049230
Superscaffold1	25818058	26152329	-0.309947	-0.137619	-0.088224	-0.196649
Superscaffold1	26152395	26419549	-0.094206	-0.030154	-0.019481	-0.058558
Superscaffold1	26419560	26942235	0.269134	0.051069	0.036310	0.183854
Superscaffold1	26942254	27413862	-0.128669	-0.026227	-0.015626	-0.076122
Superscaffold1	27413935	27804740	0.062124	0.022457	0.014142	0.035058
Superscaffold1	27804796	27977146	-0.337513	-0.299852	-0.127811	-0.164649
Superscaffold1	27977325	28217149	-0.041129	-0.018654	-0.011178	-0.023327
Superscaffold1	28217181	28681854	0.004615	0.001338	0.000954	0.001134
Superscaffold1	28681906	29005583	-0.257932	-0.101609	-0.066496	-0.170818
Superscaffold1	29005639	29373611	-0.220805	-0.059722	-0.040032	-0.154276
Superscaffold1	29373612	29749411	-0.119874	-0.044279	-0.026954	-0.086909
Superscaffold1	29749459	30034338	-0.602396	-0.314981	-0.175274	-0.468334
Superscaffold1	30034969	30729071	0.015817	0.004554	0.003003	0.008281
Superscaffold1	30729196	31166484	0.068449	0.015666	0.011265	0.050172
Superscaffold1	31166493	31721156	-0.093718	-0.016503	-0.011664	-0.063958
Superscaffold1	31721195	32321495	0.229316	0.078926	0.047246	0.119365
Superscaffold1	32321608	32668592	0.141969	0.046642	0.029144	0.097834
Superscaffold1	32668691	33064797	-0.140109	-0.039926	-0.026443	-0.085510
Superscaffold1	33064799	33448782	0.087328	0.036959	0.022450	0.055978
Superscaffold1	33448879	33606256	0.079840	0.043633	0.027645	0.041213
Superscaffold1	33606282	33873107	0.000013	0.000008	0.000005	0.001795
Superscaffold1	33873157	34094096	-0.287000	-0.105691	-0.067889	-0.170946
Superscaffold1	34094105	34336508	-0.059085	-0.017068	-0.011377	-0.037995
Superscaffold1	34336549	34753460	-0.033259	-0.008933	-0.005938	-0.028966
Superscaffold1	34753567	35303438	-0.120250	-0.021732	-0.015827	-0.072527
Superscaffold1	35303443	36075426	0.058121	0.023420	0.014711	0.032566
Superscaffold1	36075446	36992619	0.099294	0.018385	0.013058	0.060817
Superscaffold1	36993022	37275518	-0.287320	-0.101642	-0.066916	-0.189960
Superscaffold1	37275545	37536770	-0.128905	-0.050590	-0.031471	-0.091977
Superscaffold1	37536943	38061406	0.034459	0.012041	0.007693	0.018707
Superscaffold1	38061417	38435461	0.069801	0.023886	0.015403	0.052098
Superscaffold1	38435493	38845043	0.077438	0.016593	0.012154	0.051987
Superscaffold1	38845598	39065993	-0.077222	-0.028074	-0.018302	-0.054217
Superscaffold1	39066107	39392623	-0.246603	-0.068719	-0.042527	-0.183018
Superscaffold1	39392740	39855905	-0.306221	-0.071068	-0.051201	-0.230924
Superscaffold1	39855991	40143594	0.106302	0.031989	0.022136	0.084916
Superscaffold1	40143614	40632128	0.102223	0.020901	0.014196	0.065182
Superscaffold1	40632154	41150248	0.238497	0.048349	0.032247	0.147927
Superscaffold1	41150297	41681480	-0.036660	-0.007914	-0.004954	-0.020672
Superscaffold1	41681483	42229181	-0.031795	-0.003693	-0.002741	-0.027392
Superscaffold1	42229933	42846543	0.192807	0.019739	0.015163	0.142167
Superscaffold1	42851631	43536925	0.089370	0.012334	0.008011	0.065984
Superscaffold1	43537773	43955197	0.214634	0.045006	0.030183	0.178858
Superscaffold1	43955203	44717727	-0.402876	-0.072860	-0.043363	-0.350545
Superscaffold1	44717757	45296398	0.038854	0.003298	0.002614	0.031907
Superscaffold1	45296508	45915653	0.027296	0.004302	0.002975	0.018856
Superscaffold1	45915670	46954047	0.165764	0.015688	0.011271	0.109895
Superscaffold1	46954512	47854456	0.087153	0.006541	0.005199	0.057906
Superscaffold1	47854460	48379026	0.209848	0.029338	0.022338	0.160333
Superscaffold1	48379055	48759094	0.606500	0.159584	0.094555	0.503479
Superscaffold1	48759142	49377508	-0.039138	-0.004322	-0.003229	-0.018980
Superscaffold1	49377554	49849854	-0.175430	-0.025217	-0.017063	-0.087834
Superscaffold1	49849924	50118722	-0.725419	-0.393349	-0.196684	-0.596942
Superscaffold1	50118735	50513500	0.108734	0.025692	0.018487	0.072465
Superscaffold1	50513501	51031336	0.097616	0.026468	0.020427	0.060166
Superscaffold1	51031494	51742953	0.182056	0.091865	0.054889	0.090113
Superscaffold2	411632	704970	0.017221	0.006398	0.003958	0.007463
Superscaffold2	705230	1103125	0.192119	0.047882	0.035148	0.110946
Superscaffold2	1103168	1482788	0.024432	0.006150	0.004429	0.012521
Superscaffold2	1482876	1951213	-0.008158	-0.001525	-0.001117	-0.004407
Superscaffold2	1951309	2294345	-0.057154	-0.026689	-0.015884	-0.036094
Superscaffold2	2294370	2733995	0.258279	0.112694	0.065624	0.166374
Superscaffold2	2734004	3443116	0.018694	0.009426	0.005900	0.007820
Superscaffold2	3443140	3691093	-0.237045	-0.162102	-0.082528	-0.166419
Superscaffold2	3691181	4129373	-0.074508	-0.029176	-0.015693	-0.046489
Superscaffold2	4129399	4516616	-0.106025	-0.032747	-0.019612	-0.069777
Superscaffold2	4516861	4867965	-0.233144	-0.075968	-0.047967	-0.171895
Superscaffold2	4868014	5265052	-0.125399	-0.049704	-0.030933	-0.081272
Superscaffold2	5265092	5706170	0.046027	0.015867	0.010592	0.032098
Superscaffold2	5706192	6123281	0.245344	0.111063	0.059666	0.191623
Superscaffold2	6123389	6459813	0.178565	0.053011	0.033232	0.110706
Superscaffold2	6460083	7136094	-0.139309	-0.028331	-0.018687	-0.110653
Superscaffold2	7136217	7754854	-0.123632	-0.022292	-0.014927	-0.077971
Superscaffold2	7755072	8312873	0.046197	0.010235	0.006921	0.028374
Superscaffold2	8313001	9092249	-0.013093	-0.002076	-0.001505	-0.009049
Superscaffold2	9093067	9695282	-0.139891	-0.031867	-0.021515	-0.101344
Superscaffold2	9695310	10099669	0.048491	0.011494	0.007463	0.035716
Superscaffold2	10099694	10584508	0.132170	0.037384	0.024364	0.080568
Superscaffold2	10584515	10988369	-0.098541	-0.023972	-0.015911	-0.061845
Superscaffold2	10988493	11528480	-0.201929	-0.038053	-0.026555	-0.146966
Superscaffold2	11528841	12342131	0.060492	0.016895	0.010242	0.038314
Superscaffold2	12342193	12965332	-0.071114	-0.031317	-0.017624	-0.052540
Superscaffold2	12965483	13439979	-0.164570	-0.042917	-0.028214	-0.114229
Superscaffold2	13441697	13874862	-0.184900	-0.057126	-0.034883	-0.138343
Superscaffold2	13874957	14279483	0.151635	0.045707	0.029314	0.115507
Superscaffold2	14279565	14802383	0.076587	0.016147	0.010954	0.041603
Superscaffold2	14802406	15152291	0.030118	0.010754	0.006652	0.020452
Superscaffold2	15152312	16311456	0.100923	0.029068	0.018066	0.055462
Superscaffold2	16311509	16697855	0.147573	0.050817	0.032585	0.077879
Superscaffold2	16697893	17136609	-0.046319	-0.010059	-0.006724	-0.023585
Superscaffold2	17136611	17809712	-0.168423	-0.034120	-0.022866	-0.126421
