chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	124313	151207	-0.312969	-0.122982	-0.076790	-0.204501
Chr01	151210	166363	-0.449886	-0.263580	-0.153253	-0.251796
Chr01	166501	185202	-0.232196	-0.130821	-0.093254	-0.107264
Chr01	185214	196841	-0.161226	-0.122551	-0.080527	-0.075917
Chr01	196851	209377	-0.189059	-0.102838	-0.064295	-0.140613
Chr01	209382	216563	-0.136056	-0.066106	-0.049057	-0.106567
Chr01	216714	221641	-0.133371	-0.081756	-0.055956	-0.103201
Chr01	221854	237465	-0.573321	-0.233213	-0.143907	-0.436918
Chr01	237526	249528	-0.440093	-0.262017	-0.159184	-0.330272
Chr01	249553	257045	-0.302000	-0.150747	-0.105967	-0.266373
Chr01	257409	268619	-0.212961	-0.070878	-0.051304	-0.154114
Chr01	268876	279580	0.038220	0.016960	0.010363	0.042479
Chr01	279710	308223	-0.038203	-0.023818	-0.014195	-0.026955
Chr01	308230	320010	-0.160726	-0.101420	-0.067449	-0.102966
Chr01	320066	332557	-0.204063	-0.131010	-0.072310	-0.116626
Chr01	332578	350740	-0.334900	-0.120841	-0.076860	-0.203985
Chr01	350901	384020	0.061506	0.031719	0.019299	0.039712
Chr01	384130	403339	-0.445024	-0.214221	-0.135014	-0.316642
Chr01	403350	421970	0.445673	0.185962	0.133500	0.332820
Chr01	422013	433512	0.446427	0.217234	0.154093	0.259401
Chr01	433513	448438	-0.058793	-0.021668	-0.014156	-0.019434
Chr01	448440	465862	-0.246114	-0.122553	-0.087806	-0.163992
Chr01	465890	480327	-0.234870	-0.123606	-0.089971	-0.171256
Chr01	480335	500681	0.041760	0.015930	0.009624	0.021483
Chr01	500809	517296	-0.297928	-0.185082	-0.076971	-0.110313
Chr01	517835	529384	-0.560361	-0.591623	-0.344739	-0.553056
Chr01	529573	556379	-0.457256	-0.275338	-0.151411	-0.359794
Chr01	556501	575064	0.035056	0.009904	0.007633	0.003294
Chr01	575227	596819	-0.281519	-0.117804	-0.084286	-0.256896
Chr01	596898	617777	0.038309	0.014176	0.010779	0.005302
Chr01	617796	630464	-0.486740	-0.497186	-0.253906	-0.395683
Chr01	630499	639624	-0.192927	-0.172335	-0.111417	-0.177106
Chr01	639667	654717	-0.427908	-0.379692	-0.208863	-0.399626
Chr01	654844	660013	-0.052727	-0.030280	-0.021486	-0.039516
Chr01	660099	670489	0.225061	0.095682	0.080862	0.176543
Chr01	670639	702521	-0.138941	-0.100003	-0.046916	-0.091980
Chr01	702659	773341	-0.377666	-0.142655	-0.086099	-0.231746
Chr01	773344	825546	-0.372444	-0.197254	-0.119680	-0.256163
Chr01	826219	846145	-0.378178	-0.204646	-0.094232	-0.229967
Chr01	846220	862123	-0.534725	-0.318042	-0.113768	-0.388296
Chr01	862165	880547	-0.318930	-0.194493	-0.089485	-0.217373
Chr01	880564	904183	-0.430280	-0.178199	-0.110891	-0.283776
Chr01	904900	936937	-0.402418	-0.127855	-0.080771	-0.311170
Chr01	937055	969113	0.177584	0.035496	0.022504	0.069021
Chr01	969291	996132	0.076663	0.019786	0.013075	0.081534
Chr01	996177	1021457	-0.288480	-0.070521	-0.046166	-0.237464
Chr01	1021641	1034368	0.373132	0.100555	0.078881	0.332566
Chr01	1035123	1052612	0.234241	0.068669	0.036960	0.168591
Chr01	1052622	1075989	-0.626807	-0.251502	-0.139776	-0.537296
Chr01	1076040	1081690	-0.547000	-0.703052	-0.255439	-0.295627
Chr01	1081763	1101033	-0.163843	-0.079382	-0.042291	-0.146827
Chr01	1101165	1113814	-0.742013	-0.739269	-0.321988	-0.687393
Chr01	1113892	1135316	-0.507584	-0.534117	-0.231724	-0.449598
Chr01	1135382	1150300	-0.215937	-0.054877	-0.040616	-0.171889
Chr01	1150414	1163104	-0.513485	-0.132954	-0.099144	-0.469418
Chr01	1163164	1170329	-0.450542	-0.195500	-0.138965	-0.337209
Chr01	1170337	1180472	-0.251698	-0.095060	-0.068188	-0.195016
Chr01	1180615	1187519	-0.279044	-0.213135	-0.098959	-0.222947
Chr01	1187629	1204257	-0.280853	-0.142229	-0.069001	-0.241697
Chr01	1204323	1216910	-0.435934	-0.121369	-0.062670	-0.417528
Chr01	1217431	1284277	0.066736	0.017698	0.010180	0.026678
Chr01	1284475	1299928	-0.712583	-0.484200	-0.216358	-0.445460
Chr01	1300034	1316934	-0.507711	-0.410328	-0.176026	-0.486223
Chr01	1316973	1329362	-0.733590	-0.928268	-0.359640	-0.645855
Chr01	1329888	1370583	-0.178663	-0.084783	-0.043182	-0.134966
Chr01	1370584	1397083	-0.553636	-0.200584	-0.109036	-0.473664
Chr01	1397718	1412088	0.203145	0.066930	0.047349	0.112322
Chr01	1413000	1438938	-0.292828	-0.234014	-0.098418	-0.217315
Chr01	1445264	1453513	0.048661	0.032101	0.016366	0.045345
Chr01	1453571	1459255	-0.530708	-0.450423	-0.212037	-0.476642
Chr01	1459279	1465561	-0.339118	-0.297545	-0.132245	-0.306643
Chr01	1465594	1473007	-0.375508	-0.302756	-0.161585	-0.359743
Chr01	1473008	1481162	0.015519	0.010022	0.005796	0.011200
Chr01	1481171	1495761	0.136637	0.061133	0.039866	0.126293
Chr01	1495764	1509003	-0.286578	-0.160892	-0.100294	-0.271875
Chr01	1509073	1519082	-0.101493	-0.043702	-0.028076	-0.105396
Chr01	1519133	1535666	-0.106581	-0.035711	-0.025754	-0.082628
Chr01	1535680	1541114	-0.278443	-0.234284	-0.140859	-0.183105
Chr01	1541124	1555863	0.188109	0.062726	0.043687	0.171139
Chr01	1556128	1569971	-0.546846	-0.189772	-0.102002	-0.454979
Chr01	1569978	1576635	-0.451064	-0.218306	-0.105048	-0.350298
Chr01	1576952	1593071	0.686879	0.397167	0.186965	0.628069
Chr01	1593562	1627657	0.517523	0.156376	0.083861	0.460140
Chr01	1627722	1635098	-0.491667	-0.364977	-0.169827	-0.437987
Chr01	1635132	1645685	-0.503145	-0.340249	-0.159240	-0.449315
Chr01	1645773	1659605	-0.403275	-0.223818	-0.110775	-0.373576
Chr01	1659615	1671933	0.625077	0.252501	0.178174	0.517906
Chr01	1672095	1685589	0.176025	0.054391	0.036242	0.118015
Chr01	1685717	1689188	-0.237583	-0.289240	-0.140566	-0.153431
Chr01	1689248	1693056	-0.215182	-0.222699	-0.101785	-0.100700
Chr01	1693089	1713501	0.061508	0.020435	0.009259	0.037113
Chr01	1713641	1743107	-0.538083	-0.206109	-0.093115	-0.470797
Chr01	1743163	1790773	-0.765579	-0.329703	-0.130949	-0.621311
Chr01	1790812	1807555	-0.289464	-0.132119	-0.055226	-0.249099
Chr01	1807563	1826175	0.094447	0.032152	0.015245	0.080542
Chr01	1826176	1849987	0.437785	0.214126	0.099874	0.393084
Chr01	1850083	1866360	-0.064237	-0.029610	-0.012069	-0.023965
Chr01	1866941	1880568	-0.711230	-0.630236	-0.193584	-0.604920
Chr01	1880647	1895797	-0.312290	-0.132909	-0.053099	-0.245073
Chr01	1895862	1906489	-0.699261	-0.466682	-0.152851	-0.654281
Chr01	1906811	1976058	-0.473052	-0.116355	-0.063034	-0.336798
Chr01	1976082	1995387	0.119041	0.035254	0.013709	0.069730
Chr01	1995398	2007561	0.134186	0.029170	0.016903	0.055429
Chr01	2007607	2023289	-0.213580	-0.118991	-0.046923	-0.145872
Chr01	2023353	2041255	-0.342199	-0.134124	-0.083521	-0.254766
Chr01	2041308	2053446	-0.145469	-0.064626	-0.039938	-0.112802
Chr01	2053488	2066961	0.114448	0.058040	0.033788	0.050469
Chr01	2066966	2086179	0.221717	0.059617	0.039809	0.140091
Chr01	2086272	2100002	0.316154	0.161669	0.094349	0.267451
Chr01	2100017	2119536	-0.227932	-0.085960	-0.038701	-0.186788
Chr01	2119668	2143579	-0.138703	-0.049982	-0.034655	-0.128501
Chr01	2143702	2172750	0.036758	0.013808	0.009243	0.023295
Chr01	2172902	2186685	0.672233	0.212026	0.161675	0.456144
Chr01	2186739	2204727	0.404446	0.116103	0.079674	0.226920
Chr01	2204737	2212987	0.106546	0.064519	0.039643	0.076789
Chr01	2213192	2224030	0.238705	0.179090	0.103302	0.185189
Chr01	2224043	2230709	0.219108	0.155483	0.082671	0.121534
Chr01	2230751	2243608	0.118912	0.052826	0.037099	0.070130
Chr01	2243861	2253422	0.006347	0.005444	0.002739	0.002148
Chr01	2253428	2259055	0.018053	0.032686	0.014725	0.015176
Chr01	2259067	2265231	0.152040	0.174165	0.109322	0.075311
Chr01	2265292	2272092	0.096364	0.063978	0.053233	0.060947
Chr01	2272153	2278006	0.031271	0.017263	0.013924	0.012482
Chr01	2278105	2308701	-0.050557	-0.014206	-0.009991	-0.038958
Chr01	2308803	2373073	0.120622	0.046995	0.025179	0.051169
Chr01	2373117	2393619	-0.214764	-0.107270	-0.059974	-0.114229
Chr01	2395365	2417260	0.056885	0.023377	0.016083	0.065312
Chr01	2417586	2433928	0.021246	0.009181	0.006276	0.013356
Chr01	2433959	2444582	0.076911	0.025817	0.018612	0.063264
Chr01	2444584	2466923	-0.009743	-0.004868	-0.003138	0.001154
Chr01	2466937	2475461	0.307523	0.141778	0.103477	0.231776
Chr01	2475495	2492283	0.295340	0.129627	0.092185	0.210682
Chr01	2492413	2496466	0.109981	0.126389	0.073064	0.087031
Chr01	2496482	2502382	0.025698	0.015904	0.011683	0.020665
Chr01	2502415	2511512	-0.205651	-0.151525	-0.094766	-0.148473
Chr01	2511594	2534682	-0.327775	-0.121757	-0.078564	-0.228382
Chr01	2534692	2563985	0.138113	0.050591	0.039660	0.097610
Chr01	2564029	2595366	-0.370750	-0.246587	-0.129948	-0.211138
Chr01	2595368	2601856	-0.493363	-0.365686	-0.199788	-0.213415
Chr01	2603362	2606020	-0.728943	-0.675060	-0.340009	-0.504701
