chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	153536	263514	-0.005189	-0.007460	-0.003088	0.000158
Chr01	219146	336476	-0.043189	-0.057257	-0.022416	-0.015214
Chr01	263517	439356	-0.058094	-0.063533	-0.027012	-0.019736
Chr01	336613	521148	0.011889	0.014264	0.004304	0.005380
Chr01	439576	628532	0.014170	0.017313	0.005856	0.010023
Chr01	521160	820023	-0.156738	-0.176164	-0.070318	-0.063467
Chr01	628655	935694	-0.185491	-0.209358	-0.064344	-0.055700
Chr01	820724	1057634	-0.034392	-0.029695	-0.010355	-0.007050
Chr01	935889	1178030	-0.017959	-0.011922	-0.005769	-0.007492
Chr01	1057681	1322202	-0.097307	-0.059617	-0.032307	-0.034237
Chr01	1178064	1453643	-0.208511	-0.148005	-0.076551	-0.064259
Chr01	1322250	1536160	-0.228405	-0.184423	-0.089458	-0.075212
Chr01	1453699	1627749	-0.042601	-0.028018	-0.015185	-0.012842
Chr01	1536168	1699471	0.131511	0.082561	0.047760	0.045988
Chr01	1628074	1950786	0.117832	0.043502	0.027841	0.046985
Chr01	1699484	2056392	0.151892	0.060124	0.036104	0.067004
Chr01	1950790	2156525	0.220285	0.179398	0.086630	0.084312
Chr01	2056726	2231060	0.289881	0.211465	0.120312	0.133529
Chr01	2156554	2284449	0.145845	0.146026	0.072796	0.072004
Chr01	2231081	2420580	0.184651	0.197063	0.095359	0.100049
Chr01	2284649	2474248	0.211949	0.208495	0.105858	0.121512
Chr01	2420615	2533851	0.014965	0.020439	0.008420	0.006453
Chr01	2474255	2619602	-0.049234	-0.069199	-0.028894	-0.021180
Chr01	2533905	2677475	-0.136768	-0.193054	-0.088686	-0.064442
Chr01	2619606	2718410	-0.150566	-0.192567	-0.092736	-0.068183
Chr01	2677499	2770338	-0.047888	-0.053552	-0.027709	-0.019513
Chr01	2718448	2829523	0.179518	0.177939	0.095910	0.086304
Chr01	2770383	2934031	0.185621	0.186409	0.087911	0.083551
Chr01	2829525	3003066	-0.025251	-0.027895	-0.012650	-0.009538
Chr01	2934036	3089134	-0.014452	-0.014102	-0.006387	-0.002908
Chr01	3003365	3178195	-0.017501	-0.016481	-0.007410	-0.003645
Chr01	3089225	3334208	-0.026828	-0.019122	-0.008926	-0.009326
Chr01	3178200	3471897	0.089227	0.056392	0.026286	0.033899
Chr01	3334469	3578174	-0.294603	-0.245843	-0.119617	-0.141519
Chr01	3471900	3703386	-0.356509	-0.247353	-0.140969	-0.171699
Chr01	3578209	3844037	0.000611	0.000363	0.000230	-0.001208
Chr01	3703681	3961075	0.016290	0.010605	0.006222	0.003996
Chr01	3844858	4052339	0.089161	0.066782	0.037190	0.028136
Chr01	3961087	4149971	0.177665	0.154925	0.070759	0.098208
Chr01	4052487	4257719	0.169283	0.112138	0.052168	0.070783
Chr01	4149983	4328763	0.153259	0.119243	0.058443	0.060140
Chr01	4257747	4420018	0.151574	0.155421	0.082601	0.062906
Chr01	4328764	4469712	0.059565	0.064234	0.036222	0.022557
Chr01	4420020	4524377	0.030628	0.040178	0.019018	0.013608
Chr01	4469791	4624153	0.055730	0.062176	0.028733	0.027249
Chr01	4524660	4715423	0.054356	0.051327	0.023347	0.022129
Chr01	4624166	4859794	0.121228	0.082573	0.046045	0.048929
Chr01	4715456	4945714	0.063500	0.049567	0.023340	0.030889
Chr01	4859866	5078225	0.064914	0.063360	0.025387	0.030064
Chr01	4946741	5191571	0.223695	0.169761	0.087774	0.095150
