chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	549503	723354	0.059475	0.040375	0.026025	0.030790
Superscaffold1	723621	902484	0.035062	0.015181	0.009838	0.021166
Superscaffold1	902500	1252342	-0.090639	-0.039371	-0.025223	-0.042838
Superscaffold1	1252344	1474042	0.109184	0.027713	0.019782	0.061384
Superscaffold1	1474043	1856840	-0.288232	-0.098281	-0.063296	-0.183927
Superscaffold1	1856858	2180377	-0.282335	-0.112173	-0.060079	-0.207434
Superscaffold1	2180392	2403414	-0.112480	-0.057886	-0.037318	-0.074747
Superscaffold1	2403509	2592016	-0.014054	-0.008601	-0.005530	-0.008762
Superscaffold1	2592040	2769348	0.015102	0.014447	0.007825	0.008452
Superscaffold1	2769402	2920870	-0.170527	-0.192662	-0.078221	-0.095627
Superscaffold1	2920921	3123234	-0.110979	-0.088458	-0.050013	-0.057981
Superscaffold1	3123278	3463147	0.000671	0.000245	0.000154	0.001753
Superscaffold1	3463495	3798542	-0.135504	-0.051823	-0.030074	-0.072726
Superscaffold1	3798623	4194232	-0.260149	-0.097460	-0.057355	-0.156424
Superscaffold1	4194314	4517139	-0.041675	-0.016921	-0.010807	-0.018823
Superscaffold1	4517202	4886828	-0.312505	-0.138649	-0.090969	-0.196386
Superscaffold1	4886906	5280072	-0.056170	-0.018987	-0.012536	-0.036979
Superscaffold1	5280488	5686509	-0.029595	-0.007396	-0.005458	-0.018117
Superscaffold1	5686514	6016809	0.115957	0.042696	0.028332	0.066506
Superscaffold1	6016824	6415576	0.110643	0.031611	0.021826	0.082271
Superscaffold1	6415722	6758024	-0.152869	-0.069649	-0.043692	-0.097424
Superscaffold1	6758304	7195212	-0.358575	-0.132843	-0.079910	-0.244493
Superscaffold1	7195241	7540945	-0.201178	-0.084626	-0.052451	-0.133901
Superscaffold1	7541013	7949069	-0.183097	-0.068526	-0.043391	-0.100312
Superscaffold1	7949255	8522230	-0.079600	-0.041626	-0.021830	-0.046928
Superscaffold1	8522381	9224823	-0.030860	-0.013622	-0.008398	-0.019085
Superscaffold1	9224983	10235483	0.009797	0.003536	0.002294	0.011484
Superscaffold1	10235663	10755965	-0.067956	-0.029368	-0.019188	-0.049305
Superscaffold1	10756051	11038462	-0.101554	-0.043373	-0.026358	-0.060831
Superscaffold1	11038463	11369979	-0.210440	-0.081402	-0.052454	-0.158040
Superscaffold1	11369981	11698410	-0.496285	-0.208486	-0.124153	-0.367098
Superscaffold1	11698948	12096046	0.033603	0.012288	0.008396	0.027215
Superscaffold1	12096049	12357841	-0.058102	-0.025403	-0.015313	-0.027146
Superscaffold1	12357857	12624584	0.059160	0.027548	0.017844	0.030763
Superscaffold1	12624618	12936427	-0.125349	-0.051531	-0.030346	-0.088107
Superscaffold1	12936521	13437603	-0.004566	-0.001124	-0.000721	-0.006957
Superscaffold1	13438153	14185726	0.054178	0.010200	0.006601	0.040265
Superscaffold1	14185938	14667825	-0.013476	-0.003157	-0.002113	-0.009723
Superscaffold1	14667908	14965607	0.132630	0.051351	0.032484	0.083647
Superscaffold1	14965616	15396815	-0.172198	-0.039997	-0.028068	-0.129683
Superscaffold1	15397064	15755801	-0.253288	-0.059922	-0.039421	-0.175557
Superscaffold1	15755849	16080632	-0.010437	-0.003282	-0.002075	-0.000325
Superscaffold1	16080665	16430273	-0.241296	-0.074527	-0.046826	-0.165648
Superscaffold1	16430274	16728697	-0.048107	-0.019621	-0.012089	-0.025959
Superscaffold1	16728745	17103313	0.011237	0.004158	0.002471	0.005114
Superscaffold1	17103703	17531933	-0.103557	-0.038537	-0.023619	-0.073721
Superscaffold1	17531988	18209599	-0.072829	-0.033701	-0.018134	-0.045663
Superscaffold1	18209609	18504496	0.008823	0.003232	0.001961	0.003255
Superscaffold1	18504546	18986152	-0.106111	-0.029579	-0.019302	-0.064137
Superscaffold1	18986194	19184126	-0.205433	-0.095969	-0.059930	-0.110353
Superscaffold1	19184190	19586408	-0.540892	-0.387846	-0.223994	-0.411024
Superscaffold1	19586423	19871536	-0.323606	-0.125244	-0.082559	-0.230060
Superscaffold1	19871588	20223587	-0.048503	-0.014870	-0.009309	-0.027508
Superscaffold1	20223601	20659417	-0.035593	-0.012094	-0.007208	-0.024590
Superscaffold1	20663669	21234643	-0.097942	-0.031457	-0.018056	-0.058608
Superscaffold1	21234657	21579258	-0.295414	-0.124759	-0.067180	-0.203315
Superscaffold1	21579346	21892406	0.036771	0.017632	0.010071	0.024816
