chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	568244	792503	0.013732	0.009787	0.006307	0.007460
Superscaffold1	792662	1109495	0.204925	0.147991	0.081472	0.115339
Superscaffold1	1109508	1453488	0.122300	0.036914	0.025199	0.079283
Superscaffold1	1453554	1901329	-0.133957	-0.058110	-0.034129	-0.090888
Superscaffold1	1901361	2242063	0.136643	0.042742	0.022768	0.084951
Superscaffold1	2242104	2448078	-0.039305	-0.024637	-0.014968	-0.023694
Superscaffold1	2448103	2612479	0.090450	0.093007	0.050950	0.050420
Superscaffold1	2612594	2785277	-0.094761	-0.106974	-0.051530	-0.049590
Superscaffold1	2785282	2975625	-0.414933	-0.439496	-0.198311	-0.296769
Superscaffold1	2975771	3175345	0.031739	0.036237	0.015390	0.015142
Superscaffold1	3175403	3500544	-0.012532	-0.006217	-0.003498	-0.004021
Superscaffold1	3500545	3837255	-0.052448	-0.022807	-0.012637	-0.028245
Superscaffold1	3837364	4194867	-0.129406	-0.070242	-0.039054	-0.079651
Superscaffold1	4194945	4500707	0.067439	0.040012	0.022245	0.047699
Superscaffold1	4500733	4782591	0.100039	0.076084	0.039212	0.057714
Superscaffold1	4782666	5138600	0.007315	0.003552	0.002218	0.005047
Superscaffold1	5138605	5603943	-0.147629	-0.040840	-0.026868	-0.104725
Superscaffold1	5603961	5904098	0.206421	0.098186	0.062121	0.135488
Superscaffold1	5904267	6269904	-0.011501	-0.005719	-0.003309	-0.007298
Superscaffold1	6269939	6621270	0.150010	0.066885	0.041633	0.094526
Superscaffold1	6621274	7053120	-0.133625	-0.059207	-0.034398	-0.092585
Superscaffold1	7053422	7370952	0.106928	0.053813	0.028364	0.066120
Superscaffold1	7370957	7902393	0.014007	0.003017	0.002081	0.007834
Superscaffold1	7902405	8567379	0.133887	0.057668	0.032578	0.088549
Superscaffold1	8567386	9711651	0.045711	0.017924	0.011302	0.029379
Superscaffold1	9711658	10608519	0.015388	0.007250	0.004472	0.012121
Superscaffold1	10608675	10853004	-0.065431	-0.032803	-0.020145	-0.032536
Superscaffold1	10853143	11151314	-0.124063	-0.054479	-0.032206	-0.073834
Superscaffold1	11151400	11495610	-0.474743	-0.251691	-0.145070	-0.362245
Superscaffold1	11495654	11916088	-0.078029	-0.026955	-0.016827	-0.055162
Superscaffold1	11916157	12191913	-0.145918	-0.100056	-0.058553	-0.087465
Superscaffold1	12192055	12473965	-0.023190	-0.018844	-0.009472	-0.018036
Superscaffold1	12473967	12805835	0.036664	0.016651	0.009221	0.024341
Superscaffold1	12805836	13096833	-0.108376	-0.047322	-0.024925	-0.073820
Superscaffold1	13096917	13777279	-0.196316	-0.049682	-0.031045	-0.149319
Superscaffold1	13778190	14363262	-0.072063	-0.025365	-0.014395	-0.052191
Superscaffold1	14363678	14772907	-0.019598	-0.007439	-0.004130	-0.011963
Superscaffold1	14773444	15081666	0.012336	0.005359	0.003473	0.006090
Superscaffold1	15081708	15503219	-0.247522	-0.066381	-0.044355	-0.196456
Superscaffold1	15503223	15829093	-0.276997	-0.094841	-0.056594	-0.210408
Superscaffold1	15829197	16181590	0.050803	0.018965	0.010996	0.035851
Superscaffold1	16182302	16539365	-0.229438	-0.105409	-0.057164	-0.157412
Superscaffold1	16539410	16816295	-0.038852	-0.022101	-0.012790	-0.023812
Superscaffold1	16816321	17199601	-0.042386	-0.018196	-0.010369	-0.019732
Superscaffold1	17199603	17620849	0.088151	0.035583	0.020068	0.062152
Superscaffold1	17620938	18270938	-0.279552	-0.278137	-0.097499	-0.147310
Superscaffold1	18270963	18541058	-0.180431	-0.116889	-0.055159	-0.102064
Superscaffold1	18541148	19026634	-0.077128	-0.034379	-0.019676	-0.041608
Superscaffold1	19026665	19259307	-0.152729	-0.077183	-0.050869	-0.112763
Superscaffold1	19259321	19695254	0.213346	0.111666	0.076966	0.165384
Superscaffold1	19695582	19990617	-0.052075	-0.023211	-0.014303	-0.028819
Superscaffold1	19990645	20369659	0.166877	0.058790	0.037537	0.109585
Superscaffold1	20370615	21069475	-0.083213	-0.041277	-0.019823	-0.055587
Superscaffold1	21069513	21385373	0.059555	0.025283	0.014151	0.039751
Superscaffold1	21385388	21747848	-0.119602	-0.050511	-0.028008	-0.068682
Superscaffold1	21748878	22157460	0.160676	0.077014	0.041820	0.106965
Superscaffold1	22157486	22655694	0.228429	0.066249	0.041148	0.158761
Superscaffold1	22655790	23122039	0.401332	0.126712	0.074921	0.315598
Superscaffold1	23122049	23597000	-0.007066	-0.002059	-0.001180	-0.005091
Superscaffold1	23597031	23951817	-0.206271	-0.091779	-0.048513	-0.120884
Superscaffold1	23951947	24345380	-0.103117	-0.037110	-0.022901	-0.059695
Superscaffold1	24345390	24717274	0.091186	0.031739	0.019474	0.074346
Superscaffold1	24717307	25198445	-0.017559	-0.005836	-0.003353	-0.008931
Superscaffold1	25198471	25523554	-0.312603	-0.124796	-0.073422	-0.185742
Superscaffold1	25523574	25860269	-0.234229	-0.126110	-0.074509	-0.173426
Superscaffold1	25860304	26231549	-0.155016	-0.059314	-0.033519	-0.110553
Superscaffold1	26231554	26500245	0.000160	0.000072	0.000039	-0.002516
Superscaffold1	26500332	27062897	-0.147262	-0.029528	-0.017896	-0.091831
Superscaffold1	27062964	27461470	-0.193855	-0.076018	-0.043047	-0.140403
Superscaffold1	27461805	27764945	-0.086680	-0.044444	-0.024190	-0.058178
