chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	569352	812125	-0.028311	-0.020403	-0.012252	-0.016279
Superscaffold1	812335	1170014	0.097704	0.066231	0.036868	0.064353
Superscaffold1	1170147	1474042	0.064383	0.026015	0.016498	0.045062
Superscaffold1	1474043	1923932	-0.259207	-0.117052	-0.067712	-0.181329
Superscaffold1	1924249	2282742	0.124871	0.043392	0.023630	0.090509
Superscaffold1	2282743	2462882	-0.009836	-0.007827	-0.004411	-0.010038
Superscaffold1	2462918	2658593	0.074445	0.067967	0.038256	0.043517
Superscaffold1	2658633	2818756	-0.121430	-0.134898	-0.066293	-0.068347
Superscaffold1	2818782	3029955	-0.364347	-0.373211	-0.178494	-0.258022
Superscaffold1	3029971	3290140	0.037723	0.027651	0.014427	0.019084
Superscaffold1	3290200	3655076	-0.138908	-0.057347	-0.033290	-0.083250
Superscaffold1	3655096	4009053	-0.055318	-0.030304	-0.015528	-0.033566
Superscaffold1	4009149	4409906	0.091608	0.049137	0.028540	0.069240
Superscaffold1	4409958	4666750	0.119339	0.082287	0.042212	0.071902
Superscaffold1	4666759	4983771	-0.052060	-0.026389	-0.016974	-0.032187
Superscaffold1	4983873	5415468	-0.046234	-0.015497	-0.010157	-0.032212
Superscaffold1	5415623	5762308	0.191690	0.076142	0.049091	0.119924
Superscaffold1	5762605	6152445	0.098471	0.040954	0.026007	0.062204
Superscaffold1	6152464	6451986	0.088035	0.036069	0.022232	0.055694
Superscaffold1	6452013	6868570	-0.114084	-0.048062	-0.031333	-0.077268
Superscaffold1	6869220	7303551	0.041827	0.018686	0.010064	0.030791
Superscaffold1	7303575	7771397	-0.012143	-0.003531	-0.002301	-0.007911
Superscaffold1	7771765	8532199	-0.078935	-0.026544	-0.016188	-0.057229
Superscaffold1	8532215	9554400	0.020306	0.009026	0.005389	0.013481
Superscaffold1	9556251	10548042	0.054957	0.026201	0.015491	0.036597
Superscaffold1	10548061	10811365	0.040037	0.020751	0.013034	0.025679
Superscaffold1	10811367	11043959	0.094768	0.062076	0.031369	0.059294
Superscaffold1	11044067	11425411	-0.032346	-0.010771	-0.007161	-0.021071
Superscaffold1	11425652	11694416	-0.401115	-0.200115	-0.113981	-0.311729
Superscaffold1	11694486	11998441	0.067416	0.028460	0.018391	0.051766
Superscaffold1	11998448	12296961	-0.203269	-0.169726	-0.083520	-0.135208
Superscaffold1	12296969	12547783	-0.033329	-0.029743	-0.016213	-0.021157
Superscaffold1	12547797	12895425	-0.042729	-0.019917	-0.010335	-0.023300
Superscaffold1	12895492	13303573	-0.148440	-0.057428	-0.031093	-0.099014
Superscaffold1	13303688	14032038	0.014425	0.003109	0.001909	0.011905
Superscaffold1	14034528	14573999	-0.099505	-0.038828	-0.022316	-0.068860
Superscaffold1	14574055	14897610	0.048639	0.020151	0.011896	0.033842
Superscaffold1	14897763	15326330	-0.176976	-0.041976	-0.029964	-0.143569
Superscaffold1	15326352	15687040	-0.256582	-0.083959	-0.052428	-0.187346
Superscaffold1	15687151	16039475	-0.209472	-0.081725	-0.046723	-0.144511
Superscaffold1	16039783	16412750	-0.134951	-0.044847	-0.026446	-0.088456
Superscaffold1	16412828	16722166	-0.046762	-0.028766	-0.015851	-0.030307
Superscaffold1	16722171	17092527	-0.043560	-0.017617	-0.011075	-0.026043
Superscaffold1	17092528	17549439	0.123270	0.047174	0.027474	0.086886
Superscaffold1	17549461	18263358	-0.122718	-0.073601	-0.034290	-0.068044
Superscaffold1	18263359	18548477	-0.174536	-0.110711	-0.053212	-0.094573
Superscaffold1	18548545	19023794	-0.073441	-0.029949	-0.018079	-0.040255
Superscaffold1	19023812	19245473	-0.147789	-0.076748	-0.049505	-0.107615
Superscaffold1	19246070	19700064	0.069097	0.033499	0.023036	0.051136
Superscaffold1	19700163	19989201	-0.089069	-0.038464	-0.023879	-0.056337
Superscaffold1	19989325	20376223	0.194062	0.066946	0.043837	0.132858
